event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
764,284500,4185,364169,1,1.198,4.06802e+06,1.21412,1,0.995603,1,1,0.996593,0.970383,1,0,1,0,1,"[1]","[1]","[74689]","[-0.897535]","[1.81192]","[106847]","[-0.0351486]","[1]","[13]","[1]","[0]","[-483.644]","[0.0131341]","[2.43959]",118829,2.52231,5,"[396405,270544,96398.9,61413.2,33608]","[-0.490477,-0.209988,1.13088,0.212574,1.76723]","[-1.34673,1.97594,-0.585212,0.145808,0.0675772]","[445660,276959,165295,63298.2,101344]","[0.999888,0.992577,0.965351,0.922264,0.997998]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.794112,-0.911404,-0.730403,-0.747143,-0.899456]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[397735,280624]","[-0.47654,-0.194674]","[-1.34224,1.97917]","[444293,286356]","[21823,15097.2]","[0,0]","[3.49426,1.38036]","[0.309732,0.219679]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[366.285]",23839.8,"[10638,4854.9,6370.99,3570.2,4065.63]","[]","[7322.47,9202.09]","[]"
1505,284500,9588,364169,1,1.198,4.06802e+06,0.402058,1,0.99786,1,1,0.995251,0.904017,1,0,1,0,1,"[1]","[1]","[43729.6]","[1.06285]","[-0.842272]","[70843.8]","[-0.0393066]","[1]","[13]","[1]","[0]","[189.965]","[-0.00200102]","[0.271803]",42019.4,1.16885,7,"[397189,298112,256472,148170,61484.4,45632.1,29679.5]","[0.50733,-0.441001,-1.59165,-0.840555,-0.334078,-1.64811,0.2226]","[2.11384,-2.16428,0.611885,-1.40495,-0.660047,-1.33138,-0.482081]","[449809,328724,656266,204048,65480.6,123105,30552.4]","[0.99975,0.996539,0.99003,0.995768,1,0.999303,0.998603]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.970919,-0.916246,-0.921349,-0.877494,-0.783248,-0.845547,0.0827215]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[416365,396548,258115]","[-0.628013,0.500784,-1.59506]","[-1.91332,2.1121,0.615384]","[536990,447892,662498]","[192741,22618.4,17732.6]","[0,0,0]","[0.54691,3.85705,2.08538]","[0.628565,0.485243,0.816251]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[770.807]",7058.18,"[4898.17,4497.73,7987.04,5389.54,4393.41,3751.6,2280.9]","[]","[15885.8,35877.4,4373.8]","[]"
3943,284500,39632,364169,1,1.198,4.06802e+06,1.74563,1,0.997881,1,1,0.989144,0.991244,1,0,1,0,1,"[1]","[1]","[69708.2]","[-1.56023]","[-0.502335]","[173225]","[0.0171585]","[1]","[13]","[1]","[0]","[-621.643]","[0.00955156]","[1.27665]",278282,-0.092088,4,"[769439,629555,149488,51424.9]","[-1.55226,0.97378,-0.684521,-1.31612]","[2.87213,-0.338779,3.02593,2.45067]","[1.89971e+06,952579,186311,102987]","[1,0.991735,1,0.995592]","[0,0,0,0]","[0,0,0,0]","[-0.833543,-0.804343,-0.93719,-0.887321]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[945724,636294]","[-1.47347,0.940423]","[2.90006,-0.33937]","[2.19679e+06,939153]","[328604,15885.1]","[0,0]","[1.32087,0]","[0.748177,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1239.28]",36978.4,"[24415.7,13260.5,5925.75,3551.78]","[]","[20711.7,33694.9]","[]"
4160,284500,1410,364169,1,1.198,4.06802e+06,0.738662,1,0.994378,1,1,0.990459,0.963316,1,0,1,0,1,"[1]","[1]","[98787.1]","[-0.740047]","[-0.471321]","[127096]","[0.0324669]","[1]","[13]","[1]","[0]","[-498.168]","[-0.00280939]","[0.447834]",336674,-0.625719,6,"[679056,244866,88397.7,73717.1,30152,25496.1]","[0.0320617,-0.93597,2.28854,-1.31304,2.13629,1.33595]","[2.94273,0.228572,0.637509,-0.235222,1.39281,3.12071]","[685247,361902,440494,147451,129604,52063.2]","[0.999524,0.997618,0,0.994751,0.975773,0.987345]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.447929,-0.568839,-0.771182,-0.963075,-0.541981,-0.855908]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[645929,315932]","[0.0161471,-1.03343]","[2.95105,0.132674]","[651660,508471]","[85601.3,91355.4]","[0,0]","[1.09053,1.25585]","[0.392643,0.620574]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1002.89]",26076,"[16120.2,22252.6,2729.03,7193.63,4671.17,1799.97]","[]","[1642.31,1122.03]","[]"
5025,284500,60560,364169,1,1.198,4.06802e+06,0.351687,1,1.00043,1,1,0.987914,1.01957,1,0,1,0,1,"[1]","[1]","[110241]","[-1.52331]","[1.03498]","[264874]","[0.0207367]","[1]","[13]","[1]","[2836.9]","[43.2228]","[0.0112084]","[1.62403]",27709.4,-2.93639,7,"[715117,634064,303882,173989,71756.3,61667.2,30367.1]","[0.0282492,-0.709911,0.806654,1.82467,-0.0682853,-0.717626,-1.23927]","[-2.37129,0.0239019,2.11303,2.04472,0.957746,-0.965772,-0.866931]","[720283,801047,412823,553742,72416.8,78759.7,57071.5]","[0.992482,0.991922,1,0.998089,1,0.973888,0.991559]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.784241,-0.700008,-0.751918,-0.869793,-0.799321,-0.983901,0.518972]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[676124,634552,292857]","[0.0353312,-0.697067,0.824682]","[-2.37599,0.0218808,2.11752]","[680647,795223,402412]","[74603,16004.6,57953.9]","[0,0,0]","[1.63781,4.79296,1.1657]","[0.722008,0.0432851,0.690903]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2927.67]",2957.21,"[13270.6,8886.94,8339.29,7080.57,3457.78,3047.15,3013.27]","[]","[19548.8,16022.7,9273.91]","[]"
5251,284500,41769,364169,1.31798,1.198,4.06802e+06,1.26205,1,0.998634,1,1,0.949465,0.928508,1,0,1,0,1,"[1]","[1]","[156026]","[0.220339]","[2.15353]","[159829]","[-0.0295858]","[1]","[13]","[1]","[0]","[-982.758]","[0.0387016]","[6.2033]",453160,1.99036,7,"[696605,383252,160011,58926.4,32863.9,24787.5,22150.1]","[0.459397,0.799019,0.50306,-0.0487605,-0.105571,-0.419526,0.974519]","[-0.626043,-2.92167,-0.129274,-2.34559,-3.05732,2.34107,-0.388335]","[773228,512594,181362,59160.2,33559,27527.2,33647.2]","[0.999968,0.996615,0.996148,0.971001,0.988484,0.945587,0.81071]","[4,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.607597,0.249364,-0.928211,0.482281,-0.807347,-0.916458,-0.891305]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[817213,435106]","[0.467968,0.726312]","[-0.543667,-2.86295]","[924483,571480]","[172005,136227]","[0,0]","[1.46133,1.31778]","[0.564293,0.536077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2275.75]",205.625,"[9119.51,7892.68,9782.22,1853.59,5105.77,1804.82,3188.49]","[]","[98447.2,8062.5]","[]"
6382,284500,41172,364169,1.2805,1.198,4.06802e+06,1.1961,1,0.994662,1,1,0.994322,0.911937,1,0,1,0,1,"[1]","[1]","[49999.5]","[0.182855]","[2.25094]","[50837.9]","[-0.0418243]","[1]","[13]","[1]","[0]","[-133.246]","[0.0126856]","[1.63569]",48748.2,0.90088,2,"[574517,534948]","[0.565308,-0.311234]","[-1.3066,1.86786]","[669273,562324]","[0.999922,0.983831]","[0,0]","[0,0]","[-0.794184,-0.731685]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[575289,546727]","[0.55411,-0.328511]","[-1.30634,1.87133]","[666339,578488]","[24455.8,47984.8]","[0,0]","[3.20552,3.51386]","[0.505193,0.562948]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[231.71]",1475.25,"[17251.5,6396.34]","[]","[26595.1,2841.06]","[]"
6629,284500,45305,364169,1,1.198,4.06802e+06,0.75088,1,1.00277,1,1,0.995698,1.00723,1,0,1,0,1,"[1]","[1]","[100841]","[1.09133]","[2.36024]","[167094]","[-0.0318184]","[1]","[13]","[1]","[0]","[834.785]","[-0.0010835]","[0.221774]",140317,-1.36642,6,"[444818,285543,121555,89572.5,74262.7,29366.4]","[0.239056,0.492658,-1.52086,-0.622447,-2.3146,1.19138]","[-0.0779332,3.11774,2.17742,2.72763,-0.225921,-2.51979]","[459376,323197,291656,108512,379698,53085.4]","[0.944903,0.999487,0.995167,0.995377,0.990312,0.986263]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.853617,-0.962026,-0.653121,-0.789665,-0.496059,-0.949425]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[465912,280159]","[0.207137,0.478194]","[-0.0739753,3.11768]","[478084,313485]","[45186.5,20609]","[0,0]","[2.07518,1.55486]","[0.705077,0.671322]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2017.88]",16973.4,"[5126.18,6837.71,20324.6,4097.72,5599.6,4616.68]","[]","[24443.3,7097.12]","[]"
7733,284500,44014,364169,1,1.198,4.06802e+06,1.1961,1,0.999283,1,1,0.992786,0.985264,1,0,1,0,1,"[1]","[1]","[50004]","[-2.3571]","[-2.10942]","[266395]","[0.0300255]","[1]","[13]","[1]","[0]","[-237.16]","[0.0243922]","[2.85513]",40553.1,1.80005,5,"[541912,488910,56210.1,27887.5,20694.4]","[-0.589883,-0.583148,-0.16468,-1.61979,-1.1953]","[-1.68208,1.33738,1.05904,2.86127,2.88562]","[639405,576408,57365,73293,37499.2]","[0.997038,0.99567,0.999907,0.993223,0.99]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.489706,-0.897268,-0.826902,-0.825697,-0.891004]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[568277,531938]","[-0.56321,-0.530807]","[-1.68105,1.31189]","[661224,615177]","[23242.6,89351.2]","[0,0]","[4.39595,2.16295]","[0.592543,0.480243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[619.926]",13050.8,"[13396.3,5920.01,1863.37,3516.86,1124.37]","[]","[49227.6,5478]","[]"
10284,284500,180478,364169,1,1.198,4.06802e+06,0.596562,1,0.997852,1,1,1.00444,0.994745,1,0,1,0,1,"[1]","[1]","[123274]","[-2.20998]","[2.44324]","[568619]","[-0.00418043]","[1]","[13]","[1]","[0]","[5017.52]","[0.00621033]","[1.11773]",24934.7,0.372196,6,"[336399,302082,167308,151091,70318.4,31483.6]","[0.468204,-1.6169,-1.31746,0.0301558,1.94643,1.8138]","[-1.14782,2.08628,1.43736,-0.905977,-1.6566,-2.43806]","[375962,791002,335773,151883,252010,99270.8]","[0.996255,0.991962,0.998761,0.999397,0.992616,0.997847]","[0,0,5,0,0,0]","[0,0,0,0,0,0]","[-0.912758,-0.779201,0.999977,-0.884933,-0.881579,-0.75658]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[463880,422121]","[0.346114,-1.56933]","[-1.09219,1.87097]","[506235,1.06909e+06]","[119436,155281]","[0,0]","[1.03732,0.773181]","[0.590289,0.677364]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2557.44]",6213.07,"[3884.35,5508.18,7710.42,10266.1,4846.75,5137.43]","[]","[17848.4,14228.8]","[]"
