event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
70,284500,146025,364164,-1,36.3485,1.82224e+07,1.32095,1,0.998077,1,1,0.994353,0.939534,1,0,1,0,1,"[1]","[1]","[177017]","[-0.866786]","[-2.48268]","[247785]","[0.026535]","[1]","[13]","[1]","[0]","[-200.814]","[-0.00762763]","[1.4776]",55862.7,-1.88664,5,"[275522,105750,31671.9,23218.5,21614.6]","[-0.27642,-0.25014,-1.97484,1.68151,0.233568]","[0.950701,-1.54283,1.84967,0.715429,2.12429]","[287366,109465,116390,64595.5,22575.5]","[0.999051,0.998963,0.665326,0.992661,0.83501]","[0,0,0,0,0]","[0,0,0,0,0]","[0.375283,-0.907555,0.024893,-0.752998,-0.821954]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272574]","[-0.305326]","[0.949545]","[286473]","[25017.7]","[0]","[1.30497]","[0.331132]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1025.66]",12790.1,"[3244.26,3604.71,1904.72,4848.68,2094.48]","[]","[15992.7]","[]"
73,284500,167482,364164,1,36.3485,1.82224e+07,1.25133,1,0.996986,1,1,0.982364,0.82428,1,0,1,0,1,"[1]","[1]","[93470.3]","[0.672861]","[0.691001]","[115440]","[-0.020277]","[1]","[13]","[1]","[0]","[-597.635]","[0.0120136]","[2.12008]",135642,1.02382,2,"[237431,21065.7]","[1.22221,-0.543801]","[-2.33533,-0.298325]","[438314,24559.6]","[0.998884,0.94979]","[5,0]","[0,0]","[0.999839,-0.791216]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250040]","[1.21585]","[-2.33792]","[459054]","[16024.2]","[0]","[2.27811]","[0.718913]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[895.934]",5624.07,"[5787.19,2700.72]","[]","[4159.78]","[]"
79,284500,172715,364164,-1,36.3485,1.82224e+07,0.596562,1,0.995711,1,1,0.999647,0.967804,1,0,1,0,1,"[1]","[1]","[219610]","[-2.13498]","[-1.49034]","[941591]","[0.00237656]","[-1]","[13]","[1]","[0]","[266.988]","[0.00477465]","[0.736135]",70353.2,-1.48128,1,"[258317]","[-0.917082]","[1.67575]","[375184]","[0.971121]","[0]","[0]","[-0.638126]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266658]","[-0.907212]","[1.67515]","[384433]","[15299]","[0]","[2.72106]","[0.450667]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20079.9]",5731.23,"[4888.22]","[]","[19555.8]","[]"
86,284500,172085,364164,1.09053,36.3485,1.82224e+07,1.08735,1,0.988718,1,1,1.04388,1.02476,1,0,1,0,1,"[1]","[1]","[46245.5]","[1.86396]","[1.12871]","[152710]","[0.0467644]","[-1]","[13]","[1]","[0]","[-499.015]","[0.0285186]","[2.65357]",44446.9,-0.226044,5,"[284596,268505,34288.5,26047.3,20306.1]","[1.09922,1.01681,-2.20488,-0.598842,0.418133]","[-1.89626,1.23687,-2.79442,2.93811,0.538499]","[476087,420175,157455,31025.7,22372.3]","[0.99805,0.983299,0.957975,0.987715,0.942398]","[0,0,5,0,0]","[0,0,0,0,0]","[-0.579255,-0.212281,0.888504,-0.825504,-0.919868]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[266098,260207]","[1.04526,1.11339]","[1.23882,-1.89313]","[425656,440161]","[19932.5,33930.8]","[0,0]","[1.69406,1.49705]","[0.64809,0.667849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[111.601]",4552.63,"[11620.9,3480.88,1321.16,1827.49,3837.75]","[]","[5838.06,8613.42]","[]"
109,284500,178368,364164,-1,36.3485,1.82224e+07,1.22586,1,0.998003,1,1,0.997827,0.823783,1,0,1,0,1,"[1]","[1]","[159183]","[-0.727859]","[-0.8906]","[203244]","[0.0885277]","[1]","[13]","[1]","[0]","[-1011.95]","[-0.00879239]","[1.64913]",152184,-1.56409,3,"[147034,75910.6,51215.8]","[-1.22055,-0.73721,-1.95735]","[1.82102,2.20013,1.55128]","[271492,98089.3,185064]","[1,0.992139,0.995612]","[0,0,0]","[0,0,0]","[-0.941364,-0.524281,-0.871576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265562]","[-1.33318]","[1.84996]","[558637]","[148063]","[0]","[1.4923]","[0.356024]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2401.75]",5911.97,"[2472.32,3385.77,3737.84]","[]","[0]","[]"
130,284500,266659,364164,1,36.3485,1.82224e+07,0.696077,1,1.00868,1,1,0.998877,0.943895,1,0,1,0,2,"[1,1]","[1,0]","[191236,44623.4]","[0.412932,0.0299481]","[-0.021613,0.409047]","[207773,44643.5]","[0.0450401,-76.468]","[-1,-1]","[13,13]","[1,0]","[0,0]","[3005.55,-552.438]","[0.00702396,4.18037]","[0.809064,100.599]",32067.1,1.72291,2,"[255499,21719.3]","[1.00286,-1.16454]","[-2.96912,-0.0537704]","[396588,38334.5]","[0.99894,0.989646]","[0,0]","[0,0]","[-0.700895,-0.811962]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263276]","[0.999674]","[-2.97695]","[407375]","[31505.3]","[0]","[1.88278]","[0.703261]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15415,129.854]",1692.66,"[11073.1,4589.24]","[]","[7809.88]","[]"
152,284500,307728,364164,1,36.3485,1.82224e+07,0.351687,1,0.990675,1,1,0.956568,0.815837,1,0,1,0,1,"[1]","[1]","[108031]","[0.1572]","[1.07492]","[109368]","[-0.00178909]","[1]","[13]","[1]","[0]","[1912.25]","[-0.0345641]","[7.07725]",161506,1.63633,1,"[249883]","[-0.461517]","[-1.71477]","[277874]","[0.993043]","[4]","[0]","[-0.885687]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266250]","[-0.452211]","[-1.72523]","[295753]","[32686.2]","[0]","[2.18383]","[0.346435]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3621.18]",3527.08,"[4279.99]","[]","[6102.94]","[]"
155,284500,286878,364164,-1,36.3485,1.82224e+07,1.26205,1,0.972428,1,1,0.980662,0.962708,1,0,1,0,1,"[1]","[1]","[35706.9]","[-0.544939]","[-1.33013]","[41141.2]","[0.0604095]","[1]","[13]","[1]","[0]","[2650.12]","[0.00424957]","[0.627248]",258868,-0.732202,4,"[235229,42125.6,21582.6,20115.2]","[-0.895461,-1.35603,-1.19994,-0.61252]","[2.35514,2.08176,-0.461952,2.90813]","[337906,87485.9,39355.5,24199.4]","[1,0.991679,0.977472,0.616162]","[5,0,0,0]","[0,0,0,0]","[0.997811,-0.866832,-0.957882,-0.891809]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254367]","[-0.971669]","[2.32551]","[388521]","[57809.8]","[0]","[1.67098]","[0.787211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[227.053]",11329.1,"[4461.26,4244,1789.51,1147.96]","[]","[803.984]","[]"
188,284500,313955,364164,-1,36.3485,1.82224e+07,1.22586,1,0.993938,1,1,0.995843,0.841751,1,0,1,0,1,"[1]","[1]","[193547]","[-0.660637]","[2.64176]","[237342]","[-0.176655]","[-1]","[13]","[1]","[4291.94]","[-926.392]","[0.0137898]","[2.77912]",49075.1,0.116399,4,"[208975,78804.7,21497.2,20366.9]","[-1.28116,0.19666,-0.200635,1.76647]","[-0.41074,2.87281,-2.01403,-0.73995]","[406074,81149.7,22300.5,61557]","[0.960824,0,0.9885,0.923035]","[0,0,0,0]","[0,0,0,0]","[-0.647031,-0.708775,-0.639798,-0.875801]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257791]","[-1.22648]","[-0.406855]","[478425]","[33637]","[0]","[1.83731]","[0.512531]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6526.24]",10217.5,"[3035.87,3039.03,3055.09,1097.15]","[]","[30579.9]","[]"
212,284500,343764,364164,-1,36.3485,1.82224e+07,1.32095,1,0.998192,1,1,0.996397,0.997579,1,0,1,0,1,"[1]","[1]","[99708.2]","[-2.06175]","[0.287727]","[398182]","[-0.0251026]","[1]","[13]","[1]","[0]","[-157.866]","[0.000805134]","[0.11345]",199041,0.726391,5,"[136131,116436,52864.8,28690.1,27803.6]","[-1.25146,-0.415383,-1.18698,-1.09466,0.741224]","[-2.07419,-2.61483,-2.56076,2.50869,1.99611]","[258597,127898,94935.1,48094.6,36058.2]","[0.991883,0.966768,0.94213,0.797102,0.868554]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.927865,-0.948898,-0.795625,-0.533287,-0.802961]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271336]","[-0.990565]","[-2.36694]","[442570]","[151853]","[0]","[1.0677]","[0.619753]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1992.84]",11450.7,"[4172.58,2019.5,5694.29,6974.41,1933.89]","[]","[1579.66]","[]"
