event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
8,284500,6847,364163,-1,96.2332,5.26081e+06,1.32095,1,0.995876,1,1,0.960014,0.903157,1,0,1,0,1,"[1]","[1]","[226544]","[0.829148]","[-2.71857]","[308982]","[0.0423355]","[1]","[13]","[1]","[0]","[900.016]","[0.0144301]","[3.35338]",78022.1,2.42706,1,"[270618]","[1.12241]","[0.240396]","[460248]","[0.989542]","[4]","[0]","[-0.416656]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258120]","[1.15229]","[0.247444]","[449525]","[14206.3]","[0]","[1.88299]","[0.569513]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4536.8]",24733.6,"[13036.2]","[]","[13216.5]","[]"
20,284500,6386,364163,-1,96.2332,5.26081e+06,1.21412,1,0.975478,1,1,0.99824,0.852763,1,0,1,0,1,"[1]","[1]","[105868]","[0.332648]","[-0.377005]","[111779]","[-0.00200653]","[-1]","[13]","[1]","[0]","[-365.404]","[-0.0120178]","[1.71937]",94628.8,0.17191,4,"[242337,105269,64834,60858.5]","[-0.467742,-1.50693,-1.05814,0.358108]","[2.45869,-1.30406,-1.31716,2.67186]","[272266,249794,105182,65786.7]","[0.994628,0.98031,1,0.979911]","[0,0,0,0]","[0,0,0,0]","[-0.91583,-0.887494,-0.775222,-0.835465]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[303165]","[-0.313421]","[2.50063]","[334341]","[102700]","[0]","[1.58926]","[0.631198]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1847.87]",3899.73,"[4545.69,10011.4,2953.05,4780.12]","[]","[31427.8]","[]"
21,284500,12035,364163,1,96.2332,5.26081e+06,0.738662,1,0.995034,1,1,0.960212,0.820029,1,0,1,0,1,"[1]","[1]","[108586]","[0.0688773]","[1.95893]","[108844]","[0.0763016]","[-1]","[13]","[1]","[0]","[-850.87]","[-0.0106132]","[2.12406]",148750,1.64323,1,"[251335]","[0.900325]","[-1.3605]","[360743]","[0.998656]","[4]","[0]","[-0.719886]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258335]","[0.898624]","[-1.3677]","[370106]","[13721.4]","[0]","[1.98705]","[0.479778]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1376.66]",4889.12,"[5507.06]","[]","[17179.9]","[]"
42,284500,143982,364163,1,96.2332,5.26081e+06,0.402058,1,0.995702,1,1,0.961966,0.956621,1,0,1,0,1,"[1]","[1]","[56077.6]","[-0.853189]","[2.43117]","[77756.5]","[0.00704193]","[1]","[13]","[1]","[0]","[-663.142]","[0.00775226]","[0.853758]",162257,-3.10336,4,"[217470,60628.8,42886.9,25626.6]","[-1.92165,-1.05694,0.102908,-0.922695]","[-0.150698,0.132968,2.76026,-2.29837]","[759244,97992.2,43779.2,37693.3]","[1,0.994193,0.997597,0.982965]","[0,4,0,0]","[0,0,0,0]","[-0.922142,-0.876297,-0.858257,-0.299882]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266906]","[-1.7815]","[-0.0874531]","[821831]","[105617]","[0]","[1.14161]","[0.73364]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[253.683]",13796.4,"[5143.61,10601.7,2558.5,12153.6]","[]","[9605.34]","[]"
43,284500,490071,364163,1,96.2332,5.26081e+06,1.1961,1,0.999326,1,1,0.99794,1.02211,1,0,1,0,1,"[1]","[1]","[132160]","[-1.50799]","[-0.0525924]","[313153]","[0.0194511]","[-1]","[13]","[1]","[0]","[1021.47]","[0.0152897]","[2.66331]",143491,0.692485,2,"[253264,24631.1]","[-0.524837,-1.22683]","[-2.9737,-1.26937]","[289491,46005.2]","[0.991215,0.865102]","[0,0]","[0,0]","[-0.730062,0.00975618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254267]","[-0.507162]","[-2.97408]","[287975]","[13142.2]","[0]","[1.40141]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5428.32]",4139.7,"[4576.92,3007.85]","[]","[4771.27]","[]"
51,284500,489216,364163,-1,96.2332,5.26081e+06,1.1961,1,0.995355,1,1,0.960719,0.966176,1,0,1,0,1,"[1]","[1]","[270312]","[-0.293164]","[-0.0695617]","[282012]","[0.0222826]","[-1]","[13]","[1]","[0]","[-721.86]","[-0.0238101]","[3.88627]",27585.7,2.69178,1,"[266449]","[-0.828659]","[3.02958]","[363645]","[0.990048]","[4]","[0]","[-0.844783]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263275]","[-0.833449]","[3.0316]","[360389]","[13601.9]","[0]","[1.95946]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[57895.8]",5432.96,"[3560.56]","[]","[3413.89]","[]"
55,284500,67705,364163,1,96.2332,5.26081e+06,0,1,0.985198,1,1,0.961175,1.00372,1,0,1,0,1,"[1]","[1]","[213081]","[-1.64949]","[0.759858]","[574942]","[-0.00598907]","[1]","[13]","[1]","[0]","[416.814]","[-0.000328877]","[0.0553243]",71858.7,0.950572,1,"[281490]","[-0.959924]","[-2.29894]","[422975]","[0.999619]","[4]","[0]","[-0.841978]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267192]","[-0.951118]","[-2.31373]","[398464]","[28588.9]","[0]","[1.70716]","[0.710581]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12235.2]",81.1641,"[2822.71]","[]","[5274.28]","[]"
60,284500,18236,364163,1,96.2332,5.26081e+06,1.26205,1,0.999326,1,1,0.99893,1.02211,1,0,1,0,1,"[1]","[1]","[25398.2]","[-1.44882]","[-0.218614]","[57056.6]","[-0.0268326]","[-1]","[13]","[1]","[0]","[-28.8496]","[-0.0104973]","[0.806283]",265356,0.426481,2,"[280219,22475.8]","[-0.542712,-0.950512]","[-2.9629,-1.74787]","[322727,33604.4]","[1,0.960833]","[0,0]","[0,0]","[-0.846812,-0.505983]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[296195]","[-0.521634]","[-2.96113]","[337590]","[10854.6]","[0]","[7.00193]","[0.565245]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.465]",6024.38,"[7001.11,1675.95]","[]","[6568.53]","[]"
61,284500,14942,364163,1,96.2332,5.26081e+06,1.1961,1,0.996209,1,1,0.999631,0.823896,1,0,1,0,1,"[1]","[1]","[45307.2]","[-0.62759]","[1.82012]","[54526.6]","[0.0038929]","[-1]","[13]","[1]","[0]","[-348.477]","[0.00250708]","[0.332956]",203906,2.41249,1,"[247596]","[-0.249724]","[-0.864429]","[256019]","[1]","[0]","[0]","[-0.951068]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253781]","[-0.257166]","[-0.865593]","[262821]","[17788.4]","[0]","[1.66637]","[0.196465]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[46.0912]",219.234,"[2662.7]","[]","[15882.5]","[]"
67,284500,18341,364163,1,96.2332,5.26081e+06,1.25133,1,0.969083,1,1,0.95897,0.938722,1,0,1,0,1,"[1]","[1]","[189053]","[-1.91893]","[1.27478]","[657945]","[-0.0614697]","[-1]","[13]","[1]","[0]","[-34.0752]","[-0.00393424]","[0.775935]",75328.3,2.20663,2,"[262492,29158.4]","[-0.823137,1.64194]","[-1.65408,0.789455]","[357067,78271.6]","[1,0.943815]","[4,0]","[0,0]","[-0.833057,-0.875572]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265917]","[-0.823129]","[-1.65982]","[361506]","[14753.7]","[0]","[1.92363]","[0.677791]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2945.99]",1368.13,"[2940.81,2600.95]","[]","[1894.28]","[]"
