event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
121,284500,961,364165,1,38.2998,4.32528e+06,0.738662,1,0.995121,1,1,0.997946,0.988703,1,0,1,0,1,"[1]","[1]","[147559]","[0.625249]","[-0.907369]","[177354]","[-0.0127869]","[1]","[13]","[1]","[0]","[945.584]","[0.00952934]","[1.78127]",190062,-0.741272,3,"[216976,76784,67180.3]","[1.54059,2.21611,1.32595]","[2.14784,2.61612,2.68889]","[530419,356509,135564]","[0.996063,0.946301,0.972662]","[0,0,0]","[0,0,0]","[-0.902198,-0.916423,-0.866805]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[347224]","[1.63689]","[2.31746]","[935870]","[135549]","[0]","[1.495]","[0.500806]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4961.89]",6248.12,"[4492.42,2688.23,3040.07]","[]","[7916.31]","[]"
140,284500,5452,364165,-1,38.2998,4.32528e+06,1.1961,1,0.996615,1,1,0.997442,0.926666,1,0,1,0,1,"[1]","[1]","[312933]","[-0.26827]","[-0.801278]","[324262]","[0.0427895]","[1]","[13]","[1]","[0]","[377.677]","[0.00851339]","[2.00088]",69933.5,0.652608,3,"[223139,141383,35974.7]","[0.750071,0.521581,0.168359]","[2.14319,2.89141,-1.8848]","[289646,162226,37161.8]","[0.997184,0.998583,0.733055]","[0,0,0]","[0,0,0]","[-0.8876,-0.933964,-0.938639]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[344974]","[0.68935]","[2.43134]","[456797]","[153490]","[0]","[0.824318]","[0.760307]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[38232.7]",69933.5,"[1982.04,1461.17,1327.38]","[]","[6785.69]","[]"
182,284500,8516,364165,1,38.2998,4.32528e+06,0.75088,1,0.993882,1,1,0.997828,0.759899,1,0,1,0,1,"[1]","[1]","[325394]","[-0.300823]","[-3.12007]","[340228]","[-0.0254856]","[-1]","[13]","[1]","[0]","[-659.995]","[-0.00270321]","[0.641183]",38988.8,-2.85253,2,"[374500,21981]","[-0.454484,1.26493]","[0.0596998,2.79763]","[414752,42188.5]","[0.989455,0.982216]","[0,0]","[0,0]","[-0.847787,-0.872313]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[375907]","[-0.453169]","[0.0593573]","[416169]","[28815.2]","[0]","[2.74944]","[0.69789]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[22809.1]",3358.01,"[5112.89,1628.02]","[]","[18450.1]","[]"
237,284500,11428,364165,1,38.2998,4.32528e+06,0,1,0.998525,1,1,0.998052,0.996242,1,0,1,0,1,"[1]","[1]","[130647]","[-2.14841]","[-0.463174]","[567525]","[-0.0105407]","[1]","[13]","[1]","[0]","[971.511]","[0.0117262]","[1.92647]",69258.9,-1.06445,3,"[282148,67088.4,49840.4]","[-1.62636,-1.36851,1.78872]","[2.608,-0.766634,0.0698779]","[746954,140644,153550]","[0.994629,0.99117,0.994846]","[0,0,0]","[0,0,0]","[-0.920553,-0.822029,-0.900452]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295961]","[-1.61221]","[2.61592]","[773159]","[51066.8]","[0]","[1.37733]","[0.786847]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2724.49]",8834.84,"[7544.81,1687.31,2923.03]","[]","[10365.2]","[]"
308,284500,8977,364165,-1,38.2998,4.32528e+06,0.696077,1,0.987741,1,1,0.997804,0.947147,1,0,1,0,1,"[1]","[1]","[255661]","[-1.63205]","[2.10837]","[678766]","[-0.0318918]","[1]","[13]","[1]","[0]","[-425.117]","[-0.00342181]","[0.631113]",35436.3,-1.32106,2,"[270270,23544.7]","[-0.0407718,1.71324]","[-1.01035,0.670452]","[271958,67618.9]","[0.998639,0.982374]","[0,0]","[0,0]","[-0.632986,-0.488512]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275964]","[-0.04882]","[-1.023]","[276652]","[14072.8]","[0]","[2.58909]","[0.672643]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[28441.8]",4297.86,"[3922.03,1759.89]","[]","[11749.5]","[]"
339,284500,17484,364165,1.05693,38.2998,4.32528e+06,0.934886,1,0.995731,1,1,0.999688,0.745543,1,0,1,0,1,"[1]","[1]","[255603]","[0.85391]","[0.485149]","[354592]","[-0.0205784]","[-1]","[13]","[1]","[0]","[-404.938]","[-0.00544883]","[1.1649]",33038.9,-1.49653,1,"[281968]","[0.82815]","[-2.74152]","[385888]","[0.984414]","[0]","[0]","[-0.794706]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262923]","[0.828781]","[-2.74667]","[360978]","[42140.1]","[0]","[1.87264]","[0.815916]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11874.1]",1282.84,"[16256.5]","[]","[3856.31]","[]"
617,284500,7295,364165,1,38.2998,4.32528e+06,1.32095,1,0.997069,1,1,0.998483,0.751312,1,0,1,0,1,"[1]","[1]","[302520]","[0.726443]","[2.53226]","[385916]","[0.0148392]","[1]","[13]","[1]","[0]","[553.785]","[-0.0286128]","[4.28536]",125568,2.93043,2,"[233025,187764]","[-0.0865773,-0.720409]","[-0.607869,-0.349164]","[234467,238971]","[0.990313,0.979267]","[0,0]","[0,0]","[-0.861452,-0.916267]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[422382]","[-0.434453]","[-0.489524]","[486064]","[148339]","[0]","[0.592029]","[0.814677]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3943.05]",8103.24,"[5293.23,4596.86]","[]","[42394.9]","[]"
727,284500,6152,364165,1,38.2998,4.32528e+06,1.32095,1,0.998053,1,1,0.998257,1.00185,1,0,1,0,1,"[1]","[1]","[59638]","[1.26534]","[1.51581]","[114101]","[-0.0213256]","[1]","[13]","[1]","[0]","[-236.462]","[0.00286129]","[0.435427]",78750.7,2.41957,3,"[252680,58863.5,57044.7]","[-1.52801,-0.295643,1.8234]","[-1.22624,0.513405,-2.16799]","[609800,61826.8,181580]","[0.971815,0.98789,0.9805]","[0,0,0]","[0,0,0]","[0.620126,-0.902088,-0.491132]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273448]","[-1.52887]","[-1.22566]","[660463]","[12511.9]","[0]","[2.02632]","[0.488773]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[479.935]",2797.12,"[9155.19,2134.48,12015.6]","[]","[11204.9]","[]"
1030,284500,18163,364165,1,38.2998,4.32528e+06,0.923924,1,0.994261,1,1,0.999387,0.888263,1,0,1,0,1,"[1]","[1]","[27866]","[-0.257219]","[-1.73492]","[28793.1]","[-0.00711823]","[1]","[13]","[1]","[0]","[2333.3]","[-0.0108863]","[1.41286]",325422,-1.48504,1,"[272375]","[-1.50804]","[1.61289]","[645634]","[0.995557]","[0]","[0]","[-0.617919]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281805]","[-1.50721]","[1.61288]","[667450]","[15724.5]","[0]","[3.48998]","[0.720407]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[197.202]",14800.9,"[13348.3]","[]","[5883.16]","[]"
1090,284500,4519,364165,1,38.2998,4.32528e+06,1.21412,1,0.995066,1,1,0.999001,1.03039,1,0,1,0,1,"[1]","[1]","[235230]","[-0.569986]","[0.334656]","[274487]","[-0.0165157]","[-1]","[13]","[1]","[0]","[-501.978]","[0.00267033]","[0.583556]",72374,0.691822,2,"[226283,45869]","[-0.767661,0.10902]","[-2.7472,-1.27371]","[296499,46683.8]","[0.99,0.995977]","[0,0]","[0,0]","[-0.919014,-0.869397]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280124]","[-0.697431]","[-2.90967]","[359425]","[77100.8]","[0]","[0.4897]","[0.465583]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5597.92]",2936.94,"[4267.14,4406.57]","[]","[9096.62]","[]"
