event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,2067914,361100,11467.2,11500.5,4.2822e+11,1.74563,0.99242,1,1,1,0.99934,0.99765,1,1,0,0,1,"[1]","[1]","[240932]","[0.605995]","[-0.818313]","[286542]","[0.0160255]","[1]","[11]","[1]","[0]","[-26.9869]","[0.00314258]","[0.531994]",16224,-1.40694,1,"[225287]","[0.52833]","[2.31637]","[258204]","[0.999962]","[0]","[0]","[-0.681986]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250244]","[0.637666]","[-0.824797]","[302879]","[2528.13]","[0]","[8.89681]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2672.41]",9177.9,"[6004.58]","[]","[12037.5]","[]"
2,284500,2065113,361100,11445.4,11500.5,4.2822e+11,0,0.97663,1,1,1,0.99776,1.00121,1,1,0,0,1,"[1]","[1]","[80482.2]","[-1.88118]","[-1.43367]","[270166]","[-0.0601349]","[1]","[11]","[1]","[0]","[86.5134]","[-0.0609137]","[1.15979]",245373,-1.20417,3,"[364996,234223,21247]","[-1.57604,0.873253,-1.09715]","[1.21815,3.06855,-1.16609]","[920652,330375,35680.8]","[1,1,0.982509]","[0,0,0]","[0,0,0]","[-0.809248,-0.899474,-0.884815]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[386706]","[-1.5725]","[1.21663]","[972071]","[21583.9]","[0]","[2.4332]","[0.603764]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[402.526]",16104.3,"[7438.78,2892.83,1650.47]","[]","[16003.1]","[]"
5,284500,2663122,361100,-11463.2,11500.5,4.2822e+11,1.08735,0.97994,1,1,1,0.995025,1,1,1,0,0,1,"[1]","[1]","[199336]","[0.254594]","[-3.12838]","[205831]","[-0.0202729]","[1]","[11]","[0]","[0]","[71.0325]","[-0.053072]","[3.24288]",68075.7,-2.11854,3,"[345002,91408.6,23322.1]","[-0.407407,0.912769,1.19486]","[0.421316,-2.4304,-1.86596]","[374319,132984,42313.7]","[0.998883,0.989658,0.999738]","[4,0,4]","[0,0,0]","[-0.438512,-0.831958,-0.660093]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[364956,264395]","[-0.407653,0.450429]","[0.417326,-2.97472]","[395943,313160]","[13792.9,114002]","[0,0]","[2.09914,0.40434]","[0.13823,0.739232]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1338.56]",14318.8,"[11301.4,5588.9,1595.56]","[]","[1284.16,0]","[]"
12,284500,2058780,361100,11464,11500.5,4.2822e+11,0.934886,0.96203,1,1,1,0.999422,1.01508,1,1,0,0,1,"[1]","[1]","[270905]","[-1.66117]","[0.461404]","[738946]","[-0.0127902]","[1]","[11]","[1]","[0]","[55.8032]","[0.0126795]","[0.702601]",50017.3,1.56607,1,"[294757]","[-0.0978395]","[-2.50142]","[296362]","[0.940101]","[0]","[0]","[-0.826357]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[316945,291619]","[-0.0780584,-1.6683]","[-2.43324,0.455609]","[326312,800744]","[73567.3,-0.0110485]","[0,0]","[0.998741,0]","[0.587361,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7443.39]",6218.88,"[7403.66]","[]","[3993.16,27483.8]","[]"
17,284500,2117827,361100,11460.9,11500.5,4.2822e+11,0.934886,0.920528,1,1,1,1.02503,1.00136,1,1,0,0,2,"[1,0]","[1,0]","[54976,9050.89]","[1.59978,2.38223]","[1.59303,-1.46965]","[141670,49424.1]","[0.0864935,4.56846]","[1,1]","[11,11]","[1,1]","[0,0]","[2668.09,2069.97]","[-0.0266907,-0.0952711]","[1.41638,0.999381]",233300,2.7907,4,"[279968,121693,55051.9,21460.4]","[1.40025,0.197153,1.33314,-2.14029]","[-0.616327,-2.80441,0.227701,1.00002]","[602652,124643,111841,92562]","[1,0.490736,0.99002,0.981886]","[0,0,5,0]","[0,0,0,0]","[-0.910206,-0.927033,0.999966,-0.748364]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[322703]","[1.41887]","[-0.526395]","[713699]","[105750]","[0]","[1.73988]","[0.533733]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[318.289,80.1621]",442.891,"[4345.35,1973.98,6142.99,2176.19]","[]","[7615.69]","[]"
22,284500,2108266,361100,11456.5,11500.5,4.2822e+11,0.596562,0.98697,1,1,1,0.999044,1,1,1,0,0,1,"[1]","[1]","[237803]","[-0.490694]","[-1.12031]","[267011]","[-0.00265694]","[1]","[11]","[0]","[0]","[-909.483]","[-0.0418632]","[0.71665]",77144.1,-0.653809,3,"[200525,54840.5,54683.6]","[0.888727,1.37736,0.546738]","[2.00463,2.16966,2.57668]","[287602,115728,64034.5]","[0.998792,0.983112,0.99]","[0,0,0]","[0,0,0]","[-0.268254,-0.889835,-0.902731]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[288842]","[0.938406]","[2.14279]","[441390]","[116887]","[0]","[1.47163]","[0.60989]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1277.52]",770.961,"[3040.75,2693.6,2089.08]","[]","[1030.94]","[]"
28,284500,2111847,361100,11458.1,11500.5,4.2822e+11,0.596562,0.97949,1,1,1,0.999347,0.99672,1,1,0,0,1,"[1]","[1]","[63940.1]","[0.994264]","[-0.670188]","[98235.4]","[-0.0427589]","[1]","[11]","[1]","[0]","[479.026]","[-0.0272453]","[1.60282]",205535,-1.38054,1,"[257325]","[1.18678]","[1.90405]","[462360]","[0.999238]","[0]","[0]","[-0.649639]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254268]","[1.19097]","[1.89855]","[458437]","[36935.1]","[0]","[1.53745]","[0.666692]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[383.268]",1458.33,"[3735.91]","[]","[0]","[]"
32,284500,2119356,361100,11455.5,11500.5,4.2822e+11,0.934886,0.98458,1,1,1,0.996722,1.00582,1,1,0,0,1,"[1]","[1]","[82162.2]","[-0.509161]","[2.74381]","[93044.4]","[-0.0246124]","[1]","[11]","[1]","[0]","[-750.617]","[0.0202258]","[2.73455]",138102,2.74251,3,"[347642,193665,23265.5]","[-0.593549,1.16565,1.63962]","[0.3057,-2.24322,-2.34923]","[411637,341598,62366]","[0.995161,0.991535,1]","[0,0,0]","[0,0,0]","[-0.51782,-0.736874,-0.899761]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[349808]","[-0.625312]","[0.300554]","[421063]","[22612.5]","[0]","[0.880546]","[0.350952]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[664.629]",9736.72,"[14577.5,5651.57,1816.28]","[]","[15073.6]","[]"
40,284500,2139074,361100,-11456.4,11500.5,4.2822e+11,0,0.96323,1,1,1,0.999206,1.00493,1,1,0,0,1,"[1]","[1]","[261538]","[-1.23889]","[-1.49466]","[489272]","[0.107085]","[1]","[11]","[1]","[0]","[4298.95]","[-0.00336699]","[0.453485]",37062.3,-2.3683,1,"[259278]","[1.2555]","[1.55823]","[492305]","[0.982219]","[0]","[0]","[-0.919187]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[286097,266380]","[-1.24647,1.25805]","[-1.50413,1.56728]","[538659,506796]","[842.776,17607.8]","[1,0]","[0,2.40944]","[-1,0.545489]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3164.71]",16077.1,"[3862.05]","[]","[4241.03,198.938]","[]"
47,284500,2142847,361100,11443.2,11500.5,4.2822e+11,0.00279311,0.96679,1,1,1,0.998718,0.96793,1,1,0,0,1,"[1]","[1]","[44787.1]","[-1.12296]","[-2.48544]","[76121.7]","[0.0463486]","[1]","[11]","[1]","[0]","[-273.118]","[0.00165961]","[0.139328]",281979,-2.21668,3,"[325691,84843.5,30711]","[-1.36739,0.485209,0.288279]","[0.627942,2.77907,2.01165]","[680842,95407.7,32381.9]","[0.996692,0.999058,0.999506]","[0,0,0]","[0,0,0]","[0.579721,-0.876871,-0.619556]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[325053]","[-1.36582]","[0.628028]","[678526]","[12942.4]","[0]","[3.81328]","[0.424511]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[254.013]",11468.8,"[10907.4,2639.34,3856.17]","[]","[1406.38]","[]"
