event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,4258813,361101,11456.6,11500.5,4.51257e+11,1.55465,1,0.997754,1,1,0.997386,1.00547,1,0,1,0,1,"[1]","[1]","[98253.9]","[-1.25866]","[1.09849]","[186916]","[0.0268192]","[1]","[13]","[1]","[0]","[-314.618]","[-0.0241253]","[4.63965]",202139,1.34733,3,"[263075,26407.3,20834.7]","[-0.753535,-1.55209,0.852695]","[-1.92877,-2.51154,-0.667381]","[341830,65293.3,29085.3]","[0.98242,0.92384,0.639646]","[0,0,0]","[0,0,0]","[-0.868899,-0.692658,-0.503406]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274358]","[-0.809754]","[-1.95479]","[377816]","[79625]","[0]","[2.63985]","[0.512537]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2484.32]",4444.42,"[4785.17,1825.63,1362.69]","[]","[23263.5]","[]"
14,284500,3272790,361101,11457.4,11500.5,4.51257e+11,1.55465,1,0.998352,1,1,0.99939,0.998083,1,0,1,0,1,"[1]","[1]","[237213]","[1.50233]","[1.36215]","[559202]","[-0.0436211]","[1]","[13]","[1]","[0]","[-103.175]","[-0.0253408]","[4.78837]",88193.8,0.906754,1,"[314145]","[0.441873]","[-1.88741]","[345843]","[1]","[0]","[0]","[-0.885363]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290492]","[0.446207]","[-1.88305]","[319907]","[2870.1]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[22641.9]",1408.62,"[3611.66]","[]","[6113.81]","[]"
18,284500,2862484,361101,11460.7,11500.5,4.51257e+11,0.934886,1,1.00065,1,1,0.998709,0.969816,1,0,1,0,1,"[1]","[1]","[75551.1]","[-0.765015]","[0.717137]","[98758.7]","[-0.0476303]","[1]","[13]","[1]","[0]","[-512.495]","[-0.0170685]","[2.13237]",115458,1.35601,3,"[185521,143002,87900.4]","[-0.137027,2.17321,0.455364]","[-2.43265,0.0687846,-2.52379]","[188300,636597,97481.8]","[1,1,0.994724]","[0,0,0]","[0,0,0]","[-0.905092,-0.74136,-0.804875]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256251]","[0.0426743]","[-2.46681]","[267054]","[74387.8]","[0]","[0.747882]","[0.581481]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1168.38]",6915.1,"[2429.16,10564.7,4282.28]","[]","[4581.59]","[]"
29,284500,3130940,361101,11458.8,11500.5,4.51257e+11,1.55465,1,0.996912,1,1,0.984206,0.990887,1,0,1,0,1,"[1]","[1]","[380949]","[2.11552]","[-0.0377327]","[1.60275e+06]","[0.0162811]","[1]","[13]","[1]","[1276.91]","[100.09]","[-0.0122067]","[2.3743]",57210.5,0.593754,4,"[334166,58787.5,33055.7,21021]","[-0.830615,-0.412702,1.17773,0.742137]","[3.10959,-2.75074,2.85006,2.97693]","[456680,64279.3,59042,27224.4]","[0.994706,0.996025,0.99002,0.990808]","[0,4,0,0]","[0,0,0,0]","[-0.811222,0.13213,-0.906797,-0.870597]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[393236]","[-0.759989]","[-3.11654]","[519705]","[86997.5]","[0]","[1.70348]","[0.726194]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[157129]",6630.23,"[3879.63,2360.85,6592.04,1188.49]","[]","[9293.47]","[]"
32,284500,3956272,361101,11462.6,11500.5,4.51257e+11,0.402058,1,0.990654,1,1,0.998856,0.967942,1,0,1,0,1,"[1]","[1]","[155014]","[-0.878928]","[-2.88162]","[218845]","[0.0428619]","[1]","[13]","[1]","[0]","[-177.66]","[-0.00608872]","[1.04753]",259915,3.07229,1,"[395405]","[0.809622]","[-0.0524297]","[532692]","[1]","[0]","[0]","[-0.92186]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[403280]","[0.781849]","[-0.0537735]","[533619]","[26750.3]","[0]","[2.4112]","[0.703799]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7052.51]",8799.09,"[11466.4]","[]","[13551.7]","[]"
34,284500,3091798,361101,11457.1,11500.5,4.51257e+11,0.596562,1,0.976037,1,1,0.999101,0.832026,1,0,1,0,1,"[1]","[1]","[276738]","[0.938996]","[-0.447314]","[407971]","[-0.017765]","[1]","[13]","[1]","[0]","[-517.706]","[-0.00665716]","[1.7507]",105589,0.0551748,2,"[333402,40856.2]","[0.133713,-0.282524]","[2.81117,-2.96505]","[337280,43251.8]","[0.970274,0.996089]","[0,0]","[0,0]","[-0.80281,-0.87176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[332850]","[0.104071]","[2.83327]","[344563]","[82035.6]","[0]","[2.90384]","[0.617394]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13709.8]",13477.9,"[11281.5,4052.51]","[]","[14211.1]","[]"
38,284500,4250224,361101,11449.9,11500.5,4.51257e+11,0.351687,1,0.999835,1,1,0.996619,1.00522,1,0,1,0,1,"[1]","[1]","[52505.3]","[1.22192]","[0.194121]","[96829.2]","[-0.0825691]","[1]","[13]","[1]","[0]","[1794.43]","[-0.00903091]","[0.989227]",309657,0.119779,3,"[364134,37372.2,21276]","[1.17951,1.38649,-2.45833]","[3.13317,-1.01672,-2.46588]","[648566,79660,125326]","[0.937672,0.994945,0.256268]","[0,0,0]","[0,0,0]","[-0.826939,-0.946912,-0.825889]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[366555]","[1.16665]","[3.12532]","[645723]","[11568.6]","[0]","[5.42876]","[0.399534]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[591.744]",8087.94,"[6536.3,2448.17,1696.83]","[]","[342.062]","[]"
39,284500,3371322,361101,11459.8,11500.5,4.51257e+11,0.402058,1,0.996844,1,1,0.998632,0.764547,1,0,1,0,1,"[1]","[1]","[27794.7]","[0.154102]","[-0.742631]","[28125.6]","[-0.0592995]","[1]","[13]","[1]","[0]","[519.991]","[-0.0322867]","[4.05002]",291780,-0.749636,5,"[281270,125895,52618.5,42802.9,36114.8]","[-0.474902,1.06775,0.110453,-0.844721,0.743736]","[2.66485,0.317405,2.19933,2.88888,-2.86196]","[314470,205258,53543,59103.1,47225.7]","[0.995363,0.987941,0.995078,0.93909,0.962175]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.910417,-0.886747,-0.760361,-0.595312,-0.917473]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[365604]","[-0.410088]","[2.67474]","[419117]","[134999]","[0]","[2.17435]","[0.619657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[146.832]",142.156,"[4288.64,2474.29,3307.18,3678.5,4603.63]","[]","[3586.38]","[]"
43,284500,4237219,361101,11456.1,11500.5,4.51257e+11,0.596562,1,1.00106,1,1,0.997836,0.90002,1,0,1,0,1,"[1]","[1]","[175340]","[1.11146]","[-1.41633]","[295260]","[-0.0622215]","[1]","[13]","[1]","[0]","[90.1706]","[-0.0224007]","[3.79623]",83180.7,-2.12281,2,"[265842,25778.3]","[0.689868,-1.93216]","[1.59914,-0.538573]","[332526,90978.1]","[0.9939,0.911866]","[0,0]","[0,0]","[-0.768459,-0.285147]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271004]","[0.66571]","[1.59908]","[334548]","[28817.6]","[0]","[1.62033]","[0.732527]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4577.91]",6977.48,"[7589.61,1989.23]","[]","[2229.19]","[]"
45,284500,4195722,361101,11462.8,11500.5,4.51257e+11,0.00279311,1,0.993432,1,1,0.997224,0.935601,1,0,1,0,1,"[1]","[1]","[473621]","[0.227318]","[-0.119063]","[485911]","[0.0173473]","[1]","[13]","[1]","[0]","[-166.304]","[-0.00896662]","[1.5052]",276390,-0.349816,2,"[646180,123902]","[-0.494343,0.0575969]","[2.82392,-2.65091]","[728790,124323]","[1,0.991409]","[0,0]","[0,0]","[-0.713159,-0.704346]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[758259]","[-0.443154]","[2.94192]","[879948]","[280803]","[0]","[1.34191]","[0.762183]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[62249.8]",17844.2,"[16505.5,5599.21]","[]","[43264.8]","[]"
