event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,4452783,361102,11451.2,11500.5,3.38179e+11,0.934886,1,0.988718,1,1,0.998729,0.997022,1,0,1,0,1,"[0]","[1]","[25714.5]","[1.61592]","[1.29684]","[67259]","[-0.240017]","[1]","[13]","[1]","[0]","[-62.5362]","[0.0162804]","[1.32713]",235741,1.37437,2,"[296866,160392]","[0.103281,-0.475028]","[-0.886637,-2.69986]","[301157,179296]","[0.996817,1]","[0,0]","[0,0]","[-0.944403,-0.696834]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295126]","[0.080644]","[-0.885605]","[299601]","[45755.6]","[0]","[1.38992]","[0.598899]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[118.37]",5909.16,"[3499.81,12129]","[]","[22221.9]","[]"
1,284500,4623653,361102,11461.1,11500.5,3.38179e+11,0.0132185,0.97996,1,1,1,0.986641,1.01265,1,1,0,0,1,"[0]","[1]","[162613]","[1.7516]","[2.31892]","[482743]","[0.0520401]","[1]","[11]","[1]","[0]","[292.755]","[-0.0531117]","[1.09287]",47604.8,1.85294,4,"[296506,128203,80349.3,27950.7]","[0.592278,0.0409171,0.800449,-0.841928]","[-1.62008,0.535984,1.62989,-0.360387]","[350422,128614,108029,38983.8]","[0.985935,0.990638,0.999538,0.962478]","[4,0,0,0]","[0,0,0,0]","[0.403095,-0.930507,-0.911073,-0.869844]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276821]","[0.642655]","[-1.62121]","[336170]","[11290.7]","[0]","[1.76155]","[0.259669]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3107.06]",6484.45,"[5205.94,2063.55,2660.82,2597.1]","[]","[7546.34]","[]"
2,284500,4566761,361102,11454,11500.5,3.38179e+11,0.619412,1,0.995207,1,1,0.984079,1.03042,1,0,1,0,1,"[0]","[1]","[127902]","[-0.632728]","[0.929306]","[154371]","[-0.00325775]","[1]","[13]","[1]","[0]","[-1070.93]","[-0.0263506]","[5.6876]",250156,0.725566,3,"[469633,77051,29927.9]","[-0.404573,0.767469,-1.15208]","[-2.2686,0.744453,2.18047]","[511224,101638,52392.1]","[0.980888,0.97049,0.985756]","[4,0,0]","[0,0,0]","[0.514008,0.810509,-0.92756]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[471911]","[-0.351524]","[-2.26358]","[504752]","[58338.6]","[0]","[1.06637]","[0.656729]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3231.54]",2807.44,"[5585.69,2209.98,3524.19]","[]","[28150.3]","[]"
3,284500,4647614,361102,11449.9,11500.5,3.38179e+11,0.934886,1,0.998476,1,1,0.99884,0.669586,1,0,1,0,1,"[0]","[1]","[249883]","[0.718336]","[0.972769]","[317174]","[-0.0432396]","[1]","[13]","[1]","[1241.59]","[-153.007]","[0.00961885]","[1.92703]",173682,0.739088,1,"[406418]","[-0.424333]","[-2.26088]","[443924]","[0.992559]","[0]","[0]","[-0.787939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[411852]","[-0.42231]","[-2.26131]","[449337]","[13723.1]","[0]","[0.747582]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[14974.4]",10227.6,"[11232.3]","[]","[5093.5]","[]"
4,284500,4444242,361102,11459.6,11500.5,3.38179e+11,1.55465,1,0.997069,1,1,0.999377,1.00315,1,0,1,0,1,"[0]","[1]","[57288.8]","[0.822867]","[2.24512]","[77803.6]","[-0.0271645]","[1]","[13]","[1]","[0]","[-784.762]","[0.0138536]","[2.0101]",128269,2.55908,1,"[236605]","[0.836055]","[-1.10969]","[324456]","[0.988187]","[0]","[0]","[-0.832284]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257061]","[0.847716]","[-1.153]","[356459]","[31191.9]","[0]","[2.95928]","[0.705396]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[244.569]",8974.34,"[11140.9]","[]","[6291.12]","[]"
5,284500,4694673,361102,11460.3,11500.5,3.38179e+11,0.402058,1,0.999004,1,1,0.982068,0.884101,1,0,1,0,1,"[0]","[1]","[73854.2]","[0.980152]","[-0.729821]","[112263]","[0.00315857]","[1]","[13]","[1]","[0]","[66.0006]","[-0.00996939]","[1.57463]",167327,-0.732195,3,"[321604,111140,20815.6]","[-0.253061,-2.16242,0.0591761]","[2.26185,-1.30594,1.58769]","[333105,489661,20944.5]","[0.999209,0.985897,0.864003]","[0,4,0]","[0,0,0]","[-0.913879,-0.542103,-0.203517]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292853]","[-0.285288]","[2.26354]","[305707]","[22856.2]","[0]","[1.64832]","[0.430555]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1684.11]",13048.5,"[6842.5,7995.94,1209.81]","[]","[22440.1]","[]"
6,284500,4845644,361102,11457.3,11500.5,3.38179e+11,1.55465,1,0.995624,1,1,0.99769,0.954494,1,0,1,0,1,"[0]","[1]","[94180]","[0.693237]","[2.63987]","[117731]","[0.0450249]","[1]","[13]","[1]","[0]","[-1168.22]","[-0.0706495]","[13.0913]",215564,2.39623,4,"[227912,58039.9,33058.8,21155.9]","[0.348052,0.735778,1.79853,0.142014]","[-0.403183,-0.93679,-0.929683,0.128623]","[243174,75143.7,102899,22012.6]","[1,0.746224,0.999924,0.997783]","[0,0,0,0]","[0,0,0,0]","[-0.858049,-0.87104,-0.723038,-0.878296]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283489]","[0.448]","[-0.501531]","[316916]","[53212.5]","[0]","[1.37785]","[0.715306]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[789.803]",5532.05,"[4626.86,2405.82,2647.99,1635.02]","[]","[959.875]","[]"
7,284500,4727578,361102,11458.7,11500.5,3.38179e+11,0.934886,1,0.996703,1,1,0.997695,0.943895,1,0,1,0,1,"[0]","[1]","[60253.5]","[0.4404]","[-0.0695016]","[66191.8]","[0.109763]","[1]","[13]","[1]","[0]","[-560.452]","[-0.42858]","[43.7313]",328520,-0.239875,3,"[470740,61291,23468.3]","[-0.133862,2.25877,-1.16859]","[3.00722,0.178378,0.254722]","[476092,296695,41677.6]","[0.998316,0.943069,0.974633]","[0,0,0]","[0,0,0]","[0.820695,-0.880808,-8.05404e-05]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[477370]","[-0.145577]","[3.00705]","[482774]","[18020.8]","[0]","[3.33447]","[0.126028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[706.307]",15553.7,"[13816.2,2780.39,2653.77]","[]","[13289]","[]"
8,284500,4841372,361102,11452.8,11500.5,3.38179e+11,0.596562,0.97826,1,1,1,0.996651,1.00493,1,1,0,0,1,"[0]","[1]","[80141]","[-1.28115]","[-1.75294]","[155414]","[-0.0255089]","[1]","[11]","[1]","[1492.81]","[20.6476]","[0.0144123]","[1.3988]",417657,-2.01928,2,"[454543,29921.8]","[-1.7739,-1.25721]","[1.14392,1.52338]","[1.3784e+06,57104.9]","[0.99652,0.993814]","[0,0]","[0,0]","[-0.938788,-0.450409]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[435220]","[-1.77851]","[1.14283]","[1.3256e+06]","[31857.7]","[0]","[2.37143]","[0.598509]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[912.51]",31228.1,"[30554,2445.65]","[]","[3749.88]","[]"
9,284500,4739609,361102,11458.6,11500.5,3.38179e+11,0.934886,1,0.995121,1,1,0.999391,0.992957,1,0,1,0,1,"[0]","[1]","[130675]","[0.542577]","[-0.761499]","[150387]","[0.114468]","[1]","[13]","[1]","[0]","[-304.996]","[-0.121817]","[22.296]",185165,-0.497019,1,"[306386]","[-0.385656]","[2.52887]","[330566]","[0.995945]","[0]","[0]","[-0.88606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290118]","[-0.386865]","[2.52229]","[312854]","[21697.6]","[0]","[1.62732]","[0.63288]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5656.75]",6906.34,"[7668.04]","[]","[18679.3]","[]"
