event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
44,284500,4106828,363360,0.219236,24.724,1.01111e+06,0.923924,1,0.995107,1,1,1.56382,0.341276,1,0,1,0,1,"[1]","[1]","[51271.1]","[0.696905]","[-0.26057]","[64233.9]","[-0.0109253]","[1]","[13]","[1]","[0]","[-459.314]","[0.00802471]","[1.21456]",286407,-0.976176,2,"[264132,63752.8]","[1.1908,1.57192]","[2.34023,1.89722]","[477386,160261]","[0.99703,0.977885]","[0,4]","[0,1]","[-0.892452,0.933972]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302987]","[1.30068]","[2.25744]","[603636]","[85760.3]","[1]","[1.42577]","[0.617295]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[179.247]",3001.56,"[6661.85,3016.97]","[]","[6168.88]","[]"
88,284500,3602936,363360,0.265068,24.724,1.01111e+06,1.74563,1,0.999929,1,1,0.995923,0.924318,1,0,1,0,1,"[1]","[1]","[25666]","[0.818427]","[-2.45683]","[34752.7]","[0.0100784]","[1]","[13]","[1]","[0]","[-242.438]","[-0.0111749]","[1.08788]",54057.2,0.932364,6,"[295293,249596,66213.9,44776.5,34281.6,20797.9]","[-0.296898,-0.848725,-2.41548,-0.763201,-1.56365,-0.628923]","[2.10139,-1.23794,-1.23474,0.755905,-1.87863,0.0840011]","[312303,345337,373806,59027,85585.2,25399.2]","[0.995469,1,0.997294,0.992623,0.995322,0.982997]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.649552,-0.609587,-0.439697,-0.892709,-0.846139,-0.870432]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[275606,263909]","[-0.347665,-0.985789]","[2.0954,-1.29522]","[298103,407156]","[57874.7,58952.9]","[0,1]","[1.3727,2.22908]","[0.784182,0.590596]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[74.2182]",9093.6,"[5206.34,17528.5,3275.03,4283.62,2019.13,1174.76]","[]","[12697.8,0]","[]"
119,284500,7040290,363360,0.219236,24.724,1.01111e+06,0.75088,1,0.990812,1,1,0.995229,0.884101,1,0,1,0,1,"[1]","[1]","[42719.1]","[0.922462]","[-1.04706]","[62220.8]","[0.0359039]","[1]","[13]","[1]","[0]","[305.611]","[-0.00913247]","[1.07749]",85334.3,2.63503,7,"[371905,365524,71521.2,68193.6,60824,30773.4,26746.3]","[-1.17103,-0.135376,-1.25715,0.0215113,-0.832273,-0.72555,-1.39433]","[-0.60126,2.40914,-1.06733,-2.91993,0.73248,-0.82763,1.87778]","[664242,371185,136189,68868.6,84213.6,39576.3,57595.4]","[1,0.997954,0.999753,0.982075,0.997161,0.991334,0.980605]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.731462,-0.910395,-0.891773,-0.711733,-0.891006,-0.766591,-0.611936]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[466476,409099]","[-1.18029,-0.136739]","[-0.670589,2.5445]","[842578,439287]","[139749,149874]","[0,1]","[1.31226,1.46192]","[0.723306,0.796291]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[201.655]",13651.6,"[6605.27,5463.54,2239.58,2139.14,2818.62,2144.06,4846.94]","[]","[8509.5,26250.6]","[]"
127,284500,3504943,363360,0.505083,24.724,1.01111e+06,1.25133,1,0.996817,1,1,1.24908,0.946712,1,0,1,0,1,"[0]","[1]","[220764]","[1.07355]","[-1.17374]","[360678]","[0.0360489]","[1]","[13]","[1]","[0]","[-447.754]","[-0.000591083]","[0.110172]",233599,-1.17561,3,"[262526,198583,23683.8]","[-0.189102,-0.742473,-0.468977]","[2.2479,1.51761,2.73158]","[268589,256175,26483.4]","[0.988504,0.997965,0.943201]","[0,0,4]","[0,0,1]","[-0.932766,-0.884274,0.870893]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[417734]","[-0.447991]","[1.95204]","[508369]","[215660]","[1]","[0.546196]","[0.380027]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2205.48]",10172.4,"[4858.34,7333.48,1159.7]","[]","[26297.2]","[]"
161,284500,703046,363360,0.247312,24.724,1.01111e+06,1.22586,0.98916,1,1,1,0.962849,0.99765,1,1,0,0,1,"[1]","[1]","[90045.1]","[0.792218]","[2.33556]","[119811]","[0.00889492]","[1]","[11]","[1]","[0]","[-214.623]","[-0.00170604]","[0.228113]",55926.4,3.06589,3,"[377886,311894,110513]","[0.770008,0.0607863,0.539279]","[-0.517721,2.48105,-0.871054]","[496574,313220,127258]","[0.993902,0.992206,0.995832]","[0,0,4]","[0,0,0]","[-0.829388,-0.8986,0.0151327]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[482606,392530]","[0.731264,0.256291]","[-0.6016,2.4447]","[624553,430480]","[93624.9,144530]","[0,1]","[0.903206,0.281801]","[0.577877,0.177867]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[288.442]",605.797,"[7613.62,5293.85,3213.99]","[]","[13136.2,34138]","[]"
165,284500,706271,363360,-0.219236,24.724,1.01111e+06,0.75088,1,0.985409,1,1,0.996568,0.972841,1,0,1,0,1,"[1]","[1]","[75529.8]","[-1.70635]","[-1.16735]","[214895]","[0.0303478]","[1]","[13]","[1]","[1168.38]","[-591.106]","[0.0205555]","[2.35374]",39850.8,-2.92486,4,"[334864,269780,34961.4,29425.2]","[-0.669069,-1.26041,-0.139565,-2.47939]","[1.36671,-1.9001,-0.755839,1.6125]","[413002,514869,36027.1,176901]","[1,0.970742,0.926096,0.97891]","[0,0,0,0]","[0,0,0,0]","[-0.743434,-0.538992,-0.809471,-0.351512]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[331494,301769]","[-0.659683,-1.24308]","[1.36569,-1.90428]","[406363,568518]","[8330.41,47417.2]","[0,1]","[1.12088,2.14425]","[-1,0.775614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[368.743]",331.344,"[6169.2,4635.48,2539.29,2477.36]","[]","[8379.28,3478.81]","[]"
203,284500,6270441,363360,0.219236,24.724,1.01111e+06,1.08735,1,0.999251,1,1,0.949974,0.829969,1,0,1,0,1,"[1]","[1]","[194142]","[0.988706]","[0.653936]","[297019]","[0.00508881]","[1]","[13]","[1]","[0]","[-10.2736]","[-0.0313383]","[6.85738]",166145,0.960885,8,"[406836,334733,151330,109094,88041,51233.4,39268.9,29970.8]","[0.543994,-0.20234,0.223346,1.452,-0.869845,2.16818,-0.367166,1.96662]","[-2.66085,-2.10205,0.767523,0.299253,1.08906,-1.55395,1.28216,0.533629]","[469909,342920,155754,245993,124457,226976,42467.4,109293]","[0.994217,0.992319,0.983801,0.998418,0.999056,1,0.973812,1]","[4,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.679927,-0.98374,0.609428,-0.846409,-0.059301,-0.830371,-0.857005,-0.728338]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[672975]","[0.279853]","[-2.40639]","[776967]","[338197]","[0]","[0.523484]","[0.520471]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8997.31]",10140.4,"[11487.7,7565.18,2794.76,4510.65,3751.07,2516.9,4447.06,2288.57]","[]","[7870.44]","[]"
223,284500,7035741,363360,0.226271,24.724,1.01111e+06,1.1961,0.98697,1,1,1,0.962619,1.00582,1,1,0,0,1,"[1]","[1]","[276531]","[-0.251302]","[-1.70655]","[285308]","[-0.0153427]","[1]","[11]","[1]","[5343.67]","[-553.416]","[-0.00818191]","[1.49917]",20768.9,-2.08006,4,"[200947,112837,68162.5,31801.4]","[-1.25432,0.599418,1.08448,-1.56775]","[0.785309,2.66298,1.49878,1.17286]","[381209,134415,112646,79711.6]","[0.999585,0.983599,0.98444,0.985408]","[0,4,0,0]","[0,1,0,0]","[-0.88427,-0.952393,-0.0514596,-0.578958]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290657]","[-0.330233]","[-1.71001]","[306650]","[-0.00497951]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1974.21]",6850.82,"[9244.08,2607.8,3274.41,2064.83]","[]","[5378.47]","[]"
224,284500,7035308,363360,0.677849,24.724,1.01111e+06,0.696077,0.98089,1,1,1,0.997709,0.99866,1,1,0,0,1,"[1]","[1]","[332421]","[-0.955176]","[-2.8599]","[495951]","[0.00468826]","[1]","[11]","[1]","[0]","[496.86]","[0.00287743]","[0.346823]",46939.1,2.75941,2,"[323693,27022.4]","[-0.471276,-2.43063]","[0.262908,2.37396]","[361150,154806]","[0.998851,0]","[0,0]","[0,0]","[-0.900072,-0.72485]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[356005,334021]","[-0.969743,-0.492193]","[-2.86631,0.26666]","[536935,375782]","[0,18960.8]","[1,1]","[0,1.73618]","[-1,0.538172]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5269.06]",8900.67,"[4132.19,4360.76]","[]","[32670.6,12273.9]","[]"
270,284500,7021172,363360,0.219236,24.724,1.01111e+06,1.26205,0.98458,1,1,1,0.996685,1.00582,1,1,0,0,1,"[1]","[1]","[122620]","[-0.431191]","[2.16684]","[134197]","[0.0201645]","[1]","[11]","[1]","[0]","[856.608]","[-0.0302162]","[1.91634]",126959,2.16483,4,"[259702,83566.8,61799.3,20552.3]","[1.16149,-0.0605339,0.292362,2.43243]","[-0.445388,-2.06427,-2.97558,-0.280084]","[456347,84397.9,64794.7,118015]","[1,0.997382,0.99,0]","[0,0,0,0]","[0,0,0,0]","[-0.915167,-0.79201,-0.890939,-0.755564]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271690]","[1.17721]","[-0.44883]","[483152]","[20443.8]","[0]","[2.01233]","[0.755851]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[768.473]",13141.4,"[6756.04,4701.36,2492.51,1185.64]","[]","[8848.81]","[]"
