event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
77,284500,4665443,363358,0.0987442,3.4328,217831,0.619412,0.967171,1,1,1,0.91982,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[186040,178077]","[0.180562,-0.369339]","[-1.43159,-1.41854]","[189081,190362]","[0.118511,-0.0906353]","[1,-1]","[11,11]","[1,1]","[0,2257.47]","[-448.28,-469.085]","[-0.00866515,-0.0153153]","[0.937366,1.33496]",39805.8,0.87999,3,"[511741,283045,40623.5]","[0.61748,0.977145,0.357779]","[1.27199,-2.66352,0.397442]","[619089,429618,44384.9]","[1,0.958664,0.987353]","[4,4,0]","[1,0,0]","[-0.942676,0.249054,-0.834759]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[507871,377164,319709]","[0.615157,-0.108288,0.972473]","[1.27031,-1.4209,-2.66702]","[613286,394971,483678]","[87349.9,109884,21919.8]","[1,1,0]","[0.977441,0.0432065,2.62087]","[0.709413,0.740137,0.556192]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[864.338,1389.31]",5855.57,"[6528.44,4497.26,2066.17]","[]","[15815.8,22141.5,12999.6]","[]"
78,284500,4666359,363358,0.0682081,3.4328,217831,0.934886,0.951659,1,1,1,0.998854,1.01012,1,1,0,0,2,"[0,0]","[1,1]","[80301.2,54243.7]","[1.89874,1.07812]","[1.22179,0.315691]","[274117,88942.9]","[0.0178108,-0.0759487]","[1,-1]","[11,11]","[1,1]","[0,0]","[-477.985,1731.6]","[-0.0037764,0.0152201]","[0.377029,0.718041]",75654.1,1.5022,2,"[281807,100089]","[0.479695,1.1976]","[-2.21703,0.862452]","[317384,181068]","[0.9983,0.993185]","[0,0]","[0,0]","[-0.129236,-0.831144]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279466]","[0.476412]","[-2.21463]","[314843]","[43775]","[0]","[1.16855]","[0.55944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1023.21,80.2345]",14029.7,"[6655.35,2335.17]","[]","[2901.59]","[]"
82,284500,4665895,363358,0.073602,3.4328,217831,0.738662,0.97411,1,1,1,0.994562,1.00582,1,1,0,0,2,"[0,0]","[1,0]","[551207,289289]","[-0.585474,-0.562399]","[-0.196314,0.0300871]","[648407,336258]","[0.0217867,-0.061801]","[1,-1]","[11,11]","[1,1]","[243993,458319]","[1580.49,741.497]","[0.00626637,0.0129436]","[0.908084,2.10301]",20441.6,-2.99674,7,"[295894,254198,182353,85808,48761.7,35720.7,27283.4]","[-1.99811,-2.43985,-1.98378,-2.48338,0.195022,-1.46392,0.0583529]","[3.03835,-2.91198,2.43068,2.77163,-2.26704,2.77816,0.55644]","[1.11171e+06,1.46937e+06,675841,517789,50052.9,81503.8,27585.3]","[0.997998,0.997169,0.987988,0.97298,0.996328,0.718715,0.990816]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.714197,-0.739071,-0.915373,-0.811688,-0.941641,-0.856377,-0.937461]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[845305]","[-0.589152]","[-0.117628]","[1.00071e+06]","[93823.8]","[1]","[0.0197576]","[0.0974559]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6026.9,1873.73]",4975.33,"[4953.95,7457.96,3278.54,3797.87,5224.52,2676.06,6028.33]","[]","[34488.3]","[]"
84,284500,4668705,363358,-0.0682081,3.4328,217831,1.26205,0.97828,1,1,1,0.995268,1.0005,1,1,0,0,1,"[0]","[1]","[216223]","[2.16183]","[1.20593]","[951609]","[0.0638847]","[1]","[11]","[1]","[0]","[585.43]","[-0.0438097]","[1.80576]",35376.5,-0.0784381,5,"[136882,90959.7,48625.1,39471.1,37637.4]","[1.58862,1.05096,1.30656,2.11083,1.43368]","[-2.17355,-1.98048,-1.57791,-0.859368,0.589225]","[349273,146691,96520.7,165346,83715.4]","[0.995919,0.999967,0.992278,0.992178,0.975671]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.914035,-0.941399,-0.90291,0.172081,-0.881099]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[278938]","[1.40245]","[-2.008]","[609156]","[97714.1]","[1]","[1.15029]","[0.405722]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3714.97]",993.605,"[2701.45,7044.85,3451.49,5094.26,3759.37]","[]","[20815.3]","[]"
147,284500,4630109,363358,0.0682081,3.4328,217831,0.696077,0.987799,1,1,1,0.947966,1.00632,1,1,0,0,2,"[0,0]","[1,0]","[338711,8891.71]","[0.221273,1.22454]","[1.44941,0.62876]","[347037,16434]","[-0.0296555,0.122889]","[-1,1]","[11,11]","[1,1]","[0,0]","[461.925,2071.82]","[0.00976012,-0.0853189]","[1.66294,0.79866]",64855.2,-1.67337,7,"[1.02879e+06,719231,226345,114413,95109.8,58343.4,54347.6]","[0.390931,0.550943,-0.175167,-1.11604,0.40281,2.15731,-2.25404]","[-1.82794,1.14179,2.89784,0.895529,0.319837,-1.80997,-1.73012]","[1.10919e+06,836476,231952,194023,103716,255757,261774]","[0.845397,0.994631,0.986859,0.991136,0.983073,0.96598,1]","[0,0,0,0,4,0,0]","[0,0,0,0,0,0,0]","[-0.517602,0.141647,-0.687855,-0.75882,-0.887839,-0.759037,-0.901599]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.09701e+06,1.05108e+06]","[0.450555,0.38406]","[1.18104,-1.82856]","[1.26557e+06,1.13022e+06]","[370090,38705.3]","[1,0]","[1.72391,5.45617]","[0.464811,0.209284]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2084.19,151.127]",9351.1,"[15174.2,9629.55,8791.61,5433.2,1167.7,3081.02,2854.56]","[]","[63221.1,4271.38]","[]"
342,284500,4669182,363358,0.0943394,3.4328,217831,1.1961,1,0.979671,1,1,0.996514,0.976685,1,0,1,0,2,"[0,0]","[1,1]","[99500.3,97387.6]","[-1.66066,-1.82965]","[-2.15214,-1.25662]","[271277,311260]","[-0.0311908,-0.0242562]","[-1,1]","[13,13]","[1,1]","[0,0]","[228.775,-525.502]","[-0.0114914,-0.000793904]","[2.11512,0.141155]",30710.6,3.06191,5,"[300495,228853,51747.5,46440.5,20084.9]","[-0.627763,0.195588,-1.16212,-1.00958,2.42653]","[1.36199,-1.81148,1.46467,0.415889,-1.91749]","[363322,233565,91577.8,72775.3,114641]","[0.993004,0.947278,0.992069,0.991971,0]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.887241,-0.911132,-0.745043,-0.208805,-0.984981]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[346461]","[-0.713172]","[1.31621]","[452754]","[113228]","[0]","[2.62746]","[0.674984]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2602.89,5008.19]",1116.63,"[5667.06,2598.97,3923.28,2309.57,1098.53]","[]","[5111.97]","[]"
365,284500,5101442,363358,0.0811905,3.4328,217831,1.1961,0.96024,1,1,1,0.916668,0.93884,1,1,0,0,1,"[0]","[1]","[55103.5]","[1.15585]","[-0.245612]","[96197.4]","[-0.0365391]","[1]","[11]","[1]","[0]","[-942.3]","[-0.00963193]","[0.999462]",80006.5,2.898,5,"[642636,326229,195062,61289.5,52691.5]","[0.602006,1.74183,-1.934,-0.643698,1.74449]","[-0.125346,3.02158,-3.11586,2.56098,-2.70875]","[763034,960460,688951,74889.9,155572]","[0.987544,0.995913,0.999695,1,0.999986]","[0,4,4,0,0]","[0,0,0,0,0]","[-0.841387,-0.653911,0.821188,-0.913858,-0.902715]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[718862,346938]","[0.661831,1.75417]","[-0.133667,3.09541]","[892203,1.03536e+06]","[133681,77762.1]","[0,0]","[2.08603,1.76171]","[0.439399,0.703863]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[238.92]",9763.81,"[8854.37,8331.89,3000.86,2425.53,2410.09]","[]","[13953.8,28496.9]","[]"
421,284500,4643810,363358,0.080082,3.4328,217831,0.619412,0.965323,1,1,1,0.993982,0.99866,1,1,0,0,2,"[0,0]","[1,1]","[454371,149971]","[-0.895669,-0.861143]","[-1.77143,-1.42859]","[649139,209101]","[0.0439968,-0.0479126]","[-1,1]","[11,11]","[1,1]","[3224.8,0]","[-3117.4,5023.86]","[-0.0108681,-0.0315238]","[1.23373,2.42506]",11951.2,-2.39138,3,"[627914,80533.2,25917.2]","[-1.07183,-1.04874,1.76354]","[1.3524,2.91509,0.194995]","[1.02549e+06,129531,77885.5]","[0.988673,1,0.99]","[0,0,0]","[0,0,0]","[-0.668206,-0.545972,-0.72523]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[651002,643669]","[-0.884181,-1.07214]","[-1.68348,1.34794]","[927457,1.05138e+06]","[95891.4,44586.8]","[1,0]","[0.344856,3.76981]","[0.600676,0.771045]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6507.24,1697.02]",3016.99,"[11710,3196.25,4580.54]","[]","[13812.8,10809.8]","[]"
429,284500,4644001,363358,0.0682081,3.4328,217831,0.351687,0.961885,1,1,1,0.984003,0.98743,1,1,0,0,2,"[0,0]","[1,1]","[506265,140154]","[-0.00335949,-0.335134]","[0.669534,0.597306]","[506268,148098]","[-0.0909295,-0.0452213]","[1,-1]","[11,11]","[1,1]","[0,0]","[2015.56,-1385.78]","[-0.00034421,0.00213506]","[0.0483262,0.27402]",22561.1,2.23678,2,"[584904,21607.2]","[-1.12319,-0.670267]","[-2.43053,-1.98491]","[995847,26780.1]","[1,0.999506]","[0,4]","[0,0]","[-0.914988,-0.945662]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[649415,579393]","[-0.0844795,-1.13745]","[0.649124,-2.43305]","[658959,997114]","[97315.7,37958.4]","[1,1]","[0.0960827,2.13003]","[0.390214,0.702454]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3884.28,1788.34]",5019.27,"[14686.7,1205.07]","[]","[60035.8,31407.3]","[]"
448,284500,4654126,363358,0.078218,3.4328,217831,0.553627,1,0.99482,1,1,0.996489,0.967734,1,0,1,0,2,"[0,0]","[1,1]","[100019,46975.7]","[0.533147,1.11516]","[-2.33965,-1.24685]","[114574,79340.4]","[-0.0212173,0.0420685]","[-1,1]","[13,13]","[1,1]","[0,0]","[-134.633,344.649]","[-0.000518101,-0.0347156]","[0.088834,5.76106]",41693,-1.63038,6,"[228301,171134,53012.3,51285.8,46417.6,32309.1]","[0.968234,-1.2232,0.67051,1.75743,0.161537,-0.734375]","[1.37648,-1.37733,1.74971,1.8641,1.20016,-0.590392]","[346768,316560,65719.3,153275,47437.8,41565.8]","[0.926746,0.992642,0.988634,0.997936,0.99191,0.998664]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.869092,-0.922269,-0.853448,-0.725884,-0.919126,-0.614725]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287709]","[0.888715]","[1.40917]","[430280]","[133627]","[1]","[1.45521]","[0.501067]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4840.02,222.181]",5049.18,"[3099.3,4580.74,3697.41,2972.83,2798.23,2274.32]","[]","[8830.75]","[]"
