event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
67,284500,9074,364197,1,1.19732,4.05748e+06,1.32095,0.94602,1,1,1,0.947012,0.99806,1,1,0,0,1,"[0]","[1]","[39649]","[-1.67943]","[-1.9812]","[110005]","[0.357418]","[-1]","[11]","[1]","[0]","[730.847]","[-0.0299845]","[1.46925]",91693.2,-0.972203,4,"[562727,460412,42453.7,29767.9]","[-1.19552,-0.0962877,-1.44386,-1.2815]","[1.82793,-1.21618,-2.55442,2.40036]","[1.01922e+06,464692,95490.3,57975.7]","[0.99736,0.994814,0.96324,0.985289]","[0,4,0,0]","[0,0,0,0]","[-0.728768,-0.523313,-0.869528,-0.850226]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[621396,448523]","[-1.21491,-0.0851505]","[1.81395,-1.21424]","[1.14554e+06,451453]","[119914,34273.7]","[0,0]","[1.2456,1.45483]","[0.774845,0.60333]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[165.366]",14426.7,"[7949.53,14139.9,2501.07,2559.88]","[]","[2507.56,16078]","[]"
86,284500,136630,364197,5.61998,1.19732,4.05748e+06,0.402058,1,0.993445,1,1,0.988334,0.931335,1,0,1,0,1,"[0]","[1]","[108207]","[-0.239572]","[1.46914]","[111328]","[-0.08358]","[-1]","[13]","[1]","[0]","[-55.2502]","[-0.034945]","[5.21946]",43706.9,0.455602,5,"[951491,573775,536765,73937.1,35366]","[0.625758,0.387169,-1.11533,-1.32534,0.554523]","[-3.0922,-0.840079,0.693848,0.203881,0.0134231]","[1.14439e+06,625933,907632,149174,41588.9]","[0.992323,1,0.992154,0.991408,0.992514]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.763242,-0.88465,-0.861623,-0.91749,-0.956632]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[963803,605990,563303]","[0.582523,-1.18053,0.340249]","[-3.09173,0.641137,-0.844249]","[1.13228e+06,1.08469e+06,605301]","[24974.4,104649,104426]","[0,0,0]","[2.19391,2.07518,0.928755]","[0.033358,0.671101,0.624591]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4534.64]",5656.91,"[17765.8,9060.43,12363,3979.75,2335.37]","[]","[7812.88,21297.6,3854]","[]"
243,284500,28624,364197,1,1.19732,4.05748e+06,0.696077,0.9823,1,1,1,0.996959,1.00632,1,1,0,0,1,"[0]","[1]","[87892.9]","[0.539158]","[2.84635]","[100980]","[0.117775]","[1]","[11]","[1]","[117905]","[2304.59]","[-0.0274264]","[3.90675]",509197,2.64177,3,"[517541,289361,24164.7]","[0.984779,1.07216,-1.00123]","[-0.220573,-0.869866,-0.517963]","[794709,472978,37675.7]","[0.998657,0.99825,0.998641]","[0,0,0]","[0,0,0]","[-0.726316,-0.845095,-0.288844]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[747656,302113]","[1.07037,0.772806]","[-0.444226,2.81101]","[1.24917e+06,400330]","[275405,52234.8]","[0,0]","[1.024,1.42287]","[0.825818,0.547339]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[451.375]",11255.7,"[12570.4,4844.01,4428.23]","[]","[12035.4,14793.8]","[]"
704,284500,6557,364197,1.09843,1.19732,4.05748e+06,0.75088,1,0.998256,1,1,0.958393,0.863802,1,0,1,0,1,"[0]","[1]","[32026.5]","[0.721624]","[-2.71325]","[40733.6]","[-0.03232]","[-1]","[13]","[1]","[0]","[84.832]","[-0.0182968]","[2.25669]",155441,-2.09217,4,"[723033,462304,94021.8,24200.4]","[-0.545021,-0.998259,-1.73509,-0.545102]","[1.16476,-1.86862,-2.19638,0.660633]","[834354,717043,275089,28093.5]","[0.990742,0.985189,0.998667,0.997755]","[0,4,0,0]","[0,0,0,0]","[-0.647647,-0.54704,-0.913321,-0.949216]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[718548,539840]","[-0.543426,-1.13624]","[1.17214,-1.91229]","[828133,948028]","[37515.2,196391]","[0,0]","[4.96433,1.5009]","[0.597295,0.41114]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[73.5967]",13343.8,"[15145.8,6049.46,5519.93,3591.96]","[]","[13872.4,42245.9]","[]"
940,284500,611218,364197,1,1.19732,4.05748e+06,1.25133,1,1.00099,1,1,0.99547,0.993147,1,0,1,0,1,"[0]","[1]","[33880.3]","[-1.28023]","[2.21576]","[65651]","[0.0885468]","[-1]","[13]","[1]","[0]","[-337.302]","[0.00521421]","[0.554553]",72322.6,1.7855,4,"[516908,358016,129091,28559.1]","[0.418921,-0.245925,-0.255498,-0.480121]","[-2.18317,1.06791,-0.0255006,0.517793]","[567165,370032,134321,32504.7]","[0.990129,0.991289,0.999414,0.999998]","[0,0,0,0]","[0,0,0,0]","[-0.723386,-0.7412,-0.803014,-0.880167]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[537769,339847]","[0.491635,-0.17529]","[-2.18255,1.0781]","[609613,345729]","[81950.6,21148.9]","[0,0]","[1.13126,2.48687]","[0.474459,0.560672]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[119.671]",6001.68,"[13253.4,5375.59,2031.97,2487.81]","[]","[35443.3,3793.19]","[]"
1152,284500,611583,364197,1,1.19732,4.05748e+06,1.25133,0.97994,1,1,1,0.994077,1.00632,1,1,0,0,1,"[0]","[1]","[202438]","[0.147687]","[0.653191]","[204650]","[0.0153856]","[-1]","[11]","[1]","[0]","[-130.544]","[0.0487375]","[7.16662]",391195,0.471409,6,"[512140,401650,166514,93636.4,30953.7,22044.3]","[-0.649207,-1.17482,1.08596,-1.60464,0.632224,-0.435589]","[-2.33699,1.90994,-1.70088,-1.50532,-1.4188,-1.90322]","[624709,713186,275237,242540,38009.6,24418]","[0.996229,0.997266,0.99296,0.995858,0.836881,0.999989]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.872901,-0.363164,-0.920174,-0.939075,-0.925475,-0.0171587]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[491175,391563]","[-0.649415,-1.17464]","[-2.34515,1.91373]","[598620,695222]","[14651.2,37233.4]","[0,0]","[3.44779,2.6302]","[0.475283,0.682731]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1297.87]",10454.5,"[10711,10974.7,10632.6,8704.33,8506.15,1756.03]","[]","[11659,31045.8]","[]"
1432,284500,608269,364197,1.01164,1.19732,4.05748e+06,1.21412,1,1.0025,1,1,0.994511,0.993881,1,0,1,0,1,"[0]","[1]","[90139.7]","[1.2826]","[-0.0432275]","[175020]","[0.00823784]","[-1]","[13]","[1]","[0]","[-315.6]","[0.00688729]","[1.07637]",141800,-0.564349,2,"[671715,433064]","[1.41238,0.654307]","[2.76932,-0.39954]","[1.46209e+06,530090]","[0.99016,0.991541]","[0,0]","[0,0]","[-0.887832,-0.656972]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[635864,397551]","[1.42329,0.66619]","[2.7674,-0.408898]","[1.39722e+06,489349]","[51966.6,16231.1]","[0,0]","[1.97997,2.4826]","[0.847011,0.322938]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1290.05]",43619.1,"[15425.7,5629.89]","[]","[1022.88,48345.3]","[]"
1614,284500,580321,364197,1,1.19732,4.05748e+06,1.21412,1,0.996951,1,1,0.994145,0.982461,1,0,1,0,1,"[0]","[1]","[70994.8]","[-1.53742]","[-3.03331]","[172784]","[0.0483627]","[1]","[13]","[1]","[0]","[-591.375]","[-0.0310941]","[5.46417]",28111,2.0592,5,"[464430,461647,35418.7,29924.7,27811.2]","[0.672484,-0.131985,0.264265,0.331796,-2.49253]","[1.22881,-1.80596,1.00664,-1.53062,-0.97208]","[575650,468374,36902,32461.3,169378]","[0.996615,0.994722,0.999317,0.971086,0.996709]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.97707,0.455727,-0.894096,-0.940463,-0.420994]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[483994,468736]","[-0.144747,0.639008]","[-1.80063,1.20381]","[492343,571564]","[56645.9,66031.7]","[0,0]","[1.66438,2.62881]","[0.713327,0.701261]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1291.87]",7662.13,"[6905.46,11551.1,2476.45,1938.68,3837.04]","[]","[11348.6,55596.8]","[]"
1616,284500,579797,364197,1,1.19732,4.05748e+06,1.32095,0.98089,1,1,1,0.993392,0.99866,1,1,0,0,1,"[0]","[1]","[307714]","[-0.888712]","[1.53444]","[437443]","[-0.0204086]","[-1]","[11]","[1]","[0]","[-213.505]","[0.0100776]","[1.13445]",128164,1.60004,4,"[788309,376613,28473.3,21924.7]","[-0.0734307,0.0174682,0.947507,-0.602551]","[-1.51321,1.66304,-1.60324,2.75219]","[794017,378069,42723.9,26279.4]","[0.992546,0.99,0.991187,0.994982]","[0,0,0,0]","[0,0,0,0]","[-0.651508,-0.396082,-0.363355,-0.682371]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[794568,649089]","[-0.132352,-0.506895]","[-1.51276,1.60051]","[805713,794983]","[81921,304684]","[0,0]","[1.53511,0.18819]","[0.652144,0.438182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3263.18]",9276.12,"[14080.5,5321.36,3208.14,2412.19]","[]","[28891.9,18526.9]","[]"
1623,284500,580975,364197,1,1.19732,4.05748e+06,1.32095,1,0.998203,1,1,0.836299,0.922077,1,0,1,0,1,"[0]","[1]","[152360]","[-0.0290491]","[-0.245635]","[152424]","[-0.0779152]","[-1]","[13]","[1]","[1938.93]","[1299.73]","[0.0551358]","[10.9175]",230646,-0.509516,6,"[493056,315354,108562,52075.2,29966.6,23422.9]","[2.06497,0.0292409,0.784975,1.19995,-2.26389,1.31413]","[-3.09341,0.240527,2.20846,2.72926,-2.73978,-2.8186]","[1.97554e+06,316696,144517,94647.8,145826,47086.7]","[1,0.997993,0.98668,0.984847,0.995324,0.919982]","[0,4,0,5,0,0]","[0,0,0,0,0,0]","[-0.913037,-0.413613,-0.865567,0.277031,-0.453668,-0.210115]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[314525]","[0.0300601]","[0.253862]","[315854]","[27359]","[0]","[3.70423]","[0.535352]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4430.08]",6998.17,"[13690.7,4288.93,4953.3,4470.7,3444.53,1789.17]","[]","[20570.3]","[]"
