event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
4,284500,18740367,364192,1,34.6395,1.84076e+07,1.26459,1,0.998917,1,1,0.999701,0.850143,1,0,1,0,1,"[0]","[1]","[39376.8]","[-1.04325]","[-2.15056]","[62820.4]","[0.126324]","[-1]","[13]","[1]","[0]","[-536.085]","[0.0248412]","[3.79034]",233577,-2.36617,1,"[265587]","[0.0474738]","[0.801109]","[266770]","[0.994664]","[0]","[0]","[-0.961439]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265841]","[0.0477001]","[0.804153]","[267063]","[22147.5]","[0]","[1.54691]","[0.744366]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[288.959]",4429.12,"[5226.84]","[]","[12602.8]","[]"
5,284500,10980000,364192,-1,34.6395,1.84076e+07,0.596562,0.96558,1,1,1,0.998408,0.99746,1,1,0,0,1,"[0]","[1]","[71515.3]","[-1.62469]","[2.96737]","[188579]","[0.0490646]","[-1]","[11]","[1]","[0]","[-136.658]","[0.0169158]","[2.04579]",161586,3.04426,2,"[229769,27900.3]","[-2.0149,-0.535753]","[-0.0610826,1.258]","[877090,32317.2]","[0.992567,0.591649]","[0,0]","[0,0]","[-0.964021,-0.733938]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250021]","[-1.99915]","[-0.0569038]","[939893]","[8303.23]","[0]","[4.67224]","[0.564954]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[868.111]",1700.38,"[5739.46,3796.42]","[]","[0]","[]"
7,284500,18840767,364192,1,34.6395,1.84076e+07,0.923924,1,0.989109,1,1,0.99963,1.01438,1,0,1,0,1,"[0]","[1]","[53403.5]","[-1.8109]","[-0.241923]","[167673]","[0.201042]","[1]","[13]","[1]","[0]","[-632.499]","[0.0944589]","[13.0942]",218979,-0.184986,1,"[263086]","[-1.10482]","[2.94407]","[441083]","[1]","[0]","[0]","[-0.900685]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270514]","[-1.09303]","[2.9521]","[448981]","[10862.3]","[0]","[2.20736]","[0.525849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[542.728]",2313.36,"[4347.21]","[]","[9202.72]","[]"
8,284500,18780371,364192,1,34.6395,1.84076e+07,1.26205,1,1.00128,1,1,0.998803,0.959462,1,0,1,0,1,"[0]","[1]","[86343.3]","[0.662513]","[1.75086]","[105996]","[0.0283051]","[-1]","[13]","[1]","[0]","[25.0999]","[0.0220487]","[3.65324]",166640,1.82131,2,"[251366,22485.4]","[-1.15134,-0.841333]","[-1.26472,-1.99143]","[437331,31077.8]","[1,0.998315]","[0,0]","[0,0]","[-0.871308,-0.621046]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262492]","[-1.12745]","[-1.26289]","[447865]","[9582.88]","[0]","[0.121671]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1158.09]",15796,"[12124,2281.31]","[]","[0]","[]"
10,284500,20590825,364192,-1,34.6395,1.84076e+07,0.75088,1,1.0003,1,1,0.999643,0.836587,1,0,1,0,1,"[0]","[1]","[53772.4]","[1.02031]","[0.908555]","[84276]","[0.024353]","[1]","[13]","[1]","[0]","[2543.1]","[0.123193]","[17.1012]",207475,1.24636,1,"[257728]","[-0.479394]","[-1.92737]","[288703]","[0.79611]","[0]","[0]","[-0.488826]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287013]","[-0.433572]","[-1.91803]","[314703]","[13453.4]","[0]","[2.45926]","[0.615199]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[258.504]",1529.61,"[3309.87]","[]","[14226.8]","[]"
12,284500,20620366,364192,-1,34.6395,1.84076e+07,1.1961,0.97867,1,1,1,0.998392,1.01012,1,1,0,0,1,"[0]","[1]","[117710]","[1.8138]","[-1.32269]","[370595]","[0.00677872]","[-1]","[11]","[1]","[4031.24]","[-1143.79]","[-0.0066494]","[0.37342]",84859.2,-1.79928,2,"[257878,125180]","[-0.839834,0.456345]","[0.950422,3.07474]","[355637,138770]","[0.998797,0.994998]","[0,0]","[0,0]","[-0.809214,-0.765562]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280054]","[-0.829538]","[0.949196]","[383284]","[30537.1]","[0]","[2.19808]","[0.667015]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1591.56]",3157.11,"[5789.19,1986.34]","[]","[654.344]","[]"
14,284500,20608959,364192,1,34.6395,1.84076e+07,1.24168,0.9655,1,1,1,0.999696,1.00324,1,1,0,0,1,"[0]","[1]","[32922.9]","[0.529428]","[-0.361704]","[37645.7]","[-0.00608826]","[-1]","[11]","[1]","[0]","[-346.992]","[-0.00237166]","[0.293215]",243425,-0.486174,1,"[271996]","[0.302376]","[2.69677]","[286617]","[1]","[0]","[0]","[-0.892318]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270519]","[0.263807]","[2.6948]","[282475]","[37415.7]","[0]","[1.3729]","[0.600615]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[87.6504]",191.703,"[3120.6]","[]","[15857.2]","[]"
16,284500,20607874,364192,1,34.6395,1.84076e+07,0.923924,1,0.987693,1,1,0.997705,0.994982,1,0,1,0,1,"[0]","[1]","[96977]","[-1.98558]","[-2.85678]","[359811]","[-0.155556]","[1]","[13]","[1]","[0]","[278.955]","[-0.07183]","[9.27664]",146843,2.77076,2,"[289376,31352.5]","[-1.32323,2.1525]","[-0.0153922,-2.59395]","[582299,136851]","[0.990151,0.98622]","[0,0]","[0,0]","[-0.795256,-0.639615]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[303141]","[-1.34194]","[-0.015991]","[619878]","[18925.2]","[0]","[2.70624]","[0.606289]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1252.28]",1040.73,"[4292.93,6043.06]","[]","[4462.19]","[]"
17,284500,20605948,364192,1,34.6395,1.84076e+07,1.26459,0.97867,1,1,1,0.998796,1.01012,1,1,0,0,1,"[0]","[1]","[80658.8]","[1.95725]","[-1.91241]","[291222]","[0.0693417]","[1]","[11]","[1]","[1404.1]","[2400.7]","[0.00936042]","[0.730999]",233565,-2.4816,2,"[275077,36219.7]","[1.89871,-1.05378]","[0.830305,-0.163117]","[939449,58714]","[0.973622,0.965652]","[0,0]","[0,0]","[0.111671,-0.872991]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263713]","[1.89429]","[0.828012]","[896688]","[22749]","[0]","[1.49698]","[0.686338]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1276.42]",12380.8,"[13019.6,2015.63]","[]","[8868.62]","[]"
18,284500,21267099,364192,1,34.6395,1.84076e+07,1.1961,0.96709,1,1,1,0.965359,1.00936,1,1,0,0,1,"[0]","[1]","[133956]","[0.135504]","[-1.9113]","[135188]","[0.0769119]","[-1]","[11]","[1]","[0]","[1137.03]","[-0.0215483]","[3.21093]",141253,-1.75045,4,"[172059,70934.1,61821.7,24938.8]","[0.832805,1.04737,0.783285,1.84861]","[0.968972,1.6775,2.37555,0.615205]","[236233,113966,81979.3,81411.1]","[0.994159,0.997401,0.995823,0.915302]","[4,0,0,0]","[0,0,0,0]","[0.338076,-0.851849,-0.870731,-0.756072]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268198]","[0.780387]","[1.26878]","[370923]","[110458]","[0]","[1.23869]","[0.217664]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[940.309]",65803.9,"[5802.31,2929.95,2575.2,34476.3]","[]","[9217.89]","[]"
