event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,3896,364191,-1,93.8086,5.2481e+06,1.25133,1,1,1,1,0.965506,1,1,1,0,0,1,"[0]","[1]","[245497]","[1.81628]","[-1.76737]","[774740]","[0.0701065]","[-1]","[11]","[0]","[0]","[13378.2]","[-2.60286e-05]","[0.0028388]",14776.2,0.431947,3,"[174100,28231,21605.2]","[0.974009,1.78662,1.00816]","[1.52886,1.20757,0.826294]","[263994,86657.2,33763.9]","[0.957013,0.995028,0.987417]","[4,0,0]","[0,0,0]","[-0.778594,-0.466451,-0.932927]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287856]","[1.80297]","[-1.76023]","[897029]","[1788.48]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3036.71]",15051.7,"[5052.97,5011.63,1638.15]","[]","[14846.7]","[]"
5,284500,8653,364191,1,93.8086,5.2481e+06,1.74563,0.95508,1,1,1,0.962142,0.93664,1,1,0,0,1,"[0]","[1]","[51127.1]","[-1.21741]","[-1.69485]","[93931.3]","[-0.0474091]","[1]","[11]","[1]","[0]","[-1192.02]","[0.0150537]","[1.85178]",131414,-2.55018,3,"[183808,99058.3,71484.5]","[-0.511074,1.91796,0.267873]","[0.811735,-2.18901,0.789413]","[209904,344485,74565.8]","[0.979771,0.991151,0.993078]","[4,0,0]","[0,0,0]","[-0.300318,-0.840263,-0.922211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254093]","[-0.291643]","[0.814274]","[286874]","[109928]","[0]","[1.13508]","[0.765598]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[295.123]",11726.1,"[10567.3,3867.4,2125.11]","[]","[0]","[]"
6,284500,10016,364191,1,93.8086,5.2481e+06,0.738662,1,1.00078,1,1,0.954606,0.974844,1,0,1,0,1,"[0]","[1]","[125471]","[-1.07601]","[-0.328641]","[205391]","[0.0100632]","[-1]","[13]","[1]","[0]","[420.792]","[-0.0101231]","[1.87544]",182406,-0.410943,2,"[283366,21149.5]","[-0.450395,0.938887]","[2.74087,2.97797]","[313125,31477.7]","[0.99,0.874306]","[4,0]","[0,0]","[-0.94251,-0.936274]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266132]","[-0.467617]","[2.73252]","[295763]","[-0.00239208]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3626.63]",2080.3,"[3623.73,1255.79]","[]","[10740.2]","[]"
10,284500,549763,364191,1,93.8086,5.2481e+06,1.26459,1,0.98156,1,1,0.973725,0.962355,1,0,1,0,1,"[0]","[1]","[27749.5]","[-1.71577]","[1.91514]","[79651.8]","[-0.157196]","[1]","[13]","[1]","[1019.74]","[-382.117]","[0.160471]","[15.2983]",248904,2.00132,4,"[261526,31455.8,28448.9,24755.6]","[-2.02805,-1.79436,0.674764,-1.31749]","[-1.19069,-1.58787,1.68494,-0.844711]","[1.01214e+06,97299.4,35666.7,49860.4]","[0.98833,0.890543,0.997163,0.884305]","[0,4,0,0]","[0,0,0,0]","[-0.958595,0.221126,-0.554702,-0.72259]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292600]","[-1.99059]","[-1.21192]","[1.09376e+06]","[79289.5]","[0]","[1.54632]","[0.725531]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[91.2059]",3756.73,"[5865.9,2951.1,3007.67,1714.85]","[]","[4815.12]","[]"
17,284500,243495,364191,1,93.8086,5.2481e+06,0.696077,1,1,1,1,0.934933,1,1,1,0,0,1,"[0]","[1]","[103416]","[-1.96517]","[-0.52314]","[376241]","[0.146454]","[1]","[11]","[0]","[0]","[1669.47]","[0.170061]","[14.9169]",157600,-0.758039,5,"[235462,34304.9,25764.5,21882.2,21465.7]","[-1.26108,-1.7405,-1.17152,-1.0844,-0.505884]","[2.33126,2.26423,0.0443937,2.96455,-2.57779]","[449287,100959,45897.2,36252.7,24678.3]","[1,0.983246,0.895965,0.991386,0.988175]","[4,4,0,0,0]","[0,0,0,0,0]","[-0.716188,-0.685458,-0.441057,-0.87929,-0.815442]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268282]","[-1.25853]","[2.33488]","[511206]","[30202.5]","[0]","[2.30126]","[0.684779]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[550.759]",918.812,"[6958.88,4081.47,1721.14,1607.05,1629.11]","[]","[7017.88]","[]"
21,284500,421420,364191,1,93.8086,5.2481e+06,1.74563,1,0.988201,1,1,0.997361,0.987726,1,0,1,0,1,"[0]","[1]","[80924]","[-2.01564]","[-2.14191]","[309080]","[0.0470123]","[-1]","[13]","[1]","[1779.57]","[198.479]","[0.0173329]","[3.08276]",148474,-2.19831,2,"[265771,27911.2]","[-1.80226,-1.49574]","[0.940081,-2.28737]","[827807,65642.4]","[0.999684,0.9904]","[0,0]","[0,0]","[-0.820548,-0.724587]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253911]","[-1.81584]","[0.932209]","[801006]","[8961.57]","[0]","[4.17664]","[0.354906]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[859.081]",4153.8,"[4147.32,4043.68]","[]","[0]","[]"
23,284500,1674385,364191,-1,93.8086,5.2481e+06,1.1961,0.97826,1,1,1,0.999602,1.00493,1,1,0,0,1,"[0]","[1]","[113419]","[-1.21647]","[2.30122]","[208210]","[0.379549]","[-1]","[11]","[1]","[0]","[-748.7]","[0.0859515]","[6.62518]",145238,2.73024,1,"[250676]","[-0.921189]","[-0.609041]","[365894]","[0.991964]","[0]","[0]","[-0.70419]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254121]","[-0.917244]","[-0.605289]","[369631]","[25796]","[0]","[1.59394]","[0.649462]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1567.65]",1115.14,"[3197.89]","[]","[18150.1]","[]"
25,284500,1675452,364191,1,93.8086,5.2481e+06,1.32095,1,0.994161,1,1,0.999456,0.925018,1,0,1,0,1,"[0]","[1]","[54739.2]","[-0.316062]","[2.03874]","[57496.2]","[0.0954971]","[1]","[13]","[1]","[0]","[-78.5322]","[-0.0417967]","[6.14661]",188377,1.81987,1,"[234123]","[-0.978252]","[-1.30881]","[355902]","[0.989954]","[0]","[0]","[-0.94862]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257416]","[-1.03428]","[-1.25892]","[408992]","[30937]","[0]","[3.1819]","[0.672142]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[53.7986]",7973.45,"[8463.33]","[]","[0]","[]"
26,284500,1667237,364191,1,93.8086,5.2481e+06,1.26205,1,0.996873,1,1,0.95557,0.975887,1,0,1,0,1,"[0]","[1]","[33008.7]","[2.14282]","[1.71692]","[142611]","[2.55721]","[-1]","[13]","[1]","[1173.34]","[62.7019]","[-0.00853215]","[0.702816]",124425,2.00501,1,"[251137]","[0.260978]","[-1.01922]","[261476]","[0.999039]","[4]","[0]","[-0.348861]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255330]","[0.268986]","[-1.02334]","[267661]","[40211.3]","[0]","[2.44207]","[0.739167]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[469.563]",7316.3,"[5121.95]","[]","[0]","[]"
27,284500,2059245,364191,1,93.8086,5.2481e+06,0,0.96484,1,1,1,0.954631,0.96343,1,1,0,0,1,"[0]","[1]","[37911.5]","[0.936788]","[-2.77828]","[55799.3]","[0.0297394]","[-1]","[11]","[1]","[1235.04]","[294.061]","[-0.0376131]","[3.37991]",213658,-2.86638,1,"[256608]","[1.60117]","[0.260168]","[662328]","[0.988761]","[4]","[0]","[-0.958325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277659]","[1.60375]","[0.2571]","[718262]","[13410.8]","[0]","[2.73415]","[0.599672]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[25.2685]",3168.08,"[5143.26]","[]","[4316.72]","[]"
