event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
117,284500,334258,364193,1.14543,38.3401,4.32285e+06,1.21412,1,1.00015,1,1,0.997314,0.920789,1,0,1,0,1,"[0]","[1]","[117733]","[-2.44931]","[3.04926]","[686780]","[0.0697327]","[-1]","[13]","[1]","[0]","[812.417]","[0.013592]","[1.66754]",168591,-3.07548,5,"[237902,55414.1,39220.8,39086,23706]","[-1.58831,-0.697085,-0.225829,-1.01214,0.0326449]","[-0.23751,2.2832,0.444218,-0.372741,0.807973]","[607768,69916.2,40660.2,61144,23817.7]","[0.998759,0.988771,1,0.997231,0.69735]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.957758,-0.914552,-0.838174,-0.852078,-0.853703]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260697]","[-1.49601]","[-0.255087]","[613802]","[58009]","[0]","[1.72459]","[0.477298]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2833.24]",6037.45,"[7715.65,2226.45,6185.58,3632.15,1690.94]","[]","[12071.8]","[]"
148,284500,340430,364193,1,38.3401,4.32285e+06,1.74563,0.98458,1,1,1,0.995671,1.00582,1,1,0,0,1,"[0]","[1]","[122101]","[-0.366376]","[-2.62875]","[130388]","[-0.0266266]","[1]","[11]","[1]","[0]","[79.3755]","[0.0572393]","[7.83076]",224498,-2.78945,5,"[271258,28776.4,28432.8,25523.4,22034.6]","[-0.461371,0.0185152,1.65481,0.144223,0.380974]","[0.364343,-0.0371659,1.9872,0.65862,-0.368914]","[302420,29206.4,77189.5,26093.3,24130.5]","[0.998119,0.967848,0.993351,0.994032,0.727809]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.625826,-0.770971,-0.664182,-0.927507,-0.443058]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266324]","[-0.439616]","[0.373219]","[293614]","[25814.1]","[0]","[2.21535]","[0.758421]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[673.681]",1992.47,"[4789.55,3122.73,3141.27,1790.81,1785.28]","[]","[0]","[]"
149,284500,334742,364193,1,38.3401,4.32285e+06,1.26459,1,0.995185,1,1,0.999567,0.988683,1,0,1,0,1,"[0]","[1]","[159507]","[-0.62445]","[-0.078474]","[191630]","[-0.0147133]","[-1]","[13]","[1]","[0]","[-796.46]","[-0.0190388]","[2.71348]",193723,0.156271,1,"[345303]","[0.476346]","[-3.08131]","[385620]","[0.99319]","[0]","[0]","[-0.921713]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[329617]","[0.495302]","[-3.07951]","[371144]","[13961.6]","[0]","[2.49981]","[0.346917]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[21695.2]",1125.67,"[4012.39]","[]","[7601.25]","[]"
304,284500,343675,364193,1,38.3401,4.32285e+06,0.696077,0.99093,1,1,1,0.999355,1.00306,1,1,0,0,1,"[0]","[1]","[123595]","[1.01485]","[-0.048586]","[192896]","[0.0763626]","[1]","[11]","[1]","[0]","[2260.66]","[0.0516413]","[5.1923]",274809,-0.178669,1,"[392669]","[1.64333]","[2.99416]","[1.05529e+06]","[0.991817]","[0]","[0]","[-0.799566]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[380838]","[1.65406]","[2.99291]","[1.03392e+06]","[63567.1]","[0]","[1.48328]","[0.853133]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[836.559]",3899.78,"[6746.75]","[]","[4730.84]","[]"
355,284500,347107,364193,1.34183,38.3401,4.32285e+06,1.22586,1,0.99651,1,1,0.999685,0.844503,1,0,1,0,1,"[0]","[1]","[53538.6]","[-0.792277]","[-2.15317]","[71239.4]","[0.082016]","[-1]","[13]","[1]","[0]","[83.4866]","[0.00785921]","[1.36112]",252867,-2.19519,1,"[304322]","[-0.219488]","[0.973032]","[314858]","[0.99]","[0]","[0]","[-0.503012]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290418]","[-0.25535]","[0.975507]","[303771]","[48106.7]","[0]","[1.52551]","[0.571816]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[380.545]",2503.61,"[4058.95]","[]","[11433.1]","[]"
446,284500,351980,364193,2.03321,38.3401,4.32285e+06,0.738662,0.97921,1,1,1,0.997091,1.00192,1,1,0,0,1,"[0]","[1]","[64414.4]","[-0.567956]","[0.878561]","[75085.9]","[0.031476]","[1]","[11]","[1]","[0]","[2885.97]","[0.00150143]","[0.198477]",246097,1.00528,3,"[273742,120888,33409.1]","[-0.973092,-1.04064,-2.0997]","[-2.36839,-0.907019,1.59288]","[414145,192890,138527]","[0.992599,0.99,1]","[0,0,0]","[0,0,0]","[-0.709783,-0.49189,-0.645183]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265388]","[-0.967253]","[-2.36825]","[399617]","[8855.04]","[0]","[2.8584]","[0.347691]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[127.742]",13744.4,"[6658.94,6076.5,2566.14]","[]","[0]","[]"
467,284500,360688,364193,1,38.3401,4.32285e+06,0.738662,1,0.999251,1,1,0.997125,0.948498,1,0,1,0,1,"[0]","[1]","[49181.6]","[0.829988]","[0.69252]","[67116.9]","[-0.0980225]","[-1]","[13]","[1]","[0]","[-366.895]","[0.00231789]","[0.30997]",212921,0.754454,3,"[280646,27031.3,20778.1]","[0.592571,0.0235428,1.71786]","[-2.54417,-0.561266,-0.157497]","[336687,27285.7,59892.8]","[1,1,0.980205]","[0,0,0]","[0,0,0]","[-0.680283,-0.902577,-0.890328]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260631]","[0.6323]","[-2.54753]","[318955]","[53175.1]","[0]","[1.31607]","[0.672115]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[196.89]",5392.75,"[2965.97,3846.2,2362.49]","[]","[1108.75]","[]"
468,284500,351890,364193,-1,38.3401,4.32285e+06,0.738662,1,0.998852,1,1,0.998602,0.963316,1,0,1,0,1,"[0]","[1]","[225815]","[-0.724312]","[-0.0709327]","[287685]","[0.0143299]","[1]","[13]","[1]","[0]","[-322.27]","[0.0211585]","[3.45044]",116462,0.04127,2,"[338989,26567.8]","[-1.97032,0.64972]","[3.0263,-1.49547]","[1.23948e+06,32861.1]","[1,0.989368]","[0,0]","[0,0]","[-0.901619,-0.637838]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[326580]","[-1.978]","[3.02382]","[1.20307e+06]","[20139]","[0]","[6.60792]","[0.704986]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10475.4]",11010.7,"[4971.59,4024.85]","[]","[14934.7]","[]"
473,284500,352140,364193,-1,38.3401,4.32285e+06,0.619412,0.98162,1,1,1,0.998799,0.92551,1,1,0,0,1,"[0]","[1]","[140965]","[-2.39081]","[0.58457]","[776287]","[0.200451]","[-1]","[11]","[1]","[0]","[298.778]","[-0.0350989]","[3.01932]",205803,0.34543,2,"[317767,21758.8]","[-1.07728,-0.465159]","[-2.69316,-2.78974]","[520908,24551.5]","[0.999531,0.922493]","[0,0]","[0,0]","[-0.545977,0.261146]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[329924]","[-1.09722]","[-2.69204]","[549423]","[13315.5]","[0]","[2.18537]","[0.323913]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4677.19]",4880.92,"[7491.1,2234.05]","[]","[3235.75]","[]"
586,284500,353346,364193,-1,38.3401,4.32285e+06,1.26205,0.97738,1,1,1,0.999616,1.00056,1,1,0,0,1,"[0]","[1]","[78324.8]","[0.433432]","[-0.0462378]","[85797.9]","[-0.143076]","[1]","[11]","[1]","[1285.79]","[-586.136]","[0.0939983]","[8.29162]",229425,0.315806,1,"[322144]","[1.14742]","[-2.92725]","[559356]","[0.935696]","[0]","[0]","[-0.623932]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[350896]","[1.15682]","[-2.92907]","[614732]","[45222.4]","[0]","[2.12594]","[0.751606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[217.046]",11275.8,"[5300.47]","[]","[3599.97]","[]"
