event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
326,284500,4109,364196,3.5943,14.6034,5.98304e+06,1.22586,1,0.997105,1,1,0.973031,0.969816,1,0,1,0,1,"[0]","[1]","[79042.1]","[-0.681186]","[0.819368]","[98100.6]","[-0.082921]","[-1]","[13]","[1]","[0]","[27.3953]","[-0.00617205]","[1.06203]",136892,1.47633,4,"[359138,150783,64913.1,37072.4]","[-0.49119,0.0224296,1.33479,0.655462]","[-1.8355,1.19394,-2.26404,0.495363]","[403921,151891,132203,45916.9]","[0.934621,0.994461,0.990704,0.98075]","[0,0,0,4]","[0,0,0,0]","[-0.853,-0.916848,-0.900485,-0.81539]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[365671]","[-0.490768]","[-1.83519]","[411202]","[22268.7]","[0]","[2.64964]","[0.535142]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1051.8]",12429.5,"[5102.9,3921.56,2614.15,2824.79]","[]","[25631.6]","[]"
538,284500,4495,364196,1,14.6034,5.98304e+06,1.32095,0.9823,1,1,1,0.997339,1.00632,1,1,0,0,1,"[0]","[1]","[85525.2]","[0.181178]","[1.0977]","[86932.7]","[0.070188]","[-1]","[11]","[1]","[0]","[-79.5126]","[-0.0298804]","[4.37754]",135301,0.486147,3,"[294111,247093,28022.8]","[0.164163,0.898403,2.42381]","[-1.32444,2.55003,2.11793]","[299500,355374,159465]","[0.998868,0.997445,0.970428]","[0,0,0]","[0,0,0]","[-0.881338,-0.867997,-0.803245]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279886]","[0.162209]","[-1.31856]","[284329]","[20670.7]","[0]","[2.13652]","[0.772401]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1312.46]",21962.9,"[23770.9,4723.43,2025.92]","[]","[16282.3]","[]"
618,284500,263156,364196,1,14.6034,5.98304e+06,1.22586,1,0.998124,1,1,0.994881,0.98601,1,0,1,0,1,"[0]","[1]","[29572.4]","[1.30497]","[-0.865638]","[58534.9]","[0.192547]","[1]","[13]","[1]","[0]","[181.168]","[-0.0788624]","[8.68266]",21589.6,0.744262,7,"[309206,304839,139632,78436.3,21500,21316,20012.9]","[-1.4068,1.44287,-0.19319,1.23996,0.825414,0.722022,0.307144]","[-0.469117,-3.03185,2.28073,0.449567,0.733182,1.31796,2.52992]","[669712,681446,143189,147261,29435.4,27335.8,21090.5]","[1,0.996691,1,0.985109,0.971941,0.9623,0.992602]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.940355,-0.941912,-0.961101,-0.95646,-0.880557,-0.775396,-0.911606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[315321,303250]","[-1.39911,1.45558]","[-0.475919,-3.02772]","[678632,685534]","[35807.6,14481]","[0,0]","[2.19506,3.55101]","[0.64379,0.66097]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[117.651]",3528.97,"[4611.69,11890.1,2693.96,5840.46,3594.94,2578.69,2815.74]","[]","[9170.03,12595]","[]"
621,284500,264802,364196,1.38505,14.6034,5.98304e+06,1.32095,0.97014,1,1,1,0.996565,0.96677,1,1,0,0,1,"[0]","[1]","[54279.2]","[0.652558]","[-0.0627404]","[66252.1]","[-0.0366879]","[1]","[11]","[1]","[0]","[-380.062]","[0.0499862]","[5.40349]",97805.9,0.461537,3,"[439218,355198,27363.2]","[0.195682,-1.47531,1.44979]","[-3.07114,-0.274946,1.9347]","[448142,818027,61785.7]","[0.94028,0.995832,0.988963]","[0,0,0]","[0,0,0]","[-0.80318,-0.729564,-0.689206]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[440794,339671]","[0.187721,-1.48071]","[-3.07476,-0.279186]","[449115,785970]","[21838.2,33860]","[0,0]","[2.69485,1.39691]","[0.0323429,0.646105]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.4274]",8216.8,"[6101.93,6034.89,6155.67]","[]","[13818.2,17934.8]","[]"
986,284500,268405,364196,2.17083,14.6034,5.98304e+06,1.1961,1,0.998463,1,1,1.01883,1.02398,1,0,1,0,1,"[0]","[1]","[242835]","[-0.795015]","[0.62673]","[323705]","[-0.134026]","[1]","[13]","[1]","[0]","[-517.394]","[0.0280789]","[3.72004]",176553,-0.0790248,4,"[381322,128544,101039,51954.4]","[-1.70594,-0.733043,-2.41143,-2.15327]","[-2.19647,1.52397,2.81016,-2.98111]","[1.08499e+06,165128,567899,226806]","[0.999994,0.977436,1,0.999164]","[5,0,5,0]","[0,0,0,0]","[0.986171,-0.866425,0.959886,-0.816306]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[415830]","[-1.76536]","[-2.27821]","[1.25646e+06]","[121516]","[0]","[1.74974]","[0.732843]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5195.88]",8372.27,"[5277.78,3218.31,8801.07,2581.26]","[]","[9820.06]","[]"
1000,284500,270021,364196,1.62046,14.6034,5.98304e+06,0.619412,0.98458,1,1,1,0.995446,1.00582,1,1,0,0,1,"[0]","[1]","[111651]","[-0.10069]","[-2.37587]","[112217]","[0.0519371]","[-1]","[11]","[1]","[0]","[-884.266]","[-0.00320702]","[0.312181]",97417,-2.14068,5,"[382896,287695,99306,33103.4,21191.8]","[-0.300474,0.624163,1.29788,1.29471,2.41073]","[1.32615,-1.59946,0.870335,-1.5869,-3.06179]","[401466,346040,195707,65206.9,119076]","[0.99984,0.991466,0.997342,0.987508,0.986614]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.544929,-0.942729,-0.583404,-0.920158,-0.111224]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[379020,319625]","[-0.32378,0.672124]","[1.32674,-1.60924]","[399729,398801]","[23097.6,57874.6]","[0,0]","[2.42884,2.72554]","[0.388759,0.607669]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[708.302]",5828.9,"[4539.72,11485.5,6547.03,4208.03,2986.5]","[]","[21643.8,13725.7]","[]"
1009,284500,577,364196,1,14.6034,5.98304e+06,0.187531,1,0.99513,1,1,0.998407,0.789179,1,0,1,0,1,"[0]","[1]","[32990.8]","[0.569628]","[-1.61453]","[38489.6]","[0.0848541]","[1]","[13]","[1]","[0]","[-186.425]","[0.031715]","[3.60474]",512413,-2.17437,2,"[435575,78485.1]","[0.890239,1.54728]","[1.09145,0.701633]","[620908,192973]","[0.999761,0.916093]","[0,0]","[0,0]","[-0.389162,-0.600197]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[489580]","[1.02793]","[1.04325]","[782399]","[128162]","[0]","[1.24834]","[0.741129]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[125.569]",15017.4,"[15003.1,2454.45]","[]","[15113.9]","[]"
1510,284500,280805,364196,1,14.6034,5.98304e+06,1.24168,0.96689,1,1,1,0.996119,1.00136,1,1,0,0,1,"[0]","[1]","[56470.6]","[1.79921]","[-1.2423]","[175349]","[-0.0544777]","[1]","[11]","[1]","[1443.34]","[1706.91]","[-0.00741389]","[0.821862]",317273,-1.31429,7,"[268250,76738.6,57563.9,41919.7,29703.8,28781.3,22351.5]","[-0.153182,-1.34154,1.26994,0.885772,-0.64741,-0.200571,-0.245912]","[2.4326,-0.00674612,-0.267909,2.55281,-1.22079,1.72713,0.40591]","[272200,157061,110925,60068.6,36311.2,29868.3,23415.6]","[0.993416,0.994438,0.998504,1,0.958464,1,0.993271]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.893953,-0.567226,-0.956065,-0.931852,-0.87194,-0.845109,-0.854988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271852]","[-0.166066]","[2.43006]","[276423]","[21197.9]","[0]","[3.22994]","[0.717808]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.219]",1752.69,"[6915.46,6804.18,2926.03,2952.32,6802.58,3571.27,2900.87]","[]","[7308.28]","[]"
1638,284500,280303,364196,1.28806,14.6034,5.98304e+06,1.74563,0.97996,1,1,1,1.03649,1.01265,1,1,0,0,1,"[0]","[1]","[162002]","[1.58109]","[0.932159]","[410351]","[0.218811]","[-1]","[11]","[1]","[0]","[2344.65]","[-0.0791064]","[11.3314]",271958,0.982503,7,"[205659,134202,70465.3,63892.9,55298,28761.6,22729.3]","[1.10797,-0.223641,1.56218,1.10781,-0.0150824,1.708,0.22444]","[-2.3181,-1.8867,-2.65446,-1.25705,-3.08924,1.35296,-0.730757]","[345956,138696,175818,107605,56189.8,82021.8,23896.8]","[0.995594,0.992459,0.981967,0.996998,0.99787,0.946532,0.980985]","[5,0,0,5,0,0,0]","[0,0,0,0,0,0,0]","[0.991541,-0.277344,-0.762649,0.999378,-0.632922,-0.513027,-0.937496]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263242]","[1.23875]","[-2.37148]","[496178]","[61117]","[0]","[1.47099]","[0.866479]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2998.89]",1876.06,"[4427.87,9488.35,11890.9,1557.84,4784.07,4606.93,1749.24]","[]","[0]","[]"
1788,284500,216382,364196,1,14.6034,5.98304e+06,0.934886,1,0.998141,1,1,0.998514,0.911665,1,0,1,0,1,"[0]","[1]","[42401.9]","[-0.912361]","[-1.49314]","[61308.4]","[0.251954]","[1]","[13]","[1]","[0]","[404.063]","[-0.0531055]","[7.14022]",161424,-1.32469,3,"[335260,279786,21290.4]","[0.0840467,-1.17709,-0.929289]","[0.463259,-3.06513,1.02427]","[343782,499825,31276]","[0.998753,0.98,0.666098]","[0,0,0]","[0,0,0]","[0.238903,-0.685412,-0.81156]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[333162,293046]","[0.0769619,-1.16361]","[0.465623,-3.07405]","[342563,518223]","[75454.3,58964.2]","[0,0]","[1.12294,1.32687]","[0.606165,0.611648]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[240.306]",8155.47,"[3743.09,3771.36,3296.55]","[]","[5868.03,25643.4]","[]"
1923,284500,207085,364196,-1,14.6034,5.98304e+06,1.24168,0.96484,1,1,1,0.961255,0.96343,1,1,0,0,1,"[0]","[1]","[39305.2]","[0.873424]","[-0.968291]","[55275.2]","[0.0894318]","[1]","[11]","[1]","[1000.64]","[-90.9294]","[0.0042095]","[0.348628]",429263,-0.798004,3,"[562885,55604.7,51858.7]","[1.9023,0.289327,0.897439]","[2.40515,-0.461107,-0.505178]","[1.92836e+06,58886.5,74476.1]","[1,0.98644,0.968348]","[0,4,0]","[0,0,0]","[-0.740694,-0.731121,0.520466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[556336]","[1.89162]","[2.40597]","[1.8865e+06]","[31580.2]","[0]","[2.55905]","[0.678782]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[78.2612]",23765.5,"[19503.4,1781.55,4581.49]","[]","[40693.2]","[]"
2507,284500,207706,364196,1,14.6034,5.98304e+06,0.923924,1,0.996013,1,1,0.997298,0.93729,1,0,1,0,1,"[0]","[1]","[36164.8]","[0.401741]","[-2.48721]","[39122.9]","[0.0132446]","[-1]","[13]","[1]","[1024.91]","[-349.091]","[0.0137444]","[1.79365]",118294,-2.60693,5,"[371880,273784,62599,27614.4,21943.2]","[-0.945925,-0.958412,-0.562483,-0.81445,-0.76854]","[1.99007,-0.971692,-0.397671,0.109259,-1.39294]","[551626,411189,73611,37595.6,29202.4]","[1,0.999882,0.980752,0.990559,0.994169]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.839399,-0.466787,-0.767373,-0.393431,-0.564084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[372583,309788]","[-0.925865,-0.922442]","[1.98198,-0.883547]","[544838,458885]","[29914.5,83617.4]","[0,0]","[1.76096,1.79437]","[0.653873,0.524783]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[147.727]",22392.9,"[9246.58,4100.63,2965.02,2302.42,1987.82]","[]","[12209.8,5035.94]","[]"
