event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,2019727,364189,1,95.3655,3.96912e+06,0.553627,0.97361,1,1,1,1.0265,0.98448,1,1,0,0,1,"[0]","[1]","[49708.4]","[-0.339796]","[2.84208]","[52605.8]","[0.0382919]","[-1]","[11]","[1]","[1975.93]","[-287.49]","[0.0128715]","[1.25554]",128861,2.9801,4,"[520001,184082,127690,21461.6]","[-0.710639,-0.86795,1.20814,1.9363]","[0.106221,-1.57726,2.77373,-1.65385]","[658289,260253,233230,76124.1]","[0.994429,1,0.996615,0.896727]","[0,0,5,0]","[0,0,0,0]","[-0.754741,-0.854182,0.966058,-0.697806]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[519463]","[-0.741545]","[0.105927]","[670194]","[40758.4]","[0]","[2.07507]","[0.784194]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[223.993]",7997.17,"[6919.79,2782.09,5316.23,1636.84]","[]","[45453.1]","[]"
1,284500,3611755,364189,1,95.3655,3.96912e+06,1.22586,1,0.988539,1,1,0.953299,1.00326,1,0,1,0,1,"[0]","[1]","[27477.5]","[-1.95676]","[0.37253]","[99162]","[-17.0017]","[1]","[13]","[1]","[0]","[-329.813]","[-0.0399994]","[3.49545]",44044.1,0.32791,5,"[280563,202150,66151.5,61174.6,21618.6]","[-0.503168,0.396494,-1.23064,-0.233461,-2.07602]","[-2.42053,0.52822,-3.09573,0.915659,2.28339]","[317332,218415,123181,63984.8,87641.8]","[0.997126,1,0,0.997927,0.999761]","[4,0,0,0,0]","[0,0,0,0,0]","[-0.444761,-0.36784,-0.847743,-0.833813,-0.870102]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[348590,250654]","[-0.666919,0.261086]","[-2.52371,0.606113]","[449010,273398]","[132453,86824.4]","[0,0]","[1.26103,1.03484]","[0.571132,0.383889]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[224.641]",25110.6,"[5406.34,2426.83,3113.81,4549.59,3700.95]","[]","[6446.56,0]","[]"
2,284500,2287935,364189,-1,95.3655,3.96912e+06,1.32095,1,0.99641,1,1,0.99614,0.981422,1,0,1,0,1,"[0]","[1]","[39181.5]","[1.27959]","[-1.3062]","[75881.3]","[-106.826]","[1]","[13]","[1]","[0]","[-803.875]","[0.0587484]","[7.80531]",23726.7,1.33344,4,"[220838,217934,38390.4,25363.7]","[2.11785,0.671446,0.109839,1.42012]","[-0.5193,2.53162,-3.09971,-0.495105]","[931519,269444,38985.3,55890.5]","[0.993482,0.993923,0.986713,0.973981]","[0,0,0,0]","[0,0,0,0]","[0.491771,-0.291988,-0.886357,-0.460985]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260328]","[0.69035]","[2.60139]","[334970]","[81654.7]","[0]","[2.19666]","[0.665273]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[124.742]",3042.4,"[5188.62,3188.14,5746.47,1831.88]","[]","[0]","[]"
3,284500,3996769,364189,1,95.3655,3.96912e+06,0,1,0.997852,1,1,0.913607,0.994745,1,0,1,0,1,"[0]","[1]","[33523.5]","[-2.19102]","[2.56273]","[151797]","[-0.138636]","[-1]","[13]","[1]","[0]","[816.319]","[0.0393898]","[2.83226]",133376,2.71392,2,"[244939,116473]","[-0.162072,1.69008]","[-0.143775,-2.91578]","[248534,326984]","[0.997922,0.941891]","[0,5]","[0,0]","[-0.892711,0.433355]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252275]","[-0.154865]","[-0.148307]","[255358]","[5136.17]","[0]","[15.2801]","[0.543629]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[382.038]",3611.22,"[6041.69,5275.56]","[]","[36788.9]","[]"
4,284500,4164505,364189,1,95.3655,3.96912e+06,1.24168,0.98178,1,1,1,1.01807,0.99604,1,1,0,0,1,"[0]","[1]","[123967]","[-2.12612]","[-2.71635]","[526961]","[0.0622215]","[-1]","[11]","[1]","[10579.8]","[-416.886]","[0.00927031]","[0.863597]",113045,-2.73713,2,"[351723,21874.5]","[-1.95574,-0.10306]","[0.336569,1.87305]","[1.26838e+06,22053.5]","[0.988166,0.952031]","[0,5]","[0,0]","[-0.957341,0.307036]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[366267]","[-1.94097]","[0.335708]","[1.30222e+06]","[28312.9]","[0]","[2.50592]","[0.717026]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1340.27]",13498.3,"[13862.9,4548.33]","[]","[4399.53]","[]"
5,284500,5416752,364189,1,95.3655,3.96912e+06,0.553627,1,0.997799,1,1,0.977543,0.993316,1,0,1,0,1,"[0]","[1]","[43371.2]","[2.19095]","[0.613915]","[196374]","[-0.170207]","[-1]","[13]","[1]","[0]","[-289.57]","[0.0980519]","[10.6514]",133327,0.946444,2,"[268777,39118.2]","[0.547968,1.65878]","[-2.29298,-3.10995]","[312645,106757]","[0.992915,0.926913]","[5,0]","[0,0]","[0.98457,-0.850754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261285]","[0.555041]","[-2.2947]","[304947]","[37951.9]","[0]","[1.03892]","[0.516379]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[725.743]",2765.17,"[4039.35,2898.49]","[]","[0]","[]"
6,284500,3129010,364189,0.387991,95.3655,3.96912e+06,1.21412,0.96323,1,1,1,0.999276,1.00493,1,1,0,0,1,"[0]","[1]","[250360]","[-1.20239]","[2.31548]","[454220]","[0.115995]","[1]","[11]","[1]","[0]","[-1627.93]","[0.0110805]","[1.41475]",209393,-0.314453,1,"[121161]","[1.58838]","[-1.69325]","[309312]","[0.995702]","[0]","[0]","[-0.659017]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275409]","[-1.21743]","[2.31388]","[505992]","[0.0078125]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3110.45]",1248.31,"[7731.53]","[]","[17990.2]","[]"
7,284500,4432341,364189,1,95.3655,3.96912e+06,0,0.96853,1,1,1,0.994488,0.98869,1,1,0,0,1,"[0]","[1]","[76191.8]","[-1.90394]","[-2.51964]","[261385]","[-62.1728]","[-1]","[11]","[1]","[0]","[-1727.36]","[-0.0103886]","[0.899301]",22644.3,-0.121996,6,"[179124,143745,38603.9,34983.3,23942.3,21407.4]","[-1.11792,-1.60806,-1.19843,-0.726731,-2.30616,-1.08557]","[1.07377,-2.16095,-2.57641,0.325326,1.59871,-1.58971]","[303956,373624,70378,45002.5,121401,35547.7]","[0.98633,0.998919,0.929489,0.99,0.614342,0.983993]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.831202,-0.582211,-0.778745,-0.93811,-0.764562,-0.346988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264190]","[-1.71737]","[-2.27601]","[761812]","[59732.6]","[0]","[1.64617]","[0.672143]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1360.33]",13214.3,"[3343.43,5990.18,3604.95,2521.18,3334.26,1295.69]","[]","[0]","[]"
8,284500,5368258,364189,1,95.3655,3.96912e+06,1.21412,1,0.986259,1,1,0.992321,1.01371,1,0,1,0,1,"[0]","[1]","[27905.2]","[-1.73111]","[-2.65872]","[81259.9]","[4.79746]","[1]","[13]","[1]","[0]","[-164.131]","[0.0153356]","[1.61599]",77946.4,-1.68365,7,"[316942,231019,147146,25203.4,23824.9,22018.3,21580.1]","[0.800634,-1.59149,2.41399,1.78334,-1.03568,1.19847,1.848]","[-1.2527,1.31061,2.43944,2.00654,0.651381,1.95829,2.70561]","[424433,591431,829202,77225.5,37991.6,40065.7,70269.8]","[0.99682,0.990606,1,0.987098,0.8912,0.976522,0.994997]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.727134,-0.757548,-0.73802,-0.828145,-0.476404,-0.775945,-0.897864]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[315332]","[0.809073]","[-1.25028]","[424651]","[17393.3]","[0]","[4.39556]","[0.621303]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[287.311]",4996.79,"[12069.7,3803.57,9918.01,1707.39,1697.9,1680.63,1628.74]","[]","[27564.8]","[]"
9,284500,9259343,364189,-1,95.3655,3.96912e+06,0.619412,1,0.982698,1,1,0.969245,0.997524,1,0,1,0,1,"[0]","[1]","[93986.4]","[-1.87579]","[1.64316]","[313876]","[0.0318298]","[1]","[13]","[1]","[1117.33]","[2693.91]","[0.0279159]","[4.15659]",220877,1.79569,5,"[197822,81095.2,66215.7,40310.5,33979.3]","[0.121739,0.301942,0.625528,-2.10771,-0.347772]","[-1.29301,-0.463137,-2.21443,-1.0658,-1.78127]","[200046,85643,80392.9,168549,36673.1]","[0.974413,0.99898,0.990197,0.990059,0.870083]","[0,0,0,4,0]","[0,0,0,0,0]","[-0.515986,-0.312032,-0.881887,-0.766041,-0.486714]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261439]","[0.09314]","[-1.11491]","[290487]","[124247]","[0]","[1.47086]","[0.516331]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[511.378]",17221,"[1822.69,3668.11,2650.56,3533.6,1974.73]","[]","[0]","[]"
