event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,770253,364188,1,222.595,3.49434e+06,1.1961,1,0.999771,1,1,0.957332,1.00118,1,0,1,0,1,"[0]","[1]","[31378.8]","[1.55584]","[1.27904]","[77664]","[-0.00679016]","[-1]","[13]","[1]","[0]","[897.354]","[0.00261179]","[0.276989]",4669.32,2.28477,4,"[332972,314478,35760.1,30575.5]","[-0.655376,0.393724,-1.74448,0.466792]","[-1.877,1.37203,0.626155,-0.96063]","[407916,340359,105538,34418.7]","[0.995129,0.983968,0.986138,0.759873]","[4,0,0,0]","[0,0,0,0]","[9.37327e-05,-0.855339,-0.896529,-0.785075]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[320694,316100]","[0.413974,-0.644877]","[1.37155,-1.87961]","[349124,384643]","[19694.8,19716.1]","[0,0]","[2.60369,2.55913]","[0.563737,0.578509]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[393.402]",917.02,"[4334.22,5436.23,3212.33,3697.65]","[]","[12788.2,14019.7]","[]"
1,284500,978810,364188,1,222.595,3.49434e+06,1.26205,1,0.9944,1,1,0.975248,0.841751,1,0,1,0,1,"[0]","[1]","[29324.4]","[-0.713699]","[2.80273]","[37115.4]","[-0.0194321]","[1]","[13]","[1]","[0]","[1602.23]","[-0.0178335]","[2.63173]",21613.2,1.50389,4,"[470138,440805,32362.9,30032.4]","[-0.879763,2.0711,2.12754,1.16843]","[-2.69548,0.444649,-1.36639,0.208124]","[664228,1.77642e+06,137766,53183.3]","[0.215021,0,0.982312,0.791832]","[0,0,4,0]","[0,0,0,0]","[-0.818582,-0.856472,0.0741722,-0.826222]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[445361]","[-0.88827]","[-2.69476]","[633002]","[10097.5]","[0]","[8.65336]","[0.57729]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[235.456]",5474.41,"[7664.6,17886.8,1174.14,2392.12]","[]","[5453.41]","[]"
2,284500,2372658,364188,1,222.595,3.49434e+06,0.738662,1,0.993018,1,1,0.955063,0.906811,1,0,1,0,1,"[0]","[1]","[29525.3]","[0.203329]","[2.11146]","[30137.9]","[-0.113318]","[-1]","[13]","[1]","[0]","[-1438.74]","[-0.0046612]","[0.58863]",84134.4,1.9131,4,"[267616,190727,123065,85108.4]","[-1.21826,0.30192,-0.586695,-1.69909]","[-2.54355,0.714712,0.761809,-1.51378]","[492860,203108,145918,240592]","[0,0.141134,0.0768461,0.996614]","[0,0,0,4]","[0,0,0,0]","[-0.832315,-0.79688,-0.793614,-0.860563]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[337964,279792]","[-0.0715162,-1.22218]","[0.733052,-2.54229]","[367807,516965]","[143100,29858.6]","[0,0]","[1.04463,1.82427]","[0.55896,0.650624]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[36.7958]",4978.4,"[10186,3404.51,5480.39,2325.99]","[]","[11223.3,10107.9]","[]"
3,284500,2358815,364188,1,222.595,3.49434e+06,1.26205,1,0.991474,1,1,0.996667,0.753185,1,0,1,0,1,"[0]","[1]","[33606.4]","[-0.279409]","[-3.05913]","[34926.9]","[-57.3044]","[-1]","[13]","[1]","[0]","[271.509]","[0.0339628]","[4.83641]",92479.4,-1.89484,4,"[348193,188038,158868,91490.1]","[-0.580507,-2.26117,-0.396852,-0.788392]","[1.60397,-1.90483,-1.16063,0.470334]","[409452,911961,172775,121619]","[0.976965,0.99724,0.997839,0]","[0,0,0,0]","[0,0,0,0]","[0.760778,-0.895403,-0.776487,-0.69813]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[340416]","[-0.579948]","[1.60879]","[401827]","[45109.3]","[0]","[4.34587]","[0.713908]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[84.7406]",140.398,"[5502.2,3954.14,2844.14,2054.83]","[]","[16619.1]","[]"
4,284500,8519169,364188,1,222.595,3.49434e+06,0.596562,1,1,1,1,0.997507,1,1,1,0,0,1,"[0]","[1]","[345707]","[-0.895751]","[3.06405]","[493924]","[0.0119076]","[1]","[11]","[0]","[0]","[2316.97]","[0.00237108]","[0.299739]",277962,0.461789,3,"[115106,27760.9,22485.3]","[0.100802,-1.07321,1.03126]","[-1.11598,-0.880311,-0.437764]","[117159,45633.4,35769.6]","[0.98,0.937713,0.993728]","[0,0,0]","[0,0,0]","[-0.85358,-0.71045,-0.913135]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[377790]","[-0.906256]","[3.06492]","[543847]","[1933.5]","[0]","[5.36989]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4303.86]",132.562,"[4628.8,2683.56,1959.75]","[]","[2735.22]","[]"
5,284500,5714963,364188,1,222.595,3.49434e+06,0.351687,0.94067,1,1,1,1.19946,0.84038,1,1,0,0,1,"[0]","[1]","[27334.8]","[1.59283]","[-2.09106]","[69990.6]","[159.048]","[1]","[11]","[1]","[0]","[1122.81]","[0.032052]","[1.24257]",45631.3,0.105067,5,"[314828,305072,48155.7,31982.6,28901.4]","[-0.237733,-1.13775,-0.688561,-1.28863,-1.29411]","[-0.940834,2.41146,1.99663,1.97169,-0.111324]","[324910,525812,60528.1,62539.9,57006.1]","[0.99305,0.989645,0.969599,0.977654,0.993214]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.557938,0.607967,0.974911,-0.895524,-0.717911]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[348084,300258]","[-1.14605,-0.265956]","[2.35557,-0.946297]","[611680,311885]","[103750,24262.2]","[0,0]","[2.35243,2.20039]","[0.815365,0.632808]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[212.51]",3021.66,"[3601.92,10743,6324.12,3127.06,2626]","[]","[17445.6,9503.59]","[]"
6,284500,5681692,364188,1,222.595,3.49434e+06,1.25133,1,1,1,1,0.999106,1,1,1,0,0,1,"[0]","[1]","[258079]","[-1.2474]","[-2.69392]","[486291]","[-0.0245514]","[-1]","[11]","[0]","[0]","[3542.48]","[-0.00207108]","[0.105664]",193670,0.732778,1,"[92059.2]","[-2.30109]","[-0.122292]","[464253]","[0.994258]","[0]","[0]","[-0.776915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285325]","[-1.24064]","[-2.69353]","[534578]","[4495.03]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3270.37]",5361.97,"[8723.3]","[]","[8917.88]","[]"
7,284500,5157629,364188,-1,222.595,3.49434e+06,1.21412,0.99211,1,1,1,0.999528,0.9918,1,1,0,0,1,"[0]","[1]","[232709]","[-0.789623]","[-1.8667]","[309106]","[0.0410442]","[1]","[11]","[1]","[0]","[-626.786]","[-0.0196547]","[1.41207]",207981,1.49504,1,"[72555.4]","[0.121378]","[0.331703]","[73703.6]","[0.989093]","[0]","[0]","[-0.562353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260133]","[-0.793777]","[-1.89497]","[347325]","[24208.7]","[0]","[2.5699]","[0.288025]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1401.13]",16159.7,"[5825.82]","[]","[10994.8]","[]"
8,284500,6451953,364188,-1,222.595,3.49434e+06,1.25133,0.9823,1,1,1,0.956652,1.00632,1,1,0,0,1,"[0]","[1]","[116167]","[0.196762]","[-0.807429]","[118423]","[-0.0142288]","[1]","[11]","[1]","[0]","[-695.875]","[-0.0161292]","[2.33114]",19942.3,2.49102,5,"[295225,159036,107797,88379,25322.7]","[0.93652,0.595117,-2.20822,0.153705,0.267261]","[-0.435798,2.5046,2.8837,2.75298,1.68238]","[435307,189164,496493,90759.7,26723]","[0.9894,0.99372,0.996645,0.998734,0.981032]","[0,0,0,4,0]","[0,0,0,0,0]","[-0.680744,-0.768473,-0.942245,-0.634715,-0.707891]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[419197]","[0.755703]","[-0.535821]","[574348]","[182141]","[0]","[0.698416]","[0.637416]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1546.58]",9044.48,"[5384.76,8177.9,3360.85,8277.24,2190.84]","[]","[56491.9]","[]"
9,284500,8916449,364188,1,222.595,3.49434e+06,1.32095,0.98916,1,1,1,0.998896,0.99765,1,1,0,0,1,"[0]","[1]","[123970]","[0.595599]","[-2.7936]","[146617]","[-0.0858917]","[1]","[11]","[1]","[0]","[-689.783]","[0.00897653]","[1.12659]",247553,0.499305,1,"[115703]","[-0.232948]","[-2.42329]","[119443]","[0.58408]","[0]","[0]","[-0.950181]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258485]","[0.245849]","[-2.62884]","[282901]","[95382.8]","[0]","[0.276871]","[0.439707]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1743.6]",14830.5,"[4840.93]","[]","[16244.3]","[]"
