event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,115537,364187,16.3183,620.167,5.42702e+06,1.1961,0.97994,1,1,1,0.997043,1.00632,1,1,0,0,1,"[0]","[1]","[251907]","[0.253652]","[-0.0564061]","[260054]","[-0.0144806]","[1]","[11]","[1]","[0]","[1781.91]","[-0.00309766]","[0.373033]",323317,2.83834,2,"[120359,23402]","[0.386871,2.42498]","[-0.83012,2.79191]","[130488,133329]","[0.979635,0.9818]","[0,0]","[0,0]","[-0.591029,-0.656988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[350164]","[0.325734]","[-0.256569]","[388844]","[122913]","[0]","[0.344048]","[0.846982]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2243.08]",475.469,"[2049.22,1773.72]","[]","[16333.8]","[]"
1,284500,339704,364187,-1,620.167,5.42702e+06,1.26205,1,0.997581,1,1,0.997555,0.993119,1,0,1,0,1,"[0]","[1]","[25333.7]","[-2.18073]","[-2.53025]","[113568]","[-0.281101]","[1]","[13]","[1]","[0]","[176.964]","[0.02798]","[2.49094]",94634.5,-2.8932,3,"[262005,187373,41475.2]","[-1.19596,0.985751,-1.56351]","[-0.63081,2.25282,1.3354]","[473617,288490,103623]","[0,0.195038,0.992781]","[0,0,0]","[0,0,0]","[-0.772471,-0.76308,-0.914867]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267171]","[-1.20586]","[-0.626872]","[486960]","[28507.8]","[0]","[1.50981]","[0.771462]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[83.5989]",5965.95,"[5379.98,4463.99,4435.35]","[]","[8424.11]","[]"
2,284500,1839622,364187,1,620.167,5.42702e+06,1.25133,1,0.995851,1,1,0.99129,0.778754,1,0,1,0,1,"[0]","[1]","[71838.8]","[0.665304]","[2.29876]","[88332.9]","[0.102715]","[-1]","[13]","[1]","[0]","[85.1566]","[0.026229]","[4.61386]",75919,-0.753808,2,"[671320,670890]","[0.317395,0.422193]","[-0.431368,2.70978]","[706148,731798]","[0.990066,0.994377]","[0,0]","[0,0]","[-0.646238,-0.611781]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[672963,616689]","[0.296943,0.401771]","[-0.430925,2.70984]","[703206,667280]","[22352.6,13890.6]","[0,0]","[2.07289,4.45521]","[0.480628,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[903.14]",11662.4,"[8363.28,14513]","[]","[51628,8549.12]","[]"
3,284500,3997192,364187,1,620.167,5.42702e+06,0.75088,0.97949,1,1,1,0.997288,0.99672,1,1,0,0,1,"[0]","[1]","[76251.4]","[0.982638]","[-0.407163]","[116124]","[-0.000429153]","[1]","[11]","[1]","[0]","[-734.898]","[0.0596517]","[6.18021]",80254.6,-0.924122,3,"[154844,132781,130964]","[1.53733,1.11377,-1.37149]","[2.37437,2.88719,-0.342827]","[377044,224417,275055]","[0.996325,0,0]","[0,0,0]","[0,0,0]","[-0.950414,-0.790398,-0.849269]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281479]","[1.41064]","[2.5972]","[615236]","[70642.2]","[0]","[0.820531]","[0.802292]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[204.759]",2113.77,"[4820.21,2433.92,2453.17]","[]","[679.531]","[]"
4,284500,10953428,364187,1,620.167,5.42702e+06,0.596562,0.97994,1,1,1,0.990998,1.00632,1,1,0,0,1,"[0]","[1]","[204785]","[0.141923]","[-0.962285]","[206851]","[-0.0125999]","[-1]","[11]","[1]","[20415.5]","[2710.65]","[-0.0224151]","[2.60679]",60556.8,-0.587518,4,"[727562,601704,396646,40464.5]","[-0.234768,-2.13095,-0.446952,0.000569435]","[-1.40065,1.78865,1.97858,2.86841]","[749345,2.56999e+06,439412,40842.8]","[0.99,0.994642,0.995225,0.99]","[0,0,0,0]","[0,0,0,0]","[0.638704,-0.956705,-0.905151,-0.848897]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[902503,405888]","[-0.172162,-0.449184]","[-1.29607,2.01132]","[946496,462859]","[238670,118139]","[0,0]","[0.584634,3.00993]","[0.580421,0.714728]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1001.25]",26794.1,"[12178.9,12924.5,12207.8,2186]","[]","[53940.9,9568.75]","[]"
5,284500,14042006,364187,2.29301,620.167,5.42702e+06,1.26459,0.96194,1,1,1,0.997861,1.01532,1,1,0,0,1,"[0]","[1]","[55325.1]","[2.11245]","[0.463087]","[232073]","[-0.234818]","[-1]","[11]","[1]","[0]","[912.836]","[-0.014362]","[1.23772]",6013.53,-0.95615,3,"[300259,228048,22191.9]","[-1.77142,-0.928432,0.30968]","[2.51336,-0.58287,2.55078]","[908546,334051,23635.1]","[-0.1,0.258942,0.664098]","[0,0,0]","[0,0,0]","[-0.743516,-0.906389,-0.898738]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[315067]","[-1.75166]","[2.50796]","[935704]","[24541.7]","[0]","[2.08982]","[0.658311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[210.947]",42085.2,"[13691.4,4185.29,1690.29]","[]","[29103.5]","[]"
6,284500,5232572,364187,2.39018,620.167,5.42702e+06,0.738662,0.97695,1,1,1,0.997176,0.98743,1,1,0,0,1,"[0]","[1]","[233203]","[-0.06391]","[0.479365]","[233680]","[-0.0401878]","[-1]","[11]","[1]","[1478.39]","[-1339.45]","[-0.00155411]","[0.219152]",222428,-2.72092,3,"[40276.2,22086.6,20191.6]","[-1.86249,0.455299,-0.498547]","[-2.99144,1.00527,1.45002]","[133144,24543.3,23214.2]","[0.806505,1,0.987206]","[0,0,0]","[0,0,0]","[-0.740316,-0.795544,-0.638206]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258104]","[-0.0170036]","[0.513738]","[265725]","[63028.7]","[0]","[0.466166]","[0.265725]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3811.64]",2445.95,"[5501.38,1913.25,1179.05]","[]","[42.7344]","[]"
7,284500,5165692,364187,1.26516,620.167,5.42702e+06,1.55465,0.98089,1,1,1,0.998303,0.99866,1,1,0,0,1,"[0]","[1]","[261847]","[-0.933883]","[-0.344984]","[384574]","[0.0235825]","[1]","[11]","[1]","[0]","[-2253.84]","[-0.0297502]","[3.67259]",175158,2.4383,2,"[107969,25394.1]","[-1.13772,-0.547505]","[-3.02521,2.74897]","[185905,29607.4]","[0.996882,1]","[0,0]","[0,0]","[-0.881438,-0.709129]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290737]","[-0.929908]","[-0.345864]","[425765]","[-0.00676582]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2495.76]",7779.28,"[3451.46,1748.3]","[]","[9624.59]","[]"
8,284500,8349435,364187,-0.712918,620.167,5.42702e+06,0.187531,0.96787,1,1,1,0.998424,0.98743,1,1,0,0,1,"[0]","[1]","[97727]","[-0.103426]","[-0.159839]","[98250.2]","[-0.0468979]","[1]","[11]","[1]","[0]","[-345.122]","[-0.00819131]","[0.628238]",289040,-3.12238,2,"[137744,60599.7]","[0.339211,-0.763834]","[0.138776,0.0494092]","[146103,79306.4]","[1,0]","[0,0]","[0,0]","[-0.959337,-0.820161]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286375]","[0.0139417]","[0.0123265]","[303786]","[101290]","[0]","[1.13646]","[0.0279897]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[361.994]",5051.34,"[2681.41,3546.67]","[]","[7680.62]","[]"
9,284500,9644911,364187,-1,620.167,5.42702e+06,0.619412,0.97994,1,1,1,0.998853,1.00632,1,1,0,0,1,"[0]","[1]","[308903]","[0.508633]","[-2.33143]","[349729]","[-0.0266476]","[1]","[11]","[1]","[0]","[131.557]","[-0.0151073]","[1.93814]",253218,0.710713,2,"[80536,30538.9]","[0.34057,-0.979362]","[1.47143,-1.45098]","[85870.9,46821.3]","[0.992851,0.99998]","[0,0]","[0,0]","[-0.885516,-0.907248]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[318956]","[0.51935]","[-2.32716]","[362949]","[1353.49]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2628.09]",4562,"[7200.03,2031.8]","[]","[18243.3]","[]"
