event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,90,301324,1,3.1201,199000,0,0.95061,1,1,1,0.941959,0.96294,1,1,0,0,1,"[0]","[1]","[34236.2]","[-0.765204]","[0.115587]","[44758.2]","[-0.277049]","[-1]","[11]","[1]","[0]","[2145.55]","[0.016824]","[1.86162]",119899,0.468134,5,"[219854,146978,37165,33297.2,21303.9]","[-0.93442,-1.60435,-1.51988,-1.67385,0.023931]","[-2.86644,0.240594,-2.35887,3.0015,-2.472]","[324056,380631,89315.4,92059.7,21702.8]","[0.987327,0.995003,0.939045,1,0.99]","[0,5,5,0,0]","[0,1,1,0,0]","[-0.257282,0.958221,-0.372379,-0.780679,-0.937714]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250001]","[-1.10907]","[-2.84718]","[432451]","[102302]","[1]","[1.99308]","[0.536388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[30.1401]",19455.8,"[3250.34,15754.6,1724.62,5453.3,1373.7]","[]","[0]","[]"
1,284500,179,301324,1,3.1201,199000,0,0.97446,1,1,1,0.98485,0.98483,1,1,0,0,1,"[1]","[1]","[55113.7]","[-0.443718]","[-1.58295]","[60628.9]","[-0.0376892]","[-1]","[11]","[1]","[0]","[720.508]","[0.0313541]","[3.04385]",95917.9,-0.601044,7,"[198340,190181,91914.5,42980,39668.4,31791.8,27837.1]","[-0.967281,0.045803,-0.531862,-1.04073,-1.62423,-0.0133231,-1.76994]","[1.81267,-1.6758,1.12443,0.68329,3.12484,-2.39422,2.51211]","[300808,190587,105883,68868.1,104866,32095,84226.6]","[0.990511,0.988496,0.990062,1,0.991551,0.896742,1]","[4,5,0,0,5,0,0]","[1,1,0,0,1,0,0]","[0.701085,0.836658,-0.900157,-0.870015,0.997038,-0.886616,-0.818158]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[290211,268757]","[-0.993013,-0.0657393]","[1.50658,-1.71669]","[480439,279565]","[179995,74921.6]","[1,1]","[1.39476,1.75501]","[0.681749,0.0639843]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[69.3627]",6728.15,"[6958.59,5016.33,2336.16,3910.2,1445.7,2189.15,1852.85]","[]","[4421.28,1322.84]","[]"
2,284500,415,301324,1,3.1201,199000,1.26459,0.9823,1,1,1,0.877268,1.00632,1,1,0,0,1,"[1]","[1]","[123553]","[0.250957]","[1.13447]","[127464]","[0.0139656]","[1]","[11]","[1]","[1486.2]","[3175.03]","[-0.0591838]","[3.62481]",65615.7,1.5869,6,"[129977,111084,90599.1,77278.8,34946.9,23353.1]","[-1.14578,0.689377,-0.757194,-1.751,-0.449561,-1.18647]","[-1.99863,0.675869,-2.65389,-1.47948,1.818,1.58663]","[225216,139626,118990,229456,39212.9,42164.2]","[0.998067,0.997196,0.994014,0.996193,1,0.995931]","[4,5,0,5,0,0]","[1,1,0,1,0,0]","[-0.579454,0.574955,-0.619856,-0.0173223,-0.893728,-0.943256]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[288309]","[-0.910722]","[-2.13358]","[438608]","[137892]","[1]","[1.21913]","[0.199481]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[468.626]",5259.86,"[4806.91,3213.83,4624.96,1379.73,2925.72,3539.36]","[]","[32259.4]","[]"
3,284500,1192,301324,1,3.1201,199000,0.00220911,1,0.992069,1,1,1.16438,0.824273,1,0,1,0,1,"[1]","[1]","[99629]","[0.220775]","[-1.03329]","[102067]","[0.0227089]","[1]","[13]","[1]","[0]","[-89.6195]","[-0.00864677]","[1.21679]",269026,2.52146,5,"[249040,91384.5,27756.1,26840.5,20132.8]","[-0.277349,0.997254,1.00991,0.449269,0.34214]","[-0.43161,2.95386,-1.63838,1.20602,0.715773]","[259136,141433,43487.1,30040.8,21741.9]","[0.994716,0.983484,1,1,0.929034]","[5,4,5,0,4]","[1,0,1,0,0]","[0.998539,0.899448,0.919209,-0.842022,-0.413422]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250693]","[-0.270121]","[-0.42986]","[260209]","[12795.5]","[1]","[0.599668]","[0.488119]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3653.07]",4223.19,"[9160.87,4280.03,1623.69,2052.2,1248.58]","[]","[0]","[]"
4,284500,1751,301324,1,3.1201,199000,0.402058,0.99242,1,1,1,1.04801,0.99765,1,1,0,0,1,"[1]","[1]","[169262]","[0.628648]","[-1.1991]","[203825]","[0.0523071]","[1]","[11]","[1]","[0]","[-32.7517]","[0.0105929]","[1.58443]",53555.6,2.94259,4,"[299181,99916.1,72215.9,47358.7]","[1.43333,1.1026,-1.83313,0.0323542]","[2.27142,-0.499279,0.183513,-0.181031]","[663058,168054,231659,47723.8]","[0.99,0.99,1,0.994272]","[0,5,0,5]","[0,1,0,1]","[-0.933632,0.999817,-0.948108,0.99915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304535]","[1.44258]","[2.27007]","[680462]","[14008.7]","[0]","[3.30601]","[0.62809]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[962.064]",25036.5,"[10631.7,1712.2,3059.88,4374.4]","[]","[4569.06]","[]"
5,284500,1969,301324,1,3.1201,199000,0.402058,1,0.996261,1,1,0.976423,0.881445,1,0,1,0,1,"[1]","[1]","[58171.8]","[-0.307316]","[-1.86046]","[60940.5]","[-0.039566]","[-1]","[13]","[1]","[0]","[303.726]","[-0.0091304]","[1.40343]",65327.5,-1.5713,5,"[170886,157439,137697,62282.8,25136.5]","[1.27265,0.255543,0.780154,0.568604,-1.80144]","[1.24519,-2.46166,1.0105,-1.32324,2.04872]","[330044,163064,182775,72792.8,78270.9]","[0.998755,0.995865,0.992843,0.98703,0.968568]","[4,5,0,0,0]","[1,1,0,0,0]","[0.772728,0.872708,-0.898699,-0.941098,-0.81685]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[322586]","[1.0377]","[1.14435]","[522818]","[103729]","[1]","[1.13528]","[0.778138]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[997.331]",2249.58,"[2265.49,5419.13,3033.04,2031.09,1817.88]","[]","[35058.8]","[]"
6,284500,129,301324,1,3.1201,199000,0,0.98697,1,1,1,1.04671,1.00582,1,1,0,0,1,"[0]","[1]","[175691]","[-0.480157]","[-0.0172857]","[196336]","[0.0632706]","[1]","[11]","[1]","[4363.22]","[-850.385]","[-0.000220462]","[0.0399491]",260320,-0.0839989,7,"[176567,128203,99567.5,92819.5,63654.2,32026.6,25421.8]","[-0.856242,0.216178,0.957269,-0.414086,-0.0769389,-2.29752,0.254234]","[-3.03062,3.06668,-2.84221,-2.88585,0.856769,0.878534,2.36951]","[246181,132092,149287,101101,64497.7,161086,26779.7]","[0.990058,0.992307,0.987014,1,0.998867,0.948165,0.976345]","[0,0,0,5,5,0,0]","[0,0,0,1,1,0,0]","[-0.915847,-0.936708,-0.823904,0.999921,0.998805,-0.835814,-0.555427]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[369569]","[-0.407625]","[-3.05417]","[442807]","[188460]","[1]","[0.922699]","[0.335742]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2230.46]",4716.52,"[2642.57,8079.01,3051.09,3342.35,1256.56,2124.84,2232.51]","[]","[41168.6]","[]"
7,284500,224,301324,1,3.1201,199000,0.619412,0.98916,1,1,1,0.892578,0.99765,1,1,0,0,1,"[1]","[1]","[142275]","[0.660488]","[2.47961]","[174453]","[-0.0475655]","[1]","[11]","[1]","[0]","[-530.831]","[0.0101217]","[1.08537]",116483,3.05663,4,"[254927,93552.1,84451.9,28731.3]","[0.198072,0.047745,0.449161,0.302588]","[-0.635534,2.47181,0.343818,-1.1742]","[260677,94627.5,93495.8,30293.6]","[1,0.995322,0.977324,0.992819]","[5,5,0,0]","[1,1,0,0]","[0.999813,-0.618776,-0.959104,-0.850039]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[332147]","[0.278964]","[-0.45996]","[378836]","[156156]","[1]","[1.24522]","[0.554658]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1028.65]",23392.3,"[16911.9,4976.08,5670.72,3040.6]","[]","[18889.5]","[]"
8,284500,1020,301324,1,3.1201,199000,3.34815,1,0.997948,1,1,0.931716,1.02987,1,0,1,0,1,"[1]","[1]","[31859.1]","[-1.17475]","[2.99587]","[56489.8]","[0.027523]","[1]","[13]","[1]","[0]","[40.2501]","[-0.0149831]","[1.56227]",88404.5,-1.83542,4,"[291413,219096,200564,154241]","[-0.393371,-0.728634,-1.6165,-1.32709]","[1.06195,-2.26564,0.879596,-1.9466]","[314822,280766,524952,311437]","[1,1,0.993719,1]","[0,5,5,0]","[0,1,1,0]","[-0.489419,0.94592,0.997848,-0.962609]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[326244,284661]","[-1.00691,-0.399907]","[-2.12882,1.05525]","[519158,308378]","[115781,20006.6]","[1,0]","[0.667216,3.26724]","[0.648692,0.710898]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[60.1133]",1399.44,"[5361.22,4389.85,5777.36,3789.34]","[]","[2290.62,15064.1]","[]"
9,284500,815,301324,1,3.1201,199000,1.24168,1,0.995807,1,1,0.996053,0.937307,1,0,1,0,1,"[0]","[1]","[36156.2]","[0.0601622]","[2.77101]","[36221.8]","[-0.0913916]","[1]","[13]","[1]","[0]","[1111.94]","[0.0251107]","[3.40506]",173633,2.52988,6,"[201820,91213.8,73472.6,36304.6,22575.2,20855.2]","[1.41613,0.34271,1.42017,0.787822,0.131278,-1.00247]","[-0.586645,1.97513,-1.33244,-0.765321,-1.80166,1.24633]","[440707,96977.7,161245,48245.6,23148.5,32428.2]","[0.982454,0.999967,0.984517,1,0.981761,0.981627]","[5,0,0,0,5,0]","[1,0,0,0,1,0]","[0.83635,-0.862023,-0.661597,-0.888295,0.668208,-0.927122]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[297493]","[1.40504]","[-0.779733]","[654267]","[122277]","[1]","[1.43506]","[0.506052]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[68.7878]",11617.6,"[3507.15,4361.58,6291.73,2632.54,1480.1,1297.89]","[]","[18324.4]","[]"
