event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
403,284500,8348,364127,1,0.145046,1.00431e+06,1.1961,0.906258,1,1,1,0.989588,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[651992,17811.7]","[0.556853,0.32178]","[2.23357,3.09355]","[755718,18741.8]","[-0.0389786,-0.0262661]","[1,-1]","[11,11]","[1,1]","[0,0]","[2353.66,6.77432]","[0.013404,0.00710937]","[1.23791,0.710734]",47340.5,0.0245383,6,"[737112,190812,144052,35774.2,23345.1,22689.9]","[-0.831879,-2.11199,-0.0449791,-1.4702,-1.89374,0.344141]","[-1.15287,0.495771,1.95046,-2.05353,-1.50697,-0.97855]","[1.00836e+06,800164,145080,82172.5,79498.2,24471.1]","[0.997843,0.99445,0.994579,0.996369,0.949055,0.634303]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.706718,-0.639679,-0.914149,-0.699181,-0.660344,-0.884639]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[803464,726199]","[0.454261,-0.832973]","[2.18408,-1.1483]","[913337,993102]","[214474,10986]","[0,0]","[0.356577,2.63854]","[0.473555,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4557.77,55.5416]",19042.4,"[22787.5,9167.93,3743.04,2276.14,3374.09,1201.22]","[]","[16398.1,39057.8]","[]"
679,284500,4167,364127,1,0.145046,1.00431e+06,1.21412,0.992484,1,1,1,0.929705,0.99765,1,1,0,0,2,"[1,1]","[1,0]","[148041,10943.1]","[0.783605,1.53744]","[-1.00767,2.28068]","[195866,26633.4]","[-0.0963326,-0.114416]","[1,-1]","[11,11]","[1,1]","[0,0]","[-409.147,-148.799]","[0.000418163,0.0127232]","[0.0364206,0.493874]",38272.1,-0.389173,8,"[1.10951e+06,1.10891e+06,145949,83630,50544.3,50522.8,23964.9,21221.8]","[-0.252304,0.69429,-2.18949,1.40999,-0.686803,-1.1963,1.26134,-2.45722]","[3.00571,-0.112606,2.18646,-0.685143,2.85605,2.24725,-0.197959,2.51921]","[1.15063e+06,1.38874e+06,660123,181735,63390.8,91732.6,45766.5,124807]","[0.99307,0.989111,0.996985,0.890962,0.995985,0.986439,0.994935,0.98913]","[0,0,0,4,0,0,4,0]","[0,0,0,0,0,0,0,0]","[-0.841217,0.157328,-0.846107,0.694091,-0.0190489,0.427548,0.740321,-0.514691]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.30655e+06,1.11179e+06]","[0.77186,-0.283182]","[-0.233615,2.99905]","[1.78395e+06,1.1665e+06]","[489569,151130]","[0,0]","[1.74743,2.49605]","[0.455165,0.739865]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[982.576,322.237]",7410.25,"[18886.2,17092.4,3159.93,3714.6,5074,6120.41,2555.71,2039.57]","[]","[34727.1,99360.4]","[]"
961,284500,6593,364127,1,0.145046,1.00431e+06,0.596562,1.00588,1,1,1,0.978186,1.00306,1,1,0,0,1,"[1]","[1]","[263053]","[0.831556]","[2.83796]","[359364]","[-0.0225773]","[-1]","[11]","[1]","[0]","[-783.049]","[0.00483931]","[0.535131]",9671.9,-2.47964,8,"[683144,299449,175421,59902.7,50204.8,32593.9,28428.8,20370.2]","[-1.78422,1.10105,0.686229,-0.663405,-0.912942,-2.04706,1.51425,0.127483]","[0.568097,-2.07213,-2.25735,-2.81563,-2.34295,-0.593633,1.65654,0.326118]","[2.09172e+06,500842,218937,74039.9,72957.5,128348,67815.6,20893.3]","[1,0.998958,0.991256,0.99105,0.984728,1,0.997277,0.990111]","[0,0,0,0,0,0,0,4]","[0,0,0,0,0,0,0,0]","[-0.96239,-0.935878,-0.93048,-0.794801,-0.907577,-0.87782,-0.890015,0.802682]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[730564,519548,271210]","[-1.77677,0.985224,0.84635]","[0.567144,-2.16049,2.83816]","[2.22115e+06,803681,374283]","[34546.8,131980,-0.00552427]","[0,0,0]","[2.70861,1.24494,0]","[0.611977,0.725654,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3554.81]",3293.02,"[11528.6,5824.65,9987.2,8016.27,2518.85,7048.05,7806.11,958.867]","[]","[27197.9,26050.9,15089.2]","[]"
1441,284500,9216,364127,1,0.145046,1.00431e+06,1.1961,0.92962,1,1,1,0.947305,0.99765,1,1,0,0,2,"[1,1]","[1,0]","[166752,20142.7]","[0.684742,0.662369]","[-0.013584,1.67932]","[207396,24725.3]","[0.021805,-0.0411856]","[1,-1]","[11,11]","[1,1]","[0,0]","[-673.501,3551.69]","[-0.00048143,0.00752681]","[0.0699356,0.659299]",181409,-1.18699,4,"[614298,283841,30641.2,21168.6]","[1.22117,0.874603,0.449403,-1.86191]","[2.3128,-1.11655,-0.90137,-1.00294]","[1.13297e+06,400279,33940.2,69925.3]","[0.989913,1,0.988654,0.984932]","[0,4,0,4]","[0,0,0,0]","[-0.954457,-0.269041,-0.852339,-0.850953]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[610420,313725]","[1.22345,0.834726]","[2.31556,-1.10485]","[1.12794e+06,432610]","[41674.5,51638.1]","[0,0]","[2.46107,2.01141]","[0.74031,0.569879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[935.891,228.868]",25978.5,"[9332.91,8825.36,1988.2,1126.87]","[]","[16674.4,15712.6]","[]"
1691,284500,4112,364127,1,0.145046,1.00431e+06,1.32095,0.971307,1,1,1,0.995139,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[171948,88762.2]","[-0.100347,-0.810923]","[-1.94042,-2.00605]","[172814,119582]","[0.0836105,0.0184517]","[1,-1]","[11,11]","[1,0]","[0,4234.14]","[5484.25,2919]","[-0.0102035,0.00120933]","[1.2544,0.117268]",63406.9,-0.531127,2,"[615920,463789]","[0.908423,-0.99789]","[2.0956,-0.601303]","[888397,715074]","[0.836276,1]","[0,0]","[0,0]","[-0.824294,-0.725956]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[640966,512131,287630]","[0.902221,-1.00737,-0.376909]","[2.09618,-0.596283,-1.96121]","[920828,794993,319931]","[38500.3,20873.1,85466.1]","[0,0,0]","[3.07544,3.15951,0.126356]","[0.329493,0.672489,0.610124]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2290.36,548.786]",17640.1,"[8146.73,6853.29]","[]","[4796.69,17423.6,12150.5]","[]"
1762,284500,6324,364127,1.33487,0.145046,1.00431e+06,0.402058,0.998255,1,1,1,0.992373,0.99765,1,1,0,0,2,"[1,1]","[1,1]","[507001,419728]","[0.803788,0.938594]","[2.72563,2.55317]","[679792,618588]","[0.0101604,0.0589104]","[1,-1]","[11,11]","[1,1]","[50507.6,418549]","[959.739,-2475.32]","[-0.00429413,0.00384845]","[0.613762,0.317859]",52475.5,-2.48521,4,"[884718,298345,58982.1,32868.7]","[-0.387013,0.651127,-2.03471,1.20855]","[-0.120146,-1.70818,1.18615,-1.99651]","[952559,364273,229733,60045.6]","[0.99539,0.994917,0.876931,0.983617]","[0,0,0,0]","[0,0,0,0]","[-0.718112,-0.946026,-0.00890025,-0.642128]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[963319,877336,338603]","[0.864477,-0.395739,0.705262]","[2.64379,-0.120584,-1.7333]","[1.34936e+06,947300,430454]","[91485,26247.9,59211.1]","[0,0,0]","[0,0.875552,2.57924]","[-1,0.386474,0.662201]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4143.29,4896.5]",14694.1,"[18910.1,5506.65,2617.4,3136.24]","[]","[24862.1,36049.2,15928.1]","[]"
2753,284500,7391,364127,1,0.145046,1.00431e+06,0.553627,0.98697,1,1,1,0.99083,1.00582,1,1,0,0,1,"[1]","[1]","[224878]","[-0.107889]","[-2.91951]","[226188]","[-0.0689812]","[1]","[11]","[1]","[0]","[1597.54]","[-0.0189709]","[2.77492]",50128,-0.205709,5,"[653231,455499,40193.1,33893.6,24231.6]","[-0.451911,0.636016,0.370968,1.52073,-1.62263]","[-0.084732,2.84983,-2.54275,1.24699,-2.05986]","[723621,552689,43528.8,81382.3,63969.1]","[0.999316,0.994317,0.98327,0.968402,0.961941]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.685863,-0.759907,-0.10574,-0.519763,-0.680811]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[659394,649350]","[-0.455936,0.408645]","[-0.0850077,3.02631]","[731945,767422]","[64167.6,304729]","[0,0]","[1.63124,0.48956]","[0.612259,0.526702]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1102.48]",13432.6,"[11811.9,6133.43,2502.06,2170.65,2356.51]","[]","[24993.3,80786.9]","[]"
2807,284500,513,364127,1,0.145046,1.00431e+06,0.619412,0.95113,1,1,1,1.50867,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[282152,171958]","[-0.908516,-2.10985]","[-2.6219,-1.68891]","[406830,719496]","[-0.0218887,-0.173744]","[-1,1]","[11,11]","[1,1]","[2372.96,1130.37]","[775.327,787.463]","[-0.0236909,0.00651245]","[3.76428,0.676028]",56324.2,-2.62419,3,"[637962,79320.9,79116.1]","[2.14872,-1.82233,-1.13534]","[0.718309,1.21259,-2.22968]","[2.77308e+06,251864,135981]","[0.989965,0.998786,0.995326]","[0,4,4]","[0,0,0]","[-0.856064,0.84668,-0.95568]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[609688]","[-0.862798]","[-2.52213]","[864656]","[152776]","[0]","[1.42788]","[0.464388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3165.53,1776.31]",15202.9,"[14592.8,3415.48,4702.84]","[]","[24417.6]","[]"
3238,284500,9437,364127,1,0.145046,1.00431e+06,1.32095,0.98178,1,1,1,0.981752,0.99604,1,1,0,0,1,"[1]","[1]","[113800]","[-2.2059]","[1.88365]","[522831]","[-0.0632744]","[1]","[11]","[1]","[0]","[1358.88]","[-0.0154956]","[2.02825]",48385,0.210069,4,"[452140,435658,44588.2,24303.4]","[-1.87278,-0.447233,-1.30146,2.10776]","[-2.90064,-0.13164,1.11835,0.583669]","[1.50568e+06,485964,88241,101694]","[0.998231,0.991609,0.994908,0.991637]","[0,5,0,0]","[0,0,0,0]","[-0.924755,0.977271,-0.949391,-0.939309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[469251,443636]","[-1.87097,-0.453442]","[-2.90012,-0.139542]","[1.55995e+06,497881]","[7621.73,88067.5]","[0,0]","[0,1.32367]","[-1,0.594042]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2038.55]",44034.6,"[7606.52,6153.61,2831.46,2259.57]","[]","[34018.7,34026.6]","[]"
3735,284500,822,364127,1,0.145046,1.00431e+06,0.619412,0.932345,1,1,1,0.992677,0.99746,1,1,0,0,2,"[0,0]","[1,1]","[68631,64895.4]","[-1.6215,-1.68506]","[0.962507,2.31628]","[180441,181001]","[-8.01086e-05,-0.00833511]","[1,-1]","[11,11]","[1,1]","[0,0]","[685.792,-13.7405]","[0.000761339,0.00378168]","[0.0747636,0.247999]",75938.6,-0.138012,5,"[586467,548224,92893.6,60565.7,29097.8]","[0.92896,-0.861364,0.0256466,-0.342217,0.745339]","[-0.767888,2.46579,-2.90795,0.982735,-1.5003]","[859508,765484,93691.3,65016.1,37984.9]","[0.987203,1,0.997552,0.892778,0.999707]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.874864,-0.872113,-0.784235,-0.716735,-0.679212]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[621242,544375]","[-0.999541,0.918828]","[2.45188,-0.763866]","[973756,791313]","[172858,28572.3]","[0,0]","[1.64978,2.24648]","[0.438601,0.518483]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[597.182,1133.3]",14384.1,"[27420,7264.57,2177.59,3843.23,5580.66]","[]","[920.75,53273.5]","[]"
