event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
77,284500,5003113,364122,1,6.08125,3.33861e+06,0.696077,0.98089,1,1,1,0.991738,0.99866,1,1,0,0,1,"[1]","[1]","[220402]","[-1.08459]","[1.61163]","[363252]","[-0.113575]","[-1]","[11]","[1]","[0]","[4748.04]","[0.0119593]","[1.95818]",31304.6,-0.498327,4,"[199911,66256.3,37074.9,33512]","[-0.844177,-1.5291,-0.0669345,-0.111019]","[-1.55955,1.0133,-2.61564,-1.45158]","[276144,160249,37993.7,34605.9]","[0.996609,0.993986,0.999594,0.996372]","[5,0,0,0]","[0,0,0,0]","[0.996917,-0.186543,-0.886771,-0.62405]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284852]","[-1.21298]","[1.51938]","[527508]","[80081.9]","[0]","[0.647886]","[0.708706]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2304.56]",6526.8,"[10199.3,2696.55,4110.66,3245.19]","[]","[7457.19]","[]"
81,284500,5010790,364122,1.00121,6.08125,3.33861e+06,1.25133,0.96392,1,1,1,1.0475,1.01012,1,1,0,0,1,"[1]","[1]","[232049]","[1.84569]","[-2.28824]","[753045]","[0.0346642]","[1]","[11]","[1]","[0]","[842.66]","[-0.0145005]","[1.38886]",38918.1,1.94292,4,"[201158,59694.9,37778.8,26170.9]","[-0.257258,-0.815863,-0.510611,-0.671139]","[0.759155,0.65732,-2.44405,-0.428134]","[209103,80928.3,43511.3,32845.9]","[0.998302,0.982391,1,0.855775]","[0,5,0,0]","[0,0,0,0]","[0.382135,0.993957,-0.932212,-0.594466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258223]","[1.83068]","[-2.29331]","[826111]","[0.0110485]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2934.66]",1508.62,"[4882.3,1955.68,3986.34,4396.53]","[]","[9778.23]","[]"
82,284500,5011921,364122,1,6.08125,3.33861e+06,0.696077,0.97553,1,1,1,0.999348,1.01265,1,1,0,0,2,"[1,0]","[1,1]","[148819,79259.8]","[1.79821,1.70512]","[-2.35742,-1.37367]","[461666,225249]","[-0.0161591,0.21331]","[-1,-1]","[11,11]","[1,0]","[1427.36,0]","[460.453,482.547]","[-0.0112186,0.0544448]","[0.928075,1.87387]",5786.18,-1.63123,1,"[241384]","[-1.45138]","[1.05898]","[544045]","[0.993558]","[0]","[0]","[-0.961664]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253347]","[-1.44542]","[1.0676]","[567864]","[22853.9]","[0]","[2.20831]","[0.74768]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1552.53,645.416]",239.6,"[4839.76]","[]","[1864.55]","[]"
119,284500,5097267,364122,-1,6.08125,3.33861e+06,0,0.966682,1,1,1,0.98398,1.01265,1,1,0,0,2,"[1,1]","[1,1]","[124633,115217]","[1.61442,0.846902]","[-0.365773,-0.791853]","[325541,159066]","[0.034685,0.0586621]","[-1,1]","[11,11]","[1,1]","[0,0]","[1464.19,-1768.34]","[-0.0198011,-0.0538994]","[1.92567,5.12484]",36659.7,-0.840867,2,"[235088,24711.1]","[0.713084,-0.321507]","[2.45014,-1.88199]","[299051,26509.3]","[0.993566,0.960127]","[5,0]","[0,0]","[0.95957,-0.860535]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268885]","[1.35834]","[-0.554268]","[569838]","[117890]","[0]","[0.0673543]","[0.230572]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1330.09,741.762]",12531.3,"[6998.02,3445.67]","[]","[6602.22]","[]"
150,284500,5200971,364122,1.80708,6.08125,3.33861e+06,1.08735,0.96323,1,1,1,0.997107,1.00493,1,1,0,0,1,"[1]","[1]","[197037]","[-1.19448]","[2.75343]","[355128]","[0.0301151]","[-1]","[11]","[1]","[0]","[-1303.14]","[-0.00387157]","[0.441896]",39768.1,1.13262,3,"[116812,81045.2,34752.4]","[0.498289,-0.985369,1.34309]","[-0.0117953,-0.680497,-0.197834]","[132290,123983,71217.2]","[0.980555,0.99,0.953034]","[0,0,0]","[0,0,0]","[-0.259662,-0.931592,-0.430108]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259072]","[-1.1888]","[2.94945]","[470968]","[76331.5]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1893.18]",1174.24,"[6009.05,3542.5,5517.56]","[]","[5200.33]","[]"
152,284500,5000916,364122,1,6.08125,3.33861e+06,1.08735,0.950444,1,1,1,1.04095,1.01265,1,1,0,0,2,"[1,1]","[1,1]","[206811,64273]","[1.67268,1.72116]","[2.19053,2.96873]","[570194,185424]","[0.0358562,0.0205517]","[-1,1]","[11,11]","[1,1]","[0,0]","[1511.09,786.25]","[-0.0167212,-0.0196463]","[1.51106,1.74394]",24933.4,-0.624001,2,"[129134,32404.8]","[2.16027,1.1648]","[-0.792108,-0.404572]","[567641,57322.6]","[0.995101,0.999274]","[0,5]","[0,0]","[-0.919494,0.999698]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273342]","[1.73626]","[2.37778]","[808062]","[115055]","[0]","[0.14388]","[0.00966666]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4492.25,274.838]",6600.5,"[6862.72,1415.76]","[]","[10123.2]","[]"
162,284500,5188437,364122,1,6.08125,3.33861e+06,1.22586,0.983509,1,1,1,0.999678,1.00936,1,1,0,0,2,"[1,1]","[1,1]","[181493,59074.1]","[0.0601586,0.815541]","[-2.49664,-2.26257]","[181822,79832.7]","[0.0369263,0.0136642]","[1,-1]","[11,11]","[1,1]","[0,1229.69]","[627.9,-464.328]","[0.00978887,0.00957984]","[1.39278,1.21266]",35864.3,-2.58745,1,"[273384]","[0.897498]","[0.744256]","[391425]","[0.96719]","[0]","[0]","[-0.746953]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[305153,262773]","[0.873572,0.204245]","[0.741873,-2.41882]","[429533,288949]","[17311.4,107338]","[0,0]","[4.19099,0.811344]","[0.543112,0.100135]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1649.5,195.983]",81.582,"[3484.28]","[]","[16490.5,2626.88]","[]"
204,284500,5201339,364122,1,6.08125,3.33861e+06,1.55465,0.97166,1,1,1,0.949747,1,1,1,0,0,1,"[1]","[1]","[146021]","[2.22314]","[-1.49181]","[682248]","[-0.0800476]","[-1]","[11]","[0]","[0]","[3009.88]","[0.00044672]","[0.0439865]",20499.6,0.432489,4,"[250891,100072,37329.9,33921.8]","[-1.81339,-0.794033,-1.25893,0.227331]","[2.29568,-0.16294,2.16635,0.162491]","[789660,133691,71425.6,35416.9]","[0.930689,1,0.979161,0.994138]","[0,5,0,5]","[0,0,0,0]","[-0.0286153,0.857646,-0.907747,0.578608]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250272]","[-1.80744]","[2.29373]","[785063]","[53877.3]","[0]","[2.68655]","[0.538176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1702.97]",5022.88,"[4631.73,1306.51,3048.93,4277.01]","[]","[0]","[]"
270,284500,6786990,364122,1,6.08125,3.33861e+06,1.32095,0.961595,1,1,1,1.05633,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[222193,55740.9]","[-0.472729,0.0829834]","[2.27465,2.81681]","[247486,55932.9]","[-0.0523491,-0.0199242]","[1,-1]","[11,11]","[1,1]","[0,0]","[745.554,1262.04]","[0.00799968,0.00575086]","[1.32856,0.710446]",17766.3,-0.874543,2,"[279194,21660.2]","[-0.101953,-2.461]","[-0.756711,2.08935]","[280989,127858]","[0.997622,0]","[5,0]","[0,0]","[0.298795,-0.701131]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[291904,282427]","[-0.353907,-0.0800824]","[2.38486,-0.759688]","[325370,283484]","[97632.3,9240.81]","[0,0]","[0.0647433,1.583]","[0.31365,0.025168]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3752.85,207.719]",13191.5,"[2762.03,1624.94]","[]","[14600.2,8875.91]","[]"
297,284500,6745093,364122,1,6.08125,3.33861e+06,0.553627,0.92183,1,1,1,0.999337,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[235329,33594]","[0.435611,1.61905]","[-1.47149,-2.78917]","[258012,88122.9]","[0.0139732,0.204253]","[1,-1]","[11,11]","[1,1]","[0,0]","[4516.68,-750.649]","[0.0287012,-0.0127059]","[1.75851,0.762472]",41739.6,0.849069,1,"[218091]","[0.256964]","[1.70653]","[227064]","[0.993343]","[0]","[0]","[-0.906696]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254507]","[0.4393]","[-1.47049]","[279506]","[4922.02]","[0]","[7.81981]","[0.341236]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1935.87,295.279]",3817.11,"[6813.15]","[]","[18293.1]","[]"
