event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
97,284500,3756,364124,1,2.24919,908262,1.1961,0.9823,1,1,1,0.952836,1.00632,1,1,0,0,1,"[1]","[1]","[110265]","[0.473854]","[-2.58858]","[122878]","[0.0200386]","[1]","[11]","[1]","[0]","[-583.817]","[-0.0602217]","[3.68802]",16663.5,-0.158961,3,"[252488,75883.9,73186]","[1.9347,2.0944,1.48228]","[0.558103,-2.73625,-2.59105]","[892250,312986,169509]","[0.961115,0.997651,0.997146]","[4,0,0]","[0,0,0]","[-0.89484,-0.752257,-0.977164]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251268]","[1.9453]","[0.562121]","[897010]","[16631.4]","[0]","[1.9049]","[0.521103]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[651.305]",2148.01,"[3148.01,4032.51,2529.17]","[]","[7923.88]","[]"
102,284500,3766,364124,2.36574,2.24919,908262,1.22586,0.957352,1,1,1,0.92978,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[160275,156845]","[0.312444,-0.02633]","[-1.31858,-0.823663]","[168162,156900]","[0.0647926,0.0501127]","[1,-1]","[11,11]","[1,1]","[0,0]","[1489.3,-147.157]","[-0.00664022,0.0280178]","[0.551073,3.76969]",3184.68,-0.0330165,4,"[154778,112032,55024.2,23222.1]","[0.487283,1.64172,0.73895,1.19984]","[2.60043,1.773,1.54776,1.45472]","[174103,300379,71154.5,42203.4]","[0.986287,1,0.993895,0.991487]","[4,0,4,0]","[0,0,0,0]","[-0.376317,-0.923543,-0.925077,-0.16922]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[315663]","[0.161474]","[-1.07773]","[335847]","[102612]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[717.377,676.473]",5746.19,"[5121.11,5523.59,2654.17,4450.6]","[]","[27433.1]","[]"
126,284500,2972,364124,1,2.24919,908262,1.22586,0.97332,1,1,1,1.47417,0.98683,1,1,0,0,1,"[1]","[1]","[61309.8]","[-0.829788]","[0.32941]","[83656.4]","[-0.0387039]","[1]","[11]","[1]","[13812.5]","[2592.7]","[0.00527951]","[0.573535]",61383,-2.45349,5,"[247794,168728,129779,30119.3,26811.7]","[-1.48286,-0.0589706,0.159984,-0.525485,2.17013]","[0.752617,-2.78604,-2.22981,-1.73652,2.34394]","[574177,169484,132485,34786.1,119064]","[0.419968,1,0.997804,1,0.979404]","[0,0,4,0,0]","[0,0,0,0,0]","[-0.937088,-0.822599,0.983921,-0.039213,-0.814555]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[360659,282327]","[-1.33502,0.0627196]","[0.563362,-2.54689]","[743791,297331]","[127858,91560.7]","[0,0]","[0.734884,0.708398]","[0.35117,0.60975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[434.455]",7746.77,"[3418.2,2800.14,3887.88,5974.68,2080.86]","[]","[1508.94,19671.2]","[]"
284,284500,8947,364124,1,2.24919,908262,1.32095,0.983766,1,1,1,0.99853,0.99866,1,1,0,0,2,"[1,0]","[1,0]","[101311,14907.2]","[-0.786111,2.37256]","[-2.36483,-0.596881]","[134260,80633.5]","[-0.0917625,0.612347]","[-1,1]","[11,11]","[1,1]","[0,2511.84]","[-2269.77,2945.94]","[0.0414191,-0.0439151]","[3.25756,0.95274]",38119.5,2.72694,3,"[269666,38718.3,21195.4]","[-0.946648,-0.381878,-1.00754]","[1.29867,0.561959,1.80929]","[399974,41871.8,33138.2]","[1,0.997852,0.980289]","[0,0,0]","[0,0,0]","[-0.832867,-0.757156,-0.011523]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284990]","[-0.929384]","[1.20847]","[425506]","[83715.5]","[0]","[1.32154]","[0.655107]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[501.779,87.0459]",2870.86,"[5172.02,3619.45,3249.2]","[]","[30259.1]","[]"
318,284500,7202,364124,1,2.24919,908262,0.75088,0.97994,1,1,1,0.996131,1.00632,1,1,0,0,1,"[1]","[1]","[281283]","[0.320502]","[2.26552]","[295854]","[-0.0318031]","[1]","[11]","[1]","[0]","[-174.805]","[0.0260716]","[3.37414]",16852.2,-1.5854,4,"[125442,105921,22408.9,21836.4]","[1.85503,1.53631,1.38097,-0.631326]","[-1.10227,-0.819749,-0.288727,-0.600339]","[410944,257803,47664,26608.9]","[0.99509,0.999815,0.992788,1]","[0,0,0,0]","[0,0,0,0]","[-0.837768,-0.590144,-0.515617,-0.893493]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[296636]","[0.291993]","[2.26839]","[309380]","[2246.95]","[0]","[22.5373]","[0.165122]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1820.36]",15744.5,"[16077.7,6469.45,3940.59,1732.78]","[]","[18723.2]","[]"
373,284500,4873,364124,1,2.24919,908262,1.21412,0.938093,1,1,1,0.960843,1.00493,1,1,0,0,2,"[1,1]","[1,1]","[91031.9,24446.4]","[-1.14992,-0.127201]","[-2.04246,2.78938]","[158150,24644.4]","[-0.00115204,0.0315475]","[-1,1]","[11,11]","[1,1]","[0,0]","[-506.116,-432.841]","[-0.00330495,0.00633107]","[0.369276,0.761536]",25027.7,-0.180568,2,"[213432,178370]","[0.691797,-0.562825]","[1.18664,-1.89133]","[267769,207892]","[0.985191,1]","[4,0]","[0,0]","[-0.924728,-0.925224]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286130]","[-0.848629]","[-1.94441]","[406414]","[93571.1]","[0]","[0.42079]","[0.433297]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[698.063,108.704]",65.6699,"[9941.67,2823.76]","[]","[10188.1]","[]"
460,284500,154,364124,1,2.24919,908262,0.738662,0.96203,1,1,1,0.936813,1.01508,1,1,0,0,1,"[1]","[1]","[198397]","[-1.76702]","[-1.87855]","[597593]","[0.0644379]","[-1]","[11]","[1]","[0]","[5453.66]","[-0.00882839]","[0.993505]",26453.6,-0.328379,4,"[248590,52031.3,37411.9,30634.3]","[-0.568732,0.249648,-0.526007,-0.195158]","[1.61073,-0.612173,-1.14035,2.12248]","[290699,54734.8,43103.6,31989.4]","[0.995667,0.998233,0.997578,0.995301]","[4,0,0,4]","[0,0,0,0]","[-0.891272,-0.73759,-0.727306,-0.810564]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252431]","[-0.586399]","[1.60305]","[297916]","[22175]","[0]","[2.79143]","[0.52975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2711.4]",533.881,"[11165.6,2034.65,2027.85,3421.61]","[]","[0]","[]"
601,284500,4436,364124,-1,2.24919,908262,1.26205,0.96392,1,1,1,0.997679,1.01012,1,1,0,0,1,"[1]","[1]","[161609]","[1.97719]","[-1.83342]","[594792]","[0.081501]","[1]","[11]","[1]","[0]","[-824.51]","[0.00733268]","[0.679433]",12447.7,0.154283,4,"[248894,89094.9,35263,28251.7]","[-0.704042,1.18674,-0.718643,-0.516224]","[1.27936,-1.91837,-2.32443,-0.205303]","[314415,159734,45125.1,32481.9]","[0.993382,0.99209,0.993454,0.998599]","[0,0,0,0]","[0,0,0,0]","[-0.917591,-0.995039,-0.167945,-0.624188]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260848]","[1.75975]","[-1.85994]","[786628]","[99278.1]","[0]","[0.0195804]","[0.384953]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1116.64]",23967.9,"[4072.31,2969.89,6524.1,4114.34]","[]","[10166.1]","[]"
699,284500,353,364124,1,2.24919,908262,0.553627,0.948654,1,1,1,0.997477,1.01265,1,1,0,0,2,"[1,1]","[1,1]","[124648,84427.9]","[1.60657,1.16404]","[1.34011,2.13272]","[323227,148384]","[-0.0244031,-0.015152]","[1,-1]","[11,11]","[1,1]","[0,0]","[2317.9,1263.14]","[0.0232869,0.0165457]","[3.3136,1.21025]",9150.47,-0.855462,4,"[255614,47423.9,36850.5,27602.4]","[0.631276,1.84867,-0.25627,-1.07282]","[-1.45355,2.46005,0.398842,2.03873]","[308847,154430,38273.6,45312.2]","[0.994436,0.976951,0.991635,0.965237]","[0,0,0,0]","[0,0,0,0]","[-0.924641,-0.33788,-0.889354,-0.936682]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[259901,252368]","[1.63711,0.638824]","[1.76609,-1.45259]","[710655,305901]","[156260,12681]","[0,0]","[0.990969,4.03109]","[0.140489,0.718904]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1312.55,356.502]",7308.23,"[6519.31,5297.37,2099.97,2757]","[]","[10513,6448.34]","[]"
714,284500,1562,364124,1,2.24919,908262,1.55465,0.971751,1,1,1,0.958097,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[190231,89720.3]","[-0.265606,-0.085787]","[-2.75293,2.85586]","[196981,90050.7]","[0.0603676,0.0244446]","[1,-1]","[11,11]","[1,1]","[0,0]","[3037.25,720.594]","[-0.00710213,0.00939775]","[0.777941,1.42643]",4803.63,1.36477,2,"[274952,27586.7]","[-0.574768,-1.05572]","[0.251455,-2.32369]","[322946,44884.5]","[1,0.933176]","[4,0]","[0,0]","[0.720276,-0.472368]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[283386,282519]","[-0.595255,-0.262274]","[0.249401,-2.96336]","[336491,308884]","[30646,99874.2]","[0,0]","[1.80374,0.123594]","[0.483141,0.0576174]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[888.381,928.039]",162.181,"[5408.79,3714.42]","[]","[31414.6,9597.47]","[]"
