event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
58,284500,1142,364123,1,4.79684,1.66573e+06,0.402058,0.972521,1,1,1,0.998176,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[192452,139845]","[-0.246369,-0.768727]","[-1.64259,-1.49881]","[198323,183241]","[-0.0572281,0.00512695]","[1,-1]","[11,11]","[1,1]","[0,0]","[1607.62,1590.94]","[0.0063619,0.0104034]","[0.815234,0.710895]",10760.6,-2.87551,2,"[304236,32238.1]","[-0.832598,-1.35739]","[1.55804,1.27581]","[416525,67033.3]","[0.988338,0.953583]","[0,0]","[0,0]","[-0.386804,-0.828416]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[347950,317989]","[-0.451928,-0.804798]","[-1.5852,1.55971]","[396446,427077]","[98203.2,19101.3]","[0,0]","[0,2.18601]","[-1,0.397291]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1077.57,892.363]",1162.8,"[9059.91,5993.96]","[]","[20445.5,2967.31]","[]"
129,284500,3131,364123,-1,4.79684,1.66573e+06,1.21412,0.965641,1,1,1,0.998948,0.9918,1,1,0,0,2,"[1,1]","[1,1]","[187089,77681.6]","[-0.746075,-0.887248]","[0.285975,-0.562678]","[241619,110317]","[-0.015358,-0.00915527]","[1,-1]","[11,11]","[1,1]","[0,0]","[2117.68,-417.994]","[-0.00691853,-0.00266738]","[0.571331,0.253574]",18080.1,0.341881,2,"[248037,34512.1]","[-1.06163,-0.522873]","[3.09955,-1.75883]","[402035,39823.8]","[0.997113,0.978758]","[0,0]","[0,0]","[-0.555147,-0.86669]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258208]","[-0.8744]","[0.0480865]","[381687]","[116822]","[0]","[0.116248]","[0.341754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1134.13,232.521]",1235.07,"[3492.23,1949.42]","[]","[2095.98]","[]"
480,284500,3987,364123,1.02468,4.79684,1.66573e+06,1.21412,0.941404,1,1,1,0.997984,0.92551,1,1,0,0,2,"[1,1]","[1,0]","[163762,31781.7]","[-2.42921,-1.82161]","[0.999667,-0.122104]","[936558,100805]","[-0.248775,0.0249557]","[-1,1]","[11,11]","[1,0]","[0,0]","[-761.162,482.771]","[0.0647169,-0.0379207]","[3.85883,1.62091]",38275.5,-2.61115,3,"[234576,81804.3,27301.3]","[-0.863304,-2.19604,-0.156871]","[-2.35519,0.123913,1.75942]","[327956,372266,28040.8]","[0.995267,0.987693,1]","[0,0,0]","[0,0,0]","[-0.878083,-0.903979,-0.851008]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266851]","[-0.853615]","[-2.3531]","[370438]","[15324.8]","[0]","[2.15208]","[0.188046]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6024.46,196.603]",6203.62,"[2733.52,6941.55,2010.87]","[]","[1055.81]","[]"
536,284500,4674,364123,1,4.79684,1.66573e+06,1.22586,0.942635,1,1,1,0.995446,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[170916,54157.3]","[-0.430369,-1.33871]","[-3.13087,-3.00646]","[186990,110381]","[7.24792e-05,0.0188122]","[-1,1]","[11,11]","[1,1]","[1336.02,0]","[6183.08,-1135.78]","[-0.0187323,-0.00257788]","[2.14492,0.257166]",19183.8,2.63533,5,"[311977,104487,64346.7,34321.1,24868.1]","[-1.78381,-0.813971,1.68166,2.26654,0.443696]","[-0.0519304,2.19702,-1.88782,-1.62285,0.93447]","[955056,141285,179303,167367,27865.4]","[0.897739,0.998726,0.99864,0.991968,0.993266]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.779469,-0.896523,-0.684995,-0.913934,-0.535964]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[317619]","[-1.78399]","[-0.0538705]","[972615]","[29742.6]","[0]","[2.99967]","[0.826821]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2047.45,397.576]",2206.35,"[5014.14,4601.67,3022.92,3811.55,1749.48]","[]","[432.938]","[]"
1033,284500,762,364123,-1,4.79684,1.66573e+06,0.696077,0.98697,1,1,1,0.998728,1.00582,1,1,0,0,1,"[1]","[1]","[332492]","[-0.331786]","[-2.09512]","[350961]","[0.0579834]","[1]","[11]","[1]","[0]","[-725.032]","[0.0155412]","[2.96284]",41011,0.458019,3,"[322343,71457.5,60391]","[-1.47766,0.0753073,1.10911]","[1.01281,-2.97861,0.277432]","[743934,71979.1,101890]","[0.991342,0.992482,0.98055]","[0,0,0]","[0,0,0]","[-0.778332,-0.908935,-0.920026]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[379110,319566]","[-0.309038,-1.49579]","[-2.2235,1.00092]","[422504,749146]","[143583,19421]","[0,0]","[0.389144,2.19896]","[0.473103,0.78721]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2286.86]",18600.8,"[5482.94,8218.33,6243.96]","[]","[869.781,11562.2]","[]"
1046,284500,1906,364123,1,4.79684,1.66573e+06,1.55465,0.98089,1,1,1,0.997473,0.99866,1,1,0,0,1,"[1]","[1]","[166832]","[-0.798504]","[0.732201]","[222905]","[0.0277557]","[-1]","[11]","[1]","[0]","[-1137.71]","[-0.0174179]","[1.70953]",29635.4,-2.81714,3,"[279745,125040,62559.3]","[1.65692,-1.06857,-1.96825]","[-2.95468,-0.0475878,-0.616091]","[760702,203524,228558]","[0.994998,0.990081,0.990405]","[0,0,0]","[0,0,0]","[-0.783927,-0.976448,-0.160268]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[296774,264618]","[1.63093,-0.99577]","[-2.95619,0.442287]","[788412,419445]","[45412,101353]","[0,0]","[2.13678,0.00430424]","[0.672076,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1629.36]",5567.33,"[7384.29,3370.58,3765.54]","[]","[7049.22,3621.44]","[]"
1246,284500,5769,364123,1,4.79684,1.66573e+06,1.26459,0.976365,1,1,1,0.998479,0.9918,1,1,0,0,2,"[1,1]","[1,1]","[197528,128915]","[-0.673137,-0.780817]","[-1.11743,-0.553289]","[243995,170250]","[0.0816956,-0.0292206]","[1,-1]","[11,11]","[1,1]","[0,0]","[123.086,1440.75]","[-0.005421,0.00429776]","[0.622131,0.511004]",3431.55,2.70242,2,"[206837,111463]","[-0.867129,-1.56323]","[2.04242,2.60449]","[290006,277923]","[0.993005,0.910678]","[0,0]","[0,0]","[-0.965397,-0.860868]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[321303,276661]","[-0.805028,-1.22693]","[-0.88646,2.24104]","[442730,524864]","[100545,113852]","[0,0]","[0.0621785,0.554105]","[0.369718,0.675093]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1079.02,930.254]",1931.96,"[4209.42,6504.62]","[]","[18277.9,9005.62]","[]"
1466,284500,1401,364123,1,4.79684,1.66573e+06,1.24168,0.994886,1,1,1,0.996456,1.00582,1,1,0,0,2,"[1,1]","[1,0]","[260374,8386.29]","[-0.359437,-1.0149]","[-0.332745,-2.78459]","[277376,13089]","[0.117512,0.208405]","[-1,1]","[11,11]","[1,1]","[0,0]","[-12.5643,221.225]","[0.00182747,0.0107396]","[0.361402,0.534564]",9418.82,-3.08986,3,"[50581.5,32667.6,21163.8]","[2.08702,-0.635913,2.35044]","[2.85779,0.525194,-2.52613]","[207229,39694.8,112109]","[0.983418,0.816692,0.997758]","[0,0,0]","[0,0,0]","[-0.791784,-0.695787,-0.166941]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285040]","[-0.40566]","[-0.275812]","[313294]","[52777.3]","[0]","[0.663389]","[0.387921]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1339.7,166.708]",7590.38,"[4427.04,2980.33,1653.29]","[]","[14273.7]","[]"
1487,284500,2936,364123,1,4.79684,1.66573e+06,0.75088,0.99211,1,1,1,0.997231,0.9918,1,1,0,0,1,"[1]","[1]","[348043]","[-0.601344]","[2.39153]","[412891]","[-0.0296211]","[1]","[11]","[1]","[0]","[-143.388]","[-0.0123916]","[1.97961]",40527,-0.374993,4,"[294489,51191.9,39156.5,25790.2]","[-0.687958,-1.50153,-1.27145,-0.0442055]","[-0.8214,2.34675,-0.391895,-0.486639]","[367524,120680,75866.8,26385]","[1,1,0.999247,0.99]","[0,0,0,0]","[0,0,0,0]","[-0.806393,-0.883163,-0.743553,-0.944386]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[385905,298243]","[-0.726055,-0.699906]","[2.39069,-0.825064]","[505638,374685]","[115932,16446.3]","[0,0]","[0.360864,1.65332]","[0.66225,0.268661]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2838.94]",2409.96,"[4060.02,2624.93,2234.24,2293.02]","[]","[14980.3,16228.6]","[]"
1713,284500,14870,364123,1.02721,4.79684,1.66573e+06,0.351687,0.98089,1,1,1,0.995349,0.99866,1,1,0,0,1,"[1]","[1]","[212640]","[-1.02295]","[1.68484]","[333942]","[-0.041172]","[-1]","[11]","[1]","[0]","[5549.33]","[-0.027251]","[2.67835]",18131.3,2.21134,5,"[258665,65278.8,26461.6,25963.7,25499.4]","[-1.31335,-1.85494,-0.153009,-2.06344,-0.141074]","[-1.43655,2.17812,-0.859872,-2.53613,0.464382]","[516228,214012,27270.4,103942,26392.8]","[0.767567,0.988016,0.963805,1,0.981485]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.877513,0.184062,-0.887604,-0.780237,-0.788171]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[308847,289507]","[-1.32571,-1.27148]","[-1.43433,1.7917]","[623581,571552]","[38389.7,129022]","[0,0]","[2.54271,0.662617]","[0.776891,0.258028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2623.64]",7963.84,"[6031.78,5136.23,1763.69,1855.97,1740.16]","[]","[7544.75,9994.16]","[]"
