event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1272,284500,368502,364126,1,1.76415,2.94274e+06,0.619412,0.972521,1,1,1,0.995909,1.00582,1,1,0,0,2,"[1,1]","[1,0]","[167366,131893]","[-0.189432,-0.778011]","[-1.03533,-0.958194]","[170377,173865]","[0.0219179,0.025194]","[1,-1]","[11,11]","[1,1]","[0,0]","[2622.74,953.722]","[0.00103089,-0.00156562]","[0.155706,0.130291]",77106.6,-0.507854,3,"[446442,154832,21048.6]","[0.989997,-0.190959,2.47847]","[1.89868,-1.84773,-2.83733]","[685670,159272,126430]","[0.995582,0.995338,0.0538589]","[0,0,0]","[0,0,0]","[-0.835145,-0.19899,-0.701245]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[454987,436181]","[0.99452,-0.410921]","[1.8957,-1.26275]","[702039,527414]","[63478.8,232243]","[0,0]","[1.67283,1.12166]","[0.577567,0.19628]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[730.296,843.161]",35186.5,"[5633.37,3579.46,1572.44]","[]","[21521.5,7419.38]","[]"
2138,284500,1850,364126,1,1.76415,2.94274e+06,1.55465,0.946426,1,1,1,0.994958,1.00056,1,1,0,0,2,"[1,1]","[1,1]","[61675.5,46322.9]","[0.565807,0.747693]","[0.822643,2.11219]","[71814,59885.7]","[0.0104675,-0.0352287]","[-1,1]","[11,11]","[1,1]","[0,0]","[735.622,906.219]","[-0.00234416,0.00486493]","[0.218058,0.495093]",33759.6,-0.0383567,5,"[310969,167601,141994,54290.6,23471.7]","[1.00342,0.206615,1.89749,2.4719,1.32198]","[-1.86357,2.1629,0.297605,0.994205,-3.03974]","[481435,171729,484291,323870,47353.7]","[1,1,0.982633,1,0.996192]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.690702,-0.954915,-0.878,-0.741651,-0.861143]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276491]","[0.989338]","[-1.8582]","[423394]","[12546.3]","[0]","[3.80659]","[0.320406]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[234.729,88.6832]",9823.01,"[3937.25,2350.59,10498.1,2424.28,1702.19]","[]","[12434.8]","[]"
2859,284500,78,364126,1,1.76415,2.94274e+06,0.351687,0.98089,1,1,1,0.959735,0.99866,1,1,0,0,1,"[1]","[1]","[368897]","[-0.836146]","[-1.07104]","[505543]","[-0.00626183]","[-1]","[11]","[1]","[0]","[337.863]","[-0.00964903]","[1.35039]",49879.5,1.80627,3,"[297990,209153,103310]","[0.790244,0.558656,-1.39526]","[2.59216,1.33261,-1.15453]","[396574,243543,221614]","[0.989807,0.999709,0.990941]","[4,0,0]","[0,0,0]","[-0.932993,-0.713467,-0.986339]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[457035,308182]","[-0.939317,0.791466]","[-1.07536,2.59397]","[679907,410378]","[89972.8,20758.1]","[0,0]","[0.109638,3.68897]","[0.401604,0.669858]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6411.39]",25614.1,"[10948.2,2597.63,8501.09]","[]","[35532.4,4716.03]","[]"
2994,284500,2667,364126,1,1.76415,2.94274e+06,0.696077,0.98916,1,1,1,0.997131,0.99765,1,1,0,0,1,"[1]","[1]","[131322]","[0.695994]","[-0.597034]","[164434]","[0.0109863]","[1]","[11]","[1]","[4809.85]","[3087.47]","[0.00415707]","[0.550257]",11812.1,2.6099,4,"[416174,327634,45454,43369]","[0.877315,1.20815,2.15069,-0.714956]","[2.6176,-0.520631,2.40495,1.95877]","[587256,597528,198109,55270.6]","[0.997377,0.993932,0.99,0.989146]","[0,0,0,0]","[0,0,0,0]","[-0.830891,-0.840158,-0.928791,-0.675946]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[448227,401489]","[1.0729,0.88925]","[-0.545032,2.62017]","[740719,571113]","[113820,12772.1]","[0,0]","[0.508133,1.67754]","[0.527987,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[814.707]",14954.6,"[8245.94,10741.5,3861.29,2068.88]","[]","[1737,16605.3]","[]"
3663,284500,2115,364126,1.31415,1.76415,2.94274e+06,0.696077,0.943898,1,1,1,1.41194,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[335349,13406.2]","[0.361642,0.551305]","[-2.07434,-0.653745]","[357518,15495.7]","[-0.0694275,-0.00849533]","[-1,1]","[11,11]","[1,1]","[0,0]","[-975.015,237.293]","[0.01099,-0.00209539]","[1.45176,0.176289]",42795,3.01397,5,"[216519,177963,38353.1,31316.6,23499.2]","[0.996618,1.81694,1.80475,1.14184,1.18524]","[1.16587,0.749866,-2.02234,-0.0445709,-2.22168]","[334820,562138,119824,54415.3,42226.4]","[0.987429,0.993848,0.99,0.982856,0.999657]","[0,0,4,0,0]","[0,0,0,0,0]","[-0.94831,-0.0309321,0.830747,-0.947066,-0.846908]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[363440,340573]","[1.4774,0.388048]","[0.963759,-2.08015]","[858764,366541]","[189076,1386.82]","[0,0]","[0.655663,0]","[0.612289,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4195.51,45.5961]",11162.3,"[5740.32,6822.46,2186.52,4815.43,7894.1]","[]","[10336.5,5129.91]","[]"
3762,284500,3173,364126,1,1.76415,2.94274e+06,1.21412,0.914437,1,1,1,0.961522,0.93884,1,1,0,0,2,"[1,1]","[1,1]","[57605.7,35941.4]","[1.24607,1.60332]","[-0.211143,2.57657]","[108422,92921.9]","[-0.0303459,0.00846481]","[1,-1]","[11,11]","[1,1]","[0,0]","[-55.338,1393.32]","[0.00513352,-0.00348171]","[0.421304,0.237139]",11161.8,-0.0357031,6,"[260313,170715,67556,39859,37359.8,28786.6]","[1.05497,-1.36947,1.71988,-2.39818,-0.545155,1.511]","[-2.08047,0.758559,1.88024,0.867803,1.85462,-2.3003]","[419276,358024,194982,221127,43372.8,68481]","[0.997029,0.999951,0.999453,0.95142,1,0.983091]","[0,5,4,0,0,0]","[0,0,0,0,0,0]","[-0.823912,0.991774,-0.886046,-0.740252,-0.765137,-0.82492]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279798]","[1.10805]","[-2.09707]","[473022]","[54502.9]","[0]","[3.28435]","[0.753966]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[263.824,170.205]",4123.09,"[4058.47,7447.26,8437.53,7120.92,4651,1782.17]","[]","[40800.2]","[]"
4227,284500,779,364126,1,1.76415,2.94274e+06,0.553627,0.98916,1,1,1,0.997273,0.99765,1,1,0,0,2,"[1,1]","[1,0]","[139041,37731.4]","[0.606245,0.107271]","[1.7791,2.93282]","[165385,37948.7]","[-0.035675,0.0756531]","[1,-1]","[11,11]","[1,0]","[0,0]","[-477.401,122.834]","[0.00473126,-0.00594854]","[0.751155,0.432423]",42561.2,2.09695,4,"[253216,252306,98121.8,72457.7]","[-0.588843,-1.88316,-1.00042,2.27003]","[-1.65032,1.44546,-0.780718,-2.95107]","[298657,848805,151924,354715]","[0.99573,0.985516,1,0.98782]","[0,0,0,0]","[0,0,0,0]","[-0.931149,-0.71267,-0.290533,-0.875504]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[362635,258982]","[-0.70769,-1.84091]","[-1.40353,1.44857]","[494252,836718]","[187523,12109.1]","[0,0]","[0.664107,2.71886]","[0.769018,0.735205]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[715.845,22.5985]",6323.48,"[4513.66,6909.68,2462.09,2762.53]","[]","[6889.16,8097.5]","[]"
5567,284500,370948,364126,1.13389,1.76415,2.94274e+06,0.619412,0.962595,1,1,1,0.997779,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[231378,135298]","[0.0958325,0.154646]","[1.95975,1.4491]","[232442,136919]","[0.00302124,-0.045517]","[-1,1]","[11,11]","[1,1]","[1008.47,0]","[2398.18,1011.45]","[0.0326746,-0.00277517]","[3.30765,0.485024]",28434.3,0.366534,3,"[270170,202156,40563.8]","[-0.0406352,0.42106,-1.61364]","[-2.21808,-0.403897,-1.79658]","[270770,223518,106279]","[0.997483,1,0.988299]","[0,0,0]","[0,0,0]","[-0.872615,-0.963426,-0.720439]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[374914]","[0.209223]","[1.77514]","[396384]","[101570]","[0]","[0.0555301]","[0.692628]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1758.62,1693.72]",18412.8,"[3919.77,6233.61,4069.44]","[]","[22001.5]","[]"
6751,284500,780534,364126,1,1.76415,2.94274e+06,1.25133,0.963175,1,1,1,0.908871,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[119865,90120.7]","[-0.575715,-1.28268]","[-2.55097,-3.03474]","[140284,174996]","[0.00543404,0.0621872]","[1,-1]","[11,11]","[1,1]","[23126.8,0]","[1039.21,-230.104]","[-0.00582118,0.00362975]","[0.730566,0.512301]",41665.1,-0.0752269,7,"[159715,97895.7,66574.2,63178.2,45559.1,34940.8,25569.9]","[-0.74545,0.701869,0.842493,1.66685,-0.0193147,-1.9577,-0.135674]","[1.72821,-0.273786,0.276136,-0.393644,-2.95861,1.20931,-0.542165]","[206642,124148,91912.3,173558,46128.7,126464,26183]","[0.988946,0.99444,0.999307,1,0.995966,0.965209,0.998271]","[4,0,0,0,4,4,0]","[0,0,0,0,0,0,0]","[-0.499265,-0.386878,-0.850142,-0.890199,0.020012,-0.854397,-0.864178]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[310220]","[-0.815092]","[-2.74193]","[451626]","[168280]","[0]","[1.27107]","[0.438664]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[617.301,1053.6]",6444.11,"[9836.75,7653.37,2477.65,2425.04,2192.85,2580.76,4533.12]","[]","[14030.3]","[]"
8605,284500,777757,364126,1.0115,1.76415,2.94274e+06,1.32095,0.920902,1,1,1,0.996714,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[151489,34343.4]","[-0.423142,-1.25466]","[-0.544884,-1.44328]","[165255,65111.8]","[0.0197983,0.0218201]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1111.37,-770.836]","[-0.0262595,-0.0147218]","[2.46856,0.947482]",66161.8,0.432074,3,"[468048,319378,40961.2]","[-0.135489,-2.30035,-2.3123]","[-3.05458,0.274989,1.56224]","[477817,1.60948e+06,208882]","[0.999771,0.991781,1]","[0,0,0]","[0,0,0]","[-0.948372,-0.933407,-0.61198]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[449244]","[-0.124772]","[-3.07099]","[457724]","[67325.7]","[0]","[1.38326]","[0.710598]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[748.818,289.174]",8934.89,"[10794.7,5252.62,5120.17]","[]","[12832.3]","[]"
