event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,1306,364119,1,12.7388,35006.5,1.26205,0.947195,1,1,1,0.999208,1.01508,1,1,0,0,2,"[0,1]","[1,1]","[227234,139099]","[-1.6149,-0.214889]","[-0.608658,1.95773]","[593794,142323]","[0.0431366,-0.0598831]","[1,1]","[11,11]","[1,1]","[0,0]","[558.675,519.704]","[-0.100945,0.00296746]","[2.55595,0.440609]",9285.7,-2.38566,1,"[120424]","[1.71686]","[-3.10014]","[346228]","[0.996923]","[0]","[0]","[-0.945671]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257211]","[-1.60513]","[-0.616401]","[666104]","[4116.71]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4243.34,1084.13]",1981.05,"[4497.62]","[]","[947.828]","[]"
1,284500,2049,364119,1,12.7388,35006.5,0.75088,0.985702,1,1,1,0.907979,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[525390,518924]","[1.00283,0.176011]","[-2.67817,0.410045]","[812473,526983]","[-0.0497589,0.0826416]","[-1,1]","[11,11]","[1,1]","[1955.93,0]","[3233.55,3586.55]","[0.0109342,-0.0293071]","[1.02171,3.18164]",5550.02,-2.0779,5,"[56884.4,39560.1,37331.6,35505,24756.9]","[2.20865,-0.174976,-1.55872,0.441828,1.59977]","[2.64664,-0.103901,1.09376,-1.2762,2.53704]","[262199,40765.2,92854.1,39760.8,64038.5]","[0.99,0.99,0.993684,0.892102,0.865319]","[5,0,0,0,0]","[0,0,0,0,0]","[-0.79292,-0.909589,-0.749265,-0.926595,-0.844304]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[551585,541744]","[1.04001,0.231248]","[-2.68214,0.415195]","[877796,556294]","[7465.99,0.00817051]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8521.54,4068.89]",9511.2,"[1635.75,5443.81,2914.98,2374.97,3775.68]","[]","[35142.6,53725.6]","[]"
2,284500,2193,364119,1,12.7388,35006.5,0.75088,0.958675,1,1,1,0.990159,1.01265,1,1,0,0,2,"[1,1]","[1,1]","[300407,231662]","[1.55715,2.21702]","[-1.19338,2.03015]","[744411,1.07594e+06]","[0.0333672,-0.109802]","[-1,1]","[11,11]","[1,1]","[0,0]","[328.127,1051.65]","[-0.00836978,-0.00496823]","[1.08039,0.506998]",31438.6,2.88189,2,"[69373.2,21766.6]","[0.017282,2.30361]","[1.54661,-0.926714]","[69952.6,110096]","[0.990528,0.996221]","[0,4]","[0,0]","[-0.92663,-0.882647]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323404]","[1.55408]","[-1.20035]","[799154]","[2551.4]","[0]","[13.0279]","[0.125543]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6589.24,3465.34]",671.775,"[2259.81,1243.06]","[]","[29476.7]","[]"
3,284500,256929,364119,2.73205,12.7388,35006.5,1.24168,0.97411,1,1,1,1.56822,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[347382,272457]","[-0.531532,-0.465452]","[2.04066,-0.90734]","[397621,302507]","[-0.0360603,-0.0149708]","[-1,1]","[11,11]","[1,1]","[1316.31,0]","[-446.397,-285.416]","[0.0142709,-0.0161584]","[1.36192,2.38633]",12581.9,2.34146,1,"[92308.8]","[0.523407]","[-1.26641]","[106223]","[1]","[4]","[0]","[0.928105]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[353573,348520]","[-0.543471,-0.294294]","[2.0374,-0.991811]","[407091,399027]","[1663.63,164100]","[0,0]","[0,0.186282]","[-1,0.271721]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2122.48,1556.02]",1934.49,"[2549.51]","[]","[638.438,6839.91]","[]"
4,284500,235814,364119,0.590646,12.7388,35006.5,0.696077,0.972512,1,1,1,0.999449,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[335084,271712]","[0.216955,0.646247]","[-0.21697,-3.07103]","[343001,330452]","[0.0953293,-0.0188141]","[1,-1]","[11,11]","[1,1]","[0,5024.31]","[494.238,187.593]","[0.0115822,0.00202546]","[1.63492,0.202031]",43972.2,2.38057,1,"[60086.6]","[1.41232]","[1.70459]","[130975]","[0.998162]","[0]","[0]","[-0.924793]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[342311,276396]","[0.260158,0.686169]","[-0.224624,-3.07437]","[353975,344056]","[3220.73,0.00276214]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3897.64,2114.04]",1170.88,"[2734.68]","[]","[7980.28,20344.4]","[]"
5,284500,267604,364119,1,12.7388,35006.5,0.596562,0.97738,1,1,1,0.996561,1.00056,1,1,0,0,2,"[0,0]","[1,0]","[77083.9,22672.9]","[0.0813683,0.303569]","[3.09554,-0.204983]","[77339.2,23725.7]","[0.0390282,0.0139751]","[1,-1]","[11,11]","[1,0]","[0,0]","[-929.157,385.316]","[-0.0110376,-0.0117772]","[1.20084,0.674068]",58139.1,-3.07004,3,"[488967,262109,164016]","[-2.47327,-1.43663,1.13451]","[0.174621,-2.88992,-2.8831]","[2.92066e+06,583094,281575]","[0.984118,0.980742,0.988348]","[0,0,0]","[0,0,0]","[-0.609046,-0.96388,-0.860711]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258242]","[-1.43265]","[-2.88437]","[572613]","[30347]","[0]","[1.95911]","[0.715564]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[448.916,222.674]",7065.61,"[18777.9,7196.77,12327.4]","[]","[17583.6]","[]"
6,284500,279874,364119,7.93693,12.7388,35006.5,0.553627,0.958656,1,1,1,1,1.0005,1,1,0,0,2,"[1,1]","[1,1]","[326615,283603]","[2.21039,0.43874]","[1.5211,-1.33577]","[1.50716e+06,311339]","[0.0296879,0.0694542]","[-1,1]","[11,11]","[1,1]","[0,0]","[1691.7,2681.79]","[0.0184331,0.00717304]","[1.47803,0.804687]",33820.7,3.10557,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[298365]","[0.454348]","[-1.33845]","[329737]","[5295.71]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5892.45,1544.77]",8301.14,"[]","[]","[11368.2]","[]"
7,284500,279919,364119,-1,12.7388,35006.5,0.553627,0.934732,1,1,1,1.04823,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[226119,154615]","[1.35417,1.9678]","[-3.02778,0.256093]","[467129,563935]","[0.0144386,0.0434399]","[1,-1]","[11,11]","[1,1]","[0,7213.13]","[2956.65,5602.78]","[0.0262886,-0.00658103]","[3.93076,0.359386]",45062.7,1.98938,2,"[63721.9,27734.3]","[0.789511,1.41867]","[-0.028967,-0.440668]","[85926.1,61027]","[0.965035,0.703112]","[5,0]","[0,0]","[0.900832,-0.695836]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269826]","[1.35931]","[-3.02291]","[559935]","[0.00956832]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3137.12,3299.79]",2469.95,"[1595.13,1875.95]","[]","[3263.19]","[]"
8,284500,279766,364119,0.95072,12.7388,35006.5,0.553627,0.972512,1,1,1,0.997481,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[300992,203038]","[0.176604,0.647638]","[0.453106,-2.63624]","[305698,247127]","[0.0332489,0.00775909]","[1,-1]","[11,11]","[1,1]","[2815.6,0]","[413.392,-113.712]","[0.0273991,-0.0316082]","[3.22039,3.03347]",12314.8,-1.97577,4,"[47327.4,28441.3,26088.6,23874]","[0.956903,2.24933,1.25907,2.10452]","[-3.09964,2.82458,-1.1257,2.04361]","[71256.6,136467,49970.7,99500.6]","[0.999137,0.977925,0.755107,0.998891]","[0,0,0,5]","[0,0,0,0]","[-0.939674,-0.888903,-0.375319,-0.447863]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[308125]","[0.231101]","[0.449082]","[316427]","[4807.16]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1690.82,1325.52]",2282.02,"[2336.76,3225.71,2882.18,2078.64]","[]","[7033.69]","[]"
9,284500,289808,364119,1.7435,12.7388,35006.5,1.08735,0.97411,1,1,1,1.04471,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[182853,161094]","[-0.550471,-0.47313]","[1.07104,-2.24103]","[211264,179463]","[0.0113297,0.0403576]","[1,-1]","[11,11]","[1,1]","[0,5934.17]","[-922.377,3792.85]","[-0.000338992,-0.0114525]","[0.0347229,1.43205]",47570.7,0.726031,1,"[90178.4]","[-0.605018]","[0.49662]","[108104]","[1]","[5]","[0]","[0.905597]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[310700,253140]","[-0.518506,-0.599509]","[-2.3541,0.907263]","[355338,305788]","[36965.6,59168.1]","[0,0]","[0.104843,0.674977]","[-1,0.259309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2379.54,1482.58]",9453.17,"[6277]","[]","[16920.2,0]","[]"
