event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,20578,364118,0.603164,20.316,715162,1.21412,0.929142,1,1,1,0.999538,1.01012,1,1,0,0,2,"[1,1]","[1,1]","[420602,357319]","[1.87131,1.83591]","[-0.160079,3.04156]","[1.39865e+06,1.14884e+06]","[0.0806427,-0.149162]","[-1,1]","[11,11]","[1,1]","[0,1393]","[-242.799,652.402]","[0.00385658,-0.00157868]","[0.413125,0.131065]",1817.42,-2.57343,1,"[72817.3]","[-0.267592]","[2.63064]","[75619.1]","[0.99035]","[0]","[0]","[-0.750888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[438347,376570]","[1.89417,1.85292]","[-0.156049,3.03974]","[1.48984e+06,1.23048e+06]","[7081.22,2677.78]","[0,0]","[13.3824,7.48627]","[0.0673078,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4338.75,3455.76]",214.267,"[2042.2]","[]","[40446.6,16483.4]","[]"
1,284500,20389,364118,1,20.316,715162,1.21412,0.985702,1,1,1,1.21595,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[245223,218759]","[0.975198,0.13793]","[-3.02181,0.132238]","[371367,220843]","[-0.0245352,0.0230274]","[-1,1]","[11,11]","[1,1]","[1060.42,1545.96]","[282.173,3042.67]","[-0.0146587,-0.00368597]","[2.57143,0.364964]",12109.9,0.439002,4,"[45206.7,33657.2,28231.8,24311.6]","[0.345619,0.632266,0.914802,0.838838]","[0.848589,-1.98799,1.7401,-1.40448]","[48992.9,41219.4,41258.1,33786.3]","[0.966602,0.996004,0.994018,0.985686]","[0,0,0,0]","[0,0,0,0]","[0.980738,-0.835298,-0.888163,-0.945116]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[267322,251596]","[0.970503,0.153298]","[-3.01697,0.173374]","[403411,256059]","[0.00390625,27678.2]","[0,0]","[0,1.24574]","[-1,0.615084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2404.16,1862.28]",3882.43,"[3283.9,3256.19,1820.27,2418.88]","[]","[2713.62,0]","[]"
2,284500,27764,364118,-1,20.316,715162,0.923924,0.95598,1,1,1,0.995618,1.01265,1,1,0,0,2,"[1,1]","[1,1]","[248230,139320]","[1.73577,1.55748]","[0.00125255,-3.05587]","[726015,345341]","[-0.112732,0.0269737]","[1,-1]","[11,11]","[1,1]","[0,0]","[1459.9,892.094]","[-0.01685,0.0677674]","[1.27814,1.45641]",13992.5,1.21601,3,"[43052.8,30017.4,26957.9]","[1.26398,-1.21642,-1.58529]","[2.80334,-3.0816,-2.70656]","[82397.3,55326.8,68681.3]","[0.993217,0.941793,0.968667]","[0,0,0]","[0,0,0]","[-0.893449,-0.872823,-0.561905]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260098]","[1.74847]","[0.000628834]","[770815]","[38146.2]","[0]","[2.55714]","[0.348275]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5388.79,2998.2]",364.578,"[3968,2009.28,1930.72]","[]","[2559.91]","[]"
3,284500,381159,364118,0.239026,20.316,715162,1.24168,0.96323,1,1,1,0.995036,1.00493,1,1,0,0,1,"[1]","[1]","[401464]","[-1.23107]","[1.52855]","[746094]","[-0.0799627]","[1]","[11]","[1]","[0]","[266.095]","[-0.0208538]","[2.25919]",23102.1,1.4211,4,"[492848,93570.6,33591.7,23680.9]","[-1.39468,0.270345,-0.629789,-1.74971]","[-1.36314,2.81154,3.04876,1.52863]","[1.05514e+06,97515.2,41155.6,70251.3]","[0.991774,1,0.990547,0.96374]","[0,0,0,0]","[0,0,0,0]","[-0.960295,-0.857324,-0.224571,-0.612978]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[496035,426688]","[-1.40049,-1.24673]","[-1.3637,1.52595]","[1.06738e+06,803548]","[1516.04,3929.89]","[0,0]","[0,44.3103]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6083.6]",2183.03,"[8533.92,3140.73,2035.99,3395.64]","[]","[23974,14563.2]","[]"
4,284500,567167,364118,0.721129,20.316,715162,0.402058,0.96203,1,1,1,0.957609,1.01508,1,1,0,0,1,"[1]","[1]","[351320]","[-1.60564]","[-1.85483]","[910233]","[0.0489883]","[-1]","[11]","[1]","[0]","[208.891]","[0.0164322]","[1.59955]",46490.8,-1.35294,2,"[88850.6,23120.5]","[0.124155,1.67726]","[0.720368,2.99624]","[89659.7,64177.9]","[0.999702,0.842351]","[4,0]","[0,0]","[-0.713001,-0.720369]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[361228]","[-1.60158]","[-1.84427]","[932419]","[4949.56]","[0]","[2.49967]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10965.2]",5998.12,"[1700.9,2360.94]","[]","[20618.8]","[]"
5,284500,538702,364118,-1,20.316,715162,1.55465,0.95175,1,1,1,1.3245,0.9244,1,1,0,0,1,"[1]","[1]","[48332.8]","[1.32217]","[0.697008]","[97103.1]","[76.0201]","[-1]","[11]","[1]","[1077.57]","[-727.74]","[-0.0103451]","[0.738246]",32357.5,-3.05225,5,"[339312,302582,115465,70141.5,34182.9]","[-0.685682,0.561388,0.521815,-1.11127,1.19877]","[-0.825927,2.42418,-2.65029,2.1889,-0.310739]","[422684,352171,132597,118368,62245.7]","[0.988351,0.998362,0.00995219,0.999461,0.997682]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.557823,0.989907,-0.819193,0.996158,0.192262]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[381686,293123]","[-0.740042,0.556948]","[-0.785052,2.42313]","[496879,339979]","[75816.8,11839.8]","[0,0]","[2.94774,2.94997]","[0.757285,0.418624]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.8028]",4395.5,"[6133.88,5531.25,2049.97,3019.48,3333.89]","[]","[3789.41,1557.84]","[]"
6,284500,588677,364118,1,20.316,715162,0.596562,0.994407,1,1,1,0.985875,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[520929,485771]","[-0.979987,0.0283628]","[-1.16457,2.05688]","[791744,485967]","[-0.139261,-0.0265656]","[1,-1]","[11,11]","[1,1]","[0,1608.03]","[-476.404,3478.05]","[0.00617078,0.00520609]","[0.969821,0.885288]",34060.9,0.882905,2,"[24750.1,23153.1]","[-0.238562,-1.85077]","[0.194159,2.66741]","[25673.1,75542.7]","[0.993672,0.99]","[0,4]","[0,0]","[-0.731319,0.741754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[557590,504985]","[-0.968206,0.0420916]","[-1.16048,2.05505]","[840004,505432]","[0,0.00126859]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6708.44,5131.69]",1558.37,"[2541.93,1662.09]","[]","[26203.1,36592.7]","[]"
7,284500,568428,364118,1,20.316,715162,0.923924,0.97828,1,1,1,0.998856,1.0005,1,1,0,0,1,"[1]","[1]","[297199]","[2.12042]","[-1.07777]","[1.25635e+06]","[-0.0524635]","[1]","[11]","[1]","[0]","[-1116.32]","[-0.0219298]","[2.05447]",66424.5,-1.13192,2,"[306820,72056.4]","[1.41565,1.76369]","[1.95011,2.41895]","[669324,216439]","[0.583333,0.985872]","[0,0]","[0,0]","[-0.996494,-0.661414]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[345586]","[1.51166]","[2.04541]","[826041]","[85579.6]","[0]","[0.367792]","[0.658842]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4265.54]",13430.3,"[13070.7,2485.17]","[]","[17437.6]","[]"
8,284500,600410,364118,1,20.316,715162,0.75088,0.97411,1,1,1,0.962222,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[355156,352386]","[-0.197013,-0.279908]","[1.63583,-1.39315]","[362071,366281]","[-0.0349979,-0.0421066]","[1,-1]","[11,11]","[1,1]","[0,0]","[-2143.19,1136.55]","[-0.0204952,0.0037337]","[2.35499,0.523553]",45823.6,0.450639,2,"[60397.7,26303.7]","[1.62614,-1.24447]","[3.05522,-2.8952]","[159639,49656.4]","[0.992155,0.939987]","[4,0]","[0,0]","[0.38369,-0.579897]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[364495,362655]","[-0.294212,-0.214496]","[-1.39618,1.63266]","[380414,371030]","[4725.53,0.00338291]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3397.22,2231.6]",7523.37,"[5386.52,1925.5]","[]","[36925.1,5208.5]","[]"
9,284500,595913,364118,1,20.316,715162,1.26459,0.976271,1,1,1,0.938409,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[243337,116873]","[-0.546774,0.70685]","[2.81628,-0.475865]","[280627,147306]","[-0.0226765,0.0459766]","[-1,1]","[11,11]","[1,1]","[0,0]","[320.271,-941.542]","[0.0636798,-0.00489031]","[3.8361,0.550971]",27301.8,-2.6263,4,"[101941,27090.9,26307,25724.1]","[2.14747,0.504215,-0.393793,-0.493966]","[-0.57247,0.536909,0.934254,0.308298]","[442544,31180.5,28898.6,29596.3]","[0.97778,0.865926,1,0.79472]","[4,0,4,0]","[0,0,0,0]","[0.342897,-0.884724,-0.772673,-0.872516]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253401]","[-0.541684]","[2.81454]","[291511]","[2960.62]","[0]","[5.4353]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2352.7,992.69]",6737.97,"[3498.98,4326.38,3180.79,2196.94]","[]","[2232.86]","[]"
