event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
8,284500,84248,361106,1941.17,1950.53,1.50278e+11,1.24168,0.961763,1,1,1,0.999413,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[194348,59100.7]","[-0.484279,-0.458151]","[1.81547,0.975098]","[217587,65412.6]","[-0.050939,0.0335374]","[1,-1]","[11,11]","[1,1]","[0,0]","[809.204,2876.95]","[-0.0129345,-0.0101342]","[2.02613,1.26473]",17594.9,1.39503,1,"[251760]","[-0.886819]","[-1.52034]","[358029]","[1]","[0]","[0]","[-0.914277]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252748]","[-0.515432]","[1.61127]","[304767]","[102337]","[0]","[0.0968887]","[0.546341]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3536.76,235.099]",3370.96,"[4652.38]","[]","[0]","[]"
72,284500,299952,361106,1941.08,1950.53,1.50278e+11,1.1961,0.963735,1,1,1,0.997632,0.99604,1,1,0,0,2,"[1,1]","[1,1]","[146341,131737]","[-2.23621,-2.46976]","[2.35665,1.76923]","[692531,784113]","[-0.0321655,0.166153]","[-1,1]","[11,11]","[1,1]","[1021.19,0]","[3018.02,969.755]","[0.00660985,0.00964096]","[0.715686,0.89947]",29696.2,-0.912519,2,"[263639,20002]","[-1.37849,2.41724]","[-1.07911,2.41284]","[556658,113099]","[0.977607,0.977497]","[0,0]","[0,0]","[0.408565,-0.800056]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284406]","[-1.36974]","[-1.07676]","[595891]","[18143.7]","[0]","[2.26419]","[0.490305]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1868.77,4152.11]",3297.78,"[17927.9,1117.07]","[]","[1181.66]","[]"
102,284500,341038,361106,1941.71,1950.53,1.50278e+11,1.24168,0.955362,1,1,1,0.999527,1.00121,1,1,0,0,2,"[1,1]","[1,1]","[224863,69420.5]","[-1.85596,-0.657179]","[-0.683224,2.23116]","[736894,84958.6]","[-0.0347557,-0.00957489]","[-1,1]","[11,11]","[1,1]","[0,3050.02]","[-1289.56,2423.22]","[0.011583,-0.0147848]","[0.864804,1.84504]",25842.8,-3.13682,2,"[50919.1,48162.9]","[-1.67578,-0.686991]","[2.19777,2.85899]","[140884,60399.6]","[0.98093,0.984197]","[0,0]","[0,0]","[-0.820958,-0.774813]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251996]","[-1.84586]","[-0.679391]","[817905]","[-0.0110485]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6651.78,206.296]",335.719,"[2620.63,2725.2]","[]","[24545.9]","[]"
108,284500,174166,361106,1941.61,1950.53,1.50278e+11,1.22586,0.964388,1,1,1,0.999868,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[159017,117153]","[0.0521724,-0.839096]","[2.14151,-1.36653]","[159233,160873]","[0.0545502,-0.0395508]","[-1,1]","[11,11]","[1,1]","[0,0]","[6320.95,-1154.7]","[-0.00455703,0.00573341]","[0.853545,0.701594]",57981.4,-2.2396,2,"[90356.9,66586.4]","[-1.06651,0.0713903]","[-0.944582,1.39342]","[146928,67723.8]","[0.99619,0.995175]","[0,0]","[0,0]","[-0.944947,-0.880523]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255014]","[0.0595658]","[2.05019]","[270593]","[89202.8]","[0]","[1.73951]","[0.41643]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2284.31,958.965]",16946.3,"[6696.4,3967.04]","[]","[0]","[]"
118,284500,262681,361106,1941.7,1950.53,1.50278e+11,0.923924,0.934054,1,1,1,0.986932,0.99544,1,1,0,0,2,"[1,1]","[1,0]","[282535,14768.6]","[1.3587,0.555304]","[2.63785,-2.46632]","[585997,17104.8]","[-0.0753899,0.0427094]","[1,-1]","[11,11]","[1,0]","[1200.79,0]","[574.641,653.445]","[-0.0175251,0.00186482]","[2.36274,0.123509]",4491.26,-0.608418,3,"[231583,27872,22320.7]","[1.62396,1.64739,-0.404999]","[-0.511993,0.053834,-0.450038]","[610907,75133.9,24473.8]","[0.9917,0.99708,0.962989]","[4,0,0]","[0,0,0]","[-0.107912,-0.799146,-0.911448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[312339]","[1.35437]","[2.63043]","[645359]","[0]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3605.51,242.626]",767.703,"[5165.73,3468.67,1720.99]","[]","[17589.8]","[]"
131,284500,176438,361106,1941.16,1950.53,1.50278e+11,0.75088,0.955575,1,1,1,0.947717,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[251839,49217.7]","[-0.309951,-0.880673]","[-0.192189,2.49714]","[264033,69569.9]","[-0.0461674,0.104643]","[1,-1]","[11,11]","[1,1]","[0,1276.93]","[1400.85,1175.03]","[0.0115157,0.104088]","[1.06498,3.75353]",40602.6,0.0847333,3,"[293533,75420.2,21322.5]","[-2.28029,-0.644495,0.73331]","[2.75115,-0.791982,-2.73221]","[1.45062e+06,92373.2,27831.8]","[0.9971,0.98429,0.949202]","[5,0,0]","[0,0,0]","[0.944938,-0.646741,-0.796036]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[319782]","[-0.367674]","[-0.30565]","[352822]","[88118.9]","[0]","[0.695656]","[0.587834]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1343.66,260.18]",561.863,"[4059.62,4330.85,2617.16]","[]","[15408]","[]"
180,284500,525960,361106,1941.31,1950.53,1.50278e+11,1.55465,0.96966,1,1,1,0.998848,0.99604,1,1,0,0,1,"[1]","[1]","[206027]","[-2.28016]","[-0.946955]","[1.01783e+06]","[-0.00916672]","[-1]","[11]","[1]","[1051.42]","[1267.64]","[0.016935]","[1.82341]",15784,-2.31248,2,"[331604,34187]","[1.24292,0.832576]","[2.1971,3.03012]","[622513,47150.6]","[0.991229,0.994157]","[0,0]","[0,0]","[-0.912048,-0.823759]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323980]","[1.25639]","[2.19927]","[615179]","[6652.29]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3833]",4771.98,"[6877.94,6832.53]","[]","[35010.1]","[]"
336,284500,590321,361106,1941.09,1950.53,1.50278e+11,1.22586,1.00625,1,1,1,0.998332,0.9918,1,1,0,0,2,"[1,1]","[1,0]","[266196,9414.84]","[-0.802125,-0.42067]","[-1.34493,0.909589]","[356523,10260.2]","[-0.0418205,0.0741501]","[1,-1]","[11,11]","[1,1]","[0,0]","[-133.528,-371.147]","[0.00201532,0.0134236]","[0.331725,0.799538]",53566.7,1.95709,4,"[239999,134807,51507.6,24642.4]","[-0.802118,-0.652359,0.67111,-0.767815]","[1.26354,-2.70582,1.08178,-2.24517]","[321909,166109,64017.4,32452.8]","[1,0.993718,0.982344,0.975499]","[0,0,0,0]","[0,0,0,0]","[-0.965583,-0.878372,-0.366591,-0.743398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[279263,251153]","[-0.790897,-0.79153]","[-1.34222,1.26149]","[371261,334377]","[2298.7,15366]","[1,0]","[93.7815,3.05009]","[0.366094,0.709752]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1802.88,155.652]",17445.9,"[7871.35,6508.22,2149.29,1779.68]","[]","[12843.6,0]","[]"
358,284500,982780,361106,1941.69,1950.53,1.50278e+11,0.923924,1.00588,1,1,1,0.998758,1.00306,1,1,0,0,1,"[1]","[1]","[313426]","[1.08285]","[0.416464]","[515852]","[-0.00758743]","[1]","[11]","[1]","[0]","[-472.775]","[-0.00835151]","[0.986488]",19029.8,-0.105768,5,"[179435,111142,68455.7,59615.8,33692.1]","[1.04989,1.36369,1.14316,1.34473,0.0547545]","[2.82338,-1.65439,-2.31741,-2.87273,-1.17794]","[288196,232083,118908,122641,34507.5]","[0.98183,0.99,0.982411,0.990146,0.705266]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.882206,-0.59983,-0.928713,-0.945589,-0.760605]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[335759]","[1.07905]","[0.420895]","[550947]","[-0.00552427]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4349.72]",2643.57,"[5969.14,2670.32,9593.1,5640.77,2685.28]","[]","[3192.03]","[]"
390,284500,1492245,361106,1941.54,1950.53,1.50278e+11,1.74563,0.954851,1,1,1,0.999058,0.98743,1,1,0,0,2,"[1,1]","[1,1]","[191492,70646.2]","[-0.0778942,0.17734]","[0.643435,-0.0784561]","[192074,71760]","[-0.0198961,0.00801498]","[1,-1]","[11,11]","[1,1]","[0,0]","[644.242,710.634]","[0.00972915,0.0226489]","[1.5929,1.49935]",57200.2,-2.68206,3,"[179901,55925.3,33439.7]","[-0.675268,0.636971,-0.923198]","[-2.82436,-1.35221,3.03709]","[225870,68016.8,48991.1]","[0.994931,1,0.897122]","[0,0,0]","[0,0,0]","[-0.899559,-0.938721,-0.178441]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277571]","[-0.0496822]","[0.431274]","[297352]","[105744]","[0]","[0.946468]","[0.178198]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4931.56,184.872]",8975.75,"[3147.77,2050.42,2338.25]","[]","[11125.4]","[]"
