event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
598,284500,106970,364113,1.10429,0.143925,1.00798e+06,0.934886,1,0.997791,1,1,0.990446,0.975263,1,0,1,0,1,"[1]","[1]","[98165.8]","[0.380088]","[1.43619]","[105343]","[0.026722]","[-1]","[13]","[1]","[0]","[-544.61]","[0.0129156]","[2.57773]",19124.1,0.354921,6,"[568357,457423,139196,30701.1,23817.7,23404.6]","[0.627622,-1.05696,-0.558755,1.04207,-1.3117,1.59816]","[2.80646,-0.653134,0.159826,-1.30083,-0.157783,3.03994]","[684661,738451,162170,49053.7,47606.5,60347.2]","[0.999201,0.990122,0.982151,0.992986,0.99,0.94003]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.866486,0.267068,-0.448924,-0.888195,-0.944198,-0.330519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[575600,572120]","[0.642942,-0.988932]","[2.80738,-0.47197]","[699203,912942]","[25847.1,258975]","[0,0]","[3.112,0.756744]","[0.261672,0.820947]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4717.11]",2990.83,"[7180.76,6104.56,4781.07,2425.74,2608.85,3546.44]","[]","[1256.62,24299.1]","[]"
972,284500,74804,364113,1,0.143925,1.00798e+06,0.696077,1,0.989093,1,1,0.953758,0.799462,1,0,1,0,2,"[1,1]","[1,1]","[60037.6,56232]","[0.616949,0.580087]","[0.85331,2.66741]","[71830.7,65961.4]","[0.00840759,-0.0046978]","[-1,1]","[13,13]","[1,1]","[0,0]","[-1367.71,-667.773]","[-0.0121493,-0.00703659]","[2.08506,1.08627]",79674.6,-0.809945,8,"[424024,404613,94720.5,41896.3,37677.1,27929.3,26968.9,22295]","[0.769634,0.0682653,-0.431778,-0.75794,-0.0947829,-1.42703,1.26908,2.15176]","[-1.11946,1.68594,-2.88889,2.91237,2.11789,-2.47241,-1.30338,3.08893]","[556525,407585,105560,55415.5,38274.1,61841.3,51962.7,97268.7]","[0.993927,0.997539,0.992712,0.967152,0.995739,0.992851,0.999175,0.594562]","[4,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.96061,-0.934292,-0.867324,-0.905585,-0.651203,-0.878209,-0.219066,-0.802972]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[464134,448071]","[0.782466,0.0669732]","[-1.12029,1.71386]","[613921,455991]","[19333.9,79109.2]","[0,0]","[3.10421,2.27909]","[0.56245,0.623993]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[323.254,132.426]",23963.7,"[8251.33,5712.77,6747.02,2552.09,2745.18,3261.88,2142.32,1243.59]","[]","[12668.2,11464.2]","[]"
1011,284500,77347,364113,1,0.143925,1.00798e+06,1.22586,1,0.996168,1,1,1.30136,0.99077,1,0,1,0,2,"[1,1]","[1,0]","[90120.4,17982.8]","[2.06357,0.486863]","[-0.0713427,1.53399]","[360526,20156.8]","[0.0810852,-0.0241776]","[1,-1]","[13,13]","[1,1]","[0,0]","[-321.668,829.899]","[0.000243318,0.0196212]","[0.0354986,1.67407]",60891.5,-0.543482,7,"[537473,53103.4,49396.3,31659,24918.2,22423.5,22176.6]","[0.455823,0.898576,-1.15598,0.762225,2.25925,-1.98984,-0.683254]","[2.66762,-2.91205,-0.171148,0.451806,1.87206,-2.17995,2.98258]","[594708,76236.1,86553.1,41995,120757,83647.5,28124.3]","[0.991375,0.987212,0.959174,0.96719,1,1,0.934877]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.781138,-0.917435,-0.927396,0.961336,-0.898841,-0.537996,-0.635351]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[574162]","[0.48259]","[2.72147]","[658148]","[143429]","[0]","[1.84719]","[0.738149]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6391.2,149.59]",29355.9,"[6296.98,2718.93,2150.07,5801.47,1866.59,3320.85,3517.28]","[]","[19403.4]","[]"
1145,284500,104919,364113,1,0.143925,1.00798e+06,0.696077,1,0.998525,1,1,0.943676,1.00146,1,0,1,0,1,"[1]","[1]","[52585.2]","[-2.02603]","[-0.297941]","[202868]","[0.0562515]","[1]","[13]","[1]","[0]","[547.969]","[-0.038273]","[4.76973]",30144.2,1.19887,6,"[520757,387539,86843.9,29321.1,27806.5,23569.4]","[1.17348,-0.895829,-0.400236,-0.736094,-1.33158,2.42927]","[1.55712,-1.50196,-2.25036,-1.98216,-2.05095,-1.91725]","[923017,556201,94834.6,37989.9,56737.1,134868]","[0.997456,0.993667,0.979405,0.974277,1,0.983924]","[4,0,0,0,0,4]","[0,0,0,0,0,0]","[0.481842,-0.615996,-0.459306,-0.456178,-0.731137,0.320953]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[501376,415773]","[1.1663,-0.867242]","[1.55231,-1.62198]","[883143,599458]","[23581.1,142905]","[0,0]","[2.79364,1.39868]","[0.466626,0.547531]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.192]",16677.5,"[13395.3,24376.6,7180.51,3966.22,1972.26,1318.71]","[]","[24196.9,4505.31]","[]"
1290,284500,106675,364113,1,0.143925,1.00798e+06,0.402058,1,0.994144,1,1,0.995223,0.700721,1,0,1,0,2,"[1,1]","[1,1]","[106968,27034.9]","[-0.69752,0.289064]","[2.4536,-2.40323]","[134063,28172.5]","[0.0153809,-0.0731163]","[1,-1]","[13,13]","[1,1]","[0,0]","[-262.137,376.547]","[-0.0195435,-0.0260339]","[2.82354,2.32214]",48624.1,0.261304,4,"[570239,403862,85880.6,45417.6]","[-0.252734,-0.681068,-2.49662,-0.796616]","[-0.0429358,-3.02002,2.56043,-2.15794]","[591286,506355,524954,60965.5]","[1,0.995964,0.96054,0.98]","[0,0,0,0]","[0,0,0,0]","[-0.203816,-0.944127,-0.722011,-0.571787]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[540086,389171]","[-0.243555,-0.675963]","[-0.0550666,-3.00629]","[557471,486241]","[37844.8,67596.9]","[0,0]","[3.12289,1.25383]","[0.300337,0.654993]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2641.55,112.654]",5356.35,"[6909.61,4666.21,7285.63,2401.81]","[]","[37834.8,12984]","[]"
1473,284500,70837,364113,1,0.143925,1.00798e+06,0.738662,1,0.980712,1,1,0.915245,0.999546,1,0,1,0,2,"[1,1]","[1,0]","[161770,13387.4]","[2.41962,1.98931]","[1.4863,-0.789167]","[916468,49850.1]","[0.00186157,0.00469971]","[1,-1]","[13,13]","[1,1]","[0,0]","[-721.083,-330.456]","[-0.0317186,0.0237109]","[5.76075,1.77311]",144155,-2.58604,7,"[535830,409698,289379,134073,46346.3,30554.6,27193.3]","[0.642888,-1.12044,1.82641,1.63656,-1.46962,-0.53846,1.14728]","[-2.52374,0.319348,0.901452,-2.06296,0.725863,0.212885,-2.2205]","[651200,695812,922897,358080,106278,35434.1,47519.8]","[0.997203,0.994769,0.983127,0.998707,0.999958,0.965367,0.741099]","[4,4,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.942036,0.0115271,0.182324,-0.511611,-0.909382,-0.628069,-0.889]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[571138,388960,291497]","[0.616257,-1.14337,1.79186]","[-2.52136,0.31329,0.901036]","[683243,672457,899814]","[15560.8,20795.5,41173.3]","[0,0,0]","[1.35781,2.47657,1.37146]","[0.339597,0.452771,0.754036]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5181.23,45.9479]",6910.66,"[7432.83,16018.8,6555.93,6269.96,3086.18,2554.18,1990.13]","[]","[12817.7,16382.2,15019.3]","[]"
1734,284500,78087,364113,1,0.143925,1.00798e+06,1.22586,1,1.00983,1,1,0.957842,0.999611,1,0,1,0,2,"[1,0]","[1,0]","[66429.6,37726.9]","[2.17399,-2.925e-05]","[-0.521847,2.42296]","[295846,37727.1]","[-0.0226135,165.372]","[-1,-1]","[13,13]","[1,0]","[0,0]","[803.883,-514.879]","[0.0203503,-0.459666]","[2.1779,8.52352]",28220.3,2.14925,7,"[777945,493605,210447,88597.2,45266.3,34901.8,26439.4]","[1.31539,-1.2979,1.74597,-2.28447,-1.24323,-1.92425,-1.22112]","[1.14426,-1.67768,-2.41553,-3.07077,-1.23652,-2.28218,-2.62281]","[1.55462e+06,972837,621627,439738,85341,122131,49069.2]","[0.994476,0.990439,0.998673,0.980129,0.991619,0.930352,0.940106]","[0,0,0,0,4,0,0]","[0,0,0,0,0,0,0]","[-0.810082,-0.854782,-0.913025,-0.620069,0.556822,-0.806417,-0.884515]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[799757,520060]","[1.28602,-1.39214]","[1.14332,-1.69678]","[1.55775e+06,1.11879e+06]","[32496,133081]","[0,0]","[2.42936,2.58505]","[0.691666,0.732636]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1059.32,38.2138]",28026.1,"[19192.1,16716.4,10539.8,6370.25,4956.46,4162.83,3902.53]","[]","[40937.2,2739.06]","[]"
2012,284500,108499,364113,1,0.143925,1.00798e+06,0.351687,1,0.98156,1,1,0.993154,0.978073,1,0,1,0,1,"[1]","[1]","[119447]","[-1.97275]","[1.89447]","[437742]","[-0.0127335]","[-1]","[13]","[1]","[5357.22]","[2144.85]","[0.0275204]","[4.92277]",16463.8,2.57053,3,"[591563,560290,22644.3]","[-1.25949,0.237169,1.01907]","[0.262428,-2.6559,-2.14189]","[1.12673e+06,577398,35801.4]","[0.999799,0.991884,0.826215]","[0,0,0]","[0,0,0]","[-0.948196,-0.986661,-0.927603]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[622116,540434]","[-1.24667,0.255115]","[0.260415,-2.65623]","[1.17216e+06,559415]","[38936.7,38101.4]","[0,0]","[2.70076,3.29718]","[0.560676,0.702564]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1817.65]",861.947,"[16169.3,8382.68,2415.49]","[]","[8580.19,42927.1]","[]"
2525,284500,78563,364113,1,0.143925,1.00798e+06,1.26459,1,0.991345,1,1,0.992918,0.99077,1,0,1,0,2,"[1,1]","[1,1]","[88705.1,55986.3]","[1.48855,1.96185]","[-0.982914,0.184472]","[206521,203035]","[0.00126076,0.0363617]","[1,-1]","[13,13]","[1,1]","[0,0]","[-927.053,295.629]","[-0.000174954,-0.0245595]","[0.0266131,2.24214]",19294.4,1.1179,7,"[530075,289280,118965,101489,101048,99114,35852.2]","[0.871194,-2.23123,-0.448211,-0.122549,-1.13181,0.503842,0.198497]","[-2.84845,0.666002,0.944733,-0.547556,0.8447,-2.38612,-1.46979]","[744798,1.36235e+06,132508,102765,173437,112698,37016.4]","[0.998843,0.998011,0.99464,0.992211,0.997525,0.991171,0.980274]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.915193,-0.92937,-0.923475,-0.884503,-0.933244,-0.807039,-0.920915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[561868]","[0.820266]","[-2.794]","[770329]","[114776]","[0]","[0.695239]","[0.583448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5504.84,559.701]",8168.73,"[11133.9,8467.05,6380.98,2184.14,2534.04,2235.86,5052.12]","[]","[24299.7]","[]"
2527,284500,78431,364113,1,0.143925,1.00798e+06,1.1961,1,0.998525,1,1,1.51175,1.00146,1,0,1,0,1,"[1]","[1]","[125712]","[-2.02438]","[-0.364397]","[484208]","[0.0926275]","[1]","[13]","[1]","[0]","[334.738]","[0.00736793]","[1.23302]",39317.3,-1.07612,4,"[555548,315843,117316,37564]","[0.822822,-1.19987,-0.183288,0.488086]","[2.30597,-1.19584,0.0525909,-2.19936]","[755274,572380,120032,42505.1]","[1,0.997939,0.994415,0.999335]","[0,0,4,0]","[0,0,0,0]","[-0.706899,-0.785211,0.924205,-0.814895]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[536478,313222]","[0.826084,-1.19385]","[2.30718,-1.20095]","[730655,564526]","[26413.9,17924.7]","[0,0]","[2.02579,2.17764]","[0.204981,0.345295]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6300.53]",8078.36,"[7003.03,5104.28,3243.83,6039.69]","[]","[12995.5,13926.6]","[]"
