event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
9,284500,186089,364107,-1.85446,9.14513,1.96171e+06,1.26205,1,0.99458,1,1,0.96564,0.975222,1,0,1,0,2,"[1,1]","[1,1]","[155399,85863]","[-1.1376,-0.987857]","[-2.98345,-2.13378]","[267277,131278]","[-0.0296135,-0.0514069]","[-1,1]","[13,13]","[1,1]","[0,0]","[1279.45,-365.276]","[-0.0106902,-0.0157395]","[1.76362,2.68333]",19099.6,-2.21017,2,"[163806,127007]","[-0.150222,-0.780172]","[0.507452,0.815839]","[167015,169570]","[0.990814,0.999502]","[0,4]","[0,0]","[-0.601765,-0.323122]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255548]","[-0.486754]","[0.674696]","[303390]","[100035]","[0]","[0.923668]","[0.556856]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3010.16,2224.21]",12499.5,"[2497.82,10268.4]","[]","[8065.67]","[]"
11,284500,310879,364107,1,9.14513,1.96171e+06,1.22586,1,1.00009,1,1,0.99878,0.89816,1,0,1,0,2,"[1,1]","[1,0]","[264827,18645]","[0.9856,1.51676]","[1.6949,-0.191489]","[404210,44532.6]","[-0.0557823,-0.0310364]","[1,-1]","[13,13]","[1,1]","[0,0]","[795.459,-120.298]","[0.000375071,0.0040495]","[0.0808168,0.36163]",15369.3,2.62213,2,"[241994,22085.4]","[0.145616,0.649146]","[-1.46215,-1.45534]","[245859,27062.1]","[0.992444,0.950081]","[0,0]","[0,0]","[-0.961958,-0.61911]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256589]","[0.152351]","[-1.45896]","[263458]","[45081.3]","[0]","[1.88476]","[0.515086]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10091,72.1722]",3123.83,"[6149.73,1897.28]","[]","[24778.9]","[]"
19,284500,1799,364107,1,9.14513,1.96171e+06,1.24168,1,0.993377,1,1,0.929649,0.819063,1,0,1,0,2,"[1,1]","[1,0]","[226531,21661.5]","[0.215717,1.29549]","[1.71208,-0.487102]","[231822,42527.4]","[-0.021122,-0.279125]","[-1,1]","[13,13]","[1,1]","[0,0]","[-611.222,-531.382]","[-0.0210762,0.078789]","[4.44695,6.23945]",6462.19,-1.64929,4,"[176733,65517.1,43943.6,25361.7]","[-0.394156,0.0505194,1.38166,-0.661221]","[-1.65412,-1.86938,-0.0188244,1.15645]","[191365,66035.5,93260.7,31653.2]","[0.988529,0.986354,0.99335,0.988942]","[4,0,4,0]","[0,0,0,0]","[-0.746011,-0.906934,-0.850865,-0.722515]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268676]","[-0.288777]","[-1.71236]","[288019]","[67673.3]","[0]","[0.848846]","[0.697639]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[14671,42.1297]",5290,"[9621.67,2562.71,1508.58,3205.71]","[]","[530.75]","[]"
32,284500,99443,364107,1,9.14513,1.96171e+06,0.187531,1,0.99675,1,1,0.954779,1.01223,1,0,1,0,2,"[1,1]","[1,1]","[172882,124035]","[-1.21991,-1.14297]","[-1.09258,-1.74234]","[318288,214266]","[-0.00386238,-0.0131359]","[-1,1]","[13,13]","[1,1]","[0,0]","[-804.031,-942.693]","[-0.00195059,0.0104387]","[0.360881,1.79994]",18845.6,-0.00990772,3,"[233814,37657.9,21034.7]","[-1.5674,-0.849582,2.45209]","[1.81407,1.75498,2.48605]","[585956,52847.5,123108]","[0.994084,0.985569,0.0524981]","[4,0,0]","[0,0,0]","[0.223166,-0.922503,-0.845763]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261083]","[-1.48958]","[1.80055]","[612824]","[73392.5]","[0]","[1.85908]","[0.623262]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9259.26,3654.22]",11952.5,"[12031.7,3755.48,1255.08]","[]","[25501.7]","[]"
46,284500,73932,364107,1,9.14513,1.96171e+06,0.923924,1,0.991318,1,1,0.961981,0.341276,1,0,1,0,2,"[1,1]","[1,1]","[128368,119872]","[0.812728,0.76646]","[0.28862,-0.478635]","[173148,156840]","[0.0142555,-0.056469]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1425.95,-237.853]","[-0.0219513,-0.00907049]","[3.64613,1.92016]",18243.9,0.209147,2,"[222099,22874.6]","[1.21885,1.72692]","[3.08301,-3.08185]","[408821,66459.8]","[0.997667,0.99]","[4,0]","[0,0]","[-0.882644,-0.463457]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250800]","[1.3216]","[-3.13551]","[504815]","[34657.2]","[0]","[1.81215]","[0.50986]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[624.467,757.205]",4041.16,"[2516.89,3691.7]","[]","[18617.8]","[]"
56,284500,87278,364107,1,9.14513,1.96171e+06,0.75088,1,0.985912,1,1,0.957004,0.85293,1,0,1,0,2,"[1,1]","[1,0]","[193026,37234.9]","[0.167304,0.410558]","[-2.66333,2.62338]","[195734,40417.5]","[0.0426445,-0.0441818]","[-1,1]","[13,13]","[1,1]","[0,0]","[2163.25,1037.19]","[-0.0116054,-0.0118508]","[2.04567,1.8145]",35704.7,2.77395,1,"[239485]","[0.404719]","[0.226454]","[260132]","[0.998457]","[4]","[0]","[-0.413319]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263020]","[0.387841]","[0.176182]","[285085]","[33991.8]","[0]","[2.20515]","[0.447562]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6959.1,115.681]",5525.26,"[2525.69]","[]","[10990.3]","[]"
58,284500,86005,364107,1,9.14513,1.96171e+06,1.25133,1,0.85588,1,1,0.986497,0.993677,1,0,1,0,2,"[1,1]","[0,1]","[158318,83563.3]","[-2.68098,-1.55516]","[-0.458575,-0.679747]","[1.1611e+06,206693]","[3.08019,0.0197282]","[1,-1]","[13,13]","[0,1]","[0,0]","[-212.552,3687.45]","[0.0834785,0.000699199]","[0.0139288,0.0960789]",18265.7,-1.60571,3,"[190023,78342.8,24614.8]","[-1.29145,-2.15681,2.38702]","[2.58346,2.71442,0.0969962]","[371881,343194,135131]","[0.99,0.99443,0.983109]","[0,0,4]","[0,0,0]","[-0.938084,-0.941412,-0.778964]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272442]","[-1.61048]","[2.62227]","[719034]","[119506]","[0]","[0.501994]","[0.563706]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[317.219,1801.82]",9462.05,"[10886.2,3590.81,2106.03]","[]","[16755.4]","[]"
69,284500,79961,364107,1,9.14513,1.96171e+06,1.26459,1,0.987755,1,1,0.958165,0.925018,1,0,1,0,2,"[1,1]","[1,1]","[221270,29611.6]","[0.209814,-0.162334]","[1.35348,2.34421]","[226158,30002.8]","[-0.016983,0.0457916]","[-1,1]","[13,13]","[1,1]","[0,0]","[-658.908,-658.908]","[-0.018169,0.00615546]","[3.73724,0.991161]",14611.2,-2.54413,2,"[166574,94314.3]","[-0.247589,0.214171]","[-1.77576,-1.47544]","[172638,97409.9]","[0.995899,0.999118]","[0,4]","[0,0]","[-0.954861,-0.444666]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266884]","[-0.12464]","[-1.6702]","[278840]","[73569.4]","[0]","[1.11015]","[0.773525]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[22556.8,50.3369]",2134.38,"[2571.27,7425.81]","[]","[9574.06]","[]"
71,284500,81338,364107,-1,9.14513,1.96171e+06,1.25133,1,0.987687,1,1,0.999653,0.974594,1,0,1,0,2,"[1,1]","[1,1]","[143687,131593]","[-0.367771,-0.601271]","[-2.70985,2.93422]","[153514,156105]","[0.034687,0.00325012]","[1,-1]","[13,13]","[1,1]","[0,0]","[-665.098,-301.879]","[-0.0104367,-0.013598]","[2.13891,2.43767]",1129.06,1.49336,1,"[265012]","[-0.468221]","[0.156712]","[295170]","[0.993011]","[0]","[0]","[-0.934024]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260103]","[-0.445462]","[0.157525]","[286514]","[9997.96]","[0]","[3.10159]","[0.168888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3597.44,4759.57]",782.135,"[3357.17]","[]","[3104.36]","[]"
72,284500,81328,364107,1,9.14513,1.96171e+06,1.25133,1,0.989486,1,1,0.99758,0.986749,1,0,1,0,2,"[1,1]","[1,1]","[201950,91299.5]","[-1.21284,-0.831413]","[0.544596,1.06344]","[369606,124715]","[-0.00367641,0.026475]","[1,-1]","[13,13]","[1,1]","[0,0]","[-446.166,-451.132]","[-0.00637206,0.00352119]","[1.32884,0.518425]",26988,-1.79491,2,"[280616,25333.5]","[-1.28429,1.61908]","[-2.46585,1.92911]","[546005,66744.5]","[0.99,0.748002]","[0,0]","[0,0]","[-0.776267,-0.694592]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274606]","[-1.28792]","[-2.46629]","[535895]","[16876.6]","[0]","[2.12839]","[0.619558]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12880.7,408.222]",434.23,"[6804.46,1994.45]","[]","[11639.2]","[]"
