event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
20,284500,3707557,364106,1,23.4374,2.94006e+06,0.75088,1,1.00024,1,1,0.998739,0.992679,1,0,1,0,2,"[1,1]","[1,0]","[215782,24007.8]","[1.30707,-0.0203248]","[1.46039,2.19513]","[427889,24013]","[-0.00137329,-0.00257492]","[-1,1]","[13,13]","[1,0]","[0,0]","[-844.737,-617.76]","[0.00837225,-0.00354634]","[1.69667,0.365185]",52864.9,1.38967,2,"[252187,22544.6]","[0.793491,0.27694]","[-1.58098,-1.59851]","[336469,24002.3]","[0.998765,0.826681]","[0,0]","[0,0]","[-0.904519,-0.898471]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257627]","[0.788293]","[-1.59338]","[343212]","[29935.9]","[0]","[2.86231]","[0.576286]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23589.1,266.305]",19072.7,"[3271.39,1734.03]","[]","[15462]","[]"
21,284500,3734684,364106,1,23.4374,2.94006e+06,0.553627,1,0.995618,1,1,1,1.05163,1,0,1,0,2,"[1,1]","[1,1]","[240024,25728.9]","[-0.713061,-1.53711]","[-0.868523,0.325262]","[303675,62599.9]","[-0.00666046,0.0148392]","[1,-1]","[13,13]","[1,1]","[0,0]","[2046.62,-80.7033]","[0.0218097,-0.00534675]","[3.8149,0.574208]",16631.5,-2.94076,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262933]","[-0.468508]","[2.31554]","[292348]","[3926.09]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9608.83,236.907]",19371.6,"[]","[]","[2996.19]","[]"
24,284500,4815035,364106,1,23.4374,2.94006e+06,0.696077,1,0.978741,1,1,0.998964,0.96028,1,0,1,0,2,"[1,1]","[1,1]","[147567,86566.7]","[-0.487221,-0.904636]","[1.23267,1.89533]","[165432,124471]","[0.0113235,-0.000745445]","[-1,1]","[13,13]","[1,1]","[0,0]","[539.047,442.487]","[-0.00114523,-0.000338201]","[0.23754,0.0672384]",60200.4,2.13493,2,"[286878,35128]","[-1.20276,-0.317485]","[-1.56701,2.51318]","[521007,37399.3]","[0.989264,0.803461]","[0,0]","[0,0]","[-0.855724,-0.915748]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265495]","[-1.19893]","[-1.56499]","[480543]","[15585.6]","[0]","[1.82743]","[0.546626]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10179.9,1303.58]",13966.5,"[12649.6,2941.69]","[]","[10478.7]","[]"
28,284500,4826628,364106,1,23.4374,2.94006e+06,1.21412,1,0.998664,1,1,0.999038,1.02725,1,0,1,0,2,"[1,1]","[1,1]","[224974,31244.6]","[-1.43217,-0.833395]","[-0.0465378,0.911128]","[497933,42737.8]","[0.00265121,-0.0244484]","[-1,1]","[13,13]","[1,1]","[0,0]","[-632.535,-632.535]","[0.00717611,0.0130171]","[1.30966,1.59882]",8753.68,2.05204,2,"[230990,40450]","[-1.36301,-0.92475]","[-3.09412,3.10962]","[481830,59452.7]","[1,0.90123]","[0,0]","[0,0]","[-0.978948,-0.922793]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258140]","[-1.31992]","[-3.11035]","[519725]","[46892]","[0]","[1.6216]","[0.72166]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4102.05,129.176]",20845.6,"[11810.8,3045.07]","[]","[2495.27]","[]"
34,284500,1782419,364106,1,23.4374,2.94006e+06,0.619412,1,1.00078,1,1,0.997922,1.0031,1,0,1,0,1,"[1]","[1]","[199166]","[1.48056]","[-1.60817]","[460361]","[-0.0195465]","[-1]","[13]","[1]","[0]","[-341.45]","[-0.012682]","[2.65846]",37860.8,-1.13944,2,"[264080,28498.4]","[0.763608,1.95338]","[1.71628,-1.06362]","[345143,102578]","[0.999597,0.998483]","[0,0]","[0,0]","[-0.858888,-0.525436]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302471]","[0.730127]","[1.69425]","[389388]","[45357.4]","[0]","[3.29193]","[0.572899]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[22593.5]",17882.9,"[9563.15,9415.07]","[]","[7817.59]","[]"
35,284500,151282,364106,1,23.4374,2.94006e+06,1.1961,1,0.989721,1,1,0.99856,0.987784,1,0,1,0,2,"[1,1]","[1,1]","[258428,73525.1]","[0.905069,0.878965]","[-2.54183,-1.32114]","[371699,103803]","[0.00362849,-0.0171506]","[-1,1]","[13,13]","[1,1]","[0,0]","[503.873,-615.79]","[0.0199753,0.0220283]","[4.51104,4.15168]",2204.97,1.27882,2,"[210386,73513.5]","[0.917145,1.66463]","[0.907245,0.679362]","[305756,201530]","[0.998388,1]","[0,0]","[0,0]","[-0.888362,-0.67482]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[278912]","[1.16862]","[0.850543]","[505220]","[114620]","[0]","[1.07796]","[0.79563]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11676.4,312.929]",3317.27,"[3487.76,2546.67]","[]","[19619]","[]"
39,284500,742827,364106,1,23.4374,2.94006e+06,0.75088,1,0.995413,1,1,0.999221,0.936284,1,0,1,0,1,"[1]","[1]","[217555]","[2.37375]","[2.11661]","[1.17814e+06]","[0.0157137]","[-1]","[13]","[1]","[4247.91]","[189.608]","[0.00327109]","[0.499491]",39694.6,2.01629,1,"[256009]","[1.89767]","[-1.04447]","[873083]","[0.996461]","[0]","[0]","[-0.930302]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258325]","[1.89416]","[-1.04445]","[878027]","[9732.81]","[0]","[6.85266]","[0.516166]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[71866.5]",18046.7,"[18555.5]","[]","[0]","[]"
52,284500,2552873,364106,1,23.4374,2.94006e+06,1.21412,1,0.994045,1,1,0.996573,0.744681,1,0,1,0,2,"[1,1]","[1,0]","[154037,29852.8]","[0.0217274,0.688877]","[-2.86535,-1.62334]","[154073,37220.9]","[-0.0297871,0.0400295]","[-1,1]","[13,13]","[1,1]","[0,0]","[3094.1,88.7335]","[-0.0283473,-0.00678056]","[5.90353,0.896364]",7293.23,-2.20584,3,"[290801,38561.5,23665.4]","[-0.14888,-2.28209,2.23908]","[0.231713,2.82615,2.00328]","[297070,190957,112384]","[1,0.98889,0.807837]","[0,0,0]","[0,0,0]","[-0.914345,-0.305079,-0.845326]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[288888]","[-0.130501]","[0.242546]","[294316]","[41669.9]","[0]","[1.23839]","[0.636033]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1546.97,85.7773]",10138.4,"[5528.75,2767.65,1703.54]","[]","[9059.97]","[]"
56,284500,866213,364106,1,23.4374,2.94006e+06,0.696077,1,0.990542,1,1,0.999709,0.928946,1,0,1,0,2,"[1,1]","[1,1]","[191394,63692.8]","[0.230238,-0.465756]","[-0.0979144,0.326772]","[196490,70727]","[0.00316429,0.00794983]","[-1,1]","[13,13]","[1,1]","[0,0]","[-544.624,577.851]","[0.0174741,0.01069]","[3.19054,1.7649]",35491.2,0.377383,1,"[274793]","[0.217104]","[-3.07285]","[281575]","[0.99234]","[0]","[0]","[-0.939011]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[278790]","[0.208381]","[-3.07611]","[284987]","[8354.32]","[0]","[3.0006]","[0.287948]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18999.4,311.492]",206.324,"[2922.29]","[]","[10656]","[]"
70,284500,4817885,364106,1,23.4374,2.94006e+06,1.25133,1,0.996197,1,1,0.997064,0.926666,1,0,1,0,2,"[0,0]","[1,1]","[81344.1,64203.6]","[-0.154021,-1.373]","[-0.609515,-0.840557]","[82311,134844]","[0.0608444,0.0892258]","[-1,1]","[13,13]","[1,1]","[0,0]","[-429.556,-230.208]","[-0.0116703,0.0105136]","[2.00678,1.55125]",34460,-0.497209,3,"[300399,139380,31276.3]","[-1.62981,1.51972,-1.21715]","[2.44876,-0.310996,2.33193]","[797044,334336,57834.5]","[0.992546,0.998279,0.982826]","[0,0,0]","[0,0,0]","[-0.882381,-0.872006,-0.925255]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286660]","[-1.65602]","[2.44771]","[779090]","[37504.2]","[0]","[1.20948]","[0.794656]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[914.277,340.624]",513.062,"[5528.72,8545.74,4549.04]","[]","[14546.9]","[]"
