event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
93,284500,274900,364111,1,1.46836,1.85421e+06,0.553627,1,0.973436,1,1,0.996013,0.750637,1,0,1,0,2,"[1,1]","[1,1]","[279304,103805]","[0.650495,1.09401]","[1.96873,1.67843]","[340511,172373]","[0.0397339,-0.0218658]","[1,-1]","[13,13]","[1,1]","[0,1978.88]","[-1038.21,377.186]","[0.00957449,0.0164568]","[2.15393,2.86914]",16883.2,-2.09786,5,"[295006,37921.9,28569.1,24044.7,22701.6]","[0.982376,0.563649,1.99989,-0.451177,-1.10642]","[-1.16973,-1.4974,2.27706,-1.4771,-1.02]","[450053,44624.1,107553,27167.6,38426.5]","[0.997461,0.992277,0.925353,0.998637,0.985202]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.885252,-0.952239,-0.812158,-0.777453,-0.49477]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307590]","[0.982106]","[-1.18649]","[469477]","[34013.2]","[0]","[2.51268]","[0.618393]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[26751.8,2184.91]",1699.99,"[9974.07,2041.28,1889.04,1784.79,1635.1]","[]","[27316.2]","[]"
178,284500,17634,364111,1,1.46836,1.85421e+06,1.08735,1,0.996408,1,1,0.999658,0.826478,1,0,1,0,2,"[1,1]","[1,0]","[252998,31806.3]","[0.22301,-0.822781]","[-1.38373,-1.36361]","[259315,43193.6]","[0.0878468,0.0629511]","[1,-1]","[13,13]","[1,1]","[0,0]","[-330.605,-99.4123]","[-0.000177683,-0.000345878]","[0.0403911,0.0399866]",25829.5,0.42592,1,"[266281]","[-0.446818]","[1.79048]","[293731]","[0.994215]","[0]","[0]","[-0.893805]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261789]","[-0.451827]","[1.794]","[289123]","[9459.24]","[0]","[6.28148]","[0.402374]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[26358,48.5208]",203.877,"[3155.67]","[]","[9381.38]","[]"
199,284500,33484,364111,1,1.46836,1.85421e+06,1.21412,1,0.996723,1,1,1.04783,0.886576,1,0,1,0,2,"[1,1]","[1,1]","[143143,85882.9]","[1.44173,0.979417]","[-1.39557,-0.702653]","[319534,130475]","[0.0322599,-0.00376129]","[-1,1]","[13,13]","[1,1]","[0,1526.6]","[-593.616,1015.15]","[-0.000687417,0.00639114]","[0.120945,0.933568]",11338.5,-0.315397,3,"[253381,56286.2,24540.1]","[0.858355,1.94813,-0.577005]","[2.02965,-0.904509,2.37794]","[353201,201724,29075.1]","[0.999015,0.995154,0.964265]","[0,5,0]","[0,0,0]","[-0.545324,0.973141,-0.774652]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257102]","[0.867432]","[2.03462]","[360416]","[16288.7]","[0]","[2.18205]","[0.705424]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1882.03,2250.58]",584.239,"[4599.25,4631.54,4221.32]","[]","[12695.7]","[]"
226,284500,73440,364111,1,1.46836,1.85421e+06,1.22586,1,0.995761,1,1,1.03273,0.94093,1,0,1,0,2,"[1,1]","[1,1]","[118339,29898]","[-2.14581,-1.56184]","[1.01985,-0.56085]","[512763,74406]","[-0.0301743,-0.0638618]","[-1,1]","[13,13]","[1,1]","[0,0]","[264.563,39.3015]","[0.00704353,-0.0185012]","[1.07357,1.7233]",18537.4,-1.46921,2,"[123550,27296.5]","[0.562057,0.952103]","[-0.465267,0.536858]","[143920,40777]","[0.983573,0.99188]","[5,0]","[0,0]","[0.994679,0.66079]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251057]","[-0.978083]","[-3.04253]","[381141]","[9294.73]","[0]","[4.45082]","[0.478528]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[872.325,256.301]",2997.61,"[2861.79,2176.57]","[]","[0]","[]"
252,284500,274822,364111,1,1.46836,1.85421e+06,0.351687,1,0.997676,1,1,1.01041,0.969051,1,0,1,0,1,"[1]","[1]","[74504.9]","[2.32409]","[2.44263]","[384269]","[-0.0481869]","[-1]","[13]","[1]","[1283.2]","[829.526]","[-0.0144629]","[1.32242]",44546.4,-2.8011,2,"[267119,161499]","[1.75199,1.57458]","[-0.35157,2.76498]","[793680,406899]","[1,0.999774]","[0,5]","[0,0]","[-0.898025,0.960759]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266789]","[1.75196]","[-0.348577]","[792619]","[23459.4]","[0]","[1.64764]","[0.647757]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1865.07]",3710.23,"[4245.66,3397.57]","[]","[7458.08]","[]"
255,284500,269200,364111,1,1.46836,1.85421e+06,1.55465,1,0.995175,1,1,0.97513,0.988183,1,0,1,0,2,"[1,1]","[1,1]","[189401,32336.5]","[-1.19261,-1.20313]","[-3.10532,-1.87501]","[340837,58703.5]","[-0.0428457,-0.0346088]","[-1,1]","[13,13]","[1,1]","[0,0]","[-341.88,-341.88]","[-0.0174944,0.0135905]","[3.76633,1.69435]",14724.4,-1.29964,2,"[296609,92413.2]","[0.192847,1.45396]","[0.335529,-2.65839]","[302390,209043]","[0.990442,0.989427]","[5,0]","[0,0]","[0.981055,-0.930045]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295163]","[0.189983]","[0.336998]","[300695]","[10658.1]","[0]","[1.23865]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6941.73,217.943]",8357.25,"[12285,8032.21]","[]","[18460.9]","[]"
318,284500,73432,364111,1.32102,1.46836,1.85421e+06,1.32095,1,0.980135,1,1,1.05586,0.975887,1,0,1,0,2,"[1,1]","[1,0]","[210470,169404]","[2.18147,2.5651]","[1.67335,2.41257]","[944187,1.10781e+06]","[0.0733719,6.50225]","[1,-1]","[13,13]","[1,0]","[0,0]","[-150.005,-150.005]","[-0.0120427,4.3241]","[2.07845,0.977063]",25502.9,-1.30715,1,"[321260]","[0.392582]","[-1.1846]","[347671]","[0.994235]","[5]","[0]","[-0.212739]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[331275]","[0.438021]","[-1.18184]","[365623]","[38724.4]","[0]","[3.06837]","[0.414148]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[25799.3,276.846]",2572.7,"[3565.66]","[]","[10700]","[]"
455,284500,337,364111,1,1.46836,1.85421e+06,0,1,0.995389,1,1,1.04812,0.914822,1,0,1,0,2,"[1,1]","[1,0]","[286670,115414]","[-0.111178,0.0457986]","[-1.30873,-0.803634]","[288443,115535]","[-0.0708542,-0.0122223]","[-1,1]","[13,13]","[1,0]","[0,0]","[-1571.11,-957.794]","[0.0113714,0.0137847]","[2.81047,2.90281]",66570.9,1.87731,3,"[252317,122209,20035.9]","[-0.370061,0.0518344,-0.740188]","[1.59271,2.88964,2.22606]","[270908,123164,26238.1]","[0.99066,0.988484,0.969688]","[5,0,0]","[0,0,0]","[-0.465175,-0.744578,-0.568065]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252620]","[-0.328478]","[1.60465]","[266758]","[14351.4]","[0]","[1.88978]","[0.0812373]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[54618.5,1863.74]",13182.7,"[3000.06,3649.76,1434.92]","[]","[25374.7]","[]"
633,284500,274129,364111,1,1.46836,1.85421e+06,0.738662,1,0.97681,1,1,1.01945,0.815837,1,0,1,0,2,"[1,1]","[1,0]","[126446,96570.6]","[0.321529,0.0563855]","[1.03201,1.78745]","[133038,96724.2]","[0.0229492,0.017067]","[-1,1]","[13,13]","[1,0]","[1325.5,0]","[-816.188,-816.188]","[0.0381226,0.0133767]","[6.47962,2.22835]",14372.2,2.77627,4,"[277272,54386,23534.9,21584.7]","[-1.72085,-1.7021,-1.0062,-2.19116]","[-2.03081,0.415774,0.508099,0.0268675]","[800019,154424,36960.6,97822.7]","[0.998629,0.995816,0.897613,0.865746]","[4,5,0,5]","[0,0,0,0]","[0.114425,0.999967,-0.614649,-0.665219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272975]","[-1.74158]","[-2.03384]","[802908]","[15219.9]","[0]","[1.93053]","[0.480278]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6988.31,778.536]",8909.33,"[18414.1,1421.43,2166.85,1250.22]","[]","[21697.5]","[]"
819,284500,112036,364111,1,1.46836,1.85421e+06,0.619412,1,0.998762,1,1,0.996529,0.986052,1,0,1,0,1,"[1]","[1]","[113037]","[2.44324]","[0.286337]","[655457]","[0.0180588]","[1]","[13]","[0]","[0]","[-254.298]","[-0.00476881]","[0.689503]",358917,-0.207748,2,"[472299,20014]","[0.723684,-1.74025]","[3.01547,-1.22716]","[602254,58873.1]","[0.960515,0.946848]","[0,0]","[0,0]","[-0.851078,-0.371856]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[463981]","[0.711154]","[3.00583]","[586508]","[14169]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1315.61]",1071.81,"[6763.7,5615.21]","[]","[13234.9]","[]"
