event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,4549844,364105,1,12.5054,2.05347e+06,1.22586,1,0.994261,1,1,1.04964,1.02451,1,0,1,0,1,"[0]","[1]","[291226]","[-0.373189]","[-1.71087]","[311742]","[-0.0251427]","[-1]","[13]","[1]","[0]","[-618.42]","[0.000309469]","[0.0705988]",82204.8,-2.27348,1,"[59818.2]","[-2.34468]","[-0.647107]","[314945]","[0.995513]","[5]","[0]","[0.93373]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[355847]","[0.869961]","[1.43941]","[505433]","[79035.6]","[0]","[57.796]","[0.0667659]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[60389.9]",8146.5,"[1271.24]","[]","[8307.22]","[]"
1,284500,5111458,364105,-1,12.5054,2.05347e+06,1.32095,1,0.985938,1,1,1.03928,1.00414,1,0,1,0,1,"[1]","[1]","[42685]","[-1.90155]","[1.40951]","[146102]","[0.0531998]","[-1]","[13]","[1]","[0]","[0.695129]","[-0.00837381]","[0.969811]",127147,2.38334,3,"[266467,244794,164990]","[1.46351,0.465905,-2.27468]","[0.092817,-2.96224,-0.929218]","[606925,272439,811197]","[0.998102,0.998954,0.994969]","[5,0,0]","[0,0,0]","[-0.272873,-0.97113,-0.716451]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[257367,271127]","[0.503975,1.48116]","[-2.961,0.0948678]","[291286,627227]","[17684.7,15407.6]","[0,0]","[2.27627,1.90114]","[0.63421,0.683094]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[116.945]",1629.29,"[4758.65,4344.25,4176]","[]","[19943.2,4466.41]","[]"
2,284500,5962869,364105,-1,12.5054,2.05347e+06,1.21412,1,1.00924,1,1,0.998499,0.783269,1,0,1,0,2,"[1,1]","[1,0]","[113078,43687.3]","[0.489027,0.0726902]","[-1.69866,-3.09839]","[126871,43802.9]","[-0.00876999,-0.0283585]","[1,-1]","[13,13]","[1,0]","[2948.47,0]","[1237.9,137.217]","[-0.00245006,-0.00866711]","[0.554404,1.25727]",47002.7,-1.791,2,"[389178,180689]","[-0.156893,0.112957]","[1.35386,-1.48122]","[395416,184379]","[1,0.994972]","[0,0]","[0,0]","[-0.895001,-0.795729]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[390593]","[-0.129741]","[1.34814]","[395415]","[34743.1]","[0]","[2.69843]","[0.741631]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4526.7,206.156]",450.754,"[6235.34,2271.99]","[]","[3674.81]","[]"
3,284500,3664326,364105,0.414931,12.5054,2.05347e+06,0.696077,1,0.988196,1,1,0.997069,0.81689,1,0,1,0,2,"[1,1]","[1,0]","[93152.4,23012]","[0.261777,-0.380363]","[-2.00668,1.55836]","[96362.4,24697]","[0.0138435,0.0630741]","[1,-1]","[13,13]","[0,1]","[0,0]","[-727.248,-802.599]","[-0.017935,0.0318367]","[2.88525,3.55441]",65440.5,1.36475,4,"[256483,153944,91194.5,38586.9]","[-1.79898,-1.0368,-1.50072,-0.415145]","[2.0793,-0.867227,-1.4606,-0.0294978]","[796519,244867,215323,42310.5]","[0.448903,0,0,0.98432]","[0,0,0,0]","[0,0,0,0]","[-0.552516,-0.784734,-0.853487,-0.920125]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256788]","[-1.80365]","[2.08501]","[802262]","[49639.5]","[0]","[2.1167]","[0.588878]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5819.67,156.647]",15779.8,"[9525.6,3342.07,6689.67,2843.75]","[]","[2631.39]","[]"
4,284500,4652703,364105,1,12.5054,2.05347e+06,0.619412,1,1.00004,1,1,0.993086,0.966761,1,0,1,0,1,"[1]","[1]","[94853.7]","[2.16861]","[-2.75799]","[420222]","[0.0444489]","[1]","[13]","[1]","[0]","[-318.533]","[-0.0250808]","[3.92599]",70301,-2.41702,4,"[198256,111527,44397.1,20477.3]","[0.149649,0.569918,0.790859,-0.692243]","[0.844482,-2.19925,0.679512,0.789295]","[201774,130896,59384.9,25760.1]","[0.991847,0.993181,0.981188,0.976287]","[5,0,0,0]","[0,0,0,0]","[0.992345,-0.819705,-0.951144,-0.895041]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263003]","[0.282374]","[0.819324]","[282098]","[68888.3]","[0]","[1.48763]","[0.806758]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4836.92]",1567.84,"[5051.17,5737.25,2501.31,2640.63]","[]","[1168.56]","[]"
5,284500,5230203,364105,1,12.5054,2.05347e+06,0.696077,1,0.98156,1,1,0.998273,0.962355,1,0,1,0,1,"[1]","[1]","[42093.1]","[-1.69619]","[2.03367]","[118629]","[-68.6706]","[-1]","[13]","[1]","[1524.29]","[1675.81]","[-0.00803789]","[1.01793]",31906,-1.2395,3,"[272038,259309,22821.4]","[1.11144,-1.45913,0.855057]","[2.18543,-1.01255,-1.53895]","[460545,588374,32147.3]","[0.996852,0.995524,0.655263]","[0,0,0]","[0,0,0]","[-0.784022,-0.927417,-0.794004]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[285104,266030]","[1.09821,-1.44875]","[2.18631,-1.01382]","[477840,597749]","[51815.2,13739.7]","[0,0]","[1.51822,2.60196]","[0.816556,0.525275]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[595.808]",10687.8,"[3768.86,10155.6,1850.87]","[]","[5896.62,7078.84]","[]"
6,284500,4048475,364105,-1,12.5054,2.05347e+06,0,1,0.985105,1,1,0.998048,1.00326,1,0,1,0,2,"[1,1]","[1,1]","[62933.1,38972.2]","[-1.67979,-2.22382]","[2.45082,0.598711]","[174666,182209]","[0.0771751,0.0989609]","[-1,1]","[13,13]","[1,1]","[0,1309.92]","[-625.966,-1414.62]","[-0.0214569,0.0315226]","[2.93721,3.28828]",72789.6,-1.1422,3,"[123980,83725.8,73088.2]","[-1.32525,-0.740855,-2.08513]","[-1.13041,1.55363,-1.31676]","[250891,108360,298698]","[0,0.0304857,0.998055]","[0,0,0]","[0,0,0]","[-0.839809,-0.950606,-0.257259]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261997]","[-1.6145]","[-1.2703]","[692259]","[104130]","[0]","[1.34977]","[0.728288]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[387.858,301.381]",10340,"[9905.94,2860.37,2613.75]","[]","[719]","[]"
7,284500,3414141,364105,1,12.5054,2.05347e+06,0.75088,1,0.986328,1,1,0.990144,0.979119,1,0,1,0,1,"[1]","[1]","[135221]","[1.90289]","[-2.76919]","[463426]","[0.0346069]","[-1]","[13]","[1]","[0]","[2.50089]","[-0.00366349]","[0.529906]",101399,-0.229414,6,"[302680,235413,85546.5,81201.1,60161.5,36824.8]","[0.77652,1.65986,0.0645294,0.89201,1.42557,0.297818]","[2.81982,-0.323364,0.143927,-2.93996,0.348283,0.744495]","[399174,641416,87311.9,116180,132491,39483.3]","[0.996504,0.99776,0.993819,0.992418,0.99,0.737577]","[4,5,0,0,5,0]","[0,0,0,0,0,0]","[-0.759106,0.996586,-0.934445,-0.732647,0.99747,-0.596732]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[343488,281806]","[0.780037,1.6353]","[2.89452,-0.193729]","[461044,756546]","[83636.6,95968.8]","[0,0]","[0.844462,0.472465]","[0.445952,0.563439]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9146.77]",462.148,"[4078.42,5283.92,2330.01,2301.99,5649.96,2176.57]","[]","[14147.8,7352.97]","[]"
8,284500,5338024,364105,-1,12.5054,2.05347e+06,1.08735,1,0.988388,1,1,0.998544,0.831723,1,0,1,0,2,"[1,1]","[1,1]","[81945.5,62279]","[-0.139857,0.845767]","[0.39882,-0.47971]","[82748.3,85913.6]","[-0.0164413,-0.0029068]","[-1,1]","[13,13]","[1,1]","[0,0]","[635.372,-663.4]","[0.00804809,0.0124009]","[1.25299,2.19717]",27894.3,2.36156,2,"[246008,148675]","[-0.3625,1.77147]","[-2.80154,0.645908]","[263046,449938]","[1,1]","[0,0]","[0,0]","[-0.923922,-0.763026]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286599]","[-0.239235]","[-2.84779]","[300754]","[59350.6]","[0]","[1.98729]","[0.556159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[727.568,553.331]",21632.1,"[7502.95,5687.06]","[]","[1994.69]","[]"
9,284500,728200,364105,0.281344,12.5054,2.05347e+06,0.75088,0.97994,1,1,1,1,1.00632,1,1,0,0,1,"[0]","[1]","[267114]","[0.416715]","[-1.53117]","[290644]","[-0.0447578]","[-1]","[11]","[1]","[0]","[666.544]","[-0.0398652]","[3.17379]",265136,1.61414,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277697]","[0.439642]","[-1.5292]","[304969]","[-0.00195312]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1576.07]",15160.6,"[]","[]","[25003]","[]"
