event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,1652993,364104,-1,20.9061,722737,0.351687,1,0.992743,1,1,0.997433,0.96028,1,0,1,0,2,"[1,1]","[1,0]","[66287,14271.7]","[-0.627194,0.80515]","[1.59182,0.213312]","[79757.8,19153.3]","[-29.6032,-29.6427]","[1,-1]","[13,13]","[1,1]","[0,0]","[-857.794,232.182]","[-0.00891667,-0.0214784]","[0.999795,1.66907]",31883.3,1.91387,5,"[302171,226841,92755.6,37130.3,35330.5]","[0.4188,-0.350286,-1.78435,0.106827,0.195924]","[-1.80021,1.12328,-2.17508,1.65335,0.830158]","[332376,241967,284402,37751.8,36781.2]","[0.971427,1,0.999874,0.991569,0.919942]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.712406,-0.842615,-0.972028,-0.857235,-0.845287]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[315812,257530]","[0.406834,-0.26057]","[-1.81623,1.18198]","[344871,277491]","[41944.1,77933.4]","[0,0]","[1.44001,1.79171]","[0.606871,0.529398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[435.974,31.4939]",2917.65,"[7052.05,4420.13,3086.17,2026.42,2124.49]","[]","[15414,2495.5]","[]"
1,284500,963090,364104,1,20.9061,722737,1.26459,1,0.99879,1,1,0.997231,0.97172,1,0,1,0,1,"[1]","[1]","[44351.5]","[2.25671]","[2.46511]","[214136]","[-0.0210533]","[-1]","[13]","[1]","[0]","[-450.462]","[-0.0125182]","[1.09024]",104517,-2.37397,4,"[246717,100451,68798.9,22646.1]","[-1.54508,-1.77358,1.69802,-0.436719]","[0.454141,-2.94356,0.754956,-1.56417]","[605027,304601,194723,25130.1]","[0.148777,-0.1,0.991605,0.914658]","[0,0,0,0]","[0,0,0,0]","[-0.884431,-0.785354,-0.725038,-0.825444]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251255]","[-1.52784]","[0.450021]","[610627]","[73550.4]","[0]","[1.69531]","[0.644964]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[601.523]",3155.18,"[4543.82,2448.25,6515.62,1665.26]","[]","[0]","[]"
2,284500,1539943,364104,1,20.9061,722737,0.923924,1,0.994935,1,1,0.997429,0.94093,1,0,1,0,2,"[1,1]","[1,1]","[61455.6,41199]","[-2.04821,-1.51531]","[1.21835,-2.79684]","[242227,98271.5]","[0.0136948,-0.0179596]","[-1,1]","[13,13]","[1,1]","[0,2842.31]","[-89.627,-443.256]","[0.0212779,-0.00937284]","[2.64575,1.16853]",24004.2,2.63888,5,"[314887,285321,44007.3,22600.4,20414.6]","[-1.05301,-0.123125,-1.00911,-1.04353,0.677509]","[-1.13882,2.00045,-2.66224,0.383638,-1.02616]","[508192,288467,68781.4,36492.6,25507.4]","[1,0.999467,0.991665,0.967387,0.987965]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.583776,-0.341415,-0.348506,-0.499423,-0.736559]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[280564,281382]","[-0.152423,-1.07828]","[1.99362,-1.15216]","[284414,463274]","[18211.6,41184.6]","[0,0]","[3.07465,1.50414]","[0.290054,0.553452]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[659.676,665.761]",85.4492,"[6536.67,3116.65,2164.13,2484.2,4133.52]","[]","[9999.25,4043.12]","[]"
3,284500,1535873,364104,1,20.9061,722737,0,1,0.998955,1,1,0.997095,0.996642,1,0,1,0,1,"[1]","[1]","[62321.7]","[2.20164]","[-0.258532]","[285136]","[0.0757141]","[-1]","[13]","[1]","[3621.17]","[1499.02]","[-0.00624722]","[0.72747]",100585,-1.23717,3,"[130868,128511,88777.5]","[1.08366,1.01097,0.307431]","[2.06546,2.72293,-0.961484]","[216394,200825,93918.5]","[0,0.960908,0]","[0,0,0]","[0,0,0]","[-0.783038,-0.910708,-0.726247]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254467]","[1.07623]","[2.3732]","[420416]","[56347]","[0]","[0.90082]","[0.708527]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1552.32]",28147.1,"[5495.96,7599.3,2991.83]","[]","[6441.7]","[]"
4,284500,777497,364104,7.558,20.9061,722737,1.26459,1,1.00467,1,1,0.957073,0.856877,1,0,1,0,2,"[0,0]","[1,0]","[75388.3,57982.2]","[0.167822,-0.0299321]","[-2.45109,-0.848497]","[76452.5,58008.2]","[0.0305252,-0.0428658]","[1,-1]","[13,13]","[1,0]","[0,0]","[425.204,1100.4]","[0.0142026,0.00139788]","[1.93382,0.231643]",30362,1.05227,4,"[304398,106123,81823.9,24955.1]","[-1.68107,1.60371,-0.39422,-0.893774]","[1.25578,-1.85265,-1.80401,-1.44216]","[846032,274820,89267.8,36053.7]","[0.916428,0.991162,0.863368,0.984188]","[4,0,0,0]","[0,0,0,0]","[-0.844211,-0.604978,-0.884786,-0.495764]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[317258]","[-1.67122]","[1.25164]","[873932]","[26928.6]","[0]","[3.05622]","[0.600095]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1734.78,397.101]",19331.6,"[11285.2,2752.41,1917.09,2351.96]","[]","[12745.7]","[]"
5,284500,1756947,364104,-1,20.9061,722737,0.596562,1,0.991481,1,1,0.963091,0.923924,1,0,1,0,2,"[1,1]","[1,1]","[80235.1,47345.7]","[-0.922689,-0.322435]","[-2.24435,-0.819525]","[116882,49828.3]","[0.0995483,-0.0413589]","[-1,1]","[13,13]","[1,1]","[1641.43,0]","[689.448,-296.944]","[0.00983938,-0.0174745]","[1.5154,2.73867]",78470.3,-2.65427,2,"[279622,147428]","[-0.168568,0.28603]","[0.699324,-2.81263]","[283886,154028]","[1,1]","[0,4]","[0,0]","[-0.918299,-0.637096]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272300]","[-0.135804]","[0.697981]","[275081]","[12096.4]","[0]","[3.03333]","[0.147846]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[367.574,365.338]",8354.53,"[4857.7,4938.86]","[]","[15806.1]","[]"
6,284500,1055444,364104,-1,20.9061,722737,0.923924,1,0.997129,1,1,0.972132,0.941278,1,0,1,0,1,"[1]","[1]","[105136]","[2.12138]","[1.23424]","[444859]","[0.0834794]","[1]","[13]","[1]","[0]","[352.368]","[-0.00153561]","[0.259006]",25323.4,-2.2655,6,"[132164,93869.6,74605.4,49646.6,31744.6,26148.5]","[1.14792,1.63435,-2.13197,-1.43221,0.598865,0.758839]","[-1.91436,-1.37608,1.17846,1.15263,1.96366,-2.33642]","[230193,250032,319072,110721,38128,34293.6]","[1,0.994341,0.986893,0.996639,0.97982,0.972717]","[0,0,0,0,4,0]","[0,0,0,0,0,0]","[0.119552,-0.827785,-0.915148,-0.901051,-0.58705,-0.822425]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256344]","[1.45588]","[-1.76385]","[592341]","[122545]","[0]","[1.26351]","[0.754399]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4498.59]",2197.21,"[2904.15,2908.65,4430.01,5746.26,1507.43,4466.79]","[]","[17388.8]","[]"
7,284500,475014,364104,-1,20.9061,722737,1.24168,1,0.993466,1,1,0.99684,0.823783,1,0,1,0,2,"[1,1]","[1,1]","[60263.4,58804.5]","[-0.760015,0.312912]","[-0.957439,0.124566]","[78522.3,61707]","[-0.00892162,-0.120665]","[1,-1]","[13,13]","[1,1]","[0,0]","[-841.033,-82.308]","[0.0140624,0.0144027]","[2.19017,1.89994]",19617.4,0.62908,5,"[270131,214025,35163.4,24879.9,23451.5]","[0.695257,-0.375091,-0.506146,-0.182946,1.08104]","[1.47626,-2.42757,-1.76635,0.0989358,1.00831]","[338530,230988,40272,25790.3,38847.1]","[1,0.996304,0.981605,0.978305,0.99]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.901036,-0.785427,-0.697443,-0.201372,-0.849242]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279719]","[0.69102]","[1.4725]","[349769]","[19872.5]","[0]","[2.02433]","[0.56171]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[433.988,106.596]",8090.36,"[9203.57,3724.73,2922.86,1774.34,2250.1]","[]","[12891.2]","[]"
8,284500,208718,364104,-1,20.9061,722737,0.696077,1,0.988568,1,1,0.978208,0.964819,1,0,1,0,2,"[1,1]","[1,1]","[307466,31700.7]","[0.259509,-0.194185]","[0.3952,-2.54332]","[317878,32300.5]","[0.0758705,-0.0693436]","[-1,1]","[13,13]","[1,1]","[0,0]","[444.515,-758.213]","[0.0048735,-0.0133031]","[1.1153,1.54921]",51422.4,0.499188,2,"[54095,27823.5]","[-0.668098,1.43873]","[1.73292,-3.13652]","[67253.6,62235.8]","[0.99486,0.967162]","[0,4]","[0,0]","[-0.736187,-0.560084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307005]","[-0.153237]","[-2.54617]","[310621]","[1706.55]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9041.02,210.966]",5708.57,"[2189.87,1154.06]","[]","[19542.5]","[]"
9,284500,343431,364104,1,20.9061,722737,0,1,0.991787,1,1,0.950757,0.979958,1,0,1,0,2,"[1,1]","[1,0]","[100673,19744.7]","[-0.245829,1.52389]","[-2.6631,-2.5059]","[103730,47465.7]","[-0.0466614,-0.000854492]","[-1,1]","[13,13]","[1,1]","[0,0]","[3422.4,2719.72]","[0.0119256,0.0177908]","[2.15707,1.4244]",61715.7,0.545681,2,"[510448,459162]","[-0.118046,-0.750309]","[0.44496,-2.70992]","[515480,595512]","[0.996912,0.959213]","[4,0]","[0,0]","[-0.963152,-0.422145]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[511802,429721]","[-0.150789,-0.779374]","[0.446121,-2.71045]","[518823,567458]","[35143.8,23451.2]","[0,0]","[2.63139,2.62117]","[0.707668,0.449593]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1665.89,169.655]",14714.9,"[8306.72,10102.4]","[]","[33158.9,26542.9]","[]"
10,284500,1011071,364104,0.66357,20.9061,722737,0.923924,1,0.976587,1,1,0.993993,0.997579,1,0,1,0,2,"[1,1]","[1,0]","[51762.4,23365]","[-1.96407,-0.334556]","[0.37518,2.74232]","[188120,24685.1]","[-72.229,-72.4032]","[-1,1]","[13,13]","[1,1]","[1540.25,0]","[-408.303,2529.31]","[0.0173263,-0.033741]","[2.31178,3.8218]",70549.9,-2.48752,9,"[278861,161879,83552.6,65886,59013.6,40682.9,36399.2,28868.4,20253.4]","[-0.400177,0.341615,-1.98596,1.36699,-0.497141,-1.28663,-1.10162,-0.401248,0.307001]","[-1.40672,1.82993,2.31115,1.26505,0.442949,0.329939,2.61287,-0.389316,-1.81054]","[302445,172408,310383,138021,67156.2,79499.2,61296.5,31543.9,21431]","[1,0.991703,0.987989,0,0.995247,0.993054,0.999605,0.994309,0.995174]","[0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0]","[-0.95225,-0.87992,-0.812122,-0.762377,-0.865063,-0.872,-0.799654,-0.74956,-0.691149]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304807]","[-0.344335]","[-1.42174]","[332638]","[79260.5]","[0]","[2.82849]","[0.587668]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[513.445,74.8991]",9225.66,"[4116.74,2505.21,3489.13,2299.15,2047.31,4443.86,5624.98,2915.62,1679.79]","[]","[7031.69]","[]"
11,284500,1179914,364104,1,20.9061,722737,0.696077,1,0.99789,1,1,0.999137,0.981223,1,0,1,0,2,"[0,0]","[1,1]","[128031,42124.3]","[0.855377,1.38189]","[-2.56393,-1.36358]","[177796,89167.3]","[-0.0496979,-0.00494385]","[1,-1]","[13,13]","[1,1]","[0,4453.96]","[-1317.04,-252.661]","[-0.00471596,0.000264118]","[0.78291,0.0330614]",26616.5,2.81696,2,"[269968,92664.4]","[1.07164,-1.20181]","[0.930554,-1.91575]","[440974,168421]","[0.999213,0.986176]","[0,0]","[0,0]","[-0.802259,-0.96182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302690]","[1.0381]","[0.925619]","[481349]","[19026.4]","[0]","[2.70505]","[0.665699]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1414.69,440.579]",17119.1,"[8291.91,2291.15]","[]","[9553.97]","[]"
12,284500,1238387,364104,-1,20.9061,722737,1.55465,1,0.993432,1,1,0.995574,0.867651,1,0,1,0,1,"[1]","[1]","[28549.2]","[0.10079]","[0.0705784]","[28694.5]","[0.0490437]","[-1]","[13]","[1]","[1317.76]","[-14.979]","[-0.00377648]","[0.44855]",50201.1,1.63032,4,"[263523,111275,22939.3,22759.9]","[-0.145147,1.64165,1.35808,2.44286]","[3.13247,-0.212985,-0.914713,0.962018]","[267802,298650,47863.3,131995]","[0.996745,0.993346,0.995023,0.992774]","[0,0,0,0]","[0,0,0,0]","[-0.94711,-0.925317,-0.878474,-0.673056]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267069]","[-0.139588]","[3.13037]","[271847]","[34294.3]","[0]","[2.32862]","[0.598125]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[94.9237]",1794.45,"[3977.53,11008.8,4488.18,1764.4]","[]","[549.125]","[]"
13,284500,577897,364104,1,20.9061,722737,0.696077,1,0.996281,1,1,0.997041,0.979059,1,0,1,0,2,"[0,0]","[1,0]","[182862,27524.4]","[-0.631511,-1.10864]","[-2.47891,2.5232]","[220553,46244.4]","[0.0205536,-0.0104141]","[-1,1]","[13,13]","[1,1]","[1284.44,0]","[3166.51,-1032.66]","[0.0151046,-0.00623605]","[3.046,0.632163]",37799.2,0.942677,4,"[272115,137190,36065,28093.9]","[-1.40757,0.878906,-0.0987397,0.846715]","[0.437418,-3.04614,0.799352,-2.52963]","[589542,194517,36774.1,39044.7]","[0.993676,0.995684,0.902444,0.993419]","[0,0,0,0]","[0,0,0,0]","[-0.732344,-0.0785483,-0.874374,-0.900944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276123]","[-1.42237]","[0.437319]","[606110]","[18610.9]","[0]","[2.09992]","[0.685362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1039.14,95.6755]",7180.25,"[10841.2,2604.29,1966.04,1940.44]","[]","[6489.62]","[]"
14,284500,389779,364104,1,20.9061,722737,1.08735,1,0.992503,1,1,0.946624,0.955055,1,0,1,0,1,"[0]","[1]","[48727.2]","[-0.338142]","[-2.60398]","[51539.7]","[0.0406065]","[1]","[13]","[1]","[0]","[336.584]","[-5.30041e-05]","[0.0094989]",53072.8,0.771602,2,"[1.49915e+06,1.36316e+06]","[0.874758,-0.165568]","[1.48533,-1.67386]","[2.11434e+06,1.38357e+06]","[0.988539,0.9993]","[0,4]","[0,0]","[-0.798495,-0.757392]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.46694e+06,1.28768e+06]","[0.875699,-0.162033]","[1.48079,-1.67926]","[2.06998e+06,1.30521e+06]","[123655,38926.8]","[0,0]","[2.04943,3.58387]","[0.607822,0.561919]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[452.976]",17210.5,"[36250.1,32706.3]","[]","[32524.6,79706.1]","[]"
15,284500,1967009,364104,1,20.9061,722737,0.923924,1,0.966749,1,1,0.997767,1.05163,1,0,1,0,2,"[1,1]","[1,1]","[59114.5,35079.7]","[-0.344451,-0.684804]","[1.84091,-1.20766]","[62656.2,43631.8]","[0.00206947,0.0747032]","[-1,1]","[13,13]","[1,1]","[0,0]","[664.423,-498.936]","[0.00319681,-0.0179575]","[0.581409,1.9035]",28067.9,-2.88057,3,"[254329,47277,40293.3]","[1.76906,0.870174,1.70948]","[-1.4963,0.79,2.83869]","[767843,66654.9,115050]","[0.990128,0.995754,0.993951]","[0,0,0]","[0,0,0]","[-0.496703,-0.853454,0.754416]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268235]","[1.76516]","[-1.49056]","[806776]","[19712.1]","[0]","[2.12166]","[0.713778]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[261.977,207.44]",11992.5,"[8708.79,7091.33,4939.91]","[]","[3085.81]","[]"
16,284500,486518,364104,1,20.9061,722737,1.74563,1,0.984602,1,1,0.993876,0,1,0,1,0,1,"[1]","[1]","[25041.9]","[1.92376]","[-1.4432]","[87555.7]","[66.861]","[1]","[13]","[1]","[0]","[-235.145]","[-0.0211148]","[1.52858]",44404.7,1.89453,6,"[238311,143443,78871.8,27601.7,24892.7,22760]","[0.499434,-1.44297,0.428008,-0.198613,-1.37853,-2.41058]","[1.32164,-1.76395,-2.13248,-1.12959,2.78523,-0.7531]","[270284,320772,87847.5,28968.5,52677.5,127848]","[0.994259,0.974184,0.999617,0.934898,1,0.00144055]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.956092,-0.553046,-0.422951,-0.870309,-0.840635,-0.721709]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252418]","[0.468656]","[1.32781]","[281646]","[23672.2]","[0]","[1.70415]","[0.615253]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.5726]",1070.84,"[8285.98,9310.99,3784.78,1777.86,3165.82,1732.45]","[]","[25765.4]","[]"
17,284500,659427,364104,1,20.9061,722737,1.26205,1.01425,0.984578,1,1,0.996559,0.993441,1,0,1,0,3,"[0,0,0]","[1,1,0]","[258072,28014,7863.56]","[-1.84265,-1.26367,-0.595909]","[1.1987,2.43597,1.06636]","[835071,53520.7,9301.58]","[0.0866241,0.0760384,0.0868912]","[1,-1,-1]","[13,13,11]","[1,1,0]","[0,0,18951.8]","[239.956,-207.68,5356.23]","[0.024072,0.00209668,-0.00439208]","[5.3151,0.162248,0.222936]",21928,0.591889,3,"[321387,126721,27993.3]","[-0.836832,-0.786334,-2.22295]","[-2.22092,-0.329969,2.5274]","[441264,168250,130813]","[0.991038,0.98156,0.998371]","[0,0,0]","[0,0,0]","[-0.935723,-0.919355,-0.490551]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304102]","[-0.854781]","[-2.22301]","[422439]","[16164.2]","[0]","[2.47262]","[0.336862]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1552.61,113.329,136.315]",3479.21,"[3951.97,7113.5,2148.13]","[]","[8032.94]","[]"
18,284500,331600,364104,-1,20.9061,722737,1.55465,1,1.00347,1,1,0.993911,0.94264,1,0,1,0,2,"[1,1]","[1,1]","[62490.7,35425.6]","[0.325453,0.204625]","[-0.140032,-3.07249]","[65829.6,36170]","[0.0337677,0.0270119]","[1,-1]","[13,13]","[1,1]","[0,0]","[161.883,-380.021]","[0.00507808,-0.000176551]","[0.574572,0.0251374]",33292.7,1.32799,4,"[531198,507203,39200.1,23736.9]","[-2.34347,0.778909,1.30887,0.931674]","[-2.4022,0.736954,-2.31797,1.35236]","[2.79254e+06,669379,78316.3,34866.5]","[0.998876,0.983922,0.994095,0.99768]","[0,0,0,0]","[0,0,0,0]","[-0.87297,-0.795625,-0.96156,-0.720632]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[556715]","[0.797065]","[0.738314]","[743378]","[19479]","[0]","[3.59759]","[0.30842]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[285.76,113.784]",6613.64,"[9349.73,6530.51,3232.02,3982.94]","[]","[53017.8]","[]"
