event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,173392,364103,1,73.3694,2.14358e+06,0.696077,1,0.983938,1,1,0.995062,0.794391,1,0,1,0,2,"[0,1]","[1,1]","[71759.6,63046.7]","[1.61359,0.409658]","[0.735985,0.640032]","[187292,68411.4]","[-0.0708122,0.0606747]","[1,-1]","[13,13]","[1,1]","[3896.74,1151.95]","[661.37,3315.97]","[-0.0137799,-0.00403769]","[2.01318,0.713194]",4393.6,-1.64513,5,"[280251,97028.1,48038.8,27663.6,25056.5]","[1.06651,1.09245,-2.1799,2.18648,0.83181]","[-2.42713,0.98457,-0.945605,0.159615,0.467028]","[455673,161611,215215,124742,34500.9]","[0.996498,0.991419,0.998492,0.994397,0.985591]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.941226,-0.840617,-0.843509,-0.745887,-0.874407]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[291441]","[1.05527]","[-2.42571]","[469589]","[15167]","[0]","[3.1959]","[0.683067]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[649.077,406.783]",4919.58,"[14830,3194.19,9061.75,2199.03,2141.26]","[]","[15749.6]","[]"
1,284500,249198,364103,1,73.3694,2.14358e+06,0.923924,1,0.976124,1,1,0.99783,1.02127,1,0,1,0,2,"[1,1]","[0,1]","[54038.1,47473.2]","[0.369776,1.68507]","[-1.04971,0.200615]","[57774.9,132410]","[-0.0860748,-0.0116272]","[-1,1]","[13,13]","[1,1]","[0,0]","[-619.545,665.83]","[0.0129288,0.0161944]","[1.8483,1.30163]",41891.4,1.29249,4,"[258743,238031,87848.3,79964.4]","[-0.980221,-1.27937,0.238985,-0.955728]","[0.539296,-2.73631,2.71748,-1.73333]","[393919,461427,91023.6,119827]","[0,0,1,0]","[0,0,0,0]","[0,0,0,0]","[-0.963087,0.0907858,-0.579252,-0.815381]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[271730,266283]","[-0.964322,-1.27768]","[0.53806,-2.55998]","[408889,529314]","[24202.5,122864]","[0,0]","[2.21585,0.944993]","[0.659465,0.698369]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[405.514,326.654]",12590.5,"[5795.85,22201.6,4411.65,2167.11]","[]","[10497.8,0]","[]"
2,284500,55992,364103,1,73.3694,2.14358e+06,1.24168,1,0.98821,1,1,0.995844,0.996734,1,0,1,0,2,"[0,1]","[1,0]","[67405.4,21574.9]","[-2.28528,-0.286136]","[-0.0715051,-0.577332]","[334675,22464.4]","[-0.170297,0.00849438]","[1,-1]","[13,13]","[1,1]","[0,0]","[-90.1353,399.726]","[0.00177107,-0.0182784]","[0.214651,1.7817]",55432.9,-0.936575,4,"[291514,94552.1,26037.5,20139.2]","[-1.6708,0.538761,0.872887,-1.92634]","[2.60728,-0.612663,-1.34368,-1.37301]","[802968,109998,36805.7,70710.4]","[1,0.988432,0.984174,0.979741]","[0,0,0,0]","[0,0,0,0]","[-0.710435,-0.879977,-0.399372,-0.51677]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302542]","[-1.66417]","[2.60501]","[828047]","[28682.9]","[0]","[2.09417]","[0.788381]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2130.86,103.402]",11677.1,"[6112.87,3993.62,1831.6,1079.07]","[]","[26465.6]","[]"
3,284500,254800,364103,1,73.3694,2.14358e+06,1.1961,1,0.99044,1,1,0.997157,1.1034,1,0,1,0,2,"[1,0]","[1,1]","[87158.2,51282.6]","[-0.669419,-0.929589]","[-1.30075,0.135374]","[107427,75082.5]","[-0.04706,-0.0195122]","[-1,1]","[13,13]","[1,1]","[0,0]","[1738.87,689.651]","[-0.0161625,0.00121416]","[2.80862,0.218132]",21124.9,2.44035,3,"[236865,65564.2,22540.5]","[0.625197,0.747077,2.00941]","[2.02265,-1.13371,-1.24314]","[285399,85126.9,85663.4]","[0.998589,0.999847,0.972527]","[0,0,0]","[0,0,0]","[-0.58522,-0.903935,-0.808686]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253080]","[0.61666]","[2.01075]","[303189]","[16427.7]","[0]","[2.98368]","[0.738147]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2970.5,197.301]",8893.02,"[3577.89,5528.44,1621.43]","[]","[1016.69]","[]"
4,284500,42222,364103,1,73.3694,2.14358e+06,1.55465,1,0.982698,1,1,0.982989,0.992139,1,0,1,0,1,"[1]","[1]","[68952.6]","[-1.92394]","[1.46024]","[241125]","[-35.247]","[-1]","[13]","[1]","[0]","[-394.063]","[-0.0141525]","[2.37335]",31443.8,-3.06912,3,"[1.80196e+06,1.79989e+06,70280.7]","[-1.68283,1.65286,-0.511596]","[-1.12591,2.01946,-1.13365]","[5.01749e+06,4.87195e+06,79945.9]","[0.00540584,0.985883,0]","[0,0,0]","[0,0,0]","[-0.0970432,-0.919671,-0.802242]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.89256e+06,1.77673e+06]","[-1.6835,1.65496]","[-1.12654,2.02147]","[5.27132e+06,4.81846e+06]","[68550.3,7978.67]","[0,0]","[2.91529,0]","[0.689715,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[268.199]",11338.4,"[32621.9,44843.1,6175.26]","[]","[160800,3829.38]","[]"
5,284500,273266,364103,1,73.3694,2.14358e+06,0.596562,1,0.996233,1,1,0.997536,1.00522,1,0,1,0,2,"[0,0]","[1,0]","[78007.7,35747.1]","[-1.20182,-1.22835]","[-0.185167,-1.00766]","[141460,66282]","[-0.0751724,-0.00801849]","[1,-1]","[13,13]","[1,1]","[0,0]","[-273.852,-273.852]","[0.00786977,-0.00107988]","[1.13334,0.114398]",34880.7,-2.30269,4,"[315614,134172,61189.4,38323.2]","[-1.41181,2.29704,-1.56388,0.989098]","[2.83991,-0.0758472,0.175751,-0.615595]","[686289,674081,152795,58941.9]","[1,1,0.991456,0.642825]","[0,0,0,0]","[0,0,0,0]","[-0.874155,-0.503043,-0.954114,-0.905441]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[294176]","[-1.42622]","[2.84001]","[647919]","[18729.7]","[0]","[2.68779]","[0.732124]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[773.625,183.737]",3647.23,"[6223.64,4549.21,3383.62,5057.41]","[]","[5052.56]","[]"
6,284500,1141227,364103,1,73.3694,2.14358e+06,0.619412,1,0.995056,1,1,0.998324,0.945822,1,0,1,0,1,"[1]","[1]","[95188.2]","[0.695591]","[-3.01195]","[119160]","[0.0308352]","[-1]","[13]","[1]","[0]","[-849.983]","[-0.0116801]","[2.31266]",23224,-0.0637312,3,"[274237,191795,33015.3]","[0.245835,-2.36045,0.0132305]","[-0.837942,1.9315,-2.50176]","[282991,1.026e+06,33824.8]","[0.996214,0.997322,0.793333]","[0,0,0]","[0,0,0]","[-0.917289,-0.131407,-0.874832]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274953]","[0.242304]","[-0.841206]","[283363]","[13018.5]","[0]","[3.74726]","[0.157411]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[403.972]",18505.2,"[3770.53,4214.7,3633.25]","[]","[11260]","[]"
7,284500,18147,364103,1,73.3694,2.14358e+06,1.74563,1,1.00163,1,1,0.997563,1.0541,1,0,1,0,2,"[1,1]","[1,1]","[90691.9,65321.8]","[-0.935619,-1.05703]","[0.941172,2.34551]","[133368,105341]","[0.0572505,0.0681362]","[1,-1]","[13,13]","[1,1]","[0,0]","[-537.277,61.4826]","[-0.00264946,-0.0352266]","[0.48292,6.15886]",14435.2,1.86261,2,"[137461,123814]","[0.305318,0.36834]","[-1.67971,-1.09805]","[144454,133143]","[0.998073,0.0379676]","[0,0]","[0,0]","[-0.918601,-0.764994]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267730]","[0.351598]","[-1.38553]","[289894]","[55916.3]","[0]","[1.0257]","[0.666583]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[487.638,1485.34]",11333.4,"[6226.27,2274.84]","[]","[12139.7]","[]"
8,284500,473046,364103,1,73.3694,2.14358e+06,1.22586,1,0.997683,1,1,0.998401,0.954967,1,0,1,0,1,"[1]","[1]","[39593.9]","[1.47011]","[2.0989]","[90662.3]","[0.00377846]","[-1]","[13]","[1]","[0]","[1705.14]","[-0.038489]","[4.34416]",41925.4,-0.301358,3,"[294939,282663,48462]","[-1.53347,-1.70932,-0.662584]","[0.863969,-2.20323,-2.71509]","[715648,807047,60009.9]","[0.99077,0.999624,0.985439]","[0,0,0]","[0,0,0]","[-0.754053,0.34773,-0.901095]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[293761,281060]","[-1.70066,-1.52896]","[-2.20417,0.857628]","[832046,679390]","[33649.6,28818.7]","[0,0]","[2.29443,1.81072]","[0.699311,0.690217]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[169.741]",2521.59,"[4020.64,4041.66,3783.21]","[]","[16.1562,4896.19]","[]"
9,284500,712522,364103,-0.125802,73.3694,2.14358e+06,1.22586,1,0.997434,1,1,0.997837,0.965095,1,0,1,0,2,"[1,1]","[1,1]","[62729.7,43602.6]","[-1.47626,-1.80324]","[-0.0439305,2.01993]","[144436,135911]","[0.0504837,-0.0713005]","[-1,1]","[13,13]","[1,1]","[0,0]","[-701.48,-245.217]","[-0.0163414,0.0202126]","[2.6058,2.01012]",100518,-1.19203,3,"[267607,165230,92173.2]","[0.184822,0.928879,-0.67911]","[1.97344,-1.16963,-2.37284]","[272759,242087,114611]","[0,0,0.955831]","[0,0,0]","[0,0,0]","[-0.701581,-0.791269,-0.942978]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251742]","[0.158377]","[1.98268]","[255205]","[12348.1]","[0]","[2.77737]","[0.512937]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[573.469,144.768]",671.781,"[2858.37,4549.26,2672.66]","[]","[11073.9]","[]"
