event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
20,284500,2743694,361107,1941.1,1950.63,1.46764e+11,0.553627,1,0.979993,1,1,0.998504,0.81689,1,0,1,0,2,"[1,1]","[1,0]","[303880,15136]","[0.299996,-1.65741]","[-1.87977,0.904883]","[317657,41142.6]","[-0.00658417,-0.0444717]","[-1,1]","[13,13]","[1,1]","[0,0]","[-890.496,1.64771]","[-0.00404311,-0.0199963]","[0.693494,1.58875]",63083.8,-2.01186,2,"[180396,160271]","[-1.19105,-0.743814]","[1.27669,1.25211]","[324400,206971]","[0.581956,0.988964]","[0,0]","[0,0]","[0.317738,-0.910311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[327474]","[-1.01029]","[1.26406]","[514309]","[71569.8]","[0]","[0.633008]","[0.498754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[48599.1,330.96]",5305.02,"[6481.96,2183.37]","[]","[545.156]","[]"
54,284500,3101310,361107,1941.13,1950.63,1.46764e+11,1.26205,1,0.999528,1,1,0.998584,0.948081,1,0,1,0,1,"[1]","[1]","[397950]","[1.5269]","[2.25424]","[959280]","[-0.00615692]","[1]","[13]","[1]","[0]","[-333.89]","[-0.0148101]","[3.65241]",18388.4,0.5154,2,"[335616,50429.8]","[0.897004,2.10476]","[-0.855344,-1.95708]","[480851,210028]","[1,1]","[0,0]","[0,0]","[-0.650308,-0.953625]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[319547]","[0.923367]","[-0.854221]","[466727]","[30496]","[0]","[1.82383]","[0.600569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24709.2]",3281.46,"[12127.8,5245.45]","[]","[22123.9]","[]"
68,284500,3165269,361107,1941.95,1950.63,1.46764e+11,1.24168,1,0.985638,1,1,0.998002,0.97034,1,0,1,0,2,"[1,1]","[1,1]","[227983,40769.7]","[-1.93849,-1.41121]","[-1.06523,1.73384]","[808452,88567]","[-0.0190125,0.0582581]","[1,-1]","[13,13]","[1,1]","[0,0]","[-85.1549,111.424]","[-0.0167511,0.0279016]","[3.22839,3.11902]",16972.2,-2.97473,3,"[280420,39207.5,23195]","[-1.11528,-1.70882,1.02756]","[2.40122,0.426908,-0.500304]","[474312,111912,36994.6]","[0.996175,0.946225,0.989989]","[0,0,0]","[0,0,0]","[-0.874677,-0.902256,0.472222]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286198]","[-1.13421]","[2.4077]","[491737]","[28912.2]","[0]","[2.59153]","[0.647738]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2159.87,369.67]",2822.83,"[4302.5,3171.39,2431.54]","[]","[1988.59]","[]"
101,284500,3765579,361107,1941.67,1950.63,1.46764e+11,1.22586,1,0.988956,1,1,1.09244,0.940094,1,0,1,0,2,"[1,1]","[1,1]","[320034,65409.4]","[-0.418558,0.188848]","[-0.11548,-0.323634]","[348479,66579.3]","[0.0191174,0.0574245]","[-1,1]","[13,13]","[1,1]","[0,0]","[471.789,-417.606]","[0.0139173,0.0134741]","[2.37051,1.97509]",47466,2.58583,2,"[316187,25465.8]","[1.5247,-0.0638637]","[3.08119,2.30331]","[761007,25637.7]","[0.990088,0.989139]","[5,5]","[0,0]","[0.384166,0.999923]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[312402]","[1.52262]","[3.07299]","[750295]","[15393.1]","[0]","[1.83128]","[0.618271]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[65179.6,206.495]",3156.73,"[5362.75,1234.62]","[]","[7169.16]","[]"
149,284500,3380319,361107,1941.54,1950.63,1.46764e+11,0.619412,1,0.99708,1,1,0.998619,0.980575,1,0,1,0,2,"[1,1]","[1,1]","[369061,52012.2]","[2.36898,2.33884]","[-1.93965,-2.57405]","[1.98924e+06,272170]","[0.108095,0.105635]","[1,-1]","[13,13]","[1,1]","[0,0]","[3053.65,626.765]","[-0.000629842,-0.0244361]","[0.15074,3.31145]",15154.5,0.78338,1,"[401717]","[1.59877]","[1.15976]","[1.03466e+06]","[1]","[0]","[0]","[-0.915386]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[426487]","[1.60037]","[1.16195]","[1.09991e+06]","[25168.2]","[0]","[2.19007]","[0.615858]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[55474.3,583.354]",18526,"[6878.96]","[]","[20259.8]","[]"
154,284500,4245280,361107,1941.45,1950.63,1.46764e+11,0.696077,1,0.986908,1,1,0.99634,0.978959,1,0,1,0,2,"[1,1]","[1,1]","[368378,299232]","[-0.620454,-0.504736]","[-2.35239,-2.57589]","[441588,338164]","[-0.00239468,0.0125117]","[-1,1]","[13,13]","[1,1]","[319167,387440]","[168.224,133.059]","[-0.000435785,0.00123195]","[0.0830101,0.33498]",48811.6,-3.05797,3,"[817383,199893,56664.1]","[-0.119661,-0.348234,1.00635]","[0.439887,2.76532,0.427329]","[824985,213212,88570.7]","[1,0.986414,0.991366]","[0,0,0]","[0,0,0]","[-0.211578,0.2061,-0.414448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[799425]","[-0.119265]","[0.439831]","[807089]","[56367.3]","[0]","[2.82494]","[0.596176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11303.3,15554.5]",4935.18,"[16915.9,5981.69,4486.28]","[]","[11271]","[]"
159,284500,3655842,361107,1942.06,1950.63,1.46764e+11,1.24168,1,0.990898,1,1,0.999427,0.759899,1,0,1,0,2,"[1,1]","[1,1]","[173444,131443]","[-0.22363,-0.270208]","[2.1159,2.65022]","[177799,136271]","[-0.0572624,0.0235252]","[1,-1]","[13,13]","[1,1]","[0,0]","[-383.524,320.801]","[-0.01373,-0.000440184]","[2.68055,0.0845037]",22787.5,-0.651029,1,"[287853]","[0.149793]","[-0.858715]","[292098]","[0.995037]","[0]","[0]","[-0.18484]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282006]","[0.164198]","[-0.854066]","[286582]","[20941.5]","[0]","[1.2317]","[0.00608906]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4200.63,2833.07]",5149.82,"[3598.26]","[]","[5591.38]","[]"
160,284500,3725617,361107,1941.32,1950.63,1.46764e+11,1.25133,1,0.989606,1,1,0.999386,0.941994,1,0,1,0,2,"[1,1]","[1,1]","[171961,86001.1]","[0.767885,1.24359]","[1.07202,1.78779]","[225200,161528]","[-0.0385132,0.0439987]","[-1,1]","[13,13]","[1,1]","[0,0]","[-283.326,-788.286]","[-0.0109623,-0.00163323]","[2.43366,0.253816]",29057.8,3.05302,1,"[233177]","[-0.377935]","[-1.59328]","[251354]","[1]","[0]","[0]","[-0.761957]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255773]","[-0.329436]","[-1.59677]","[272144]","[35806.6]","[0]","[2.39251]","[0.688983]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9714.29,1151.7]",423.811,"[4310.65]","[]","[14500.3]","[]"
166,284500,3607143,361107,1941.12,1950.63,1.46764e+11,0.75088,1,0.995272,1,1,1.10584,0.881991,1,0,1,0,1,"[1]","[1]","[194383]","[0.174072]","[-0.623216]","[197336]","[-0.0514486]","[1]","[13]","[1]","[0]","[15.9288]","[0.00496942]","[0.940073]",46035.5,0.144691,3,"[298578,28992.3,20498.8]","[0.162137,0.572882,-0.785678]","[2.5661,-0.0794414,-2.63766]","[303496,34385.5,27594.8]","[0.998532,0.996892,0.972364]","[4,0,0]","[0,0,0]","[0.945508,-0.712607,-0.823189]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295201]","[0.162635]","[2.56508]","[300932]","[33032.4]","[0]","[3.09532]","[0.622933]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5118.72]",25060,"[3120.95,2942.26,1127.51]","[]","[70.25]","[]"
178,284500,4475891,361107,1941.41,1950.63,1.46764e+11,1.55465,1,0.991236,1,1,0.997921,0.975949,1,0,1,0,2,"[1,1]","[1,1]","[195250,136039]","[-0.145615,-0.622982]","[-3.08491,-2.84944]","[197324,163303]","[-0.0565033,-0.044136]","[1,-1]","[13,13]","[1,1]","[0,0]","[703.386,-656.302]","[-0.00205375,-0.00304227]","[0.463977,0.416802]",18163.4,2.35078,3,"[297368,66314.6,21820.3]","[-0.808136,-0.588646,-2.47203]","[-0.0408024,1.18023,-1.01072]","[400616,78726.5,130231]","[0.987833,0.995262,0]","[0,0,0]","[0,0,0]","[-0.814326,-0.317899,-0.737419]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[299311]","[-0.82517]","[-0.0441078]","[407492]","[17246.6]","[0]","[2.18842]","[0.469055]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11851.9,7439.24]",14280.2,"[9929.67,2112.47,1692.59]","[]","[6492.41]","[]"
