event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
26,284500,4807217,363356,1.02754,2.20355,2.98823e+06,1.1961,0.98697,1,1,1,1.00176,1.00582,1,1,0,0,1,"[0]","[1]","[188282]","[-0.466882]","[2.8405]","[209178]","[0.0145798]","[-1]","[11]","[1]","[0]","[409.907]","[0.00694878]","[0.940762]",43433.3,0.568443,7,"[181911,103228,68673.2,51846,48594.7,31251.7,25271.7]","[-0.980416,-0.0997739,0.0819496,-1.75178,-2.26828,-2.10643,-0.803092]","[0.13916,-2.78467,-1.48078,0.467013,-1.22992,1.02916,-3.00292]","[277202,104170,69585.2,154069,237509,130485,34122.2]","[0.99554,0.997717,0.999572,0.949873,0.842111,1,0.991323]","[0,0,0,0,0,0,5]","[0,0,0,0,0,0,0]","[-0.885423,-0.986428,-0.801214,-0.908358,-0.856844,-0.94447,0.965279]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[270411,255793]","[-0.317993,-1.14548]","[3.03251,0.240644]","[303501,448413]","[106509,70839.3]","[1,0]","[0.172669,1.45377]","[0.312681,0.692027]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1721.9]",3097.7,"[3333.95,7994.88,2486.91,8536.21,2456.33,2724.05,3464.15]","[]","[7218.28,0]","[]"
36,284500,4657231,363356,1,2.20355,2.98823e+06,1.26205,1,0.996764,1,1,0.935431,1.00676,1,0,1,0,2,"[0,0]","[1,1]","[58408.8,46656.9]","[-1.58639,-0.705634]","[-2.19594,-0.486074]","[148671,58762.7]","[-0.00573349,0.0623131]","[-1,1]","[13,13]","[1,1]","[0,0]","[216.34,-374.014]","[0.0199019,0.00142554]","[2.66918,0.220479]",18479.7,1.13801,4,"[349622,349239,53828.6,25973.7]","[-0.105957,0.883064,1.43267,0.552665]","[-0.386373,2.68984,2.66374,-0.238424]","[351708,496532,119220,30418.2]","[0.995116,1,0.970129,0.998776]","[4,0,0,4]","[0,0,0,0]","[0.759054,-0.514252,-0.900375,-0.870381]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[372959,370256]","[-0.0918585,0.970735]","[-0.386511,2.68016]","[374694,564151]","[10943.5,77206.6]","[1,0]","[3.11972,1.80525]","[0.448949,0.673205]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[656.153,115.249]",273.303,"[3524.8,5231.87,3315.28,2285.86]","[]","[5156.38,9099.72]","[]"
70,284500,4808320,363356,1.42377,2.20355,2.98823e+06,1.08735,1,0.99871,1,1,1.50203,0.976117,1,0,1,0,2,"[0,0]","[1,1]","[264459,53399.9]","[-1.08484,-0.3222]","[0.21364,0.120235]","[435950,56195.8]","[-0.0195417,-0.00634575]","[-1,1]","[13,13]","[1,1]","[0,0]","[-352.422,-512.218]","[0.00428736,0.0140298]","[0.708201,1.75729]",32836.4,-1.74924,4,"[288974,98299.5,65942.4,26280.2]","[0.0408834,0.145149,-0.830414,-0.722312]","[2.85036,-1.77756,-2.27045,1.04651]","[289678,99877,90467.6,33825.3]","[0.997114,1,0.996821,1]","[0,4,4,0]","[0,0,0,0]","[-0.69051,-0.313975,0.906609,0.0924168]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269091]","[0.0337832]","[2.85223]","[269244]","[-0.00487518]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18379.4,513.98]",16542.7,"[3624.24,6647.26,2855.8,2841.71]","[]","[17193.6]","[]"
129,284500,5205476,363356,1,2.20355,2.98823e+06,1.22586,0.949688,1,1,1,0.998372,0.99866,1,1,0,0,2,"[0,0]","[1,1]","[328733,49815.1]","[-0.870381,-0.97437]","[-2.50242,-1.72248]","[461314,75393.4]","[0.0101428,-0.0300381]","[-1,1]","[11,11]","[1,1]","[1294.33,0]","[-813.138,229.227]","[0.000559127,-0.00802114]","[0.079053,0.52785]",32802.3,1.45492,3,"[305305,99888.7,20645.8]","[0.889952,-1.49601,-1.15109]","[0.28591,0.718115,2.68701]","[434773,234313,36173.3]","[0.99246,0.969497,0.980339]","[0,0,0]","[0,0,0]","[-0.565285,-0.945788,-0.28363]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[391690,298852]","[-0.912018,0.889906]","[-2.40001,0.28397]","[574620,425446]","[98013.2,14294]","[1,0]","[0.0367594,2.17777]","[-1,0.0772703]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4019.72,45.4294]",2904.38,"[11050.9,6488.24,1119.9]","[]","[8704.78,20309.3]","[]"
134,284500,5285514,363356,-1,2.20355,2.98823e+06,1.32095,0.96966,1,1,1,0.999458,0.99604,1,1,0,0,1,"[0]","[1]","[229349]","[-2.10515]","[-1.13443]","[955254]","[-0.0505981]","[-1]","[11]","[1]","[0]","[2814.52]","[0.0207191]","[2.56489]",13007.1,1.24833,1,"[276520]","[-1.35259]","[2.47494]","[570691]","[0.969741]","[0]","[0]","[-0.529293]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280900]","[-1.32954]","[2.48063]","[568225]","[17236.8]","[0]","[2.72067]","[0.24428]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2365.25]",248.715,"[14601.4]","[]","[8947.25]","[]"
146,284500,5213672,363356,1,2.20355,2.98823e+06,1.1961,0.97826,1.00016,1,1,0.996992,1.00493,1,1,1,0,2,"[0,0]","[1,1]","[99444.9,45600.4]","[-1.17426,-1.35766]","[-0.996641,-1.38803]","[176255,94491.8]","[-0.0233994,-0.0387764]","[-1,1]","[11,13]","[1,1]","[0,0]","[2910.03,-31.0081]","[-0.0142714,-0.0426316]","[1.0591,5.34089]",314925,-1.08976,3,"[430625,44234.1,20828.8]","[-1.46862,-2.00262,0.499247]","[2.03878,2.34936,-0.993598]","[985411,166913,23846.3]","[0.973199,0.991794,0.989916]","[0,0,0]","[0,0,0]","[-0.833085,-0.860042,-0.830798]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[438325]","[-1.55165]","[2.07452]","[1.08499e+06]","[96073.7]","[1]","[2.17105]","[0.680104]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[514.41,184.776]",19020.2,"[15465.4,5268.52,1157.68]","[]","[2708.78]","[]"
148,284500,4536913,363356,1,2.20355,2.98823e+06,1.21412,0.974854,1,1,1,0.999681,0.99765,1,1,0,0,2,"[0,0]","[1,1]","[229941,92026.7]","[0.623216,0.140621]","[-2.01612,-2.37548]","[276060,92938.1]","[0.0996284,-0.0760269]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1560.27,1214.19]","[0.000832837,-0.00921965]","[0.0885345,1.02668]",20657.4,0.826574,1,"[313043]","[-0.334792]","[0.928163]","[331684]","[1]","[0]","[0]","[-0.716074]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[339380,331340]","[0.486742,-0.354099]","[-2.1149,0.926073]","[393158,353223]","[99407.7,25093.2]","[1,1]","[0.0728,1.97661]","[0.346003,0.539127]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1524.12,481.066]",1943.91,"[4019.02]","[]","[42082.6,8272.19]","[]"
160,284500,4663898,363356,-1,2.20355,2.98823e+06,1.74563,0.962786,1,1,1,0.933585,0.99765,1,1,0,0,2,"[0,0]","[1,1]","[203824,58492.8]","[0.635639,0.596846]","[1.05831,1.91578]","[246405,69224.1]","[-0.0087204,0.0587006]","[-1,1]","[11,11]","[1,1]","[0,0]","[-322.316,-242.071]","[-0.0186122,0.0203485]","[2.64375,2.06571]",3759.49,-1.36101,2,"[222986,45396.9]","[-0.868228,-0.852874]","[-1.79066,-2.65973]","[312933,63619.4]","[0.996499,0.986382]","[4,4]","[0,0]","[-0.686832,-0.531828]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274888]","[-0.871173]","[-1.86155]","[390282]","[57878]","[1]","[2.43647]","[0.639143]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1333.31,329.615]",9177.33,"[8410.73,1531.92]","[]","[9546.31]","[]"
167,284500,5283583,363356,1,2.20355,2.98823e+06,0.696077,0.920084,1,1,1,1.09812,0.99107,1,1,0,0,2,"[0,0]","[1,1]","[43399.9,28591.3]","[-1.81634,-0.224876]","[0.368319,-3.06751]","[136969,29317.2]","[0.0259042,-0.0514429]","[-1,1]","[11,11]","[1,1]","[1014.54,0]","[324.311,806.544]","[0.0107186,-0.0254498]","[0.863755,1.48046]",92580,-2.34264,8,"[469809,356900,94145.5,66078.8,53426.8,47676.8,41341,34365.8]","[-0.686372,0.354819,0.470671,-0.432026,1.28978,-1.19019,0.894289,-0.680298]","[-1.32137,1.40528,-2.8065,1.03822,0.844194,1.9191,2.76634,2.7658]","[585445,381742,105216,73544.5,104792,86106.8,59490.5,43045.6]","[0.976379,0.990555,0.996553,0,1,0.966877,0.993459,0.992334]","[0,0,0,0,5,0,5,0]","[0,0,0,0,0,0,0,0]","[-0.944443,-0.903843,-0.86024,-0.676169,0.999903,-0.897676,0.999924,-0.851254]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[482895,383191]","[-0.687991,0.289425]","[-1.31867,1.38953]","[601968,414526]","[15838.5,111128]","[0,0]","[2.07276,2.22729]","[0.315728,0.684159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[424.748,78.2723]",4781.43,"[5466.15,10148,6426.63,5051.93,1931.94,2218.6,1741.82,3432.84]","[]","[39223,3441.44]","[]"
174,284500,4557292,363356,-1,2.20355,2.98823e+06,1.26459,0.937364,1,1,1,0.996086,1.01012,1,1,0,0,2,"[0,0]","[1,1]","[160232,90082.1]","[1.82924,1.24894]","[-1.44965,-1.91801]","[511916,169960]","[0.00176239,0.0292215]","[1,-1]","[11,11]","[1,1]","[0,1642.9]","[361.988,3801.42]","[-0.0115355,-0.021722]","[1.41502,1.83964]",23876.1,2.22647,3,"[206111,143795,24082]","[1.42925,1.07271,2.16576]","[2.24348,0.338165,0.864044]","[455745,235493,106424]","[0.985684,0.920112,1]","[0,0,0]","[0,0,0]","[-0.958018,-0.73991,-0.810966]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266809]","[1.67351]","[-1.62344]","[743335]","[102873]","[1]","[0.114178]","[0.400471]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2584.67,772.117]",11173,"[11872.9,2428.19,2179.78]","[]","[25103.6]","[]"
