event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,1653043,364130,1,127.092,4.06054e+06,1.25133,1,0.996715,1,1,0.997926,0.836291,1,0,1,0,1,"[0]","[1]","[151378]","[-0.420155]","[-0.647422]","[164937]","[-0.0180616]","[-1]","[13]","[1]","[0]","[-551.473]","[0.00863552]","[1.4735]",153156,-0.69114,2,"[256443,46267.9]","[-0.0480418,0.932405]","[2.54585,2.2226]","[257262,68404.5]","[0.964504,0.889662]","[15,0]","[1,0]","[-0.871322,-0.921737]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279228]","[0.0742723]","[2.50478]","[292394]","[84232.8]","[0]","[0.663949]","[0.686554]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9692.74]",2545.08,"[3747.23,5608.41]","[]","[14299.5]","[]"
1,284500,644367,364130,1,127.092,4.06054e+06,0.75088,0.97095,1,1,1,1.61445,0.99216,1,1,0,0,1,"[0]","[1]","[38715.8]","[-0.459769]","[-0.769007]","[42880.4]","[88.3858]","[-1]","[11]","[1]","[0]","[-346.343]","[0.0254411]","[3.18109]",11194.1,-0.735751,4,"[298323,242915,111214,37121.9]","[0.0469337,-0.417425,0.646889,0.79143]","[2.35811,-1.42323,0.656118,0.03686]","[300701,264980,137193,49744.8]","[0.995214,0.998926,0.996607,0.975272]","[0,0,0,0]","[0,0,0,0]","[0.839861,0.684023,0.998907,-0.0218565]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[283085,281251]","[-0.459518,0.00251466]","[-1.3312,2.35398]","[315881,281766]","[38688.3,17016.1]","[0,0]","[1.03855,1.55723]","[0.50232,0.430169]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13.7149]",6176.58,"[3495.71,4925.19,4418.94,3189.22]","[]","[16524.2,1728.5]","[]"
2,284500,2080671,364130,1,127.092,4.06054e+06,1.1961,0.96972,1,1,1,0.999083,0.99544,1,1,0,0,1,"[0]","[1]","[289699]","[1.24659]","[-0.331348]","[545494]","[0.00855255]","[-1]","[11]","[1]","[0]","[1226.73]","[-0.0276939]","[4.31408]",79164.6,-3.05434,1,"[258555]","[1.09748]","[2.82149]","[430877]","[0.995431]","[15]","[1]","[0.699736]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[311528]","[1.28256]","[-0.332924]","[604869]","[2801.68]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3793.99]",9090.45,"[12290.6]","[]","[17266.5]","[]"
3,284500,1555281,364130,1,127.092,4.06054e+06,0,0.98697,1,1,1,0.997188,1.00582,1,1,0,0,1,"[0]","[1]","[297238]","[-0.378081]","[2.54169]","[318736]","[-0.0733185]","[-1]","[11]","[1]","[0]","[-1637.97]","[0.0030709]","[0.51194]",132640,-0.609454,1,"[163894]","[1.94674]","[-0.556733]","[585929]","[0.99901]","[15]","[1]","[-0.258944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[306691]","[-0.361784]","[2.53702]","[326996]","[3086.33]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2084.68]",3111.66,"[4619.63]","[]","[7530.97]","[]"
4,284500,4209079,364130,-1,127.092,4.06054e+06,0.738662,0.90266,0.997748,1,1,0.998535,0.982246,1,0,1,0,2,"[0,0]","[1,0]","[29211.3,17758.4]","[2.15677,0.825887]","[-1.28963,2.39196]","[127929,24167]","[-1.78485,-2.11921]","[-1,1]","[13,11]","[1,1]","[0,0]","[-413.006,1628.87]","[-0.0235262,-0.00703717]","[2.26634,0.48684]",31776.8,2.20208,2,"[280451,229965]","[1.57409,1.99189]","[-1.22253,1.92217]","[706958,859314]","[1,0.994279]","[0,0]","[0,0]","[-0.717287,-0.422624]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256357]","[1.59074]","[-1.2229]","[656104]","[35565.8]","[0]","[1.84094]","[0.742216]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[418.368,652.598]",9369.29,"[10542.9,3668.69]","[]","[534.438]","[]"
5,284500,3095150,364130,1,127.092,4.06054e+06,1.26459,1,0.993836,1,1,0.998561,0.965041,1,0,1,0,1,"[0]","[1]","[208384]","[-1.44724]","[-0.848235]","[467465]","[-110.422]","[-1]","[13]","[1]","[0]","[-606.616]","[0.236822]","[26.9889]",87214,-0.66781,1,"[291647]","[-1.55852]","[2.37126]","[723803]","[0]","[15]","[1]","[-0.751849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[305014]","[-1.53963]","[2.37006]","[744080]","[19547.3]","[0]","[3.28341]","[0.640827]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8461.79]",1444.92,"[4216.8]","[]","[5775.59]","[]"
6,284500,4493609,364130,-1,127.092,4.06054e+06,0.553627,1,0.996991,1,1,1.07923,0.94093,1,0,1,0,1,"[0]","[1]","[35816.9]","[-2.2886]","[1.02631]","[178414]","[-0.0120239]","[1]","[13]","[1]","[0]","[-293.44]","[-0.0509828]","[5.0248]",15009.8,-2.58085,4,"[353497,349851,25865.6,24750.6]","[-0.420931,-1.49375,-2.42704,0.615568]","[-1.23994,1.88385,-1.47615,2.91175]","[385928,818602,147629,30023.9]","[0.998466,0.450792,0.973412,0.994803]","[5,5,15,5]","[0,0,1,0]","[-0.884519,-0.619165,0.193448,0.98726]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[358363,364247]","[-0.449411,-1.5013]","[-1.2343,1.88162]","[395618,858219]","[18926.1,24689.4]","[0,0]","[2.52826,1.7672]","[0.603367,0.699878]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[254.056]",15615.8,"[4522.45,7517.33,3973.44,1203.61]","[]","[1854.91,34600.5]","[]"
7,284500,7390289,364130,1,127.092,4.06054e+06,0.553627,0.99093,1,1,1,1.04831,1.00306,1,1,0,0,1,"[0]","[1]","[119535]","[0.901635]","[2.08548]","[171505]","[-0.0938411]","[1]","[11]","[1]","[0]","[1893.1]","[-0.0434922]","[1.31583]",76064.4,1.96476,3,"[244261,39119.3,22326.6]","[1.09441,-0.175877,-0.425201]","[-1.15369,1.2603,2.6861]","[405770,40525,24943.4]","[0.980784,0.951445,0.645877]","[15,5,0]","[1,0,0]","[-0.913363,0.99411,-0.825882]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251150]","[1.09404]","[-1.15256]","[417061]","[1585.29]","[0]","[2.27136]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[901.271]",14049.1,"[13541.6,1732.99,1715.55]","[]","[15523.8]","[]"
8,284500,90467,364130,1,127.092,4.06054e+06,0.619412,1,0.995469,1,1,0.994803,0.819409,1,0,1,0,1,"[0]","[1]","[25599.1]","[0.653247]","[0.584612]","[31258.3]","[0.00608635]","[1]","[13]","[1]","[0]","[-362.91]","[-0.0175892]","[1.82644]",79744,2.87882,3,"[355550,25702.1,23199.7]","[1.71188,-1.05827,0.0481436]","[2.05954,2.88627,-0.568357]","[1.01707e+06,41670,23526.5]","[0,0.997757,0.98962]","[0,15,5]","[0,1,0]","[-0.778854,-0.908565,0.999379]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[391439,372288]","[0.406874,1.72222]","[-0.984354,2.06202]","[424400,1.0753e+06]","[9697.84,20774.3]","[0,0]","[0,3.55427]","[-1,0.67459]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[52.9683]",19050.5,"[13537,1766.51,1371.4]","[]","[13539.6,3766.25]","[]"
9,284500,6587455,364130,1,127.092,4.06054e+06,1.32095,0.97921,1,1,1,0.996161,1.00192,1,1,0,0,1,"[0]","[1]","[63152.7]","[-0.155196]","[-0.785401]","[63914.8]","[0.0879518]","[-1]","[11]","[1]","[0]","[-550.13]","[-0.0243976]","[2.75435]",192047,-0.799352,2,"[29317.4,20885.2]","[-1.34744,-2.06022]","[-1.70681,-1.75299]","[60510.8,83475.3]","[0.994974,0.937606]","[0,0]","[0,0]","[-0.933169,-0.777777]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257480]","[-0.492533]","[2.20018]","[289348]","[0.00276214]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[426.979]",1409.86,"[4250.12,3004.72]","[]","[6842.19]","[]"
