event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,1991962,364129,-1,211.709,2.84815e+06,1.1961,1,0.992753,1,1,0.974106,0.986393,1,0,1,0,1,"[0]","[1]","[85604.8]","[0.500704]","[2.81657]","[96561.7]","[-0.0119972]","[1]","[13]","[1]","[0]","[-988.772]","[0.0156612]","[2.92073]",216112,2.84657,2,"[276835,33464.6]","[0.213164,-1.89655]","[-0.496565,0.659821]","[283272,114142]","[0.867808,0.994295]","[15,4]","[1,0]","[-0.752619,-0.624052]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270159]","[0.20045]","[-0.495534]","[275646]","[4803.45]","[0]","[0.866267]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[828.281]",9064.67,"[3285.12,6008.31]","[]","[3746.22]","[]"
1,284500,271137,364129,2.80724,211.709,2.84815e+06,0.738662,1,0.993735,1,1,0.9694,0.875311,1,0,1,0,1,"[0]","[1]","[95217.3]","[-0.443993]","[2.89453]","[104758]","[0.0434647]","[1]","[13]","[1]","[0]","[5271.4]","[0.000314436]","[0.0666004]",140227,2.97816,2,"[259498,38146.5]","[-1.84312,-1.8902]","[-0.177267,-2.93556]","[840156,129327]","[0.997652,0.955796]","[15,4]","[1,0]","[0.66594,-0.850975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262951]","[-1.86643]","[-0.178777]","[870351]","[3019.54]","[0]","[9.88169]","[0.265246]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1783.37]",549.641,"[5618.18,1221.74]","[]","[945.656]","[]"
2,284500,3082171,364129,1,211.709,2.84815e+06,1.1961,1,0.997422,1,1,0.978912,0.867651,1,0,1,0,1,"[0]","[1]","[241759]","[0.0632521]","[-0.544187]","[242243]","[0.0885763]","[-1]","[13]","[1]","[0]","[957.817]","[-0.0159109]","[3.80045]",57150.2,-0.839902,2,"[271457,26459.9]","[-0.54226,1.16047]","[2.58047,1.96608]","[312748,46695.6]","[0.992342,0.998918]","[15,4]","[1,0]","[-0.937645,0.118883]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256022]","[-0.535049]","[2.57844]","[293576]","[3829.92]","[0]","[9.13603]","[0.460103]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2713.49]",3942.64,"[6990.73,1163.79]","[]","[8805.16]","[]"
3,284500,3085125,364129,1,211.709,2.84815e+06,0.402058,1,1,1,1,0.952041,1,1,1,0,0,1,"[0]","[1]","[261955]","[0.0109819]","[-1.36979]","[261971]","[0.031662]","[1]","[11]","[0]","[1588.91]","[703.629]","[0.0703152]","[12.2135]",90335.8,1.84503,3,"[103961,44334.9,23117.8]","[-1.29124,1.29373,1.85893]","[1.80411,1.99926,1.67458]","[203609,87223.5,76029.2]","[0.974198,0.997854,0.98656]","[15,4,4]","[1,0,0]","[-0.985938,-0.92085,-0.842492]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272207]","[0.0618178]","[-1.36792]","[272756]","[3994.03]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1929.2]",2944.34,"[3837.8,2234.48,2116.09]","[]","[17276.6]","[]"
4,284500,15564,364129,0.770948,211.709,2.84815e+06,0.738662,0.96024,1,1,1,0.996555,0.93884,1,1,0,0,1,"[0]","[1]","[56478.2]","[1.36769]","[-1.89956]","[118067]","[0.0123596]","[-1]","[11]","[1]","[0]","[582.089]","[-0.123044]","[6.39392]",232669,-2.04415,3,"[298270,31139.3,24142]","[0.514266,-0.723279,-2.36248]","[1.22964,-1.41271,0.586861]","[339002,39993.9,129419]","[0.994065,0.99331,0.9852]","[15,0,0]","[1,0,0]","[-0.85167,-0.832816,0.100337]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273339]","[0.499944]","[1.23126]","[308220]","[1683.87]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[247.503]",796.016,"[3427.37,1984.26,2280.65]","[]","[16898.8]","[]"
5,284500,3647136,364129,1,211.709,2.84815e+06,0.351687,0.98089,1,1,1,0.991228,1,1,1,0,0,1,"[0]","[1]","[249450]","[-0.888573]","[3.11773]","[354580]","[0.0442867]","[1]","[11]","[0]","[0]","[1344.09]","[-0.0106307]","[1.00741]",191692,-0.113435,3,"[97747.2,26792.2,20404.8]","[-1.67271,-2.15236,2.41375]","[-0.0558738,2.07779,2.83695]","[269618,116934,114962]","[1,0.969583,0.997946]","[15,0,0]","[1,0,0]","[0.0344373,-0.411215,-0.0924743]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272508]","[-0.901589]","[3.10606]","[391090]","[9590.83]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2362.89]",10044.6,"[3810.26,4898.16,1235.38]","[]","[12479.7]","[]"
6,284500,2347351,364129,1,211.709,2.84815e+06,0.696077,1,1.00211,1,1,0.997366,1.02521,1,0,1,0,1,"[0]","[1]","[69548.4]","[1.37961]","[-2.64628]","[146922]","[0.205627]","[-1]","[13]","[1]","[0]","[-212.6]","[0.0584569]","[8.21775]",242830,-2.54743,2,"[299294,27107.2]","[0.816801,-1.26877]","[0.491088,2.00909]","[405145,52357.4]","[0.99,0.989655]","[15,0]","[1,0]","[-0.885139,-0.853712]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267996]","[0.841397]","[0.489564]","[368601]","[2875.88]","[0]","[2.58654]","[0.0474318]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[331.935]",9637.98,"[10961.3,4507.38]","[]","[10619.6]","[]"
7,284500,2847850,364129,1,211.709,2.84815e+06,1.21412,0.94602,1,1,1,0.98828,0.99829,1,1,0,0,1,"[0]","[1]","[37463.9]","[-1.74343]","[-2.1423]","[110366]","[-0.0513916]","[-1]","[11]","[1]","[0]","[600.617]","[0.00245355]","[0.226253]",189583,0.344608,3,"[1.01817e+06,867739,22891]","[-0.641196,1.33269,0.748019]","[-2.96351,0.176858,1.66337]","[1.23497e+06,1.75962e+06,30066.8]","[0.0581223,0,0.602158]","[0,0,0]","[0,0,0]","[-0.770995,-0.81448,-0.849811]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[999278,844165]","[-0.677095,1.3148]","[-2.96487,0.178679]","[1.23723e+06,1.68528e+06]","[0.0191366,18486.7]","[0,0]","[0,4.32614]","[-1,0.457464]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[236.79]",60576.9,"[23268.7,34601.2,1675.76]","[]","[8178.06,16775.4]","[]"
8,284500,4207578,364129,-1,211.709,2.84815e+06,0.923924,1,0.996671,1,1,0.998271,0.965084,1,0,1,0,1,"[0]","[1]","[73433.1]","[0.324582]","[2.98859]","[77335.5]","[-0.0705032]","[1]","[13]","[1]","[5244.51]","[1746.62]","[-0.191432]","[30.1301]",212199,3.028,1,"[295774]","[0.136507]","[-0.175944]","[298807]","[0.996924]","[15]","[1]","[-0.928887]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[306361]","[0.127341]","[-0.175994]","[308850]","[1010.89]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[237.06]",7885.08,"[7901.38]","[]","[9603.94]","[]"
9,284500,518387,364129,-1,211.709,2.84815e+06,1.26205,0.9617,0.998061,1,1,0.999477,0.97432,1,1,1,0,2,"[0,0]","[1,1]","[202175,59810.1]","[-0.824588,0.101435]","[1.45305,-1.37793]","[274893,60118]","[-0.0141544,-0.0756755]","[1,-1]","[13,11]","[1,1]","[0,2936.91]","[-837.882,2502.33]","[0.0395014,-0.00850972]","[9.13509,0.978886]",81413.8,1.04888,1,"[36309]","[-0.203944]","[1.17812]","[37745.5]","[0.998698]","[0]","[0]","[-0.686386]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[296630]","[-0.0646873]","[-1.81506]","[303466]","[61104.1]","[0]","[0.16373]","[0.47958]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[291.718,393.472]",935.055,"[2550.92]","[]","[3507]","[]"
10,284500,4260353,364129,1,211.709,2.84815e+06,1.25133,1,0.995319,1,1,0.997488,0.799386,1,0,1,0,1,"[0]","[1]","[32122.4]","[-0.481802]","[2.30341]","[35923.6]","[0.0576773]","[1]","[13]","[1]","[0]","[-828.264]","[0.0506437]","[5.94462]",193141,2.30745,2,"[294358,30203.6]","[0.690483,1.7155]","[-0.80091,2.29433]","[367514,86901.9]","[0.999097,0.985069]","[15,0]","[1,0]","[-0.833581,-0.582417]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[289390]","[0.685585]","[-0.798079]","[360139]","[4817]","[0]","[10.0756]","[0.451968]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[68.6762]",539.719,"[5160.77,3525.49]","[]","[13734.8]","[]"
11,284500,370717,364129,-1,211.709,2.84815e+06,0.738662,0.99211,1,1,1,0.997147,0.9918,1,1,0,0,1,"[0]","[1]","[230589]","[-0.625866]","[0.990624]","[277245]","[-0.0247536]","[1]","[11]","[1]","[0]","[2085.76]","[-0.00577448]","[0.78126]",148870,0.98195,2,"[357819,20050.5]","[-0.680541,-2.47803]","[-2.15144,-2.39521]","[444620,120331]","[0.996343,-0.1]","[15,0]","[1,0]","[-0.485187,-0.680549]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[328038]","[-0.690009]","[-2.15183]","[409511]","[13843.7]","[0]","[2.05251]","[0.334291]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2263.06]",3993.83,"[6843.16,1925.55]","[]","[17782]","[]"
12,284500,4897485,364129,-1,211.709,2.84815e+06,1.25133,1,1,1,1,0.996872,1,1,1,0,0,1,"[0]","[1]","[232191]","[-0.756015]","[2.22953]","[301767]","[-0.0487227]","[-1]","[11]","[0]","[0]","[845.087]","[-0.00238624]","[0.277692]",57041.1,2.18472,2,"[260550,31462.7]","[-1.6579,1.71984]","[-1.01989,-0.388617]","[708601,90843.2]","[0.978895,0.99292]","[15,0]","[1,0]","[-0.910831,-0.852383]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257056]","[-1.65817]","[-1.02038]","[699224]","[3294.57]","[0]","[10.5569]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1563.88]",20354.4,"[9727.58,3122.37]","[]","[0]","[]"
13,284500,793696,364129,2.12707,211.709,2.84815e+06,0.619412,1,0.999456,1,1,0.997128,0.991244,1,0,1,0,1,"[0]","[1]","[171894]","[-1.53848]","[-0.552042]","[418754]","[-0.0652189]","[-1]","[13]","[1]","[0]","[7.82968]","[0.0265863]","[4.06988]",189083,-0.590306,2,"[323930,25001.6]","[-0.550979,1.72676]","[2.61232,2.06252]","[374713,72689.4]","[0.999862,0.756293]","[15,0]","[1,0]","[0.21738,-0.650688]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[342914]","[-0.547514]","[2.61306]","[395669]","[6873.05]","[0]","[45.8089]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12379.5]",5465.55,"[7817.8,2458.41]","[]","[21030.2]","[]"
14,284500,4779484,364129,1,211.709,2.84815e+06,0,0.97076,1,1,1,1,0.95972,1,1,0,0,1,"[0]","[1]","[55911.9]","[-1.09595]","[-0.51462]","[92988.5]","[50.8541]","[1]","[11]","[1]","[0]","[860.916]","[-0.0853662]","[7.68806]",310918,-0.545546,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[345244]","[-1.56704]","[2.60118]","[863438]","[15401.4]","[0]","[3.34942]","[0.65093]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[687.836]",12671.8,"[]","[]","[7029.91]","[]"
15,284500,3993476,364129,1,211.709,2.84815e+06,0.696077,1,0.990675,1,1,0.995562,0.918207,1,0,1,0,1,"[0]","[1]","[37962.2]","[0.10203]","[1.04064]","[38160.1]","[161.358]","[-1]","[13]","[1]","[0]","[3668.28]","[0.00930741]","[1.00641]",28736,-2.86523,4,"[495224,456173,51492.6,28421.7]","[1.06721,-0.478316,1.20111,0.0729213]","[1.93318,-1.41836,-0.50672,-0.95753]","[805968,511926,93678.6,29414.8]","[0.99519,0.99448,1,0.72496]","[0,0,0,0]","[0,0,0,0]","[-0.942686,-0.983896,-0.901542,-0.731331]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[507911,458936]","[1.05823,-0.493569]","[1.93446,-1.42739]","[820718,519143]","[37645.4,57210.7]","[0,0]","[2.96235,2.10478]","[0.730675,0.755224]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[187.426]",6521.75,"[7256.19,5292.29,4985.67,7724.24]","[]","[45015,13678.2]","[]"
