event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
114,284500,13672,364141,1,0.144568,997975,1.21412,0.95098,1,1,1,0.991163,0.94612,1,1,0,0,1,"[0]","[1]","[28810.1]","[0.786077]","[-2.15454]","[38179.1]","[-0.110962]","[1]","[11]","[1]","[0]","[227.889]","[-0.103599]","[11.0598]",298282,-1.99893,7,"[581770,255200,52882.9,44736.5,33851.9,25548.5,21085.6]","[-1.64702,-0.851602,0.462896,-0.275104,0.820983,0.700411,-1.13118]","[1.63077,-0.878649,-1.49442,-1.59605,-0.689285,2.59035,1.53479]","[1.56778e+06,356063,59271.7,47005.2,46127.4,32458.3,36317.6]","[0.987091,0.99731,0.998498,0.84961,0.99347,0.99,0.899436]","[0,0,0,15,0,0,0]","[0,0,0,1,0,0,0]","[-0.047279,-0.856668,0.285614,-0.842695,-0.901639,-0.85622,-0.916565]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[566549,277268]","[-1.66617,-0.845542]","[1.6398,-0.969278]","[1.55398e+06,389878]","[65914,75839]","[0,0]","[2.37846,2.0494]","[0.681154,0.552419]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[42.2726]",8992.47,"[9028.85,10506,4377.2,2651.48,2215.83,1782.09,1571.27]","[]","[19916,16369.4]","[]"
208,284500,869,364141,1,0.144568,997975,0.738662,1,0.995273,1,1,1.40145,0.982461,1,0,1,0,1,"[0]","[1]","[37462.5]","[-1.42449]","[2.96044]","[82349.4]","[0.0149269]","[1]","[13]","[1]","[0]","[-906.816]","[-0.0135922]","[1.51377]",65239.8,-2.95725,4,"[505750,451405,40314.3,35790.3]","[0.658082,-1.68611,1.96827,-2.183]","[0.780519,-2.24368,-0.992357,1.85488]","[620562,1.26089e+06,147242,160870]","[0.999458,0.995037,0.999739,0.99801]","[4,4,0,4]","[0,0,0,0]","[0.885343,-0.780281,-0.880798,-0.525612]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[497949,455772]","[0.641402,-1.69055]","[0.780504,-2.24986]","[604870,1.27814e+06]","[33589.4,32364.7]","[0,0]","[2.07432,2.25488]","[0.646058,0.688423]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[30.049]",20450.2,"[18584.9,12392.5,3503.35,2767.6]","[]","[10225.8,15164.7]","[]"
282,284500,12542,364141,1,0.144568,997975,1.26459,0.97738,1,1,1,0.99565,1.00056,1,1,0,0,1,"[0]","[1]","[67609.4]","[0.505723]","[2.27744]","[76440.9]","[-0.191849]","[-1]","[11]","[1]","[0]","[-709.061]","[-0.101672]","[14.0299]",71000.4,2.40948,5,"[527690,468590,183597,49012.3,27680.3]","[-0.195192,-1.23428,-1.12959,0.10414,-0.344269]","[0.209388,-2.32627,2.12187,0.660856,-2.45863]","[541396,873630,314513,50084,30065.6]","[0.999675,0.995042,0.999079,0.997754,0.976788]","[0,0,0,0,15]","[0,0,0,0,1]","[-0.9461,-0.955706,-0.960246,-0.857501,0.190637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[513430,446125]","[-0.187916,-1.2381]","[0.21208,-2.33293]","[526384,834113]","[63650.8,11857.6]","[0,0]","[2.12876,2.12014]","[0.688002,0.392626]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[215.942]",3944.12,"[6465.69,6399.56,5939.87,1952.29,3180.3]","[]","[5168.72,6002.94]","[]"
393,284500,1641,364141,1,0.144568,997975,1.74563,0.97375,1,1,1,0.960048,1,1,1,0,0,1,"[0]","[1]","[51335.7]","[-0.105457]","[-2.72822]","[51621.4]","[0.0140877]","[1]","[11]","[0]","[31524.4]","[271.584]","[-0.153454]","[20.9094]",757084,-2.75863,5,"[518744,355499,159225,70178,24255.8]","[1.53262,0.189353,-0.345616,0.158976,-0.963309]","[0.220621,0.104461,2.3477,0.619752,2.9944]","[1.25896e+06,367918,169263,71431,36481.9]","[1,0.997487,0.996208,0.978516,1]","[4,0,0,0,0]","[0,0,0,0,0]","[-0.645968,-0.476641,-0.92159,-0.968016,-0.899521]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[478063,405111]","[1.53926,0.213625]","[0.205489,0.179331]","[1.16798e+06,426996]","[76928.9,102989]","[0,0]","[1.74168,1.43946]","[0.634473,0.663431]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[51.0547]",3451.44,"[8533.81,9910.77,4542.93,2642.45,3823.18]","[]","[1505.5,26212.2]","[]"
435,284500,2512,364141,1,0.144568,997975,0.696077,0.96484,0.994259,1,1,0.993241,0.9566,1,1,0,0,2,"[0,0]","[1,0]","[35033.7,20134.2]","[1.05214,0.203471]","[1.47383,2.33142]","[56281,20552.7]","[-0.239731,0.100838]","[-1,1]","[11,13]","[1,1]","[0,0]","[-285.096,-533.446]","[-0.024463,-0.0835766]","[2.3449,8.01479]",92671.4,2.08168,4,"[605248,476448,81875,78394.9]","[0.398707,0.767127,-0.341486,-2.27317]","[-0.988627,2.12143,-0.992871,2.6603]","[658072,624349,87651.6,384766]","[0.995067,0.997722,1,0.990786]","[0,0,0,0]","[0,0,0,0]","[-0.793403,-0.868996,-0.750193,-0.859961]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[636000,507936]","[0.347966,0.818054]","[-0.979604,2.08315]","[697010,696186]","[174189,109081]","[0,0]","[1.94589,2.19299]","[0.408108,0.509558]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[212.746,90.9399]",17205.5,"[7224.88,5905.18,3525.79,3973.92]","[]","[15289.8,13893.9]","[]"
567,284500,3414,364141,1,0.144568,997975,0.75088,1,0.998525,1,1,0.996375,1.00146,1,0,1,0,1,"[0]","[1]","[42439]","[-2.15337]","[-0.548441]","[185244]","[0.0481567]","[-1]","[13]","[1]","[0]","[529.484]","[-0.00894865]","[0.814289]",111167,-0.570784,5,"[337128,281514,238245,79420.9,22501.4]","[0.756721,-1.50277,-0.360038,-1.16911,1.2245]","[-1.00564,2.0071,2.90295,1.63473,0.00910239]","[439065,664622,255042,141059,41789.5]","[0.994328,0.993755,0.995464,0.997538,0.918463]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.519651,0.166764,-0.336684,-0.794811,-0.884623]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[355773,359151]","[0.745667,-1.44927]","[-1.00946,1.92669]","[460339,812359]","[30163.1,91895.7]","[0,0]","[2.54026,1.49033]","[0.582821,0.76349]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[773.42]",17878.8,"[3964.14,15368.4,3021.39,4843.6,2028.57]","[]","[5431.62,11285]","[]"
568,284500,6136,364141,1,0.144568,997975,0.75088,1,0.997345,1,1,0.992868,0.970733,1,0,1,0,1,"[0]","[1]","[191327]","[-0.179211]","[-0.0942431]","[194407]","[0.0330257]","[-1]","[13]","[0]","[0]","[-223.723]","[-0.0261263]","[3.88897]",336409,0.0559318,4,"[822996,484244,348906,321167]","[1.27907,-0.197757,-0.240228,1.07603]","[-2.50419,0.39256,-3.03411,1.39551]","[1.59428e+06,494471,360724,526469]","[0.999992,0.993555,0.998857,0.991318]","[0,15,0,4]","[0,1,0,0]","[-0.91029,0.924012,-0.847173,-0.94809]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",4,"[798591,486794,357094,349482]","[1.28874,-0.179377,-0.221963,1.09206]","[-2.50778,0.389682,-3.04103,1.40371]","[1.55942e+06,495350,368044,580245]","[44482.9,26390.5,39420.5,30750.9]","[0,0,0,0]","[2.61748,3.42064,1.94644,2.40017]","[0.749099,0.296201,0.634635,0.755975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9789.51]",30742.8,"[32977.7,10387.8,3821.94,3894.57]","[]","[80731.9,12969.4,1784.12,39265]","[]"
570,284500,7269,364141,1,0.144568,997975,1.26205,0.98458,1,1,1,0.993593,1.00582,1,1,0,0,1,"[0]","[1]","[122250]","[-0.597255]","[0.241672]","[144710]","[-0.0192642]","[-1]","[11]","[1]","[0]","[757.834]","[0.010724]","[1.58886]",50585.1,0.695764,5,"[587082,546688,114803,88899.4,38660.6]","[-0.470558,-1.38992,-0.883452,-1.4518,-2.04658]","[0.938494,-2.47521,-2.21791,-1.89613,-0.458877]","[656892,1.16636e+06,163553,200659,152251]","[0.999265,0.995175,0.985759,0.996939,0.979717]","[15,0,0,0,0]","[1,0,0,0,0]","[-0.00994381,-0.977245,-0.782109,-0.600467,-0.905049]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[722535,654336]","[-0.472261,-1.34412]","[0.815026,-2.39665]","[836529,1.34978e+06]","[228849,162641]","[0,0]","[1.34761,1.91122]","[0.711417,0.454348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[538.214]",10980.7,"[7737.08,17128.4,3704.47,3569.19,5287.6]","[]","[26433.2,8326.31]","[]"
675,284500,14897,364141,1,0.144568,997975,0.75088,0.96323,1,1,1,0.991474,1.00493,1,1,0,0,1,"[0]","[1]","[221885]","[-1.23267]","[-2.89998]","[412916]","[-0.135]","[1]","[11]","[1]","[0]","[-460.262]","[0.00350688]","[0.324885]",374626,-2.77582,4,"[595588,500948,475748,28934.3]","[2.38072,-0.543288,0.142869,1.73863]","[1.007,0.336992,-1.68032,1.80122]","[3.24779e+06,578612,484881,85044.7]","[0.936754,0.987191,0.994498,0.871598]","[0,0,0,0]","[0,0,0,0]","[-0.974687,-0.915767,-0.932325,-0.881316]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[504174,495160,474670]","[0.1446,-0.547051,-1.06134]","[-1.68397,0.333485,-2.84656]","[513887,572890,774521]","[67349.7,45011.3,99746.3]","[0,0,0]","[1.58302,2.22012,0.7281]","[0.699822,0.766067,0.777779]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3016.34]",19112.5,"[32318.2,5850.71,5342.25,3114.95]","[]","[2004.16,10335.1,47935.7]","[]"
728,284500,16681,364141,1,0.144568,997975,0.553627,1,0.994717,1,1,0.96311,0.982864,1,0,1,0,1,"[0]","[1]","[36022.9]","[0.39316]","[-1.84367]","[38843.2]","[-0.00617886]","[1]","[13]","[1]","[0]","[1908.47]","[0.0128429]","[1.75405]",37584.7,2.6966,4,"[617752,607529,38265.2,23367.6]","[-0.627102,0.240647,-1.36562,-0.238211]","[-0.4427,2.76562,2.11773,-0.109871]","[744369,626646,80185.5,24570.7]","[0.960881,0.997174,1,0.875107]","[0,0,4,0]","[0,0,0,0]","[-0.783105,-0.836562,-0.620168,-0.617149]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[648687,638827]","[0.248944,-0.617439]","[2.75987,-0.430724]","[670214,767050]","[42079.3,62308.7]","[0,0]","[3.14891,2.15413]","[0.468662,0.551243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[300.991]",5338.63,"[7806.73,8183.91,7499.14,3634.06]","[]","[44614.8,31317.4]","[]"
