event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,1824681,364136,1,6.19297,3.43045e+06,1.25133,0.97097,0.996255,1,1,1.00274,1,1,1,1,0,2,"[0,0]","[1,1]","[39617.6,37987.7]","[1.22863,0.477319]","[-2.75417,-2.1191]","[73475.5,42398]","[-0.0437698,0.0943298]","[-1,1]","[13,11]","[1,0]","[0,0]","[301.455,-581.573]","[-0.16676,-0.169468]","[18.6084,16.8808]",145966,-2.47812,3,"[237677,77954.5,56322.1]","[-1.56441,-2.18494,1.75484]","[0.601059,2.12313,-1.28472]","[593250,351109,167901]","[0.990355,0.996754,0.999255]","[4,0,5]","[0,0,0]","[-0.542904,-0.50933,0.999603]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254544]","[-1.58651]","[0.599542]","[648219]","[17577.1]","[0]","[1.98312]","[0.568795]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[406.221,12.5388]",334.719,"[4014.71,3712.12,6821.02]","[]","[1958.16]","[]"
3,284500,1987239,364136,-0.00345245,6.19297,3.43045e+06,1.21412,0.99242,1,1,1,1.04696,0.99765,1,1,0,0,1,"[0]","[1]","[594278]","[0.673947]","[1.81942]","[734426]","[0.0756721]","[1]","[11]","[1]","[0]","[-3688.18]","[0.0143077]","[2.59573]",293579,-1.22567,4,"[219436,79593.2,73512,25867.2]","[1.1278,0.533634,-1.79161,0.661764]","[-1.30478,-0.605861,-2.57188,-2.71683]","[374496,91723.7,226769,32356.9]","[0.998452,0.99,0.986587,0.901919]","[15,0,5,0]","[1,0,0,0]","[-0.169482,-0.8287,0.999864,-0.943443]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[608725,285881]","[0.66679,1.02679]","[1.81879,-1.14736]","[749135,464157]","[-0.0110485,112577]","[0,0]","[0,0.256194]","[-1,0.504179]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4766.51]",9369.75,"[12478.7,2789.43,4599.89,2195.62]","[]","[35653.8,2557.91]","[]"
8,284500,2018231,364136,-1,6.19297,3.43045e+06,1.1961,1,0.984101,1,1,0.999586,0.856877,1,0,1,0,2,"[0,0]","[1,1]","[95620.3,57450.7]","[0.151896,0.238498]","[-2.88425,2.58506]","[96725.5,59092.5]","[0.0192337,-0.166786]","[1,-1]","[13,13]","[1,1]","[0,0]","[213.08,-509.536]","[-0.0759498,-0.0874207]","[13.8131,15.1818]",107299,-3.06061,1,"[242956]","[-0.0694684]","[0.0821507]","[243866]","[0.999068]","[0]","[0]","[-0.66694]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254006]","[-0.0495766]","[0.0824174]","[254569]","[11301.8]","[0]","[3.16612]","[0.0149503]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1109.29,298.222]",1347.05,"[2961.09]","[]","[10274.2]","[]"
10,284500,830537,364136,-1,6.19297,3.43045e+06,0.596562,1,0.99958,1,1,0.997227,0.993677,1,0,1,0,1,"[0]","[1]","[38305.9]","[-1.37119]","[-0.611874]","[80324.7]","[-0.101868]","[1]","[13]","[1]","[0]","[-129.88]","[-0.014531]","[1.63526]",198293,-0.574757,3,"[283923,28825.7,27226.2]","[1.07763,-1.79424,0.467899]","[2.48716,-0.358916,2.6731]","[465650,89177.9,30709.1]","[1,0.981038,0.983333]","[0,0,0]","[0,0,0]","[-0.807039,-0.924554,-0.905491]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263524]","[1.11536]","[2.48837]","[445235]","[8585.84]","[0]","[1.60427]","[0.465939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[387.992]",17000.5,"[12260.8,2826.63,2498.26]","[]","[6452.78]","[]"
12,284500,2764886,364136,1,6.19297,3.43045e+06,1.21412,1,0.995273,1,1,1.05184,0.995513,1,0,1,0,1,"[0]","[1]","[54134.4]","[-1.34753]","[3.01927]","[111187]","[0.407734]","[-1]","[13]","[1]","[0]","[-463.935]","[0.0593204]","[7.74084]",138341,3.08953,2,"[267781,53283.7]","[-0.163576,-0.462764]","[-0.0747521,3.02979]","[273481,59280.9]","[1,0.990782]","[5,15]","[0,1]","[0.807091,-0.95894]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250628]","[-0.158319]","[-0.0660938]","[255289]","[27750.1]","[0]","[2.48215]","[0.477406]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[574.546]",7743.91,"[7455.38,2059.17]","[]","[1759.59]","[]"
13,284500,2767110,364136,1,6.19297,3.43045e+06,0.402058,1,0.998138,1,1,1.02653,0.989448,1,0,1,0,2,"[0,0]","[1,1]","[169823,31129.5]","[-2.13675,-1.33499]","[1.52245,0.976966]","[729379,63241.6]","[-0.0889816,-0.0554581]","[-1,1]","[13,13]","[1,1]","[0,0]","[893.405,-126.124]","[-0.00978072,0.0112981]","[1.8469,0.916449]",69372.3,2.16118,2,"[252181,20447.8]","[0.464686,-1.21551]","[-1.71911,-0.132982]","[280370,37644.9]","[0.999217,0.988744]","[0,5]","[0,0]","[-0.975326,0.323274]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257152]","[0.49116]","[-1.71902]","[289175]","[14745.7]","[0]","[1.4783]","[0.575944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9510.45,167.881]",2109.88,"[4089.48,2171.32]","[]","[0]","[]"
16,284500,3519679,364136,-1,6.19297,3.43045e+06,1.21412,1,0.9793,1,1,1.03776,0.984056,1,0,1,0,2,"[0,0]","[1,0]","[153137,11276.6]","[0.935313,0.012784]","[-0.508399,-0.697149]","[225148,11278]","[-0.0860596,-0.045517]","[-1,1]","[13,13]","[1,0]","[0,0]","[-15.2126,4970.33]","[0.0134002,-0.0549059]","[2.75231,3.26614]",103324,-0.638891,2,"[235175,32186.3]","[-1.22839,-0.664752]","[2.73894,2.57344]","[436882,39933.1]","[0.99792,0.970205]","[5,0]","[0,0]","[0.735834,-0.903199]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258300]","[-1.2021]","[2.72496]","[471526]","[53231]","[0]","[2.04605]","[0.682665]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4588.21,28.1487]",897.047,"[4978.71,3640.68]","[]","[0]","[]"
18,284500,3186739,364136,-1,6.19297,3.43045e+06,1.26459,0.97388,1,1,1,0.997169,0.98886,1,1,0,0,1,"[0]","[1]","[42098]","[-0.158843]","[-2.64425]","[42630.2]","[0.131052]","[-1]","[11]","[1]","[0]","[-1231.62]","[0.0991365]","[9.35392]",239014,-2.51188,3,"[242962,31095.6,24549.3]","[-1.0451,-1.16942,-1.29927]","[0.555189,2.99349,-0.0965579]","[389311,55533.4,48701.8]","[0.98886,0.986183,0.925731]","[0,0,0]","[0,0,0]","[-0.848284,-0.245187,-0.853737]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261314]","[-1.05316]","[0.561012]","[421251]","[30680.3]","[0]","[1.90473]","[0.601765]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[16.4209]",21369.8,"[6366.76,7619.25,2698.32]","[]","[0]","[]"
19,284500,1836621,364136,1,6.19297,3.43045e+06,0.75088,0.9823,1,1,1,0.998194,1.00632,1,1,0,0,1,"[0]","[1]","[142431]","[0.190946]","[2.54811]","[145035]","[0.025898]","[-1]","[11]","[1]","[0]","[1302.45]","[0.000467983]","[0.0711503]",129402,1.78516,2,"[263490,38041.4]","[-0.724237,-0.0140544]","[-1.04577,0.791998]","[336324,38326]","[0.995082,0.993062]","[0,15]","[0,1]","[-0.958332,-0.259623]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256088]","[-0.70378]","[-1.04637]","[322455]","[13554.9]","[0]","[2.21679]","[0.465992]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[802.942]",1375.49,"[3336.81,4884.44]","[]","[0]","[]"
20,284500,1991154,364136,-1,6.19297,3.43045e+06,1.22586,1,0.980129,1,1,0.989796,0.994761,1,0,1,0,1,"[0]","[1]","[52412.8]","[1.19687]","[1.69299]","[94654.5]","[0.00944042]","[1]","[13]","[1]","[0]","[788.834]","[-0.0150563]","[1.52272]",117205,1.79023,4,"[225531,75757.1,31721.9,27032.8]","[0.606015,2.37859,1.75587,2.33428]","[-1.4149,1.73634,1.71867,-1.08368]","[269145,412407,94864.5,140996]","[0.926649,0.99,0.804777,0.656792]","[0,15,0,0]","[0,1,0,0]","[-0.888322,-0.915156,-0.878089,-0.828806]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261071]","[0.647856]","[-1.33368]","[320816]","[43865.7]","[0]","[2.17569]","[0.623198]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[98.5637]",7635.63,"[5396.58,2611.18,2302.77,1429.54]","[]","[10564]","[]"
23,284500,2426068,364136,1,6.19297,3.43045e+06,1.1961,0.99211,1,1,1,0.997895,0.9918,1,1,0,0,1,"[0]","[1]","[224294]","[-0.619401]","[0.595502]","[268714]","[0.059967]","[-1]","[11]","[1]","[0]","[-2332.27]","[-0.0280744]","[3.16998]",86529.1,0.722717,3,"[231546,56527.3,26663.9]","[0.533707,-1.8026,0.0415335]","[-2.51932,-1.12385,-2.68244]","[265977,176235,26877.9]","[0.995619,0.995089,1]","[0,0,0]","[0,0,0]","[-0.914929,-0.876174,-0.782547]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262145]","[0.465251]","[-2.53853]","[295455]","[50931.1]","[0]","[2.28646]","[0.728784]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1518.94]",789.648,"[4916.69,2604.33,2553.3]","[]","[0]","[]"
25,284500,3419795,364136,-1,6.19297,3.43045e+06,0.402058,0.97245,1,1,1,0.998694,0.99544,1,1,0,0,1,"[0]","[1]","[99281.8]","[1.26769]","[0.912815]","[190329]","[0.044981]","[-1]","[11]","[1]","[3013.57]","[1548.93]","[-0.0773223]","[10.1786]",193278,0.946231,2,"[283265,29341.6]","[1.91259,-0.925349]","[-2.23128,-0.784098]","[980051,43212.5]","[0.988267,0.771503]","[0,0]","[0,0]","[-0.717874,-0.766975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285051]","[1.90558]","[-2.23004]","[979778]","[25869.3]","[0]","[2.48681]","[0.682309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[691.871]",19.0469,"[4664.3,4995.29]","[]","[8939.44]","[]"
26,284500,3781081,364136,1,6.19297,3.43045e+06,1.55465,0.94379,1,1,1,0.97653,0.90506,1,1,0,0,1,"[0]","[1]","[28790.8]","[-0.625236]","[-1.7209]","[34604]","[-0.0176392]","[-1]","[11]","[1]","[0]","[-321.651]","[-0.0102437]","[1.06729]",223727,-1.93287,2,"[283196,29840]","[-0.4707,1.3498]","[1.26288,-1.70995]","[315756,61688.3]","[0.991448,0.867446]","[0,4]","[0,0]","[-0.825445,-0.241752]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267033]","[-0.502626]","[1.26199]","[301702]","[11581]","[0]","[2.21622]","[0.238684]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[216.059]",754.938,"[4220.11,2627.46]","[]","[11887.8]","[]"
