event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,3621,364138,1.26817,2.23622,905387,0.506784,0.96024,1,1,1,0.993531,0.93884,1,1,0,0,1,"[0]","[1]","[53495]","[1.35394]","[-0.649164]","[110491]","[0.0622253]","[1]","[11]","[1]","[0]","[2142.21]","[0.0672216]","[4.89472]",196809,-0.632667,4,"[342088,120769,71472.5,27384.7]","[1.62081,0.919855,-1.26514,1.61209]","[2.26993,-0.55312,-2.42843,2.81747]","[899759,175741,136943,71590.3]","[1,0.958048,1,0.999589]","[0,15,0,0]","[0,1,0,0]","[-0.850955,0.0147736,-0.785036,-0.706791]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[374015]","[1.58835]","[2.27401]","[954776]","[44881]","[0]","[1.72404]","[0.68333]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[134.139]",4063.2,"[6219.65,3552.08,2342.96,3358.83]","[]","[17192.7]","[]"
11,284500,5298,364138,1,2.23622,905387,0.75088,1,0.982255,1,1,0.944429,0.804098,1,0,1,0,1,"[0]","[1]","[105359]","[-0.672214]","[1.23005]","[130073]","[-0.000717163]","[1]","[13]","[1]","[0]","[20.4503]","[-0.0474427]","[9.5424]",213800,1.20184,2,"[361109,27694.3]","[1.62281,0.686984]","[-1.95005,1.13581]","[951023,34702.6]","[0.996072,0.999746]","[4,4]","[0,0]","[-0.831382,-0.0880801]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[381152]","[1.60733]","[-1.94912]","[989256]","[19354.3]","[0]","[2.59717]","[0.570493]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1705.21]",15346.8,"[20096.4,4470.08]","[]","[35357]","[]"
28,284500,4032,364138,-1,2.23622,905387,0.596562,0.97921,1,1,1,0.969181,1,1,1,0,0,1,"[0]","[1]","[63465.3]","[-0.26798]","[1.46653]","[65757.8]","[-0.0282364]","[-1]","[11]","[0]","[0]","[300.098]","[0.138565]","[8.36195]",287632,1.56169,5,"[325557,32033.6,25827,23903.6,22512.1]","[1.63506,1.49838,1.42285,-2.05354,0.486835]","[-1.76156,-1.02523,1.08501,-0.745281,-1.2079]","[866994,75463.9,56922.3,94878,25668.2]","[0.992929,0.996668,0.93077,0.962192,0.996504]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.730805,-0.595347,-0.357625,-0.550362,-0.552036]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[322214]","[1.62087]","[-1.76377]","[846820]","[16894.8]","[0]","[3.3181]","[0.792689]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[333.627]",26862.1,"[5185.78,2139.33,4595.72,1739.05,3004.07]","[]","[22735.1]","[]"
36,284500,4894,364138,-1,2.23622,905387,0.75088,1.00588,1,1,1,0.997908,1.00306,1,1,0,0,1,"[0]","[1]","[179297]","[1.08599]","[0.274449]","[295836]","[-0.00641418]","[1]","[11]","[1]","[0]","[1554.28]","[-0.0133174]","[0.954513]",140240,0.214284,2,"[328234,40008.3]","[-0.20331,0.222206]","[-2.91454,0.267822]","[335909,41509]","[0.998658,1]","[0,15]","[0,1]","[-0.893443,0.706249]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[328428]","[-0.198009]","[-2.91352]","[336830]","[36123.7]","[0]","[3.65462]","[0.459291]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1769.89]",3436.22,"[3704.7,4130.81]","[]","[11034.4]","[]"
38,284500,4967,364138,1,2.23622,905387,0.923924,1,1,1,1,0.996718,1,1,1,0,0,1,"[0]","[1]","[212894]","[0.19466]","[0.79048]","[216940]","[0.0971546]","[1]","[11]","[0]","[0]","[4130.81]","[0.0550053]","[3.74475]",141516,0.610732,3,"[315913,44557.3,41854.3]","[1.07782,0.425284,-0.509316]","[-2.16504,1.52869,-2.55567]","[519169,49371.7,48062]","[0.999881,0.966571,0.997767]","[0,15,0]","[0,1,0]","[-0.731871,0.565578,-0.652073]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[310283,254566]","[1.06702,0.208584]","[-2.17699,0.890579]","[504736,283089]","[20385.2,111691]","[0,0]","[1.59463,0.63577]","[0.734568,0.660496]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5823.19]",3484.11,"[7008.63,2644.54,2474.04]","[]","[692.188,0]","[]"
46,284500,4943,364138,1.13856,2.23622,905387,0.923924,0.96199,0.998191,1,1,0.969517,0.994982,1,0,1,0,2,"[0,0]","[1,0]","[36906,13213.3]","[-2.23971,-1.3224]","[-2.40243,-2.19179]","[175250,26551.4]","[0.468125,-0.00240993]","[1,-1]","[13,11]","[1,1]","[0,1096.95]","[-225.423,-1426.42]","[0.000272008,-0.0967953]","[0.0203345,4.93571]",168402,-2.3367,2,"[238130,41666.5]","[0.563264,2.06711]","[0.920704,-1.57867]","[277447,167373]","[0.999356,0.924224]","[0,4]","[0,0]","[-0.828314,-0.867784]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252782]","[0.561706]","[0.921582]","[293901]","[10327.4]","[0]","[8.19293]","[0.362802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[709.271,222.635]",4157.61,"[2540.48,5475.79]","[]","[0]","[]"
47,284500,6936,364138,1,2.23622,905387,1.1961,1,0.996303,1,1,0.994384,0.945492,1,0,1,0,1,"[0]","[1]","[33536.9]","[-2.19413]","[1.01699]","[152319]","[0.313553]","[1]","[13]","[1]","[0]","[-736.577]","[0.0697994]","[6.96537]",52817.3,1.57807,3,"[250639,49482.8,22004.7]","[0.616796,-2.13995,-0.761904]","[-1.40575,-2.92726,0.643873]","[300604,213247,29065.1]","[0.999658,0.995183,0.915288]","[0,15,0]","[0,1,0]","[-0.888731,-0.778536,-0.754208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262612]","[0.642167]","[-1.41355]","[319126]","[17492.3]","[0]","[1.77308]","[0.662715]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[239.349]",1866.9,"[9160.74,7532.93,1965.05]","[]","[22798.5]","[]"
70,284500,118691,364138,1,2.23622,905387,0.553627,0.96257,0.98491,1,1,0.999466,1.00557,1,1,0,0,2,"[0,0]","[1,0]","[40643.9,21576.3]","[-1.73886,-1.74231]","[-2.25496,-3.00807]","[119220,63495]","[-0.184353,-0.100182]","[-1,1]","[11,13]","[1,1]","[1507.7,0]","[-396.701,-247.522]","[0.0291525,-0.058648]","[1.9081,5.22129]",278974,-2.93081,1,"[323462]","[-1.56294]","[0.29295]","[805984]","[0.998458]","[0]","[0]","[-0.890043]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[329222]","[-1.56825]","[0.289593]","[824236]","[12113.6]","[0]","[2.13515]","[0.654869]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[85.0302,180.63]",582.031,"[4560.4]","[]","[26320]","[]"
107,284500,6444,364138,1,2.23622,905387,1.22586,1,0.998419,1,1,0.995952,0.987726,1,0,1,0,1,"[0]","[1]","[64950.5]","[-2.03139]","[-1.84729]","[251872]","[-0.549149]","[-1]","[13]","[1]","[1413.38]","[412.521]","[-0.145453]","[17.0999]",328611,-1.97475,3,"[358343,23583.9,21655.7]","[1.96914,1.34798,-2.49486]","[1.22698,0.239433,1.14685]","[1.30898e+06,48708.3,132190]","[1,0.996161,0]","[0,0,0]","[0,0,0]","[-0.952769,-0.652134,0.123905]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[358887]","[1.95073]","[1.2231]","[1.28786e+06]","[21103.5]","[0]","[1.76097]","[0.640295]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2440.41]",2994.34,"[13184.7,3077.82,1648.34]","[]","[2613.53]","[]"
110,284500,11886,364138,1,2.23622,905387,0.696077,1,0.995919,1,1,0.958334,0.904053,1,0,1,0,1,"[0]","[1]","[44675.1]","[1.16495]","[-2.77987]","[78576.6]","[-0.000406265]","[1]","[13]","[1]","[0]","[-994.749]","[0.00215693]","[0.319863]",250519,-2.55098,2,"[254831,67342.5]","[-1.32985,-1.78973]","[0.532292,0.916001]","[515744,207422]","[1,0.995406]","[0,4]","[0,0]","[-0.815774,-0.906341]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[298100]","[-1.41428]","[0.596213]","[652825]","[67209.4]","[0]","[1.34278]","[0.659046]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[479.847]",4802.91,"[6864.66,11823.2]","[]","[998.75]","[]"
129,284500,4112,364138,1,2.23622,905387,1.24168,0.96819,1,1,1,0.963704,0.95922,1,1,0,0,1,"[0]","[1]","[48695.1]","[-0.965793]","[0.365017]","[73226.5]","[-0.0299988]","[-1]","[11]","[1]","[0]","[373.901]","[-0.00322176]","[0.335018]",121628,0.330374,3,"[280098,69234.2,47434]","[-0.417447,-0.325204,0.317615]","[-1.91476,0.662985,-2.81877]","[305520,73001.4,50434.8]","[0.99714,0.919649,1]","[0,15,4]","[0,1,0]","[-0.900469,-0.882504,-0.8315]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270793]","[-0.448031]","[-1.91627]","[299127]","[20428.7]","[0]","[3.46774]","[0.581893]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[38.831]",4519.8,"[7584.98,5443.62,4899.11]","[]","[5971.69]","[]"
164,284500,3264,364138,1,2.23622,905387,0.00279311,0.97738,1,1,1,0.958231,1.00056,1,1,0,0,1,"[0]","[1]","[78974.9]","[0.405873]","[0.144315]","[85569.5]","[0.145531]","[1]","[11]","[1]","[0]","[417.728]","[0.049542]","[4.84382]",140479,0.479646,6,"[277401,72744.2,47444.2,36342.9,34850,32711.9]","[0.530736,0.244836,1.88653,-1.32603,1.88142,1.10704]","[-2.37114,0.823575,2.22863,-1.73408,1.32617,2.2571]","[317854,75057.2,160147,73366.6,117291,55083.2]","[0.906591,0.904445,0.991457,0.967273,0.996934,0.993343]","[0,15,4,0,0,0]","[0,1,0,0,0,0]","[-0.553142,-0.892215,-0.761474,-0.783532,-0.802997,-0.373502]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[300023]","[0.507673]","[-2.37197]","[340499]","[25754.9]","[0]","[4.05161]","[0.636297]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[234.24]",17341.2,"[4302.8,1926.03,1763.53,3656.66,3602.65,3058.98]","[]","[14538.8]","[]"
169,284500,5477,364138,1,2.23622,905387,1.25133,0.96819,1,1,1,0.992811,0.95922,1,1,0,0,1,"[0]","[1]","[49233.3]","[-0.928803]","[-2.74673]","[72040.7]","[-0.13105]","[-1]","[11]","[1]","[0]","[270.676]","[0.0449627]","[2.92135]",259214,-2.72872,4,"[474845,68261.4,55874,24074.9]","[-0.854009,-1.37125,-1.33725,1.09421]","[0.501039,-2.55047,-3.05211,-1.8028]","[658974,143163,113778,40349.6]","[1,1,0.725527,0.978629]","[0,15,0,0]","[0,1,0,0]","[-0.919386,-0.994411,-0.867194,-0.901619]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[461788]","[-0.888085]","[0.502066]","[656563]","[22402.4]","[0]","[4.57142]","[0.678985]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[83.2586]",34041.5,"[12478.3,3163.01,4432.28,1687.67]","[]","[18895.4]","[]"
171,284500,5039,364138,1.01127,2.23622,905387,1.1961,1,0.996341,1,1,0.960796,0.931835,1,0,1,0,1,"[0]","[1]","[85939.1]","[1.19119]","[-2.51169]","[154470]","[-0.0404968]","[1]","[13]","[0]","[0]","[4765.96]","[-0.0319547]","[5.41887]",35716.5,-2.41552,2,"[348787,226475]","[0.833709,1.67903]","[0.473174,-2.70534]","[479818,628197]","[0.993722,0.998226]","[4,15]","[0,1]","[-0.21267,-0.947195]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[348412]","[0.875628]","[0.487229]","[493071]","[47937.5]","[0]","[1.36224]","[0.452938]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1201.33]",5269.67,"[14582,9506.19]","[]","[16839.5]","[]"
191,284500,12376,364138,-1,2.23622,905387,0.75088,1,0.99908,1,1,0.950348,0.955122,1,0,1,0,1,"[0]","[1]","[47033.9]","[-0.887333]","[-3.11381]","[66797.5]","[-0.125245]","[-1]","[13]","[1]","[0]","[-1012.68]","[-0.379198]","[59.1415]",188426,-3.03576,3,"[250886,39266.8,20289.4]","[-1.25623,-0.0339386,-1.89536]","[0.047526,3.05747,-0.45385]","[476548,39499.4,69108.8]","[1,0.999251,0.979756]","[4,15,4]","[0,1,0]","[-0.263301,-0.953202,-0.457117]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266615]","[-1.25568]","[0.0483317]","[506101]","[13701.4]","[0]","[2.29121]","[0.543221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[65.9937]",20043.6,"[5276,1970.31,866.591]","[]","[10365.5]","[]"
