event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
34,284500,13228,364137,1,4.7597,1.65609e+06,1.1961,1,1,1,1,0.994798,1,1,1,0,0,1,"[0]","[1]","[188168]","[-0.999637]","[-0.5595]","[290279]","[-0.00606537]","[1]","[11]","[0]","[0]","[2492.77]","[-0.00499558]","[0.517353]",137478,-0.332368,2,"[399832,96122.7]","[-0.166395,-0.55565]","[2.55888,-0.611735]","[408109,111590]","[0.998804,0.995977]","[0,15]","[0,1]","[-0.803576,-0.914849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[401072,299019]","[-0.121565,-0.850866]","[2.56028,-0.580243]","[406331,419249]","[43091.6,66451.5]","[0,0]","[2.05874,0.198664]","[0.738956,0.131943]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1632.78]",2051.47,"[7880.08,5674.69]","[]","[2132.41,5919.84]","[]"
64,284500,8569,364137,1,4.7597,1.65609e+06,0.923924,1,0.993445,1,1,0.996809,0.952143,1,0,1,0,1,"[0]","[1]","[146648]","[-0.380593]","[1.59309]","[157398]","[0.283886]","[1]","[13]","[0]","[0]","[-562.532]","[-0.0311951]","[4.76556]",155346,1.53072,4,"[342431,44561.3,28619.2,27312.8]","[0.259462,0.605939,-0.932675,-1.20567]","[-1.53337,1.76581,-3.02756,-0.31242]","[354539,53548.5,42270.7,49976.3]","[0.987036,0.990439,0.988285,0.977189]","[0,0,0,0]","[0,0,0,0]","[-0.907688,-0.764817,-0.88958,-0.819126]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[341324]","[0.26754]","[-1.53861]","[354709]","[27872.7]","[0]","[4.04587]","[0.337987]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15927.6]",13773.9,"[3703.26,2119.89,1848.11,7089.69]","[]","[39535.4]","[]"
94,284500,7840,364137,1,4.7597,1.65609e+06,0.619412,1,0.980129,1,1,0.996569,1.04206,1,0,1,0,1,"[0]","[1]","[174796]","[1.12934]","[1.37913]","[298627]","[-0.0103912]","[1]","[13]","[1]","[0]","[-282.222]","[-0.0123751]","[2.24451]",162690,1.3015,2,"[354483,44750]","[0.447064,1.67009]","[-1.75139,1.39769]","[391691,123157]","[0.997354,0.992136]","[0,15]","[0,1]","[-0.112932,-0.950711]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[362681]","[0.492771]","[-1.74821]","[408337]","[24299.1]","[0]","[1.62654]","[0.722519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[28994.5]",15196.6,"[3803.58,6949.01]","[]","[12520.1]","[]"
144,284500,13377,364137,1,4.7597,1.65609e+06,0.75088,0.98458,1,1,1,0.998784,1.00582,1,1,0,0,1,"[0]","[1]","[100673]","[-0.451684]","[1.96686]","[111119]","[0.0932274]","[-1]","[11]","[1]","[0]","[-1041.85]","[0.0226304]","[3.01386]",88035.8,2.3277,2,"[283038,63619.7]","[1.01358,2.40568]","[-0.832549,-2.91786]","[441833,355605]","[1,0.996013]","[0,0]","[0,0]","[-0.896987,-0.708111]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290466]","[1.00954]","[-0.822784]","[451599]","[9985.29]","[0]","[1.5774]","[0.453813]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[319.768]",1146.31,"[8113.17,7615.97]","[]","[4322.44]","[]"
172,284500,8678,364137,-1,4.7597,1.65609e+06,1.1961,1,0.998865,1,1,0.997064,1.05554,1,0,1,0,1,"[0]","[1]","[29749]","[0.79209]","[3.08644]","[39579.8]","[0.0408936]","[-1]","[13]","[1]","[0]","[988.923]","[0.00332836]","[0.35095]",192012,2.76067,2,"[373071,147933]","[0.640852,0.983987]","[-0.333682,2.63524]","[453180,225759]","[1,0.990022]","[0,15]","[0,1]","[-0.698583,-0.0365685]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[376713]","[0.642815]","[-0.335475]","[457936]","[24869.3]","[0]","[1.99635]","[0.466834]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[53.2402]",14240.4,"[14701.3,2318.55]","[]","[21585.9]","[]"
209,284500,933,364137,-1,4.7597,1.65609e+06,0.738662,1,0.987915,1,1,0.999617,0.969321,1,0,1,0,1,"[0]","[1]","[59798.2]","[-1.98174]","[2.50819]","[221049]","[0.417269]","[1]","[13]","[1]","[0]","[-253.26]","[-0.0979621]","[12.3958]",261549,2.50256,1,"[321414]","[-1.11515]","[-0.628655]","[544008]","[0.997929]","[0]","[0]","[-0.726602]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[348048]","[-1.10107]","[-0.62432]","[581997]","[30007.4]","[0]","[1.63682]","[0.643188]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[264.805]",1955.31,"[4490.18]","[]","[4480.97]","[]"
246,284500,12379,364137,1,4.7597,1.65609e+06,1.25133,0.98697,1,1,1,0.999003,1.00582,1,1,0,0,1,"[0]","[1]","[154701]","[-0.498995]","[1.77525]","[174364]","[-0.0272107]","[-1]","[11]","[1]","[0]","[2965.45]","[0.0416658]","[4.41178]",181305,1.53841,2,"[361560,31984.8]","[-1.37252,-0.591474]","[-1.54279,1.00602]","[759750,38059.4]","[0.99357,0.947683]","[0,15]","[0,1]","[-0.974939,-0.27862]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[359566]","[-1.37176]","[-1.53779]","[754959]","[30033]","[0]","[1.60039]","[0.582202]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2354.83]",13952.9,"[15312.8,1999.73]","[]","[3194]","[]"
250,284500,12493,364137,1,4.7597,1.65609e+06,1.32095,0.97826,1,1,1,0.993643,1.00493,1,1,0,0,1,"[0]","[1]","[89534.1]","[-1.26768]","[1.03994]","[171640]","[-0.0642014]","[-1]","[11]","[1]","[0]","[-1399.71]","[0.00530659]","[0.64889]",138237,1.33753,5,"[276956,73348.4,45664.6,23021.3,20458.5]","[0.66051,-0.70029,1.34272,0.868898,0.547776]","[-2.18072,0.824907,-0.342728,-0.625753,-2.67972]","[340874,92188.6,93651.2,32432.5,23809.6]","[0.99,0.990299,0.988198,1,0.988137]","[0,15,0,0,0]","[0,1,0,0,0]","[-0.876205,-0.94911,-0.851855,-0.577381,-0.846048]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275490]","[0.646889]","[-2.17108]","[337190]","[36854.3]","[0]","[2.1809]","[0.565691]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[537.917]",20248.5,"[11165.8,2874.4,3122.94,3151.35,1141.99]","[]","[5577.88]","[]"
264,284500,14553,364137,-1,4.7597,1.65609e+06,0.402058,0.92481,0.998203,1,1,0.998042,1.15535,1,0,1,0,2,"[0,0]","[1,0]","[73684.5,16881.5]","[-0.966478,-0.290347]","[3.13553,-3.11753]","[110862,17598]","[-0.0555525,-0.0386257]","[1,-1]","[13,11]","[1,1]","[0,0]","[-326.258,1421.59]","[-0.0252876,-0.000841656]","[4.17533,0.0695085]",201683,-3.02762,3,"[264451,40813.6,27829.7]","[0.845997,1.28653,0.163697]","[-0.0608657,0.371966,2.12997]","[365997,79929.4,28833.5]","[0.99856,0.996744,0.761021]","[0,0,0]","[0,0,0]","[-0.838608,-0.924598,-0.384786]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279978]","[0.895629]","[-0.0246601]","[407676]","[78838.4]","[0]","[2.196]","[0.812901]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[411.941,59.2728]",13837.5,"[9639.08,4804.36,2536.85]","[]","[11345.3]","[]"
270,284500,7822,364137,1,4.7597,1.65609e+06,0,0.99093,1,1,1,0.997258,1.00306,1,1,0,0,1,"[0]","[1]","[134339]","[0.828908]","[-0.0327153]","[183194]","[-0.00877762]","[-1]","[11]","[1]","[0]","[2573.61]","[-0.00596735]","[0.787421]",33784.7,-0.639835,3,"[235554,34065,32959.3]","[-1.26399,-0.548561,-1.84055]","[2.80096,-0.721697,-0.843711]","[451126,39806,106673]","[0.992707,1,0.753298]","[0,0,0]","[0,0,0]","[-0.764612,-0.862489,-0.920618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267743]","[-1.24333]","[2.77283]","[504341]","[39855.2]","[0]","[2.41008]","[0.713397]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1283.2]",6860.62,"[5273.68,2672.41,2611.19]","[]","[2286.66]","[]"
