event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
74,284500,8096,364140,1,1.76249,2.92375e+06,1.24168,1,0.994476,1,1,0.992218,0.988065,1,0,1,0,1,"[0]","[1]","[93899.1]","[2.21753]","[-3.05512]","[436327]","[0.138008]","[1]","[13]","[1]","[0]","[-38.0011]","[0.0124202]","[2.19055]",54474.6,2.55399,5,"[480652,165328,117837,62002.9,40680.7]","[-1.54993,1.35857,1.74106,0.667748,0.131365]","[-0.0738539,2.74781,-2.48652,2.93878,3.03503]","[1.18354e+06,343323,346454,76640.3,41654.9]","[0.99,0.99237,0.99,0.983498,0.999846]","[0,0,15,0,0]","[0,0,1,0,0]","[-0.843325,-0.886305,0.0266441,-0.929258,-0.719913]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[492696]","[-1.5599]","[-0.076495]","[1.2242e+06]","[23321.1]","[0]","[2.86155]","[0.567679]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2476.97]",18556.8,"[19781.6,2883.27,6638.14,2875.5,4422]","[]","[16695.2]","[]"
110,284500,72517,364140,1,1.76249,2.92375e+06,0.351687,0.9666,1,1,1,0.998475,0.95498,1,1,0,0,1,"[0]","[1]","[55778.1]","[-0.774394]","[-1.72931]","[73355.4]","[0.0631561]","[1]","[11]","[1]","[0]","[-1032.57]","[-0.173531]","[14.1177]",154902,-1.59157,2,"[353528,154722]","[0.0235907,1.802]","[1.54526,-1.42468]","[354849,482126]","[0.849014,0.991727]","[0,0]","[0,0]","[-0.892341,-0.686023]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[364569]","[0.0405913]","[1.54746]","[366628]","[35868]","[0]","[1.72696]","[0.658325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[351.077]",11710.1,"[6927.76,3753.94]","[]","[7039.75]","[]"
139,284500,2211,364140,1,1.76249,2.92375e+06,0.923924,0.96825,1,1,1,0.958722,0.99461,1,1,0,0,1,"[0]","[1]","[67449.4]","[-2.33805]","[0.344372]","[352678]","[-0.0469742]","[1]","[11]","[1]","[0]","[1842.11]","[-0.0188606]","[1.1142]",9744.94,-2.22604,3,"[308636,304857,68727.2]","[1.79803,-0.639255,1.42519]","[-0.663707,2.65299,2.46125]","[957507,369652,151310]","[0.996148,0.944137,0.998768]","[0,4,0]","[0,0,0]","[-0.612458,0.434806,-0.927142]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[296566,288334]","[-0.648352,1.79685]","[2.65388,-0.656869]","[362046,893439]","[25974.7,14508.6]","[0,0]","[7.06246,2.27431]","[0.381392,0.403403]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[325.018]",3483.41,"[5824.67,15119.1,10960.6]","[]","[6324.88,12968.6]","[]"
160,284500,3712,364140,1,1.76249,2.92375e+06,1.26205,0.95175,1,1,1,0.99338,0.9244,1,1,0,0,1,"[0]","[1]","[48755.4]","[1.15799]","[-0.523794]","[85264.9]","[-0.0625439]","[-1]","[11]","[1]","[0]","[-726.481]","[-0.0110142]","[0.754638]",111089,-0.31375,3,"[265852,180297,73963.8]","[0.147472,0.95656,1.57791]","[2.14132,-1.99952,0.00885844]","[272795,269862,186874]","[0.999554,0.996911,0.998354]","[0,0,15]","[0,0,1]","[-0.976726,-0.859816,-0.166951]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268436]","[0.157449]","[2.13933]","[275718]","[46492.4]","[0]","[1.46177]","[0.510552]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[85.4315]",5511.5,"[3095.1,3079.68,5427.14]","[]","[3312.19]","[]"
254,284500,103,364140,1,1.76249,2.92375e+06,0.619412,1,0.998168,1,1,0.996941,0.98039,1,0,1,0,1,"[0]","[1]","[48562.9]","[-2.27526]","[-1.33081]","[238764]","[0.303471]","[-1]","[13]","[1]","[0]","[-178.829]","[-0.0549413]","[6.79936]",134235,-1.58216,5,"[260608,82928.7,69877.1,59056.6,47537.7]","[0.352429,-0.699983,-1.50465,-0.032754,2.32804]","[2.5212,0.280844,0.530834,0.213464,-1.22299]","[278359,104580,165665,59876.5,246304]","[0.990594,0.620969,0.990275,0.989187,0.99]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.920797,-0.81659,-0.787569,-0.948481,-0.831662]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255689]","[0.366421]","[2.52223]","[273367]","[13219]","[0]","[1.41448]","[0.596166]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[489.365]",4015.59,"[5396.03,7542.44,3474.27,6694.04,3540.69]","[]","[0]","[]"
303,284500,6177,364140,1,1.76249,2.92375e+06,1.21412,0.99963,0.987915,1,1,0.998964,0.962355,1,0,1,0,2,"[0,0]","[1,0]","[29424.1,11367.9]","[-1.78141,-2.12799]","[2.1667,-1.12618]","[89841.1,48410.2]","[-0.127258,0.0943985]","[1,-1]","[13,11]","[1,1]","[0,0]","[268.603,480.722]","[0.0571149,0.0347272]","[4.59611,0.926016]",15692.1,2.30508,2,"[370679,328104]","[-1.49228,1.45704]","[-1.09883,2.02728]","[868718,742829]","[0.993432,1]","[0,0]","[0,0]","[-0.882084,-0.928805]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[387748,335904]","[-1.50958,1.441]","[-1.09693,2.02194]","[923038,749579]","[73663.2,19053]","[0,0]","[1.02889,2.98451]","[0.687649,0.791978]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[119.732,105.575]",7725.44,"[4946.1,8320.92]","[]","[3355.69,1987.28]","[]"
446,284500,8604,364140,1,1.76249,2.92375e+06,1.24168,0.98413,1,1,1,0.995811,0.99866,1,1,0,0,1,"[0]","[1]","[83594.9]","[-1.06161]","[2.85099]","[135295]","[-0.00444794]","[-1]","[11]","[1]","[0]","[1339.82]","[0.00528557]","[0.48573]",155819,2.928,6,"[313288,51427.7,48172.6,41983.1,37369.6,26735.6]","[0.504539,-2.16417,0.324308,-0.421428,-1.7272,-0.547251]","[-0.114737,2.6062,-2.05763,-0.644207,-3.07155,1.98129]","[354385,226913,51012.6,45988.5,108559,31346.5]","[0.998395,0.999391,1,0.992002,0.991183,0.889116]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.887583,-0.771494,-0.804846,-0.653049,-0.762124,-0.728553]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[320066]","[0.459116]","[-0.152063]","[372152]","[113580]","[0]","[0.987489]","[0.638288]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[377.561]",3952.66,"[3493.9,4915.64,2889.91,2051.98,2653.57,1848.44]","[]","[11242.3]","[]"
732,284500,72382,364140,1,1.76249,2.92375e+06,0.553627,0.97388,1,1,1,1.034,0.98854,1,1,0,0,1,"[0]","[1]","[44628.6]","[-0.284843]","[-3.00379]","[46451.3]","[-0.311547]","[-1]","[11]","[1]","[0]","[1261.19]","[-0.178582]","[21.1484]",22204.7,-3.04622,6,"[199486,160183,102258,42011.7,31581.8,28354.1]","[1.62968,1.36638,1.36691,2.05453,0.696035,1.21032]","[1.22068,-0.904639,-1.81862,-2.99857,1.98415,2.35577]","[529217,335078,214668,166875,39695.3,51966.9]","[0.992419,0.993775,0.99737,0.771437,0.996002,1]","[0,0,5,0,15,0]","[0,0,0,0,1,0]","[-0.910126,-0.913643,0.988462,-0.415106,-0.550404,-0.879836]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265152]","[1.47848]","[-1.29863]","[628133]","[142562]","[0]","[1.06311]","[0.712898]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[178.615]",6465.07,"[10767.1,5347.11,4189.5,4985.6,4991.83,4650.61]","[]","[1574.59]","[]"
733,284500,81018,364140,1,1.76249,2.92375e+06,0.934886,0.97106,1,1,1,0.998413,0.96201,1,1,0,0,1,"[0]","[1]","[49098.8]","[0.795373]","[2.9635]","[65465.4]","[0.00130463]","[-1]","[11]","[1]","[0]","[-456.677]","[0.00951035]","[0.243447]",42379.6,1.90743,5,"[365423,235941,113238,29179.5,23769.3]","[-0.0659033,0.11977,0.677234,-1.24809,-0.370929]","[0.715048,-2.38256,-1.807,-1.6496,2.20324]","[366532,238027,141017,55177.3,25697.2]","[0.947818,0.98,0.985513,0.99,0.675191]","[0,0,0,0,15]","[0,0,0,0,1]","[-0.364967,-0.805707,-0.954673,-0.775093,0.744067]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[370915,305492]","[-0.0151546,0.347882]","[0.718055,-2.21973]","[370957,344982]","[-0.00159628,118027]","[0,0]","[0,0.204966]","[-1,0.697381]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[135.308]",23274.1,"[4732.42,2584.28,2305.23,1846.4,1716.67]","[]","[34678.9,7716.56]","[]"
744,284500,72323,364140,1,1.76249,2.92375e+06,0.187531,0.95734,1,1,1,0.992398,0.96953,1,1,0,0,1,"[0]","[1]","[32586.1]","[1.05903]","[0.488426]","[52632.6]","[0.0128326]","[-1]","[11]","[1]","[0]","[-427.462]","[-0.00679236]","[0.739892]",30367.5,-1.92658,5,"[303347,269122,73439.8,29619.6,28209.4]","[0.409353,2.23588,0.348431,-0.836642,-2.35227]","[-2.35543,0.711294,1.88335,-2.42045,0.21124]","[329693,1.2733e+06,78083.4,41131.2,149637]","[0.971177,0.988554,1,0.995388,0.954765]","[0,0,15,0,0]","[0,0,1,0,0]","[-0.76693,-0.334817,-0.663779,-0.91891,-0.757086]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[312392]","[0.398594]","[-2.35597]","[338014]","[17938.6]","[0]","[2.87559]","[0.672043]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[148.137]",3659.32,"[4126.94,5091.77,2463.48,2616.48,2715.61]","[]","[2828.84]","[]"
