event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,337118,364131,1.33008,74.7074,2.16844e+06,0.596562,0.94676,1,1,1,0.996375,0.94839,1,1,0,0,1,"[0]","[1]","[27804]","[0.0882137]","[1.67129]","[27912.3]","[0.0817871]","[-1]","[11]","[1]","[0]","[-346.923]","[0.000979016]","[0.0478683]",120873,1.16925,1,"[122858]","[-0.41284]","[0.468873]","[133598]","[0.950291]","[15]","[1]","[0.0196032]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251386]","[-1.00033]","[-2.0285]","[388006]","[0]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[324.574]",17602.5,"[2561.28]","[]","[0]","[]"
1,284500,574185,364131,1.98432,74.7074,2.16844e+06,1.25133,1,1,1,1,0.997691,1,1,1,0,0,1,"[0]","[1]","[75963.6]","[1.01102]","[2.46618]","[118209]","[0.0891304]","[1]","[11]","[0]","[0]","[-253.132]","[-0.00899506]","[0.383026]",102466,2.33246,2,"[269519,100650]","[0.251322,2.10859]","[-0.529962,2.97476]","[278199,420766]","[1,0.999999]","[15,0]","[1,0]","[-0.677172,-0.782822]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283485]","[0.26026]","[-0.529588]","[293157]","[3172.23]","[0]","[91.9012]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[344.372]",921.547,"[3100.62,2777.91]","[]","[9864.75]","[]"
2,284500,167157,364131,1,74.7074,2.16844e+06,0.738662,0.97538,1,1,1,0.99755,1.01508,1,1,0,0,1,"[0]","[1]","[106944]","[-1.76344]","[-1.23956]","[321040]","[-0.000125885]","[1]","[11]","[1]","[0]","[-697.93]","[-0.0463023]","[5.22966]",111754,-1.52083,3,"[226869,53070.3,28608.4]","[-1.56962,-0.711517,1.12544]","[1.68032,2.88829,0.141336]","[568794,67653.6,49150.7]","[0.994047,0.944791,0.997934]","[15,0,0]","[1,0,0]","[-0.928453,-0.879316,-0.869662]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266402]","[-1.57706]","[1.68339]","[672401]","[11506]","[0]","[3.66342]","[0.605878]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1057.72]",3386.84,"[3522.6,2625.01,1847.24]","[]","[18522.5]","[]"
3,284500,379228,364131,1.43572,74.7074,2.16844e+06,1.26205,1,1,1,1,0.997825,1,1,1,0,0,1,"[0]","[1]","[30727.5]","[-1.65233]","[-0.0254725]","[83128.8]","[0.144478]","[1]","[11]","[0]","[0]","[779.635]","[0.219405]","[6.22073]",131085,0.00698454,2,"[265997,107557]","[-1.42114,-0.377183]","[3.13555,0.016688]","[583057,115763]","[0.991814,0.993407]","[15,0]","[1,0]","[-0.787109,-0.411311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272782]","[-1.4029]","[3.13792]","[588244]","[3473.62]","[0]","[7.84681]","[0.312443]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[96.0036]",999.422,"[6065.51,4363.1]","[]","[6396.66]","[]"
4,284500,2677134,364131,1,74.7074,2.16844e+06,0.923924,1,0.998525,1,1,0.995465,1.00146,1,0,1,0,1,"[0]","[1]","[106999]","[-2.36892]","[-0.388283]","[576693]","[-0.0868416]","[-1]","[13]","[1]","[0]","[81.6155]","[-0.0194459]","[3.1016]",264473,0.045495,5,"[577375,114867,90450.4,31488,26649.5]","[-0.81707,0.805963,0.0937425,-1.13573,-2.34825]","[3.12654,0.408659,-0.0277962,0.480965,0.14514]","[781901,155414,91832.4,54508,140794]","[0.999225,0.993056,0.994535,0.994425,1]","[0,0,0,0,15]","[0,0,0,0,1]","[-0.76789,-0.855712,-0.718919,-0.87322,0.646346]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[552557]","[-0.827994]","[3.11616]","[753560]","[28044.5]","[0]","[2.5274]","[0.488099]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3022.88]",11573.6,"[19299.3,2771.27,2482.07,2607.84,5762.97]","[]","[4693.12]","[]"
5,284500,1809217,364131,1,74.7074,2.16844e+06,1.26459,1,0.998557,1,1,0.996197,0.972327,1,0,1,0,1,"[0]","[1]","[196324]","[1.21438]","[1.07339]","[359774]","[-0.202316]","[1]","[13]","[1]","[0]","[-1338.47]","[-0.0299754]","[4.9227]",263392,1.14063,4,"[395275,130588,38344.7,27821.5]","[1.8507,1.30476,-0.351697,-0.169618]","[-1.89872,-2.90713,-1.39487,1.63698]","[1.28897e+06,259230,41456.7,28592]","[0.996697,0.991553,0.758417,0.986828]","[15,0,0,0]","[1,0,0,0]","[-0.682661,-0.878807,-0.975586,-0.870673]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[426067]","[1.84367]","[-1.90106]","[1.38002e+06]","[2944.05]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[21813.8]",10869.1,"[7680.94,5723.15,2241.46,1843.3]","[]","[37129.9]","[]"
6,284500,2984578,364131,-0.611422,74.7074,2.16844e+06,0.75088,1,0.995421,1,1,0.998495,0.978959,1,0,1,0,1,"[0]","[1]","[190974]","[-0.484188]","[-2.62697]","[213801]","[0.00724602]","[1]","[13]","[1]","[0]","[-464.341]","[0.00886197]","[1.82887]",298766,-2.62195,1,"[380958]","[0.251806]","[0.568696]","[393300]","[0.946722]","[15]","[1]","[-0.928353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[356506]","[0.264418]","[0.568813]","[369075]","[5005.86]","[0]","[10.4585]","[0.348631]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1725.99]",2023.72,"[3963.27]","[]","[31992.3]","[]"
7,284500,3474589,364131,3.90361,74.7074,2.16844e+06,1.22586,0.98413,1,1,1,0.99796,0.99866,1,1,0,0,1,"[0]","[1]","[80093.7]","[-0.943919]","[-1.14948]","[118504]","[-0.0286064]","[1]","[11]","[1]","[0]","[67.5987]","[0.0217747]","[1.07656]",154566,-1.19658,2,"[295635,65982.5]","[0.248704,1.4489]","[1.97943,-1.075]","[304986,148469]","[0.999193,0.997604]","[15,0]","[1,0]","[-0.961143,-0.432599]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290463]","[0.22489]","[1.97899]","[297842]","[1354.77]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[270.678]",3773.62,"[3209.45,4131.51]","[]","[1349.53]","[]"
8,284500,1946889,364131,1,74.7074,2.16844e+06,1.25133,0.9652,1,1,1,0.999463,0.98592,1,1,0,0,1,"[0]","[1]","[60995.7]","[-1.30274]","[-0.926134]","[120502]","[0.0127144]","[-1]","[11]","[1]","[0]","[432.477]","[0.00322931]","[0.299401]",56742.4,-1.37346,1,"[240311]","[-1.11309]","[1.89136]","[406105]","[0.999908]","[0]","[0]","[0.475634]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258482]","[-1.12512]","[1.88607]","[441060]","[29197.2]","[0]","[1.62516]","[0.767936]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[183.591]",16327.9,"[13627.5]","[]","[2609.27]","[]"
9,284500,4959360,364131,1,74.7074,2.16844e+06,0.00183436,0.95175,1,1,1,0.997492,0.9244,1,1,0,0,1,"[0]","[1]","[45891.8]","[1.17191]","[0.312185]","[81180.8]","[-0.314686]","[-1]","[11]","[1]","[0]","[-700.454]","[0.19443]","[14.7577]",223415,0.230636,3,"[291844,77317.3,48816.3]","[0.709131,-0.68408,2.13074]","[-2.86979,0.95418,-2.05553]","[368428,96317.3,208675]","[0.989226,1,1]","[15,0,0]","[1,0,0]","[-0.252562,-0.877903,-0.85416]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282950]","[0.725931]","[-2.86886]","[360836]","[0.00276214]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[376.143]",3806.86,"[4061.16,4870.53,7733.71]","[]","[6115.12]","[]"
