event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
6,284500,1300084,361108,1940.55,1950.63,5.61717e+10,1.22586,1,0.993836,1,1,0.996989,0.978804,1,0,1,0,1,"[0]","[1]","[62796.2]","[-1.33931]","[-0.563505]","[128056]","[-0.0638943]","[1]","[13]","[1]","[0]","[-543.619]","[0.00442094]","[0.711302]",179445,-0.431289,3,"[331959,144792,93973.5]","[-0.63848,-1.05115,-2.12038]","[2.69279,-0.219324,3.06998]","[402436,232669,397321]","[0.940664,0.995058,0.992555]","[0,15,0]","[0,1,0]","[-0.898952,-0.788064,-0.779968]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[311017]","[-0.649888]","[2.69595]","[379386]","[16176.4]","[0]","[9.39247]","[0.419082]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[604.455]",11014.9,"[11439.1,3469.33,8488.01]","[]","[22679]","[]"
7,284500,15508,361108,1940.82,1950.63,5.61717e+10,1.32095,0.884571,1,1,1,1.03188,1.01265,1,1,0,0,2,"[0,0]","[1,0]","[151490,16506.1]","[1.55228,0.969926]","[2.42427,2.59329]","[373724,24898.3]","[-0.050499,0.0120773]","[-1,1]","[11,11]","[1,1]","[0,0]","[-162.101,789.193]","[-0.00774878,-0.0428397]","[0.650228,3.53035]",182314,2.72559,5,"[360982,57183.6,31185.7,22156.8,20785.8]","[1.64807,-1.2565,-2.25692,1.12428,1.80557]","[-0.56957,-2.92694,-0.243828,1.29519,1.16063]","[973979,109124,150696,37956.6,65174.2]","[0.955199,0.999567,0.960002,0.652392,0.967345]","[0,0,0,0,5]","[0,0,0,0,0]","[-0.813568,-0.555257,-0.858361,-0.958598,-0.249324]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[347685]","[1.66696]","[-0.558369]","[954787]","[49559.1]","[0]","[1.66721]","[0.85211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2819.67,64.1634]",901.953,"[5710.79,2327.66,2257.34,1852.41,1166.71]","[]","[20078.5]","[]"
8,284500,1505,361108,1941,1950.63,5.61717e+10,0.402058,1,0.988987,1,1,0.93945,0.976321,1,0,1,0,1,"[0]","[1]","[32947.6]","[-1.68378]","[-0.470433]","[91784.5]","[-0.0636311]","[-1]","[13]","[1]","[0]","[-180.353]","[-0.0195256]","[2.28718]",43510.4,-0.995353,3,"[314838,227981,25507.4]","[-1.47137,-1.29869,-1.27022]","[2.0137,-1.19532,-0.2249]","[722312,448881,49207.2]","[1,1,0.948443]","[5,15,5]","[0,1,0]","[0.97064,-0.97178,0.998162]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[315824]","[-1.47111]","[2.0214]","[724041]","[17562.3]","[0]","[3.12025]","[0.807792]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[651.378]",3186.46,"[5487.76,3975.91,2118.27]","[]","[29139.8]","[]"
11,284500,1301127,361108,1940.66,1950.63,5.61717e+10,1.26459,0.92831,1,1,1,0.996124,1.01883,1,1,0,0,1,"[0]","[1]","[31410]","[2.01012]","[3.07555]","[119330]","[0.192543]","[-1]","[11]","[1]","[0]","[62.752]","[0.164837]","[2.1774]",60073.9,2.83744,4,"[296154,203596,94277.3,20203]","[0.297103,1.99895,1.68069,-0.649316]","[-0.867627,2.36553,0.765935,2.71538]","[309751,765303,262087,24925.2]","[0.995882,0.997247,0.994168,0.980318]","[0,15,0,0]","[0,1,0,0]","[-0.836271,0.453666,-0.827099,-0.931729]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[333927]","[0.289336]","[-0.872351]","[348590]","[20231.1]","[0]","[2.07539]","[0.523948]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[652.662]",32114.1,"[10434.5,4489.89,7541.67,3689.52]","[]","[164.906]","[]"
13,284500,1578891,361108,1940.27,1950.63,5.61717e+10,0.696077,0.957002,1,1,1,0.997885,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[104625,44877.6]","[-0.312975,0.54074]","[2.70639,2.50069]","[109792,51600.1]","[0.0508652,-0.0091629]","[-1,1]","[11,11]","[1,1]","[0,0]","[328.362,316.574]","[0.0415115,-0.0200721]","[7.98298,2.33461]",79385.5,2.3851,2,"[260641,22780.4]","[0.858196,-2.37356]","[-0.37964,-2.48767]","[364232,123388]","[0.992235,0.990338]","[0,0]","[0,0]","[-0.886804,-0.266336]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[301290]","[0.724873]","[-0.416843]","[394906]","[92282.3]","[0]","[1.71292]","[0.551334]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[728.882,122.687]",17837.5,"[5558.78,2028.53]","[]","[6795.22]","[]"
14,284500,1578906,361108,1940.27,1950.63,5.61717e+10,0.696077,0.98458,1,1,1,1.00216,1.00582,1,1,0,0,1,"[0]","[1]","[92368.7]","[-0.506499]","[-2.01158]","[104472]","[0.118755]","[1]","[11]","[1]","[0]","[426.05]","[0.107287]","[10.9262]",167709,-1.85253,3,"[266999,25131.6,21215.7]","[-0.974896,1.86348,-0.681021]","[1.21686,2.67563,-0.72234]","[405256,83157.1,26672.1]","[0.997905,0.985391,0.977848]","[0,0,15]","[0,0,1]","[-0.357034,-0.735685,-0.178966]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254879]","[-0.977468]","[1.23398]","[387258]","[21707.9]","[0]","[2.03697]","[0.621016]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[270.772]",8336.86,"[3300.08,4694.56,1627.17]","[]","[3497.39]","[]"
15,284500,1517661,361108,1941.99,1950.63,5.61717e+10,1.21412,0.99242,1,1,1,0.99529,0.99765,1,1,0,0,1,"[0]","[1]","[195733]","[0.736186]","[-0.839645]","[251213]","[-0.00628662]","[-1]","[11]","[1]","[0]","[-1139.63]","[-0.0162877]","[2.29128]",41279,-1.91726,5,"[397148,97062.6,66021,64426.3,20185.5]","[0.326479,1.76975,-1.27943,0.91077,-0.504424]","[2.53789,-0.617798,0.0211199,-0.138808,1.25189]","[418962,293606,128175,93376,23241]","[0.991623,0.99,0.958786,0.995934,0.990479]","[0,0,0,15,0]","[0,0,0,1,0]","[-0.86062,-0.493061,-0.1141,0.739253,-0.746913]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[385665,322704]","[0.333909,1.12544]","[2.53532,-0.683736]","[407605,575025]","[13952.7,169160]","[0,0]","[3.58687,1.16276]","[0.452014,0.245429]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2587.41]",18118.2,"[8803.57,6395.21,3272.91,11067,1132.05]","[]","[11429.4,13985.9]","[]"
16,284500,1563394,361108,1941.97,1950.63,5.61717e+10,0.923924,0.96558,1,1,1,0.998795,0.99746,1,1,0,0,1,"[0]","[1]","[61374.9]","[-1.57142]","[-0.74774]","[154089]","[-0.368782]","[1]","[11]","[1]","[0]","[250.457]","[-0.11489]","[10.9931]",244437,-0.677517,1,"[405242]","[0.121272]","[2.5283]","[411572]","[1]","[0]","[0]","[-0.840313]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[381368]","[0.156287]","[2.53019]","[388964]","[47637.3]","[0]","[2.41463]","[0.718698]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[607.75]",4736.39,"[7932.2]","[]","[623.781]","[]"
19,284500,1570768,361108,1941.55,1950.63,5.61717e+10,0.738662,1,0.999738,1,1,0.994877,0.994688,1,0,1,0,1,"[0]","[1]","[58632.8]","[-1.54451]","[-1.67833]","[143624]","[-0.0530968]","[1]","[13]","[1]","[0]","[2421.08]","[-0.0702159]","[11.4388]",332657,-1.6988,3,"[460888,52472.6,24332.3]","[-0.112387,-2.15448,-0.0735485]","[1.40163,-1.88948,-1.81893]","[464063,229377,24818.3]","[0.995503,0.993852,0.988556]","[0,15,0]","[0,1,0]","[-0.988496,-0.891868,-0.811214]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[444333]","[-0.0926003]","[1.40218]","[446635]","[18793.2]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1245.4]",4298.12,"[10849.4,3681.7,6165.53]","[]","[17977.5]","[]"
20,284500,1316687,361108,1941.29,1950.63,5.61717e+10,0.553627,1,0.985967,1,1,0.997476,1.02582,1,0,1,0,1,"[0]","[1]","[86564.1]","[1.75126]","[-2.51216]","[256898]","[-0.0401995]","[-1]","[13]","[1]","[0]","[-238.426]","[0.0177523]","[2.58236]",134576,-2.30851,2,"[243057,43865.4]","[1.03204,2.4491]","[0.757935,-2.03136]","[384722,255874]","[0.99589,0.983704]","[0,15]","[0,1]","[-0.693485,-0.655626]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255430]","[1.03443]","[0.757446]","[405027]","[15705.2]","[0]","[2.72998]","[0.747792]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[285.744]",12280.1,"[17534.8,5639.56]","[]","[1018.58]","[]"
