event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
165,284500,14417533,363491,0.1,4.6049,4.36373e+06,0.923924,0.97553,1,1,1,0.998515,1.01265,1,1,0,0,1,"[1]","[1]","[113492]","[1.72247]","[-2.80513]","[327821]","[-0.00900674]","[1]","[11]","[1]","[0]","[1400.54]","[-0.0530281]","[2.17982]",78145.9,-2.78957,2,"[316389,174332]","[-0.449258,0.930848]","[0.316166,-2.93014]","[349620,256503]","[0.991431,0.999148]","[0,0]","[0,0]","[0.800981,-0.90409]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[316555,303535]","[-0.444202,1.34504]","[0.314297,-2.88166]","[348732,632462]","[17305.2,114155]","[0,0]","[2.04418,0.522455]","[0.388531,0.460204]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1897.95]",2387.74,"[3541.03,6160.28]","[]","[9522.06,15532.4]","[]"
185,284500,15834551,363491,1,4.6049,4.36373e+06,0.923924,1,0.996999,1,1,0.999663,0.988807,1,0,1,0,2,"[0,1]","[1,1]","[109603,30119.3]","[2.23229,1.00988]","[-1.76286,-2.54753]","[516695,46828.9]","[0.019825,0.0316849]","[1,-1]","[13,13]","[1,1]","[0,0]","[-106.883,273.236]","[-0.0201583,-0.0311431]","[2.98362,3.56346]",284655,-1.43458,1,"[260175]","[0.367829]","[1.6371]","[282544]","[0.994167]","[0]","[0]","[-0.803204]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257107]","[0.344964]","[1.64565]","[282748]","[75228.4]","[0]","[1.32908]","[0.72601]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5673.59,71.8352]",18580.4,"[4356.7]","[]","[15075.4]","[]"
310,284500,15995708,363491,0.1,4.6049,4.36373e+06,1.55465,0.943195,1,1,1,0.947378,1.00192,1,1,0,0,2,"[1,1]","[1,0]","[77149.8,11432.3]","[-0.265741,-0.51099]","[1.18586,0.603777]","[79890,12957.6]","[-0.111237,0.0264854]","[1,1]","[11,11]","[1,0]","[1061.6,1009.99]","[138.476,-209.001]","[-0.0239562,-0.0177319]","[3.16093,1.40916]",315533,0.897575,4,"[339606,221648,103339,31186.8]","[0.437679,1.82821,0.7606,1.52669]","[-2.4436,-1.11493,1.8175,2.78914]","[374520,707545,134893,75320.2]","[0.997234,0.994057,0.975075,0.99766]","[4,0,15,0]","[0,0,1,0]","[0.580384,0.412211,-0.96743,-0.924644]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[368097]","[0.4861]","[-2.39634]","[418309]","[69770.7]","[0]","[2.24471]","[0.603247]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[204.503,107.876]",1802.5,"[4471.95,5478.8,6753.8,1921.42]","[]","[2359.38]","[]"
422,284500,15655668,363491,0.1,4.6049,4.36373e+06,1.26205,1.00588,1.00081,1,1,0.993345,1.00306,1,1,1,0,3,"[1,1,1]","[1,1,1]","[235751,67139.2,34814.7]","[0.934433,1.51395,1.53831]","[1.80025,-2.69335,1.21175]","[346387,159948,84799]","[0.0581589,0.0170364,0.046093]","[1,1,-1]","[11,13,13]","[1,1,1]","[3929.14,0,0]","[1944,-433.783,2199.38]","[0.00757623,0.00240736,0.00696923]","[1.14186,0.300195,0.696346]",67036.7,1.21652,4,"[657268,191955,127663,39274.9]","[-0.109668,1.83009,0.392564,0.708571]","[-1.41787,1.60929,1.8433,1.16993]","[662502,614017,139443,49758.9]","[0.99249,0.995777,0.998329,0.979836]","[0,0,0,0]","[0,0,0,0]","[-0.951872,-0.92764,-0.789434,-0.887088]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[664465,362742]","[-0.0974302,0.838603]","[-1.42123,1.75815]","[668771,508123]","[39194,101195]","[0,0]","[2.58356,1.63841]","[0.15379,0.365613]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2349.5,1057.7,290.915]",14881,"[8942.29,3567.76,3530.73,7954.84]","[]","[51633.4,30503.9]","[]"
506,284500,15448131,363491,0.1,4.6049,4.36373e+06,0.738662,1,0.990552,1,1,0.996629,0.980575,1,0,1,0,2,"[1,1]","[1,1]","[41416.9,31161.6]","[0.169708,2.34781]","[-1.57287,-1.95719]","[42014.9,164506]","[0.105469,-0.12944]","[1,-1]","[13,13]","[1,1]","[1376.81,0]","[2808.66,-642.256]","[0.000413362,-0.00124569]","[0.0594402,0.0918523]",107818,-0.457995,4,"[391849,258622,220942,30543.9]","[-1.85614,0.25019,-0.612986,1.74593]","[-2.97099,1.09598,-0.21919,-3.13865]","[1.28476e+06,271992,264369,90455.2]","[0.992466,1,0.996832,0.998562]","[0,0,0,0]","[0,0,0,0]","[-0.802502,-0.88874,-0.873426,-0.329235]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[395622,264556]","[-1.84105,0.295471]","[-2.97494,1.0541]","[1.27836e+06,280920]","[18883.1,51344.4]","[0,0]","[3.00865,1.35586]","[0.769224,0.616064]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[243.097,531.303]",4918.83,"[6040.4,3560.19,6649.2,1980.44]","[]","[10369.9,4647.39]","[]"
672,284500,15830779,363491,0.122875,4.6049,4.36373e+06,1.32095,1,0.998983,1,1,0.99559,0.891405,1,0,1,0,1,"[1]","[1]","[393511]","[1.04582]","[-1.19073]","[629057]","[-0.0016762]","[-1]","[13]","[1]","[25628.4]","[-473.628]","[-0.0226816]","[4.52348]",114749,-1.36386,3,"[584981,107607,85030.5]","[1.43202,1.44825,-1.38871]","[2.22548,0.298469,-0.14353]","[1.29531e+06,241646,181262]","[0.99,0.988011,0.999984]","[0,0,0]","[0,0,0]","[-0.861649,-0.99914,-0.933057]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[591047]","[1.43451]","[2.22539]","[1.31119e+06]","[28180]","[0]","[1.74234]","[0.504651]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19162.4]",17205.9,"[8082.9,4220.25,6134.14]","[]","[4394.12]","[]"
837,284500,15443074,363491,0.100048,4.6049,4.36373e+06,1.26459,1,0.994161,1,1,0.993609,0.925018,1,0,1,0,1,"[1]","[1]","[200640]","[-0.229638]","[2.11947]","[205953]","[0.0528946]","[1]","[13]","[1]","[0]","[-707.645]","[-0.0137452]","[3.10985]",109701,-2.76558,5,"[340601,52034,46574,36379,24894.2]","[0.392081,1.5784,0.011994,-1.15007,0.442512]","[-0.285243,2.6242,-2.38338,-2.8009,-0.761185]","[369655,131779,46794.2,63316.2,27697.8]","[0.99901,0.993341,0.981688,0.99016,0.888584]","[0,0,15,15,0]","[0,0,1,1,0]","[0.651122,-0.810032,0.298687,-0.823492,-0.248777]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[353351]","[0.370469]","[-0.306761]","[381352]","[51360.2]","[0]","[1.73756]","[0.742695]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3008.47]",6374.52,"[4151.96,2510.16,6611.4,2919.18,1987.33]","[]","[12782.4]","[]"
1044,284500,15302363,363491,0.14655,4.6049,4.36373e+06,1.26459,1,0.991969,1,1,0.994132,1.01134,1,0,1,0,1,"[1]","[1]","[115189]","[1.80204]","[0.635218]","[358639]","[-0.104164]","[-1]","[13]","[0]","[1795.27]","[1160.95]","[-0.00299445]","[0.537827]",56567,1.21021,4,"[228153,198256,25367.5,23566.5]","[1.81987,1.82334,1.19513,2.37148]","[-1.29834,2.59662,-0.973747,2.71819]","[722778,630043,46061.2,127449]","[1,0.998235,0.988588,0.990372]","[0,15,0,0]","[0,1,0,0]","[-0.804627,-0.280131,0.0854548,-0.404794]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255609]","[1.81176]","[-1.29446]","[803549]","[23644]","[0]","[2.17031]","[0.675159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2482.29]",5346.76,"[6072.08,4286.41,3906.52,1925.45]","[]","[26011.1]","[]"
1051,284500,15643160,363491,0.106857,4.6049,4.36373e+06,1.1961,0.940174,0.988313,1,1,0.998184,1.00632,1,1,1,0,3,"[1,1,1]","[1,1,0]","[356327,65526.6,22517.9]","[0.365925,0.340285,0.479035]","[0.297513,0.773586,-0.647404]","[380450,69357.2,25151.3]","[-0.0109558,-0.0137787,-0.123291]","[-1,1,1]","[11,13,11]","[1,1,1]","[0,1326.29,0]","[-777.665,905.126,-698.576]","[-0.0150581,-0.00802385,0.0486958]","[2.30244,1.28569,0.969463]",107361,0.185407,2,"[415576,109865]","[-0.132533,-0.438739]","[-2.94472,-2.46111]","[420367,120958]","[1,1]","[0,0]","[0,0]","[-0.988668,0.46427]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[512961,388361]","[-0.241162,0.343657]","[-2.84802,0.252885]","[543059,419189]","[127206,79812.5]","[0,0]","[1.21012,0.354909]","[0.697569,0.0964788]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2106.86,252.541,96.5446]",16503.8,"[7315.84,3850.44]","[]","[15058.4,21232.6]","[]"
1209,284500,15552588,363491,0.1,4.6049,4.36373e+06,0.696077,1,0.986967,1,1,0.993233,0.964819,1,0,1,0,2,"[1,1]","[1,1]","[46695.3,37124.7]","[-0.481404,-0.224328]","[-2.65973,-2.8678]","[52211.5,38062.9]","[0.0249786,0.00578308]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1353.98,-1121.6]","[0.007568,0.0269227]","[0.961587,4.22467]",18651.7,-1.52778,4,"[428589,182980,153439,35054.2]","[-0.21142,-0.785275,-1.89078,2.48268]","[0.846099,-2.01082,-2.33064,2.78398]","[440347,243357,519904,211477]","[0.999637,0.997344,1,0.929886]","[0,0,15,0]","[0,0,1,0]","[-0.973872,-0.949942,0.0170121,-0.748271]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[443081]","[-0.151119]","[0.844463]","[450169]","[42590.5]","[0]","[1.83376]","[0.504066]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[87.2745,255.167]",4798.46,"[6346.06,7052.92,4638.41,3410.74]","[]","[17573.8]","[]"
