event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
228,284500,64638,363492,0.1,12.466,5.03926e+06,0.553627,1.01425,0.996303,1,1,0.995438,0.945492,1,0,1,0,2,"[1,1]","[1,0]","[61103.3,7918.93]","[-2.14116,-0.631257]","[0.958606,-1.2365]","[263563,9549.81]","[-0.0924745,-0.00472498]","[-1,1]","[13,11]","[1,1]","[0,0]","[-1157.3,386.867]","[0.0136079,0.0125579]","[1.94186,0.671579]",70668.7,-0.533032,3,"[594213,313033,129536]","[-0.85222,-1.26731,-1.73793]","[-2.71039,0.648834,0.281787]","[826317,600508,380252]","[0.993616,1,0.993143]","[0,0,0]","[0,0,0]","[-0.238993,-0.903896,-0.937117]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[595654,454393]","[-0.851658,-1.42455]","[-2.70366,0.555239]","[828032,1.007e+06]","[70198,127563]","[0,0]","[2.30046,1.30326]","[0.618852,0.751702]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[592.996,141.863]",3487.42,"[8017.12,5509.17,5083.8]","[]","[7067.19,42034.5]","[]"
269,284500,7515,363492,0.109465,12.466,5.03926e+06,1.26459,1,0.995833,1,1,0.998184,0.944176,1,0,1,0,1,"[1]","[1]","[73215.4]","[0.441886]","[-2.40755]","[80480.7]","[0.0691452]","[1]","[13]","[1]","[0]","[1247.83]","[0.0102549]","[1.20165]",466076,-2.07868,3,"[342188,222475,32572]","[0.681096,0.124566,2.20644]","[1.06751,0.948366,-2.13385]","[426134,226095,149740]","[0.989868,0.985395,0.992183]","[0,0,15]","[0,0,1]","[-0.868004,-0.560843,-0.519451]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[501865]","[0.427844]","[1.01206]","[569953]","[154890]","[0]","[0.880875]","[0.792331]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1404.24]",6717.34,"[5715.29,3241.3,1979.38]","[]","[22589.5]","[]"
1163,284500,555272,363492,0.135962,12.466,5.03926e+06,0.75088,1,0.992042,1,1,0.999155,0.923452,1,0,1,0,2,"[1,1]","[1,1]","[291736,24166.1]","[0.507414,0.657781]","[1.76067,-0.0361501]","[330105,29585.6]","[-0.0588226,-0.00837708]","[-1,1]","[13,13]","[1,1]","[0,0]","[1047.63,1005.31]","[0.0143387,0.00559488]","[2.76436,0.572578]",122705,2.19876,2,"[355326,39790.7]","[0.336818,-1.006]","[-1.2805,-1.77044]","[376649,61866.6]","[1,0.988894]","[0,0]","[0,0]","[-0.75481,-0.502562]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[367646]","[0.267724]","[-1.28122]","[381411]","[19727]","[0]","[1.44227]","[0.135691]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29033.5,150.029]",1675.16,"[4775.54,2695.32]","[]","[23626.2]","[]"
1651,284500,702415,363492,0.114748,12.466,5.03926e+06,0.351687,0.98458,1,1,1,0.993167,1.00582,1,1,0,0,1,"[1]","[1]","[101940]","[-0.130563]","[-1.4862]","[102810]","[0.0531025]","[-1]","[11]","[1]","[1151.14]","[-616.453]","[0.0345488]","[2.7855]",147967,-2.40669,5,"[268423,48173.4,42455.5,32446.2,21862.9]","[-0.371744,1.03094,1.85038,-2.41927,-1.01582]","[1.24984,-1.7162,-0.363442,-2.64255,1.20302]","[289914,76746.7,138648,183895,34431]","[1,0.992222,0.989384,0.983189,0.967491]","[0,15,0,0,0]","[0,1,0,0,0]","[-0.829816,0.673712,-0.219271,-0.850748,-0.972619]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270441]","[-0.390507]","[1.24347]","[294167]","[40788.7]","[0]","[1.30223]","[0.691272]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[320.686]",9872.42,"[7601.49,2669.77,2409.57,3793.12,2361.71]","[]","[6513.12]","[]"
1722,284500,5461,363492,0.1,12.466,5.03926e+06,1.25133,0.97921,1,1,1,0.953204,1.00192,1,1,0,0,1,"[1]","[1]","[61772.6]","[-0.423536]","[1.58348]","[67396.4]","[0.131805]","[-1]","[11]","[1]","[0]","[3058.6]","[0.00556792]","[0.468334]",293556,2.29128,4,"[251688,151220,44265.9,32798.9]","[-0.268502,-0.767347,-0.963329,0.513522]","[-1.08783,-0.627583,1.41429,-1.80494]","[262208,198438,66781.7,37699]","[0.998156,0.994722,1,0.973827]","[4,0,0,0]","[0,0,0,0]","[-0.826525,-0.66756,-0.934457,-0.857039]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[373840]","[-0.498085]","[-0.914606]","[443127]","[137730]","[0]","[0.795182]","[0.800007]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[366.059]",409.062,"[5101.14,3400.02,2444.57,1911.94]","[]","[58832.7]","[]"
1901,284500,716317,363492,0.120899,12.466,5.03926e+06,1.24168,0.97738,1,1,1,1.04748,1.00056,1,1,0,0,1,"[1]","[1]","[71758.7]","[0.517508]","[-1.47059]","[81584.1]","[-0.0108719]","[-1]","[11]","[1]","[0]","[41.4686]","[-0.0116793]","[1.58477]",429976,-2.02225,3,"[500433,48195.2,38038.6]","[0.998681,-0.0776841,2.14946]","[1.37635,-0.805031,0.285895]","[772132,48613.8,165480]","[0.996599,0.992635,0.981769]","[0,0,5]","[0,0,0]","[-0.223408,-0.715724,0.979147]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[493045]","[1.01359]","[1.38042]","[769164]","[25135.6]","[0]","[2.63253]","[0.70856]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[498.705]",1640.34,"[6806.85,1908.31,1968.52]","[]","[4730.66]","[]"
2048,284500,383445,363492,0.190696,12.466,5.03926e+06,1.24168,0.98413,0.995501,1,1,0.997677,0.99866,1,1,0,0,2,"[1,1]","[1,0]","[126126,103307]","[-0.814224,-1.0599]","[3.13575,-1.01622]","[170296,166973]","[-0.00650787,-0.0650911]","[1,-1]","[11,13]","[1,1]","[0,0]","[822.152,-272.093]","[-0.0404689,0.0128712]","[4.91348,2.1051]",107894,-1.91809,2,"[287781,32637.7]","[1.31028,2.42398]","[1.2305,-1.39813]","[572826,185792]","[0.980232,0.946151]","[0,0]","[0,0]","[-0.663564,-0.823723]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280861]","[1.30883]","[1.23526]","[558279]","[23479.4]","[0]","[2.38788]","[0.724098]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[985.328,434.521]",6515.18,"[10452.9,3894.15]","[]","[7905.59]","[]"
2133,284500,432324,363492,0.1,12.466,5.03926e+06,1.26205,1,0.998658,1,1,1.03037,0.990989,1,0,1,0,1,"[1]","[1]","[70009.6]","[-1.29316]","[0.725334]","[137172]","[0.00151443]","[-1]","[13]","[1]","[4959.41]","[14.8912]","[0.0168914]","[1.96695]",62624.9,2.76275,5,"[195385,123567,88667.3,65203.9,33138.4]","[-0.277846,0.282417,-0.725563,2.24876,0.629807]","[-1.24157,1.69222,-0.325991,2.64217,-2.39722]","[203853,130610,113443,312481,40419.2]","[0.991127,0.997105,0.998283,1,0.988402]","[0,5,0,0,0]","[0,0,0,0,0]","[-0.944026,0.999907,-0.862853,-0.879291,-0.766003]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260925]","[-0.45809]","[-0.997172]","[323758]","[146367]","[0]","[0.693358]","[0.784978]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1460.92]",12155.3,"[4749.02,3900.53,5347.24,4118.14,4097.5]","[]","[770.641]","[]"
2140,284500,438186,363492,0.101122,12.466,5.03926e+06,0.738662,0.98697,0.981571,1,1,0.998857,1.00582,1,1,1,0,2,"[1,1]","[1,1]","[188682,42856.6]","[-0.393802,-1.75907]","[0.0816989,0.412343]","[203502,128125]","[-0.00755501,-0.0361481]","[-1,1]","[11,13]","[1,1]","[0,1864.28]","[1330.79,-250.602]","[0.00257075,-0.00410928]","[0.40177,0.450594]",62868.7,0.345789,2,"[332370,74042.2]","[1.03537,-2.08128]","[-3.08994,-0.919625]","[527628,301404]","[0.999392,1]","[0,0]","[0,0]","[-0.567406,-0.928609]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[358005]","[1.0357]","[-3.08283]","[568223]","[21822]","[0]","[2.65218]","[0.416348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1039.23,225.281]",19152.6,"[7636.83,3589.86]","[]","[5636.69]","[]"
2269,284500,380434,363492,-1,12.466,5.03926e+06,1.21412,0.98697,1,1,1,0.998579,1.00582,1,1,0,0,1,"[0]","[1]","[361322]","[-0.419452]","[0.380309]","[393576]","[0.106316]","[1]","[11]","[1]","[0]","[5215.76]","[0.00245529]","[0.419275]",254232,-3.01717,2,"[133020,28700.5]","[-1.419,0.579098]","[-2.64471,-0.886246]","[291166,33963.3]","[0.996514,0.973784]","[0,0]","[0,0]","[-0.987956,-0.871902]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[385392]","[-0.374514]","[0.37692]","[412781]","[6002.86]","[0]","[24.914]","[0.38187]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4305.97]",13120.8,"[14614.6,2428.82]","[]","[2390.09]","[]"
