event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
138,284500,132400,363493,0.1,3.2286,1.72799e+06,1.26459,0.9823,1,1,1,0.998473,1.00632,1,1,0,0,1,"[1]","[1]","[110415]","[0.16843]","[-1.73659]","[111985]","[-0.00223541]","[-1]","[11]","[1]","[0]","[429.027]","[-0.00611867]","[0.917268]",138335,-2.26277,3,"[254837,57043.4,24094.9]","[0.37088,0.833042,-0.192505]","[1.01291,2.7696,0.853579]","[273004,78385.4,24974]","[0.99098,0.989353,0.997775]","[0,0,0]","[0,0,0]","[-0.86701,-0.119612,-0.553538]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252584]","[0.33653]","[1.01854]","[267269]","[11469.8]","[0]","[1.13722]","[0.41874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[623.801]",2583.25,"[5798.15,2547.96,2022.66]","[]","[1005.22]","[]"
179,284500,170877,363493,0.187216,3.2286,1.72799e+06,0.923924,0.96445,1,1,1,1.03671,1.00001,1,1,0,0,1,"[1]","[1]","[45706]","[-1.91341]","[1.83906]","[158228]","[-0.0512924]","[1]","[11]","[1]","[0]","[1315.56]","[-0.023612]","[0.644278]",244362,0.904264,3,"[478408,106048,89510]","[-0.761331,2.08578,1.57818]","[-1.83704,1.65732,1.58844]","[624551,433797,226383]","[0.99803,0.993313,0.989571]","[0,5,0]","[0,0,0]","[0.0232001,0.999964,-0.894611]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[467988]","[-0.778228]","[-1.83418]","[617280]","[18514.4]","[0]","[1.81769]","[0.146469]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[351.497]",4526.3,"[15453.5,1918.58,12431.6]","[]","[18594.3]","[]"
493,284500,101318,363493,0.105291,3.2286,1.72799e+06,0.75088,1,1.00325,1,1,0.99669,0.993677,1,0,1,0,1,"[1]","[1]","[34428.5]","[-1.42208]","[-0.533049]","[75517.8]","[0.0617599]","[1]","[13]","[1]","[0]","[-168.296]","[-0.0128717]","[1.40197]",305600,-1.69603,3,"[238437,63763.4,24833.2]","[-0.330392,-2.25134,-1.96706]","[1.66966,1.32306,0.702524]","[252206,306318,90600]","[0.999349,1,0.991901]","[0,0,0]","[0,0,0]","[-0.204301,-0.585225,-0.665413]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264360]","[-0.311609]","[1.67173]","[277637]","[13707.1]","[0]","[1.23556]","[0.496493]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[127.107]",276.188,"[3675.23,4551.47,2710.51]","[]","[7119.16]","[]"
585,284500,127857,363493,0.1,3.2286,1.72799e+06,0.738662,1,0.994378,1,1,0.996227,1.05401,1,0,1,0,1,"[1]","[1]","[245056]","[-0.834387]","[-0.387014]","[335425]","[0.0169067]","[1]","[13]","[1]","[0]","[-1253.56]","[-0.0225835]","[5.18382]",105396,-0.906313,4,"[270149,156777,63356.9,25917.2]","[-0.270493,0.359386,-1.34912,-1.21876]","[2.35035,2.83744,-1.61841,0.172743]","[283145,168263,130746,48090.1]","[0.997958,0.995389,0.995884,0.917055]","[0,0,0,0]","[0,0,0,0]","[-0.85556,-0.731908,-0.835605,-0.886521]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[410332]","[-0.0746378]","[2.52502]","[443804]","[166283]","[0]","[1.00605]","[0.684603]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1536.49]",28745.2,"[7555.01,3452.6,2867.34,2543.71]","[]","[22452.7]","[]"
658,284500,171787,363493,0.117925,3.2286,1.72799e+06,1.55465,0.96654,1,1,1,0.998126,0.9995,1,1,0,0,1,"[1]","[1]","[76850.8]","[2.08837]","[-2.93649]","[314921]","[0.0289421]","[-1]","[11]","[1]","[0]","[229.307]","[-0.0196715]","[1.838]",455319,-2.76638,3,"[341307,275124,237685]","[-1.18771,1.99637,1.5563]","[-0.762835,1.27024,0.725684]","[612084,1.0315e+06,590252]","[0.995631,0.999882,0.987522]","[0,0,0]","[0,0,0]","[0.369038,-0.877568,-0.629149]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[477986,328090]","[1.85885,-1.19738]","[1.04887,-0.762825]","[1.58158e+06,593215]","[185115,23156.4]","[0,0]","[0.797021,1.91916]","[0.618395,0.388757]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[340.234]",12682.7,"[5230.57,8565.9,10622.5]","[]","[48407.1,14527.9]","[]"
775,284500,106674,363493,0.116542,3.2286,1.72799e+06,1.1961,1,1.0013,1,1,0.997075,0.968455,1,0,1,0,1,"[1]","[1]","[571037]","[1.08794]","[2.05614]","[943655]","[-0.0280609]","[-1]","[13]","[1]","[0]","[334.651]","[-0.00506556]","[1.26014]",64297.4,-0.711999,2,"[505650,20927]","[0.801203,0.0544455]","[-1.08312,-2.39617]","[681146,21188.7]","[1,0.903476]","[0,0]","[0,0]","[-0.753955,-0.783529]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[496057]","[0.822286]","[-1.08144]","[677114]","[70553.5]","[0]","[1.16253]","[0.804598]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29379.5]",10181.9,"[12508.7,1429.67]","[]","[3817.25]","[]"
960,284500,95295,363493,0.1,3.2286,1.72799e+06,1.24168,1,0.999512,1,1,0.997679,0.984584,1,0,1,0,1,"[1]","[1]","[147969]","[1.08382]","[-0.243199]","[243722]","[0.0479012]","[-1]","[13]","[1]","[0]","[-780.609]","[0.00898228]","[1.56145]",92053.6,-0.550067,3,"[283692,69322.9,32998.6]","[-0.804364,0.759323,2.05232]","[2.57709,-0.835446,-2.59449]","[381063,90493,130676]","[0.998491,1,0.973922]","[0,0,0]","[0,0,0]","[-0.920248,-0.733773,-0.735318]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292317]","[-0.796157]","[2.57698]","[390497]","[20474.1]","[0]","[0.966512]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2269.75]",6677.59,"[8027.21,2204.38,2088.96]","[]","[29313.4]","[]"
1236,284500,110357,363493,0.1,3.2286,1.72799e+06,1.21412,0.97921,1,1,1,0.960908,1.00192,1,1,0,0,1,"[1]","[1]","[78952.5]","[-0.493873]","[2.06123]","[88778.5]","[-0.0830307]","[1]","[11]","[1]","[0]","[805.344]","[0.020386]","[1.08626]",183794,-2.567,4,"[289430,170982,27690.8,23437.5]","[-1.51077,-1.24601,-1.67347,0.439564]","[-0.55102,1.91024,1.42018,-2.08649]","[687664,322760,76475.9,26181]","[0.998942,0.993152,0.989271,0.991075]","[0,4,0,0]","[0,0,0,0]","[-0.889346,-0.877549,-0.869083,-0.653967]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[298112,270571]","[-1.51924,-1.11031]","[-0.554101,1.92917]","[713707,471358]","[10802.5,122350]","[0,0]","[2.3679,1.28471]","[0.615711,0.661024]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1283]",5129.56,"[6827.94,9858.18,2618.45,2704.07]","[]","[21855.8,5243]","[]"
1303,284500,130179,363493,0.342606,3.2286,1.72799e+06,0.696077,0.98536,1,1,1,1.81997,0.9918,1,1,0,0,1,"[1]","[1]","[85351.1]","[-0.68369]","[2.94148]","[106088]","[0.11909]","[1]","[11]","[1]","[0]","[1236.3]","[0.0404603]","[5.29739]",129660,0.231074,5,"[672646,649412,64458,20409.3,20311.6]","[0.894319,0.181254,0.108432,-1.77758,-2.18492]","[-0.745822,2.28785,-1.60308,1.26577,-0.517846]","[960600,661845,65420.1,62255,91563.9]","[0.99265,0.996671,1,0.632142,0.831366]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.514932,-0.811783,0.555623,0.973963,-0.746187]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[674569,655544]","[0.901645,0.189302]","[-0.746478,2.29074]","[968304,669572]","[29428,54815.3]","[0,0]","[3.66287,2.92758]","[0.486856,0.701831]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[528.924]",1409.38,"[16276.4,16000.9,2343.12,3209.61,415.888]","[]","[1984.62,29782.1]","[]"
1329,284500,163084,363493,0.145072,3.2286,1.72799e+06,0.187531,1,0.998419,1,1,1.03097,0.987726,1,0,1,0,1,"[1]","[1]","[82501.4]","[-2.11766]","[-1.91147]","[347826]","[0.00605011]","[1]","[13]","[1]","[1766.01]","[-136.678]","[-0.0178296]","[1.57663]",224833,-2.57734,4,"[263336,52803.1,29690.7,23901.4]","[-1.50097,-0.929692,-1.9631,-1.37278]","[0.769295,1.36898,-1.09552,-1.36852]","[620416,77757.1,107864,50527.9]","[0.997336,0.993152,0.993771,0.95679]","[0,0,5,5]","[0,0,0,0]","[-0.936052,-0.943914,0.985848,0.997761]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[350535]","[-1.44578]","[0.802773]","[795371]","[126024]","[0]","[2.24138]","[0.506869]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2283.63]",4761.33,"[10999.1,3800.91,1619.23,1219.27]","[]","[34243.6]","[]"
