event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,327170,410026,1.26471e-09,1.28866,0.00027783,0.75088,1,0.995319,1,1,1.00755,0.909105,1,0,1,0,1,"[1]","[1]","[70163]","[-0.446873]","[2.53328]","[77286.1]","[-0.00884247]","[-1]","[13]","[1]","[0]","[-1047.7]","[0.0137831]","[2.45973]",123734,3.08236,6,"[532802,504205,308956,53552.7,28889.3,25780.7]","[-0.459654,-0.728119,-0.238481,1.23962,1.44353,0.273668]","[-1.03339,1.10713,3.06797,-2.69217,-1.11214,-1.17818]","[590540,644898,318739,100369,65078.7,27536.5]","[0.994567,0.985534,0.991399,0.99442,0.967679,0.985054]","[0,5,5,0,0,0]","[0,1,1,0,0,0]","[-0.690606,0.652668,0.986439,-0.670145,-0.627079,-0.61618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[501482,497560,291214]","[-0.773976,-0.505656,-0.290787]","[1.10601,-1.03627,3.06568]","[660001,562568,303849]","[29626.2,5826.64,11985.7]","[0,0,1]","[3.25252,0.405003,0.232245]","[0.679546,-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[979.344]",8748.52,"[6441.2,5321.32,4068.86,3265.54,2246.83,5350.61]","[]","[5103.31,23221.7,0]","[]"
1,284500,347320,410026,1.26633e-09,1.28866,0.00027783,0.923924,0.97446,1,1,1,1.04427,0.98483,1,1,0,0,1,"[0]","[1]","[53387.9]","[-0.263961]","[2.91045]","[55258.6]","[0.070776]","[-1]","[11]","[1]","[0]","[5100.49]","[0.0106205]","[1.35499]",229324,2.51807,6,"[415915,111371,90211.6,24037.1,22797.9,20450.4]","[1.54057,-0.589243,-0.881062,1.94287,2.01585,0.307043]","[-0.563689,1.62049,3.0309,-0.187687,-2.05598,-2.57819]","[1.01597e+06,131973,128239,85732,87158.5,21740.6]","[0.996008,0.993839,0.990275,0.995901,0.996923,0.843611]","[0,5,5,0,0,0]","[0,1,1,0,0,0]","[-0.962952,0.998929,0.998833,-0.13206,-0.904711,-0.874307]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[392866]","[1.52635]","[-0.573065]","[946869]","[24818.7]","[0]","[2.14106]","[0.670172]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[93.8985]",30220.4,"[28472.4,5268.06,3668,1940.39,1615.96,1146.33]","[]","[9368.75]","[]"
2,284500,256514,410026,1.26447e-09,1.28866,0.00027783,1.55465,0.99211,1,1,1,1.21166,0.9918,1,1,0,0,1,"[1]","[1]","[159062]","[-0.697905]","[-1.60764]","[199398]","[0.0381823]","[-1]","[11]","[1]","[0]","[-398.348]","[-0.01431]","[1.91311]",124740,-0.2388,8,"[301081,278762,118252,67329.5,50992.6,48013.7,44124.5,38933.7]","[-0.290891,-0.980418,0.993117,0.263708,-1.07522,1.20943,-1.0624,0.289158]","[-1.7047,1.45275,1.96809,0.594261,2.01646,2.9105,-2.47972,2.80123]","[314026,424213,181771,70134,83570,88101.5,71889.8,41413.3]","[0.968545,0.994874,0.999832,1,1,0.962143,0.988548,0.995503]","[5,5,0,4,4,0,0,0]","[1,1,0,0,0,0,0,0]","[0.970815,0.670155,-0.690836,-0.075949,0.938643,-0.833205,-0.914321,-0.867621]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[467630,300092]","[-0.438884,-1.0083]","[-1.67249,1.52648]","[522397,472564]","[96564.8,78442.4]","[1,0]","[0.0140787,1.2081]","[0.354583,0.584011]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[965.949]",29375.8,"[9837.6,2840.31,3308.66,1699.66,3347.75,2709.73,2594.02,5963.41]","[]","[51118.2,6876.59]","[]"
3,284500,257015,410026,1.26347e-09,1.28866,0.00027783,0.164755,0.96194,1,1,1,0.975084,1.01532,1,1,0,0,1,"[1]","[1]","[58791.8]","[2.25735]","[-0.393082]","[284033]","[-0.025547]","[-1]","[11]","[1]","[3302.21]","[757.906]","[0.0113689]","[0.802477]",34258.1,2.47953,5,"[406873,345429,86393.4,25676.2,20786.6]","[0.769616,-0.478052,1.71451,2.2461,1.86308]","[-2.21987,0.703806,2.11455,2.8046,0.568263]","[534731,386429,247838,122775,68728.8]","[0.998572,0.922177,1,0.966003,0.993528]","[5,0,5,0,0]","[1,0,1,0,0]","[0.965153,0.411159,0.99905,-0.869616,-0.709973]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[445332,319234]","[0.778526,-0.47388]","[-2.21674,0.70209]","[588482,356211]","[38120.2,18036.2]","[0,0]","[2.05717,1.53187]","[0.765678,0.398469]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[193.84]",19.2148,"[10623.4,8304.71,1684.69,7460.35,3015.36]","[]","[28046,42508.2]","[]"
4,284500,420547,410026,1.26432e-09,1.28866,0.00027783,1.22586,0.96615,1,1,1,1.03321,0.98962,1,1,0,0,1,"[1]","[1]","[61203.5]","[1.15535]","[1.31045]","[106803]","[-0.02005]","[-1]","[11]","[1]","[0]","[-879.052]","[-0.0329788]","[3.17105]",32893.5,-2.51545,3,"[548846,134595,53088.5]","[0.235882,1.79699,1.82606]","[-2.60469,0.384485,-0.631214]","[565898,417227,169260]","[0.968642,1,0.997631]","[0,0,5]","[0,0,1]","[-0.948689,-0.920073,0.998333]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[560050]","[0.289618]","[-2.60284]","[585706]","[48397]","[0]","[2.50185]","[0.676464]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[253.879]",11285,"[15406,9369.58,2220.36]","[]","[50120.9]","[]"
5,284500,420550,410026,1.26432e-09,1.28866,0.00027783,1.22586,0.99093,1,1,1,0.987323,1.00306,1,1,0,0,1,"[1]","[1]","[85935]","[0.815223]","[2.90702]","[116108]","[-0.0217361]","[-1]","[11]","[1]","[0]","[-317.469]","[-0.0396401]","[4.0292]",115124,2.72962,3,"[244256,87612.9,25984]","[0.92312,0.291298,-1.86534]","[-0.626669,1.85458,-0.529359]","[356296,91962,86070.6]","[0.993139,0.982505,0.991668]","[5,5,0]","[1,1,0]","[0.952594,0.934921,-0.704078]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250630]","[0.96096]","[-0.621469]","[375799]","[14063.6]","[0]","[0.662685]","[0.0631578]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[406.63]",3201.85,"[3636.93,3145.38,4430.51]","[]","[8289.89]","[]"
6,284500,214984,410026,1.26328e-09,1.28866,0.00027783,1.74563,1,0.995063,1,1,0.977484,0.955122,1,0,1,0,1,"[1]","[1]","[67199.1]","[-0.827803]","[2.61798]","[91568.8]","[0.0442619]","[-1]","[13]","[1]","[0]","[-458.521]","[0.0174038]","[2.95014]",60236.3,0.602456,3,"[272283,211607,100112]","[-1.03379,-1.0132,-1.6763]","[0.235312,-2.50638,3.05429]","[431616,331938,277067]","[1,0.989259,0.991639]","[4,5,5]","[0,1,1]","[0.680776,0.961598,0.998302]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282577]","[-1.04988]","[0.233822]","[453310]","[11868]","[0]","[2.67424]","[0.51695]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[300.557]",29085.2,"[6959.86,3338.5,4276.83]","[]","[2550.19]","[]"
7,284500,431273,410026,1.26261e-09,1.28866,0.00027783,0,0.98458,1,1,1,0.98794,1.00582,1,1,0,0,1,"[1]","[1]","[124417]","[-0.392505]","[-1.17944]","[134124]","[-0.119846]","[-1]","[11]","[1]","[0]","[62.127]","[0.00477804]","[0.576323]",261742,-0.778764,2,"[416922,37053.8]","[-1.17364,-1.30815]","[2.35938,-0.0569638]","[739177,73796.8]","[0.992455,1]","[5,5]","[1,1]","[0.952781,0.999717]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[418695]","[-1.16296]","[2.36554]","[735680]","[26111.5]","[0]","[1.74829]","[0.442819]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[604.812]",7334.05,"[11617.8,5433.79]","[]","[6080.44]","[]"
8,284500,392262,410026,1.26779e-09,1.28866,0.00027783,0.696077,0.97062,1,1,1,0.968722,0.98871,1,1,0,0,1,"[1]","[1]","[73434.7]","[-0.788124]","[1.41954]","[97446.5]","[0.0229111]","[-1]","[11]","[1]","[0]","[1869.29]","[-0.014244]","[2.05196]",48074.7,2.9622,3,"[367304,349008,117765]","[-0.49303,-1.50277,-1.65187]","[1.70578,-1.24028,-1.93589]","[413998,823642,318955]","[0.995103,0.996909,0.998447]","[5,0,5]","[1,0,1]","[0.993325,-0.722071,0.993838]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[469197,408932]","[-0.512256,-1.5658]","[1.65739,-1.37955]","[538716,1.02981e+06]","[84074.6,131404]","[1,0]","[1.45948,0.901021]","[0.590938,0.788676]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[187.017]",372.27,"[5270.94,4972.39,1558.06]","[]","[4429.03,268.719]","[]"
9,284500,393497,410026,1.26625e-09,1.28866,0.00027783,0.75088,0.96217,1,1,1,0.919088,0.97553,1,1,0,0,1,"[1]","[1]","[48549.1]","[0.0533757]","[-1.76004]","[48618.3]","[-0.0388908]","[-1]","[11]","[1]","[0]","[-9.07892]","[-0.0230557]","[1.76554]",141165,-2.65418,3,"[344822,228800,39827.9]","[0.837517,-0.425806,1.43602]","[1.07881,-2.16619,0.850063]","[473578,250684,88605.7]","[1,0.995599,1]","[5,5,0]","[1,1,0]","[0.937055,0.999853,-0.949266]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[367348,290922]","[0.905983,-0.333621]","[1.06568,-2.08551]","[532352,315606]","[62179.6,72087.3]","[0,1]","[2.68541,1.25245]","[0.548339,0.559746]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[75.0994]",10713.6,"[3258.66,13518.3,7125.8]","[]","[1932.59,30091.3]","[]"
