event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,2698613,410012,2.75104e-08,26.276,0.128695,0.696077,1,0.995146,1,1,1.03392,1.00447,1,0,1,0,1,"[1]","[1]","[218292]","[1.4776]","[-1.13278]","[503227]","[0.029335]","[-1]","[13]","[1]","[1258.26]","[-592.073]","[-0.00744448]","[1.45651]",53630.2,-1.33463,3,"[173239,85629.3,32549.3]","[1.53203,1.17817,-0.417095]","[2.03151,1.65128,2.80811]","[421028,152787,35627.9]","[1,0.990226,0.999973]","[5,0,0]","[1,0,0]","[0.586102,-0.606018,-0.908982]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253893]","[1.42306]","[1.9075]","[561527]","[68029.2]","[0]","[1.20479]","[0.693829]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3150.63]",912.43,"[3298.87,4276.13,2144.85]","[]","[9489.55]","[]"
4,284500,4415465,410012,-2.75104e-08,26.276,0.128695,1.21412,0.9823,1,1,1,0.972162,1.00632,1,1,0,0,1,"[1]","[1]","[121322]","[0.212764]","[2.66926]","[124078]","[0.0511169]","[-1]","[11]","[1]","[1251.65]","[-3.46771]","[-0.0236874]","[3.52599]",19805.9,-0.357229,4,"[274572,116660,98600.2,23224.2]","[-0.542084,0.445978,1.99093,-1.39496]","[-0.868416,1.55664,2.81929,0.399559]","[316993,129746,367847,49940.2]","[0.999889,0.994263,1,0.876577]","[5,5,0,0]","[1,1,0,0]","[0.999067,0.94955,-0.900364,-0.643259]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284545]","[-0.581665]","[-0.895855]","[336264]","[38502]","[0]","[2.48049]","[0.568591]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[464.862]",4310.78,"[3016.23,4397.7,2617.22,1711.49]","[]","[7475.81]","[]"
5,284500,4415778,410012,2.75104e-08,26.276,0.128695,1.25133,0.9652,1,1,1,1.02261,0.98592,1,1,0,0,1,"[1]","[1]","[67283.4]","[-1.1944]","[-2.68193]","[121261]","[-0.0364761]","[-1]","[11]","[1]","[0]","[-780.01]","[-0.0147287]","[1.62495]",70924.8,-2.95413,4,"[334283,188990,94202.9,29033]","[0.436384,-2.39195,-1.5059,1.94457]","[0.215207,2.85554,-1.86743,0.836748]","[367977,1.04204e+06,223137,103630]","[0.980774,0.995107,0.990632,1]","[0,5,0,0]","[0,1,0,0]","[-0.511311,0.406657,0.142461,-0.869599]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[320863]","[0.467005]","[0.20901]","[358313]","[36079]","[0]","[1.69317]","[0.558374]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[389.067]",6998.08,"[4768.08,7599.32,3176.62,3375.84]","[]","[11186.9]","[]"
9,284500,2697894,410012,2.75104e-08,26.276,0.128695,0,1,0.991474,1,1,0.997474,0.753185,1,0,1,0,1,"[1]","[1]","[44805.1]","[-0.267714]","[-3.06085]","[46420.5]","[0.11031]","[-1]","[13]","[1]","[0]","[-637.911]","[-0.0123765]","[1.932]",135397,2.42934,4,"[303907,66848,60540.5,24269.8]","[1.15053,-1.34965,-1.31802,-1.20763]","[-0.537812,2.07262,2.68188,-3.03926]","[528706,137663,121443,44530.5]","[0.993685,0.990303,0.986477,0.989117]","[0,0,0,0]","[0,0,0,0]","[-0.88398,-0.960657,-0.933869,0.0396818]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284341]","[1.16522]","[-0.542271]","[500491]","[16280.5]","[0]","[2.06189]","[0.671398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[522.568]",18686.1,"[5276.15,8865.99,6273.75,1426.93]","[]","[20385.1]","[]"
11,284500,2697847,410012,2.75104e-08,26.276,0.128695,0,1,0.992069,1,1,0.943808,0.824273,1,0,1,0,1,"[1]","[1]","[64704.4]","[0.294551]","[-1.04103]","[67531.8]","[-0.0445442]","[-1]","[13]","[1]","[0]","[1130.18]","[-0.00387486]","[0.593725]",119092,-0.753379,4,"[319208,83883.1,44518.5,34349.8]","[-1.83083,-0.00732892,1.97512,2.33704]","[2.68706,0.288064,0.061833,-1.10545]","[1.02166e+06,84629.7,163802,179575]","[0.996237,0.999854,0.997324,0.999218]","[0,5,5,0]","[0,1,1,0]","[-0.785874,0.448021,0.999977,-0.294226]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[314273]","[-1.83882]","[2.6868]","[1.01394e+06]","[37964.4]","[0]","[2.69969]","[0.741021]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[885.701]",9804.45,"[6101.02,7237.37,4603.17,2252.56]","[]","[1292.91]","[]"
15,284500,4350286,410012,2.75104e-08,26.276,0.128695,1.22586,0.97446,1,1,1,0.954856,0.98483,1,1,0,0,1,"[0]","[1]","[51662.8]","[-0.464463]","[-2.388]","[57336.2]","[0.00550413]","[-1]","[11]","[1]","[0]","[2179.45]","[0.0514526]","[2.00852]",44424.1,-2.36484,8,"[301711,167036,149871,143425,71073.6,68774,34683.9,22844.3]","[-0.914154,0.958346,-2.41734,-0.818427,0.811064,-0.588807,-0.135378,0.758209]","[-2.92971,0.769132,1.31496,-1.00995,-0.736468,0.103178,2.30674,0.295289]","[437437,250530,847276,195619,96297,81893.9,35436.7,29918.2]","[1,0.993476,0.995041,0.991057,0.987454,0.993675,0.997594,0.967712]","[5,0,0,5,0,0,0,0]","[1,0,0,1,0,0,0,0]","[0.999131,-0.934723,-0.702378,0.99139,-0.495581,-0.588797,-0.499604,-0.516245]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[358938]","[-0.867962]","[-2.85758]","[513583]","[104462]","[1]","[1.02468]","[0.672864]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[581.714]",15834.8,"[3688.53,9760.22,5332.58,1380.42,3085.67,1968.05,6778.06,2017.04]","[]","[4195.22]","[]"
16,284500,4355448,410012,2.75104e-08,26.276,0.128695,1.55465,0.96654,1,1,1,1.08348,0.99197,1,1,0,0,1,"[0]","[1]","[30057.5]","[-0.278042]","[-0.893112]","[31226.9]","[-0.00261688]","[-1]","[11]","[1]","[0]","[-198.419]","[-0.0430412]","[4.15549]",26342,2.67416,4,"[216665,189755,122960,55073.7]","[0.598238,0.411109,-0.0133005,1.47178]","[-2.28784,0.822603,1.19592,-1.76111]","[256824,206494,123399,126694]","[1,0.812926,0.999987,1]","[0,5,5,0]","[0,1,1,0]","[-0.247061,-0.391875,0.966619,-0.394044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295237]","[0.269814]","[0.962685]","[317836]","[85754.8]","[1]","[0.551272]","[0.577221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[74.9884]",3612.26,"[5213.65,2549.76,4031.33,2327.87]","[]","[7365.19]","[]"
18,284500,4376126,410012,2.75104e-08,26.276,0.128695,0.696077,1,0.996303,1,1,0.975146,0.996049,1,0,1,0,1,"[1]","[1]","[134574]","[-2.13642]","[0.592004]","[577806]","[0.108959]","[-1]","[13]","[1]","[0]","[-444.952]","[-0.00791644]","[1.45075]",50558.8,1.23476,2,"[195970,31226.5]","[-1.1335,-0.540583]","[-2.47905,-0.200821]","[336441,36899.3]","[0.99,0.994016]","[5,0]","[1,0]","[0.869134,-0.560562]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252534]","[-1.22517]","[-2.53118]","[468320]","[35248.3]","[0]","[1.86018]","[0.701042]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3776.95]",1711.61,"[2886.38,2246.23]","[]","[721.938]","[]"
19,284500,4415282,410012,2.75104e-08,26.276,0.128695,1.26205,0.96787,1,1,1,0.969762,0.98743,1,1,0,0,1,"[1]","[1]","[92132.9]","[-0.077073]","[3.05483]","[92406.7]","[-0.0160046]","[-1]","[11]","[1]","[0]","[4762.62]","[-0.0158102]","[2.30479]",116100,2.86454,4,"[257261,54356.4,37418.2,20946.5]","[-1.05943,1.47152,-0.180229,-2.29012]","[-0.36151,-1.27145,1.49679,1.92568]","[416131,125057,38525,104589]","[0.986664,0.965396,0.992178,0.978555]","[5,0,5,5]","[1,0,1,0]","[0.993392,-0.949809,0.9859,0.969911]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281055]","[-1.04766]","[-0.351479]","[450679]","[25929.6]","[0]","[3.59899]","[0.643813]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[622.747]",31670.8,"[7640.91,2348.06,1245.13,1244.65]","[]","[18477.8]","[]"
21,284500,1426190,410012,2.75104e-08,26.276,0.128695,1.1961,0.97538,1,1,1,1.06786,1.01508,1,1,0,0,1,"[1]","[1]","[112364]","[-1.58506]","[2.04009]","[285658]","[0.0433064]","[-1]","[11]","[1]","[0]","[-626.719]","[0.0461968]","[2.52821]",212659,2.34977,6,"[379807,227628,75001.4,66875.4,59673,51920.7]","[-1.86768,-1.42846,0.838566,2.40541,-1.7321,-1.28664]","[-0.656901,-2.82685,0.410972,0.574602,-1.81043,1.30576]","[1.25893e+06,504188,103490,373623,173991,101457]","[0.999013,0.998138,0.990727,0.967741,0.995473,0.972323]","[0,0,5,0,0,5]","[0,0,1,0,0,1]","[-0.878715,-0.964665,0.999984,-0.438413,-0.886435,0.994269]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[382932]","[-1.86438]","[-0.658298]","[1.26521e+06]","[22824.8]","[0]","[3.42688]","[0.659411]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1742.91]",13240.5,"[10557.7,10413,6946.3,2738.33,3593.04,7105.48]","[]","[14494.9]","[]"
