event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
12,284500,18262,410014,1,35.8244,4.9856e+06,1.24168,1,1.00032,1,1,0.986912,1.01444,1,0,1,0,1,"[1]","[1]","[29251.3]","[-1.5943]","[-3.09313]","[74999.5]","[0.0921936]","[1]","[13]","[1]","[1418.72]","[2459.48]","[-0.0185428]","[2.0018]",43846.8,2.72284,3,"[269384,143953,23604.5]","[0.942826,-1.77296,-0.390121]","[0.277913,-2.7097,-1.5064]","[399643,436535,25669.9]","[1,0.978168,0.992034]","[0,5,0]","[0,1,0]","[-0.765114,0.765603,-0.832393]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272194]","[0.932261]","[0.286829]","[401053]","[37500.1]","[0]","[1.69648]","[0.74139]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[140.105]",1514.5,"[5246.56,3578.72,2455.27]","[]","[8566.75]","[]"
16,284500,37159,410014,1,35.8244,4.9856e+06,1.26205,0.97695,0.994187,1,1,1.06947,0.98743,1,1,1,0,2,"[1,1]","[1,1]","[210882,74813.6]","[-0.0677219,0.254328]","[-2.86958,-0.671349]","[211366,77246.3]","[-0.160145,0.0919609]","[1,-1]","[11,13]","[1,1]","[0,0]","[3027.97,-668.608]","[-0.00236504,0.00523334]","[0.356942,0.651291]",112485,-2.63901,4,"[195896,85554.8,73740.9,54753.9]","[0.267052,-1.90381,-0.738896,-0.0633638]","[0.829129,0.436074,-2.06747,0.239873]","[203664,293634,95625.9,55485.9]","[0.998497,1,0.991019,0.988998]","[0,0,5,5]","[0,0,1,1]","[-0.904522,-0.844329,0.998614,0.999988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269959]","[-0.213021]","[-2.71927]","[299150]","[115131]","[1]","[0.590604]","[0.601886]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2293.27,905.472]",18589.9,"[3821.15,4814.17,2072.62,6187.99]","[]","[3159.31]","[]"
21,284500,37660,410014,1,35.8244,4.9856e+06,0.75088,1,0.992954,1,1,1.19211,0.954494,1,0,1,0,1,"[1]","[1]","[82705.4]","[0.685278]","[3.07603]","[102897]","[-0.0048542]","[-1]","[13]","[1]","[2984.7]","[919.08]","[-0.0029181]","[0.472614]",145554,2.57938,6,"[462440,310750,176581,110089,63084.5,23000.3]","[-0.0266711,0.700592,-0.510981,1.14634,0.52683,-0.718718]","[-2.17729,0.444182,0.133937,2.26396,0.0535072,0.574187]","[463998,394065,204399,190931,72279.9,29650.3]","[0.991212,1,0.998099,0.994978,0.996958,0.993647]","[0,4,0,5,0,0]","[0,1,0,1,0,0]","[-0.97169,0.965934,-0.838755,0.999993,-0.923086,-0.179603]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[432466,357324]","[-0.0246612,0.666916]","[-2.18385,0.379141]","[432862,447217]","[15129.4,81232.6]","[0,1]","[2.20832,1.07953]","[0.467673,0.652493]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[902.965]",5788.59,"[6600.23,8982.54,4225.57,5208.99,2585.6,1674.93]","[]","[10002.9,10843.6]","[]"
34,284500,317509,410014,1,35.8244,4.9856e+06,1.1961,1,0.994392,1,1,1.09923,0.85293,1,0,1,0,1,"[1]","[1]","[525391]","[0.228457]","[-2.44532]","[539162]","[0.0430965]","[1]","[13]","[1]","[0]","[-271.946]","[-0.0186661]","[3.96673]",65966.3,2.62688,3,"[373559,88252.2,74145.1]","[-0.0969783,-0.512073,0.47565]","[0.507758,0.758349,0.94747]","[375988,100391,83343.2]","[0.97229,1,0.994903]","[5,0,0]","[1,0,0]","[0.610695,-0.932798,-0.793009]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[479619]","[-0.115138]","[0.601983]","[513779]","[175703]","[1]","[1.99837]","[0.239338]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[68459.5]",11335.6,"[3594.3,2171.88,2951.83]","[]","[16962]","[]"
45,284500,270312,410014,1,35.8244,4.9856e+06,0.923924,0.97994,1,1,1,0.873811,1.00632,1,1,0,0,1,"[1]","[1]","[356979]","[0.567394]","[0.168643]","[415999]","[-0.0233479]","[1]","[11]","[1]","[0]","[-127.208]","[0.00595335]","[0.665191]",34767.5,1.99883,6,"[218456,132621,67188.6,35302.6,32948.5,29131.4]","[-0.0669732,-0.0441738,0.862381,1.22011,1.75746,1.42571]","[2.64738,-1.83014,-2.87328,-1.04875,-2.66355,3.11266]","[219434,133135,93989.3,65266.7,98425.4,64412.6]","[0.995043,0.994502,1,0.96526,0.979704,0.693926]","[5,0,5,0,0,4]","[1,0,1,0,0,1]","[0.985414,-0.892452,-0.936066,-0.299092,-0.543639,-0.690694]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[368098]","[0.588246]","[0.16362]","[433652]","[2721.63]","[1]","[9.44094]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2216.94]",4194.4,"[3323.68,2000.57,1442.63,2166.99,2292.51,1149.36]","[]","[21340.1]","[]"
49,284500,295850,410014,1,35.8244,4.9856e+06,1.22586,0.98916,1,1,1,0.964099,0.99765,1,1,0,0,1,"[1]","[1]","[99286.5]","[0.618755]","[-3.10182]","[118907]","[-0.0204639]","[-1]","[11]","[1]","[0]","[-1168.4]","[0.0169978]","[1.95516]",192568,-3.13686,6,"[195318,98455.5,28317.5,25209,22852.2,21897.8]","[0.178408,0.237356,-1.87793,-1.26789,-0.158455,-0.750462]","[0.127185,-0.443147,1.74503,0.419176,0.759385,-1.95894]","[199135,101534,94927.5,48524.7,23769,28595.4]","[0.923407,0.995271,0.993938,0.962987,0.690541,1]","[4,0,0,0,0,5]","[1,0,0,0,0,1]","[0.798134,-0.87977,-0.80683,-0.86045,-0.100692,0.995023]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274661]","[0.186613]","[-0.068184]","[294032]","[91422.7]","[1]","[0.660423]","[0.639432]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[704.584]",11550.2,"[11492.5,3099.37,4264.51,3196.14,4276.11,2570.08]","[]","[16381.6]","[]"
52,284500,327218,410014,1,35.8244,4.9856e+06,0.923924,0.98916,1,1,1,0.906544,0.99765,1,1,0,0,1,"[1]","[1]","[134973]","[0.683828]","[2.03583]","[167780]","[0.022213]","[1]","[11]","[1]","[1407.21]","[-435.845]","[0.0119172]","[1.88248]",164195,1.58105,5,"[553691,81956.1,54491.4,48639.3,44754.4]","[-1.32652,-0.558478,-1.87883,-2.13773,0.0613303]","[-1.16347,2.66504,2.36134,1.3086,-2.78188]","[1.11823e+06,95687.6,182694,209235,45124.1]","[0.987116,0.999933,1,0.995582,0.984072]","[0,0,0,0,5]","[0,0,0,0,1]","[-0.943804,-0.684866,-0.88373,0.114094,0.0772227]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[530799]","[-1.33287]","[-1.16773]","[1.07768e+06]","[53292.8]","[0]","[1.16168]","[0.529723]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1192.33]",11138.1,"[20512.4,4317.68,3098.98,3988.66,6704.37]","[]","[47846.1]","[]"
65,284500,12524,410014,1,35.8244,4.9856e+06,0.75088,0.9823,1,1,1,0.998226,1.00632,1,1,0,0,1,"[1]","[1]","[149225]","[0.53321]","[-1.5687]","[170946]","[0.031044]","[1]","[11]","[1]","[3566.98]","[-1655.99]","[-0.0462757]","[3.25461]",104159,-0.712141,6,"[200686,103969,66129.6,42134.4,40536.8,31817.4]","[0.184198,0.103063,1.28627,-0.961449,0.751206,0.725002]","[1.23743,1.80443,-1.83678,2.86338,1.91845,-2.6951]","[205349,105246,129176,63469.7,53020.8,40859]","[0.998981,0.995958,0.99832,0.763322,0.835538,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.905975,-0.90833,-0.892926,0.0784985,-0.931891,-0.797866]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[308134]","[0.240317]","[1.45814]","[334249]","[105764]","[1]","[1.37726]","[0.433862]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[853.287]",8381.63,"[5796.95,1976.84,5697.62,3056.51,2221.39,2464.14]","[]","[13003.4]","[]"
71,284500,15424,410014,1,35.8244,4.9856e+06,1.26459,1,1.0013,1,1,0.998883,1.00112,1,0,1,0,1,"[1]","[1]","[32305.2]","[1.18472]","[2.08009]","[57755.5]","[-0.0307617]","[-1]","[13]","[1]","[0]","[731.041]","[-0.0146968]","[1.47681]",136462,1.89293,3,"[226347,87831.1,65341.1]","[0.656131,0.0836059,2.00799]","[-1.80446,-1.87221,0.599558]","[277403,88445.2,247841]","[0.999921,0.944349,0.995932]","[0,0,0]","[0,0,0]","[-0.902015,-0.928955,-0.851161]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[309506]","[0.460306]","[-1.81646]","[352008]","[79652.7]","[1]","[0.453047]","[0.641444]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[108.339]",4179.14,"[6529.68,3103.66,7575.67]","[]","[7961.59]","[]"
94,284500,38942,410014,1,35.8244,4.9856e+06,1.21412,0.96323,1,1,1,0.97106,1.00493,1,1,0,0,1,"[1]","[1]","[210777]","[-1.28804]","[0.324951]","[411170]","[-0.0282745]","[1]","[11]","[1]","[1307.71]","[-83.6104]","[-0.00850383]","[0.724037]",24847.6,1.46093,2,"[210515,22248.5]","[-2.48829,1.05743]","[-2.64278,-2.93975]","[1.27635e+06,36420.8]","[0.999971,0.697841]","[5,0]","[1,0]","[0.997342,-0.858327]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251789]","[-1.32297]","[0.329974]","[506326]","[10867.4]","[1]","[17.0513]","[0.426711]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4836.96]",16002.8,"[6373.18,1798.39]","[]","[0]","[]"
