event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,921,410025,2.05727e-09,2.06111,0.00204857,0.738662,1,0.98871,1,1,1.05915,0.937553,1,0,1,0,1,"[1]","[1]","[57843.3]","[1.79719]","[1.62838]","[179269]","[0.0261612]","[1]","[13]","[1]","[1242.8]","[183.182]","[-0.0186926]","[1.92136]",107313,0.541532,2,"[256782,126846]","[1.43982,2.14917]","[-2.32939,0.648895]","[573989,551464]","[0.994966,0.991656]","[5,5]","[1,1]","[-0.608022,0.672839]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262256]","[1.41985]","[-2.32507]","[576326]","[50457.7]","[0]","[1.55734]","[0.724753]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[330.132]",9317.63,"[8780.53,2054.99]","[]","[12542.7]","[]"
1,284500,567,410025,2.05727e-09,2.06111,0.00204857,0.553627,1,0.996951,1,1,0.911897,0.982461,1,0,1,0,1,"[1]","[1]","[124426]","[-1.4419]","[-2.93655]","[277795]","[-0.0120392]","[1]","[13]","[1]","[0]","[607.861]","[-0.0113971]","[2.00858]",81433.4,-2.69535,5,"[428361,248536,58956.6,32354.8,21363.5]","[0.198258,-1.05375,1.54135,-0.588676,2.21318]","[0.14481,-2.78431,1.61778,-2.88171,2.71472]","[437669,400181,144210,38646,98887.1]","[0.953012,0.986993,1,0.993088,0.982772]","[5,5,0,0,0]","[1,1,0,0,0]","[0.979782,0.974259,-0.650207,-0.300517,-0.732411]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[429477,267124]","[0.184266,-1.05361]","[0.141163,-2.7937]","[437241,430711]","[19884.2,30551.1]","[0,1]","[4.45735,3.94783]","[0.148767,0.711948]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1316.36]",15794.3,"[4098.8,5932.29,2639.39,8848.45,1579.94]","[]","[417.281,6681.5]","[]"
2,284500,8151,410025,2.0581e-09,2.06111,0.00204857,1.26205,0.97076,1,1,1,1.0599,0.95972,1,1,0,0,1,"[1]","[1]","[50220.3]","[-0.857521]","[2.43235]","[69844.5]","[-0.0332794]","[1]","[11]","[1]","[0]","[785.606]","[0.0241665]","[2.44504]",189221,1.674,4,"[263101,107510,77111.7,20536]","[0.500696,0.700434,1.07164,0.709614]","[-1.23803,-2.8606,0.631302,1.01063]","[297357,135722,126014,26212.9]","[0.99849,0.99758,0.991725,0.849513]","[0,0,5,5]","[0,0,1,1]","[0.122936,-0.872338,0.999889,-0.129238]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266477]","[0.522294]","[-1.23661]","[303974]","[13879.2]","[0]","[2.06269]","[0.55519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[67.0896]",5911.66,"[7986.82,6691.46,4064.86,851.353]","[]","[4509.66]","[]"
3,284500,8655,410025,2.0581e-09,2.06111,0.00204857,1.21412,1,0.990941,1,1,1.14859,1.02719,1,0,1,0,1,"[1]","[1]","[38039.5]","[1.86579]","[-1.78611]","[125831]","[0.0591078]","[1]","[13]","[1]","[0]","[819.402]","[0.0110667]","[1.27049]",77849.5,2.59266,7,"[211490,207653,137368,49334.4,37876.9,37094.2,25646.9]","[0.437736,1.96095,-0.201174,0.154453,1.04025,-1.34962,1.29707]","[-0.577146,2.96326,0.304285,-0.00505198,2.25103,2.71815,-2.94847]","[233398,752534,140915,50399.8,60688.5,76489,50645.9]","[0.989547,0.997191,0.99948,0.98443,0.996413,1,0.702862]","[5,5,0,0,0,0,0]","[1,1,0,0,0,0,0]","[-0.0219292,0.64398,-0.9321,-0.856044,-0.849741,-0.924962,-0.905123]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[367729]","[0.225555]","[-0.235752]","[432293]","[211318]","[0]","[0.881977]","[0.631595]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[139.464]",19700.4,"[6937.7,5482.46,5082.8,2392.69,2550.25,2236.6,1776.99]","[]","[24915.3]","[]"
4,284500,7763,410025,2.05081e-09,2.06111,0.00204857,0.923924,1,0.992503,1,1,0.906493,0.947963,1,0,1,0,1,"[1]","[1]","[82720.2]","[-0.328036]","[-2.61957]","[87211]","[-0.030571]","[1]","[13]","[1]","[0]","[-727.582]","[-0.0111316]","[1.7386]",24392.9,-2.69584,2,"[451339,354315]","[-0.852698,-0.620282]","[0.145203,-3.09864]","[626555,425674]","[0.972408,0.992982]","[5,5]","[1,1]","[0.982982,0.996874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[455569,356961]","[-0.807809,-0.558133]","[0.146442,-3.09361]","[613350,414522]","[32806.4,20425.5]","[0,1]","[2.65442,2.80127]","[0.658362,0.562829]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3405.12]",6198.32,"[8325.85,3356.12]","[]","[22764.9,11590.9]","[]"
5,284500,9015,410025,2.0593e-09,2.06111,0.00204857,1.1961,1,0.998712,1,1,0.973404,0.988664,1,0,1,0,1,"[1]","[1]","[36843.9]","[0.941483]","[0.187943]","[54415.5]","[0.0460033]","[1]","[13]","[1]","[0]","[-807.942]","[-0.00166981]","[0.162388]",92054.9,-0.0179675,3,"[260259,121205,20948.6]","[1.75631,1.52341,-2.4412]","[-3.09342,-0.0652292,0.823547]","[776229,291423,121285]","[0.998963,0.995448,0.0399892]","[5,5,0]","[1,1,0]","[0.99962,0.996737,-0.792618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260805]","[1.75764]","[-3.09579]","[778753]","[11974.6]","[0]","[2.87868]","[0.34519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29.8462]",6904.91,"[12027.4,5598.67,1174.13]","[]","[16235.3]","[]"
6,284500,9305,410025,2.0593e-09,2.06111,0.00204857,1.26459,0.98458,1,1,1,1.0344,1.00582,1,1,0,0,1,"[1]","[1]","[86216]","[-0.514131]","[-0.256241]","[97864]","[0.030529]","[1]","[11]","[1]","[0]","[-1256.24]","[-0.0150311]","[1.35152]",136660,2.31461,2,"[260785,204599]","[0.0862537,-0.35212]","[-0.95082,2.39617]","[262531,217843]","[0.996629,0.993817]","[5,5]","[1,1]","[0.999429,-0.583336]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[330609]","[-0.0986001]","[-0.783681]","[364354]","[149617]","[1]","[0.521]","[0.571946]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[213.77]",3606.81,"[5741.52,2510.4]","[]","[23051.3]","[]"
7,284500,9461,410025,2.0593e-09,2.06111,0.00204857,1.22586,0.97361,1,1,1,1.05269,0.98448,1,1,0,0,1,"[0]","[1]","[45447.9]","[-0.223689]","[2.97394]","[46589.7]","[-0.0351067]","[1]","[11]","[1]","[7955.83]","[4110.64]","[-0.096669]","[10.9681]",187115,2.49231,5,"[388316,173534,118862,58968.8,21783.6]","[0.692922,0.557707,-0.0447833,0.11702,-0.430021]","[-1.34439,0.406345,1.94362,1.47433,2.49923]","[485585,201690,119492,60129.2,24114.7]","[0.991192,0.992482,0.99667,0.99347,0.959862]","[0,0,5,5,0]","[0,0,1,1,0]","[-0.708986,-0.846694,0.964138,0.992097,-0.259326]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[382825]","[0.678827]","[-1.34042]","[474531]","[7698.63]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[93.1301]",15093.5,"[7700.07,6052.61,1576.55,1702,7292.42]","[]","[24841.9]","[]"
8,284500,22066,410025,2.05822e-09,2.06111,0.00204857,1.1961,0.97538,1,1,1,0.950733,1.01508,1,1,0,0,1,"[1]","[1]","[83192.4]","[-1.66325]","[-0.759853]","[227362]","[25.4144]","[1]","[11]","[1]","[0]","[107.172]","[0.00841537]","[0.994984]",111278,-0.70019,2,"[314539,23097.6]","[-1.20902,1.44576]","[2.70979,-2.30327]","[574228,51813.1]","[0,0.998114]","[5,0]","[1,0]","[0.990201,-0.183544]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276272]","[-1.23708]","[2.70943]","[516144]","[10242.9]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[955.564]",20837.9,"[15171.1,1645.76]","[]","[16630.5]","[]"
10,284500,25973,410025,2.05621e-09,2.06111,0.00204857,0.553627,1,0.995905,1,1,0.950966,0.99415,1,0,1,0,1,"[1]","[1]","[37902.9]","[1.47146]","[-0.284766]","[86895.6]","[-0.0199051]","[1]","[13]","[1]","[0]","[619.519]","[0.00812167]","[0.752768]",47312.5,1.32658,4,"[300489,273881,67592.4,49944.5]","[1.99976,0.410144,0.456383,-1.94012]","[-0.683888,2.97801,2.06981,0.984992]","[1.13036e+06,299187,75558.4,177675]","[0.990028,1,0.998096,0.999027]","[5,0,0,0]","[1,0,0,0]","[0.915397,-0.910478,-0.336865,-0.235713]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[300290]","[0.444424]","[2.82158]","[355497]","[131109]","[0]","[1.39635]","[0.609838]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[116.009]",13744.9,"[3921.19,3808.43,7105.09,2473.2]","[]","[38149.9]","[]"
