event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,1645591,410011,4.68686e-08,44.152,0.218165,0.923924,1,0.99322,1,1,1.12307,0.850749,1,0,1,0,1,"[1]","[1]","[99487.7]","[0.166476]","[-2.31654]","[100870]","[0.0126534]","[1]","[13]","[1]","[0]","[-679.599]","[-0.00202471]","[0.352734]",35409.3,0.0910529,3,"[263318,185017,173726]","[1.78228,-1.72769,-0.656904]","[0.281857,2.22718,-2.17262]","[805042,537152,213093]","[1,1,0.997829]","[5,0,5]","[1,0,1]","[-0.516107,-0.937435,0.637892]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264145]","[1.78956]","[0.283342]","[813019]","[20701.3]","[0]","[1.64185]","[0.686915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6242.69]",13471.6,"[8950.18,10074.8,1601.63]","[]","[0]","[]"
1,284500,1866066,410011,4.68686e-08,44.152,0.218165,1.21412,1,0.997251,1,1,1.09391,0.810901,1,0,1,0,1,"[0]","[1]","[43385.6]","[0.242129]","[-1.71911]","[44663.7]","[0.014267]","[1]","[13]","[1]","[0]","[115.657]","[-0.0753485]","[10.0735]",259682,-1.55999,2,"[426021,111615]","[-1.03335,0.000558477]","[1.61686,-1.10188]","[675161,112139]","[0.995289,0.995184]","[5,5]","[1,1]","[0.314366,0.998973]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[372687]","[-1.01091]","[1.61474]","[580046]","[13020.6]","[0]","[3.09896]","[0.232961]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[285.705]",5625.78,"[7550.72,1294.05]","[]","[8687.69]","[]"
6,284500,1710618,410011,4.68686e-08,44.152,0.218165,1.25133,0.97949,1,1,1,0.998755,0.99672,1,1,0,0,1,"[1]","[1]","[71547.6]","[1.08919]","[-2.2836]","[118352]","[-0.0235214]","[1]","[11]","[1]","[0]","[182.216]","[0.0012123]","[0.150288]",96616.7,-0.594982,3,"[174129,129283,22152]","[0.693802,2.3364,1.93451]","[-1.51001,1.07082,-1.23682]","[217793,675088,78302.3]","[0.99,0.998662,0.82166]","[5,5,0]","[1,1,0]","[0.993221,0.956273,-0.907939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263799]","[0.824399]","[-1.714]","[370724]","[93896.8]","[1]","[0.252816]","[0.54908]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[700.043]",3726.32,"[5278.65,9877.6,4764.2]","[]","[0]","[]"
12,284500,1679828,410011,4.68686e-08,44.152,0.218165,0.696077,1,0.993926,1,1,0.916799,0.753185,1,0,1,0,1,"[1]","[1]","[190902]","[-0.139509]","[2.90153]","[192762]","[-0.0198059]","[1]","[13]","[1]","[1344.67]","[3946.11]","[-0.0037757]","[0.689692]",164644,3.12061,6,"[370201,91199.2,35309.8,29156.7,23235.8,20317.2]","[-0.581977,-1.28823,0.214106,-1.32055,-0.746207,0.248824]","[0.189635,-1.93419,2.35858,-2.64078,-2.92896,-0.117416]","[438772,178839,36483.6,58852.7,30467,21253.7]","[0.991675,0.985026,0.983785,0.988748,0.999427,0.959118]","[5,0,0,5,0,4]","[1,0,0,1,0,0]","[0.72414,-0.688808,-0.927569,0.457668,-0.908233,0.923542]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[399666]","[-0.550159]","[0.0666362]","[484215]","[145962]","[0]","[1.55326]","[0.557701]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1939.17]",7303.78,"[10093.6,2199.47,7512.37,1623.16,1663.15,846.769]","[]","[34583.9]","[]"
18,284500,1643135,410011,4.68686e-08,44.152,0.218165,1.26205,1,1.00129,1,1,0.978275,0.982038,1,0,1,0,1,"[1]","[1]","[77074.2]","[-1.17636]","[2.52598]","[136844]","[-0.0460567]","[1]","[13]","[1]","[2180.54]","[1068.46]","[0.000746142]","[0.12166]",74148.8,2.96852,3,"[296041,185610,23965.2]","[1.3099,-1.11474,1.14833]","[-0.942105,1.90176,0.312068]","[588681,314170,41874.4]","[0.968319,1,0.958695]","[0,5,0]","[0,1,0]","[-0.685813,0.999435,-0.236232]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[313861]","[1.30333]","[-0.938366]","[620876]","[25001.1]","[0]","[4.42481]","[0.666538]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1803.31]",1475.23,"[13792.3,4817.38,2402.32]","[]","[146.312]","[]"
21,284500,1672412,410011,4.68686e-08,44.152,0.218165,0.738662,0.9652,1,1,1,0.986742,0.98592,1,1,0,0,1,"[1]","[1]","[66139.2]","[-1.22377]","[1.40747]","[122162]","[-0.0807915]","[1]","[11]","[1]","[0]","[-300.462]","[-0.0283176]","[1.94893]",141734,2.4385,4,"[277790,129723,64411.1,39967.7]","[-0.11789,1.15452,-1.96882,-0.372577]","[-1.30953,1.11459,-3.01358,-0.718243]","[280872,226707,235334,43591.3]","[0.997268,0.919564,0.988873,0.958296]","[5,0,5,0]","[1,0,1,0]","[0.98392,-0.889771,0.995382,-0.855549]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[294207]","[-0.120558]","[-1.25738]","[301017]","[52810.9]","[0]","[2.4415]","[0.552621]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[712.845]",6066.92,"[9064.79,4597.7,1683.44,2136.73]","[]","[3497.69]","[]"
26,284500,2137241,410011,4.68686e-08,44.152,0.218165,1.22586,1,0.997951,1,1,0.97817,0.976117,1,0,1,0,1,"[1]","[1]","[79753.4]","[-0.22865]","[0.0989961]","[81847.4]","[0.0136909]","[1]","[13]","[1]","[0]","[-209.973]","[0.00380377]","[0.566525]",91833.8,-0.0933817,3,"[307787,92248.1,42154.8]","[1.04542,0.0302305,-0.496681]","[3.07728,1.07452,-1.63942]","[492529,93437.3,47966.7]","[1,0.982226,1]","[5,5,0]","[1,1,0]","[0.998492,0.975956,-0.239918]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[300431]","[1.03197]","[3.076]","[475485]","[18710.8]","[0]","[2.34552]","[0.724268]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2692.56]",5395.73,"[12994.1,6255.02,4587.88]","[]","[23825.5]","[]"
27,284500,2147679,410011,4.68686e-08,44.152,0.218165,0.596562,0.94307,1,1,1,1.1204,1.05904,1,1,0,0,1,"[1]","[1]","[56501.8]","[-1.36713]","[-3.06309]","[118058]","[0.0171356]","[1]","[11]","[1]","[1816.92]","[1258.66]","[0.0128672]","[1.34573]",67103.8,1.50695,5,"[289549,154199,107863,95975.4,38668.4]","[-1.43927,-1.51333,0.367679,-2.10068,-1.99786]","[2.21099,-0.470919,-1.22326,-1.28567,-0.737888]","[645575,367658,115478,398110,145244]","[0.987013,0.998613,0.99271,0.98056,0.993828]","[5,0,5,0,0]","[1,0,1,0,0]","[0.791285,-0.717577,0.951327,-0.938128,-0.455353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[303467]","[-1.51614]","[2.38879]","[738080]","[141440]","[1]","[0.847626]","[0.691462]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[255.944]",2382.4,"[4126.76,5462.69,1548.09,2861.36,4923.85]","[]","[6033.06]","[]"
36,284500,2290449,410011,4.68686e-08,44.152,0.218165,1.26459,0.97446,1,1,1,0.988752,0.98483,1,1,0,0,1,"[1]","[1]","[57136.7]","[-0.309395]","[-1.52617]","[59893.3]","[-0.0363388]","[1]","[11]","[1]","[0]","[173.401]","[-0.0381623]","[3.63804]",148663,-2.15433,6,"[378259,196149,124363,90207.8,43616.3,25846.9]","[-1.53935,0.441824,1.19288,1.23149,0.294381,-0.679267]","[1.43471,-1.51233,0.865194,-2.16143,-3.10067,-0.436482]","[922764,215944,224164,168055,45802.1,32770.1]","[0.994323,1,0.98846,0.989652,1,0.9958]","[0,5,5,0,0,0]","[0,1,1,0,0,0]","[0.672205,0.950465,0.999996,-0.484228,-0.551597,-0.883541]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[370682,256360]","[-1.55445,0.259252]","[1.44603,-1.5138]","[916433,281894]","[16590.6,96058.2]","[0,1]","[3.62948,0.500119]","[0.66096,0.392216]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[83.6192]",5552.47,"[5116.39,5756.7,1730.75,5820.97,6653.01,1740.5]","[]","[532.375,0]","[]"
40,284500,1249403,410011,-4.68686e-08,44.152,0.218165,0.351687,1.00588,1,1,1,1.11387,1.00306,1,1,0,0,1,"[1]","[1]","[157707]","[0.949897]","[0.257768]","[234371]","[0.0228348]","[1]","[11]","[1]","[0]","[-2215.68]","[-0.00418763]","[0.462498]",35523.5,-0.620482,8,"[278123,103041,42019,36813.1,35416.8,29187.7,26822,21972.5]","[0.707563,0.909935,0.230607,-0.457622,1.89342,-0.911749,-1.4493,-1.14095]","[-2.74431,-0.46696,1.82009,1.50513,2.05076,1.5991,-0.15405,0.951201]","[353735,149696,43980.9,41240.5,120402,42374.1,60582.8,38053.3]","[1,0.998161,0.988965,0.970322,0.999584,0.64387,0.744181,0.776493]","[5,0,0,0,0,0,0,0]","[1,0,0,0,0,0,0,0]","[0.642549,-0.946798,-0.741069,-0.631294,-0.754107,-0.922888,0.0416468,-0.597703]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[299027,259990]","[0.701441,0.972268]","[-2.73223,-0.0061027]","[379799,404750]","[55941.8,97365.4]","[0,1]","[1.32589,0.728743]","[0.807216,0.560265]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1786.5]",5805.47,"[2840.55,4794.33,2239.79,3297.44,3000.95,2886.59,1822.68,2385.88]","[]","[9481.84,823.938]","[]"
