event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
8,284500,915612,410013,1,35.8455,4.9858e+06,1.21412,0.9823,1,1,1,0.996939,1.00632,1,1,0,0,1,"[1]","[1]","[121798]","[0.409581]","[-1.09946]","[132158]","[0.0295515]","[1]","[11]","[1]","[0]","[190.182]","[-0.0176071]","[1.72527]",173431,-1.37472,4,"[328437,58044.4,21697.6,21267.7]","[1.27021,0.668566,-0.653223,2.13963]","[1.78273,-1.73387,1.17776,3.01365]","[632123,71780.6,26891.6,91666.2]","[0.994679,0.996954,0.983599,0.993358]","[0,0,0,0]","[0,0,0,0]","[-0.906552,-0.832941,-0.773564,-0.648612]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[328857]","[1.2726]","[1.78445]","[634165]","[36964.8]","[0]","[1.06794]","[0.652754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[601.922]",5628.75,"[4609.34,3036.55,2618.43,1625.08]","[]","[9707.62]","[]"
15,284500,919040,410013,1,35.8455,4.9858e+06,1.21412,1,0.995532,1,1,0.948737,0.831723,1,0,1,0,1,"[1]","[1]","[99256.6]","[-0.21322]","[0.467457]","[101521]","[-0.0116081]","[1]","[13]","[1]","[0]","[821.374]","[-0.00920931]","[1.17616]",36698.7,0.175016,5,"[224782,128900,71981.2,46497,20316.8]","[0.67096,-0.185288,-0.32248,0.706331,0.140304]","[-2.17666,0.963466,1.70768,-2.8312,-0.926309]","[277982,132299,76480.5,58883.1,21027.7]","[0.994889,1,0.993166,1,0.964388]","[5,4,0,0,0]","[1,1,0,0,0]","[0.995731,0.628125,-0.247899,-0.892418,-0.722456]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251975]","[0.697745]","[-2.26511]","[323323]","[69154.4]","[0]","[1.61522]","[0.49092]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2520.52]",20447.3,"[2339.13,1396.24,3065.18,3726.16,1148.63]","[]","[0]","[]"
31,284500,2259975,410013,1,35.8455,4.9858e+06,1.55465,0.99211,1,1,1,1.02677,0.9918,1,1,0,0,1,"[1]","[1]","[259769]","[-0.609234]","[2.0275]","[309488]","[0.00919342]","[-1]","[11]","[1]","[0]","[-128.687]","[-0.0113585]","[1.18742]",102296,1.60744,5,"[146776,143048,60977.4,40708.8,25119.1]","[0.139226,-0.48304,1.18512,0.537132,0.761294]","[-1.26109,-0.875167,-1.76823,-2.5204,-0.239371]","[148664,160589,109257,47289.2,33112.2]","[0.992885,1,0.970364,0.995586,0.958406]","[5,0,5,0,0]","[1,0,1,0,0]","[-0.0941132,-0.960002,0.993677,-0.848948,-0.719678]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[285217,262594]","[-0.221711,-0.652453]","[-1.06621,2.02542]","[314368,320498]","[115817,0.00436732]","[1,1]","[0.597878,0]","[0.709762,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2015.43]",7684.89,"[5237.86,7250.2,4263.71,2864.55,1740.17]","[]","[1386.16,2014.09]","[]"
33,284500,2260326,410013,1,35.8455,4.9858e+06,0.596562,0.97738,1,1,1,0.886026,1.00056,1,1,0,0,1,"[1]","[1]","[77676.2]","[0.500627]","[1.63329]","[87615.1]","[0.0665283]","[1]","[11]","[1]","[1510.37]","[655.933]","[0.0156166]","[1.62737]",116242,-1.76723,6,"[402128,327330,80038.4,45370.5,30762.5,23203.9]","[1.00587,-0.197021,1.05817,0.379059,1.92369,-0.158188]","[1.36707,-2.0267,0.62554,-0.296932,-1.73884,0.594044]","[624074,334249,129686,48965.2,107654,23886.5]","[0.997494,0.995368,0.985079,0.990939,0.97733,0.89]","[5,5,4,0,0,0]","[1,0,1,0,0,0]","[0.991643,0.999508,-0.247076,-0.550606,-0.730676,-0.853449]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[528380,341566]","[0.989221,-0.1668]","[1.34459,-2.02831]","[825946,346718]","[167970,16431.6]","[1,0]","[2.06253,2.72375]","[0.332532,0.558628]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[504.608]",26433.3,"[8587.29,8958.3,8203.04,2591.56,3944.24,2595.41]","[]","[4880.62,2641.56]","[]"
40,284500,549865,410013,1,35.8455,4.9858e+06,0.506784,1.01378,0.997775,1,1,1.00972,1.00936,1,1,0,0,2,"[1,1]","[1,0]","[251824,28218.3]","[0.111614,0.714883]","[-2.86667,-0.0315708]","[253394,35741.4]","[0.0502014,-0.0258484]","[1,-1]","[11,13]","[1,1]","[1231.21,0]","[-930.129,-131.864]","[-0.0171315,0.0132459]","[2.5178,1.30761]",189021,-0.732329,2,"[173687,28050.2]","[2.27641,0.834489]","[1.05659,2.23394]","[854975,38661.7]","[0.978296,0.99]","[5,5]","[1,1]","[0.900929,0.986442]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260283]","[0.034536]","[-2.87406]","[260467]","[3867.7]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2491.92,49.8707]",6599.17,"[2312.33,5234.07]","[]","[8661.34]","[]"
49,284500,796492,410013,1,35.8455,4.9858e+06,1.25133,0.97996,1.00316,1,1,1.0462,1.01265,1,1,1,0,2,"[1,1]","[1,1]","[243348,28043.2]","[1.65206,1.16506]","[-0.0499827,-2.81813]","[658181,49328.4]","[-0.0025177,-0.000785828]","[-1,1]","[11,13]","[1,1]","[0,0]","[175.83,402.419]","[0.0060357,0.00835906]","[0.494199,0.86988]",59752.6,2.8067,2,"[186546,50029.6]","[1.80843,1.68867]","[2.93651,-1.90476]","[584554,140195]","[0.989968,0.988813]","[5,0]","[1,0]","[0.518597,-0.803698]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259711]","[1.67426]","[-0.0496054]","[717104]","[1248.25]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6668.36,186.043]",2923.98,"[3439.5,3187.82]","[]","[4362.39]","[]"
58,284500,1515076,410013,1,35.8455,4.9858e+06,1.55465,1,0.995121,1,1,0.95694,0.988703,1,0,1,0,1,"[1]","[1]","[246853]","[0.567041]","[-1.00336]","[287614]","[0.00614929]","[-1]","[13]","[1]","[0]","[-526.973]","[-0.00197247]","[0.368547]",49060.9,-0.0837962,2,"[265633,62580]","[-0.616095,0.429499]","[1.99332,-2.81351]","[317994,68765.7]","[0.999649,0.996868]","[5,0]","[1,0]","[0.962985,0.0124776]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273259]","[-0.586374]","[1.99107]","[322222]","[20043.4]","[1]","[2.63516]","[0.478526]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[28854.2]",1549.5,"[5385.05,2180.83]","[]","[3421.22]","[]"
59,284500,1717260,410013,1,35.8455,4.9858e+06,1.24168,0.97209,1,1,1,0.985302,1,1,1,0,0,1,"[0]","[1]","[60413.9]","[0.0246182]","[0.607185]","[60432.2]","[-0.111418]","[-1]","[11]","[0]","[0]","[-308.796]","[0.0961007]","[11.5741]",322821,0.480556,6,"[343705,304230,53054.7,45443.3,31164,24229.8]","[0.412114,1.21851,1.50956,0.930035,-1.26091,-0.623752]","[2.61239,-1.85619,-0.724625,-1.04888,0.745562,-2.95953]","[375053,560056,125997,67225.8,59998.4,29470.6]","[0.992772,0.996541,0.996064,0.988267,0.983112,1]","[0,5,0,5,0,0]","[0,1,0,1,0,0]","[-0.962895,0.988538,-0.977098,0.998844,-0.920873,-0.487127]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[340571,327956]","[0.399832,1.21237]","[2.61149,-1.80391]","[369665,604573]","[33340.8,74330.4]","[0,1]","[1.87831,2.86146]","[0.57472,0.718087]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[324.149]",13483.8,"[3737.6,14652.3,2882.36,3548.21,3790.54,2167.18]","[]","[6826.91,2328.25]","[]"
69,284500,1793403,410013,1,35.8455,4.9858e+06,0.187531,0.97538,1,1,1,0.98535,1.01508,1,1,0,0,1,"[1]","[1]","[134432]","[-1.56632]","[0.686278]","[335934]","[0.121432]","[-1]","[11]","[1]","[0]","[-121.226]","[0.132064]","[3.05158]",73737.9,0.245087,4,"[370885,181492,84400.6,62324.1]","[-1.43293,-1.39064,-1.7689,-2.28754]","[2.71576,-1.34244,-0.725737,-0.363714]","[821885,387533,254870,310339]","[0.990906,0.996572,0.998857,0.996239]","[5,0,0,5]","[1,0,0,1]","[0.998244,-0.974801,-0.885502,0.999035]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[344678,270099]","[-1.42613,-1.6601]","[2.71634,-1.12123]","[758965,743990]","[16903.2,108640]","[0,1]","[2.12804,1.08958]","[0.593276,0.70434]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2340.85]",3656.62,"[6093.2,3683.77,3061.23,10151.2]","[]","[9290.66,18816.1]","[]"
71,284500,1803694,410013,1,35.8455,4.9858e+06,0.00292683,0.97695,1,1,1,1.01735,0.98743,1,1,0,0,1,"[1]","[1]","[169343]","[-0.0290391]","[-0.953416]","[169415]","[-0.0556412]","[-1]","[11]","[1]","[1855.41]","[469.97]","[-0.00291464]","[0.463353]",49088.9,-0.514883,7,"[188755,132366,69695.3,64781.9,48580,38756.8,20799.6]","[0.204512,0.581209,1.86231,0.896571,-0.582964,-0.452542,-1.89489]","[2.22793,2.57305,-1.00417,-0.253608,2.82247,0.0451475,1.95281]","[193895,155966,230286,93205.9,57459.9,43644.7,70839.8]","[0.980499,0.999999,0.988375,0.562428,1,0.970917,1]","[4,0,0,0,5,0,0]","[1,0,0,0,1,0,0]","[-0.856749,-0.876632,-0.92748,-0.902342,0.999985,-0.928472,-0.865934]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[350744]","[0.21677]","[2.43517]","[403440]","[184039]","[1]","[1.52331]","[0.331275]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[963.483]",241.594,"[2063.26,7216.6,2892.39,5289.16,2293.34,2168.89,1317.69]","[]","[22932.5]","[]"
72,284500,1842663,410013,1,35.8455,4.9858e+06,0.187531,1,0.998463,1,1,1.04108,1.04487,1,0,1,0,1,"[1]","[1]","[82213.6]","[-0.94752]","[0.924185]","[121964]","[-0.0439091]","[1]","[13]","[0]","[0]","[1913.56]","[0.0152095]","[2.78962]",255954,-0.829493,4,"[247383,161555,120206,50721.1]","[1.90023,-0.584638,-0.586956,2.37684]","[2.61267,-1.11395,1.92395,2.51266]","[845836,190252,141831,275579]","[0.999225,1,0.994765,0.99]","[0,5,5,0]","[0,1,1,0]","[0.482638,0.822083,0.999848,-0.454913]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267668]","[1.98519]","[2.60295]","[994355]","[56402.4]","[1]","[1.48838]","[0.71272]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[338.282]",4095.17,"[9430.17,2867.27,4285.54,6817.33]","[]","[6227.34]","[]"
85,284500,913326,410013,1,35.8455,4.9858e+06,0.402058,1,0.997392,1,1,0.998279,0.9132,1,0,1,0,1,"[1]","[1]","[303628]","[0.503757]","[1.0807]","[342976]","[0.0125446]","[-1]","[13]","[1]","[0]","[-134.104]","[0.00610315]","[1.56465]",102667,1.28943,1,"[399373]","[0.553421]","[-2.04464]","[469540]","[1]","[0]","[0]","[-0.846696]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[398361]","[0.560154]","[-2.04685]","[470729]","[87581.4]","[1]","[0.833885]","[0.690874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[41123.9]",836.859,"[4436.93]","[]","[620.406]","[]"
