event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
131,284500,10333590,410000,1,452.694,4.93866e+07,1.21412,0.97135,1,1,1,1.01979,1.0044,1,1,0,0,1,"[0]","[1]","[62959.8]","[1.94407]","[0.110115]","[224460]","[-0.0739899]","[1]","[11]","[1]","[0]","[718.755]","[-0.0148171]","[1.47346]",48442.6,1.06458,5,"[209477,175136,74075.4,63608,55557.6]","[0.261737,1.20128,-1.55699,-0.00393329,1.3435]","[-2.70108,0.755099,-0.208048,-2.30491,-2.70561]","[217890,317926,183606,64056.6,113946]","[0.99,0.996071,0.996491,0.987814,0.999088]","[0,5,0,0,5]","[0,1,0,0,1]","[-0.882834,0.987508,-0.95113,-0.757917,0.999882]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[269708,278041]","[0.131477,1.43977]","[-2.61595,0.597241]","[280627,632065]","[68879.2,125035]","[1,1]","[1.27817,0.785491]","[0.73735,0.685378]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[588.626]",10875.4,"[2540.82,13457.2,2171.18,1801.83,3525.58]","[]","[8288.03,21417.2]","[]"
230,284500,10335337,410000,1,452.694,4.93866e+07,1.26459,0.97062,1,1,1,1.07498,0.98871,1,1,0,0,1,"[1]","[1]","[74941.4]","[-0.68149]","[1.65542]","[93027.9]","[0.0296812]","[-1]","[11]","[1]","[0]","[2848.92]","[0.0300332]","[2.40304]",224098,2.30953,6,"[241000,94457,66953.3,47934,37519.2,27070.9]","[-0.0655282,-2.37092,0.378003,-0.761456,-0.238754,1.431]","[-0.496943,-2.41434,-0.571669,-1.33125,-2.92078,2.56828]","[245051,510192,72324.8,63003.7,39210.3,60030.1]","[0.999703,1,0.994124,0.994812,0.990363,0.995494]","[0,0,0,5,5,0]","[0,0,0,1,1,0]","[-0.675706,-0.839068,-0.925278,0.999969,0.999184,-0.0743586]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302498]","[0.0402948]","[-0.522553]","[312592]","[77847.1]","[1]","[1.13863]","[0.607569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[388.594]",7924.36,"[6204.67,4114.24,7194.45,9870.66,1437.61,2118.49]","[]","[6160.53]","[]"
240,284500,10335979,410000,1,452.694,4.93866e+07,1.21412,0.97245,1,1,1,1.00407,0.99544,1,1,0,0,1,"[1]","[1]","[147144]","[1.35302]","[-1.97041]","[303672]","[-0.0539951]","[1]","[11]","[1]","[27036.5]","[3910.33]","[-0.024893]","[2.08832]",52470.6,-2.44997,3,"[260818,90117.8,38915.4]","[0.890809,0.804815,-0.652079]","[1.18357,-1.12646,2.78825]","[372400,121638,47821.6]","[0.998646,0.99542,0.993593]","[4,5,4]","[0,1,1]","[-0.0983288,0.999986,-0.763231]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267236]","[0.903951]","[1.18085]","[385192]","[29520.2]","[0]","[1.39586]","[0.66774]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1499.12]",2884.02,"[4243.58,2656.84,1782.75]","[]","[0]","[]"
289,284500,12235813,410000,1,452.694,4.93866e+07,1.32095,1,0.998472,1,1,0.93621,0.987081,1,0,1,0,1,"[1]","[1]","[79827]","[1.40202]","[0.96607]","[172007]","[-0.025526]","[1]","[13]","[1]","[2595.42]","[-706.895]","[-0.00859021]","[1.48259]",66490.8,0.899592,8,"[283449,148756,126161,80723.1,37382.7,34860.5,28480,28126.5]","[-0.523556,0.504422,1.29733,1.10929,1.17151,-0.736458,1.51527,1.19784]","[-1.94342,0.439069,2.24719,2.96985,-1.728,0.382582,-2.13155,1.73272]","[323527,170117,248398,136027,66712.2,45142.2,68057.6,51037.6]","[1,0.990931,1,0.996241,0.994753,0.992129,0.990035,0.970781]","[0,0,5,4,0,0,0,0]","[0,0,1,1,0,0,0,0]","[-0.750366,0.105561,-0.669121,-0.782226,-0.5507,-0.941409,-0.854657,-0.866789]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292115]","[-0.518493]","[-1.94622]","[332355]","[7627.01]","[0]","[6.14391]","[0.464874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[754.155]",3632.86,"[3785.66,3763.88,1597.33,6671.52,3982.98,3409.62,1771.18,1784.24]","[]","[16451.3]","[]"
516,284500,11309358,410000,1,452.694,4.93866e+07,1.1961,0.97446,1,1,1,1.46874,0.98483,1,1,0,0,1,"[0]","[1]","[51872.3]","[-0.494691]","[0.32698]","[58349.8]","[0.0491943]","[1]","[11]","[1]","[0]","[-685.956]","[0.0445299]","[6.3216]",150090,0.687813,5,"[206179,158767,81854.5,26455.8,25868.4]","[-1.62107,0.733441,-2.13896,0.301919,0.397171]","[2.99361,-0.611399,3.10436,-1.36844,-2.3619]","[542429,204272,352458,28108.7,28394]","[0.99593,0.997844,0.994876,0.999674,0.957281]","[4,0,4,5,0]","[1,0,1,1,0]","[0.989765,-0.801708,0.98316,0.999125,-0.842455]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279680]","[-1.75651]","[3.01545]","[836953]","[68768.8]","[1]","[1.1823]","[0.735032]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[64.26]",5757.98,"[5696.05,2399.88,4337.06,1237.4,5193.89]","[]","[208.906]","[]"
806,284500,12214963,410000,1,452.694,4.93866e+07,1.21412,0.95613,1,1,1,0.964347,0.99107,1,1,0,0,1,"[1]","[1]","[43727.7]","[-1.81988]","[-0.593677]","[138467]","[-0.0891266]","[-1]","[11]","[1]","[0]","[-1436.72]","[-0.0101967]","[0.622612]",30767.2,-0.950342,6,"[232697,68674.8,65114.6,35742.2,35590.4,33741.7]","[1.14171,-2.22669,-1.56917,2.37411,-2.0338,1.55111]","[-2.66216,0.628419,0.612307,-1.69244,-1.34143,0.989492]","[401865,322115,163258,193703,138464,83481.2]","[0.999194,1,0.992475,0.993661,0.993521,0.991049]","[0,5,5,0,0,0]","[0,1,1,0,0,0]","[-0.841587,-0.153505,0.999654,-0.490695,-0.554118,-0.744615]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253607]","[1.14704]","[-2.66036]","[439739]","[12658.3]","[0]","[2.52774]","[0.551041]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[80.1938]",21784.6,"[13547.8,1546.67,3050.41,3056.53,4960.78,3593.71]","[]","[0]","[]"
823,284500,11924989,410000,1,452.694,4.93866e+07,1.24168,0.99093,1,1,1,1.04891,1.00306,1,1,0,0,1,"[1]","[1]","[87872.1]","[0.876217]","[1.81178]","[123818]","[0.0254288]","[-1]","[11]","[1]","[0]","[1413.46]","[0.0185925]","[2.30897]",46641.9,-2.49682,8,"[257778,217804,120974,71227.8,64340.3,44075.3,33585.1,22632.1]","[1.27329,1.0336,-1.17836,-0.0231085,1.97709,0.47324,-0.188719,0.450406]","[1.42201,-1.11522,-2.5371,-2.78952,-1.25227,-0.409281,0.586159,1.62615]","[497126,345068,216968,71482.5,237028,49323.8,34813.1,25408.5]","[0.997925,0.995947,0.98196,0.98,0.991283,0.885552,0.958469,0.965009]","[0,4,0,5,5,0,0,0]","[0,1,0,1,1,0,0,0]","[-0.93292,-0.939426,-0.935525,0.999481,0.999829,-0.926774,-0.902815,-0.902539]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[341536,272898]","[1.21224,1.34136]","[1.52165,-1.15025]","[630923,568487]","[87977.9,111265]","[1,1]","[0.819562,0.878646]","[0.580585,0.659313]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[287.676]",19483,"[9042.42,6563.22,2669.43,4155.03,5573.4,17104.2,12135.9,12416.6]","[]","[3137.03,8415.38]","[]"
876,284500,12208763,410000,1,452.694,4.93866e+07,0.75088,0.97062,1,1,1,0.98363,0.98871,1,1,0,0,1,"[1]","[1]","[63229.6]","[-0.846708]","[-1.6971]","[87281.6]","[-0.0257111]","[-1]","[11]","[1]","[0]","[-950.078]","[0.009862]","[1.53926]",64412.8,-0.728446,7,"[318461,214437,167570,128209,94265.1,91846.9,46979]","[1.89226,-0.639114,-1.33114,1.47854,1.23369,1.14735,1.43771]","[1.59926,-1.08175,2.3601,-1.50678,1.51751,-2.17559,-0.51549]","[1.08109e+06,261016,339788,296405,176814,159594,104881]","[0.991549,0.99074,1,1,0.994647,0.99735,0.997839]","[0,5,0,0,0,4,5]","[0,1,0,0,0,1,1]","[-0.606933,0.976192,-0.95593,-0.923138,-0.946787,-0.954103,0.988063]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[389743,282713]","[1.81799,-0.646919]","[1.5666,-1.22556]","[1.23849e+06,358285]","[127120,100287]","[0,1]","[1.37073,1.05778]","[0.689039,0.660026]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[123.968]",4024.78,"[7990.66,2980.02,3979.34,3108.96,2652.3,6270.46,6233.55]","[]","[8106.22,621.531]","[]"
934,284500,12254650,410000,1,452.694,4.93866e+07,0.923924,0.96217,1,1,1,0.864113,0.97553,1,1,0,0,1,"[1]","[1]","[46511.5]","[0.113242]","[2.58525]","[46810]","[-0.111065]","[-1]","[11]","[1]","[13868.4]","[3994.17]","[-0.0108164]","[1.09955]",249740,1.84969,2,"[265912,51462.5]","[-0.540003,-0.684046]","[-1.0168,-2.79171]","[307546,64518.3]","[0.990295,0.984666]","[5,5]","[1,1]","[0.999135,-0.839724]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274998]","[-0.543965]","[-1.01285]","[319119]","[39241.5]","[1]","[1.89613]","[0.697481]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[77.2908]",3034.02,"[4015.48,4280.43]","[]","[4888.34]","[]"
1110,284500,11881217,410000,1,452.694,4.93866e+07,0.696077,1,1.00431,1,1,0.963649,0.867651,1,0,1,0,1,"[1]","[1]","[73786.1]","[0.0503667]","[-0.206027]","[73879.8]","[-0.244793]","[-1]","[13]","[1]","[0]","[-1282.41]","[0.0333178]","[4.90992]",25147.5,2.82994,3,"[186208,133817,88390.8]","[-0.702503,0.164767,-0.529465]","[0.766422,-2.7024,-2.32681]","[235287,137126,101409]","[0.985983,0.994327,0.994445]","[5,4,0]","[1,1,0]","[0.964498,0.792919,-0.946222]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270557]","[-0.100147]","[-2.62787]","[302354]","[132214]","[1]","[1.39448]","[0.596036]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[408.537]",10395.1,"[1948.69,10775.4,3663.63]","[]","[10444.5]","[]"
