event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
11,284500,1170,301217,1,0.00010351,19800,0.164755,0.97411,1,1,1,1.04487,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[1.33965e+06,1.25888e+06]","[-0.127622,-0.587415]","[-0.580595,2.47371]","[1.35058e+06,1.48239e+06]","[0.0150986,0.0249634]","[-1,1]","[11,11]","[1,1]","[1672.71,0]","[383.427,11431.9]","[-0.00453181,-0.00188045]","[0.695561,0.242454]",94797.7,2.66474,2,"[97510.9,81317.1]","[-1.64457,-0.924013]","[-1.38699,2.94783]","[262150,118780]","[0.999917,0.99]","[5,5]","[0,0]","[0.999966,0.988881]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10396.6,8219.42]",97.0391,"[2203.96,1571.14]","[]","[]","[]"
21,284500,1718,301217,1,0.00010351,19800,1.24168,0.942732,1,1,1,1,1.01508,1,1,0,0,2,"[0,0]","[1,1]","[1.30969e+06,1.28876e+06]","[-1.77468,0.174635]","[-2.9642,0.164718]","[3.97354e+06,1.30846e+06]","[0.00221443,0.183893]","[1,-1]","[11,11]","[1,1]","[2964.37,0]","[666.693,857.355]","[-0.0175337,0.0323684]","[2.05009,1.89616]",26282,0.496916,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[21519.9,14337.1]",15201.9,"[]","[]","[]","[]"
24,284500,137,301217,1,0.00010351,19800,0,0.967191,1,1,1,1,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[1.19511e+06,1.17391e+06]","[1.64848,-0.482287]","[-3.04433,0.0748791]","[3.22168e+06,1.3131e+06]","[-0.0256739,-0.0458574]","[1,1]","[11,11]","[1,1]","[0,0]","[-2259.3,-4996.24]","[-0.0049797,0.00590823]","[0.797514,0.962427]",5574.4,0.151239,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[42108.3,7541.6]",1438.44,"[]","[]","[]","[]"
31,284500,861,301217,1,0.00010351,19800,0.738662,0.960282,1,1,1,0.998995,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[2.14354e+06,1.81274e+06]","[0.466185,0.296647]","[2.03319,-1.24963]","[2.38071e+06,1.89309e+06]","[-0.0550079,0.0310669]","[-1,1]","[11,11]","[1,1]","[0,0]","[13497.3,1391.01]","[0.0141352,-0.00600987]","[2.41182,1.06141]",17326.5,-1.22987,2,"[323623,104159]","[0.439862,0.024042]","[-0.548885,-0.109439]","[357480,107011]","[0.999854,0.974538]","[0,0]","[0,0]","[0.414263,-0.960115]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[17094.1,20421.6]",3919.8,"[4850.78,2631.67]","[]","[]","[]"
32,284500,947,301217,1,0.00010351,19800,0.696077,0.986658,1,1,1,1,1.00306,1,1,0,0,2,"[0,0]","[1,1]","[1.42114e+06,1.39792e+06]","[-0.807972,1.01494]","[-1.25807,1.88028]","[1.9108e+06,2.18189e+06]","[0.058136,0.0807114]","[1,-1]","[11,11]","[0,1]","[0,0]","[-3560.77,-2978.17]","[-0.028257,0.0227945]","[2.20945,4.51283]",49370.4,-0.138213,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9651.57,8580.07]",3105.32,"[]","[]","[]","[]"
37,284500,1320,301217,1,0.00010351,19800,0.934886,0.972208,1,1,1,1,0.9918,1,1,0,0,2,"[0,0]","[1,1]","[1.84654e+06,1.82907e+06]","[-0.599356,0.221688]","[0.960238,-2.17733]","[2.18825e+06,1.8742e+06]","[-0.00962448,-0.0807323]","[1,-1]","[11,11]","[1,1]","[0,0]","[-2848.22,721.876]","[-0.00132657,-0.00143002]","[0.266536,0.278279]",12460.4,-2.21776,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[21845.9,12978.8]",0,"[]","[]","[]","[]"
38,284500,1464,301217,1,0.00010351,19800,1.08735,0.979183,1,1,1,0.995231,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[2.4097e+06,1.66968e+06]","[-0.402781,-0.594756]","[0.485057,-2.38043]","[2.60782e+06,1.97381e+06]","[0.00755882,0.0369301]","[-1,1]","[11,11]","[1,1]","[0,1609.88]","[4332.59,982.092]","[-0.00424438,-0.0126397]","[0.720653,0.933047]",19041.4,-2.91804,2,"[925105,22000.8]","[-0.344027,1.68445]","[3.1213,0.82625]","[980989,61451.7]","[0.90671,0.982972]","[0,0]","[0,0]","[-0.183956,-0.6534]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[26596.3,18038.1]",9707.5,"[13321.4,1638.12]","[]","[]","[]"
41,284500,1780,301217,1,0.00010351,19800,1.24168,0.967687,1,1,1,1,1.01508,1,1,0,0,2,"[0,0]","[1,1]","[1.01648e+06,993150]","[-1.74022,0.921191]","[-2.46952,0.680921]","[2.98544e+06,1.4452e+06]","[-0.00127411,0.0239716]","[-1,1]","[11,11]","[1,1]","[1278.03,0]","[5487.57,-1076.25]","[0.0362452,-0.0404403]","[4.08445,6.45575]",24043.4,0.436545,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29949.4,13264.1]",0,"[]","[]","[]","[]"
48,284500,437,301217,1,0.00010351,19800,0.619412,0.954476,1,1,1,1,1.00121,1,1,0,0,2,"[0,0]","[1,1]","[860697,860547]","[1.1721,-1.81732]","[-1.18288,1.98808]","[1.52278e+06,2.71838e+06]","[0.0127792,-0.119728]","[-1,1]","[11,11]","[1,1]","[0,1533.35]","[-3570.83,2585.3]","[-0.00346252,-0.0128573]","[0.585622,1.06827]",29202.9,0.346864,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12624.8,8958.72]",0,"[]","[]","[]","[]"
52,284500,896,301217,1,0.00010351,19800,0.738662,0.969242,1,1,1,1,1,1,1,0,0,2,"[0,0]","[1,1]","[1.89343e+06,1.89071e+06]","[-0.0719837,-0.724141]","[-0.449603,2.68337]","[1.89834e+06,2.40848e+06]","[0.0935421,0.0713558]","[-1,1]","[11,11]","[1,0]","[0,0]","[1008.04,-2745.84]","[-0.00567383,-0.0226]","[1.0509,1.68118]",35609.4,-2.20106,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[17017.9,17028.1]",21395.7,"[]","[]","[]","[]"
