event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
40,284500,287524,301220,1,0.0088801,983000,0.75088,1,0.988315,1,1,0.995551,0.973132,1,0,1,0,2,"[0,0]","[1,1]","[1.19871e+06,551954]","[-0.131124,0.904035]","[0.988312,-2.68751]","[1.20903e+06,793291]","[0.0310974,0.0597839]","[-1,1]","[13,13]","[1,1]","[0,0]","[-755.333,-245.105]","[-0.0033304,0.00446429]","[1.01314,1.03757]",52173.6,2.18873,2,"[785632,47510.5]","[1.24207,1.61715]","[-1.72542,-2.10459]","[1.47652e+06,124475]","[0.988156,1]","[0,0]","[0,0]","[-0.962245,-0.848401]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.08141e+06,26306.1]",10405.3,"[16011.9,2237.57]","[]","[]","[]"
151,284500,290063,301220,1,0.0088801,983000,1.26459,1,0.990702,1,1,0.998565,0.836587,1,0,1,0,2,"[0,0]","[1,1]","[1.10971e+06,891201]","[0.664089,0.934611]","[-2.48148,0.470038]","[1.36353e+06,1.3096e+06]","[-0.0217247,0.0430756]","[1,-1]","[13,13]","[1,1]","[0,0]","[-804.959,-826.569]","[0.0135797,-0.0224379]","[2.42679,6.03212]",159151,-2.44875,3,"[240379,228439,88656.6]","[-0.837323,0.972096,0.862156]","[0.459405,1.22392,2.63052]","[330513,346091,124055]","[1,0.995571,0.989407]","[0,0,0]","[0,0,0]","[-0.871188,-0.901833,-0.528629]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[246590,279276]",2202.03,"[6522.8,3681.04,5275.1]","[]","[]","[]"
586,284500,297026,301220,1,0.0088801,983000,1.24168,1,1.00004,1,1,1,0.989412,1,0,1,0,2,"[0,0]","[1,1]","[949204,756780]","[0.542353,-1.2973]","[-2.94775,0.183867]","[1.09226e+06,1.48808e+06]","[0.0025444,-0.0199051]","[1,-1]","[13,13]","[1,1]","[0,0]","[1225.63,-521.955]","[-0.00221885,-0.000331158]","[0.442544,0.045477]",193004,0.235105,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[124930,82340.6]",0,"[]","[]","[]","[]"
1054,284500,449947,301220,1,0.0088801,983000,0.923924,1,0.986509,1,1,0.999524,0.716555,1,0,1,0,2,"[0,0]","[1,1]","[1.0286e+06,1.02534e+06]","[-0.711879,-0.665235]","[1.27904,-1.97631]","[1.30043e+06,1.26071e+06]","[-0.0116589,-0.0556863]","[-1,1]","[13,13]","[1,1]","[0,0]","[3844.65,285.229]","[6.3784e-05,0.000732662]","[0.015302,0.168886]",92099.7,1.31411,1,"[113517]","[1.03601]","[-0.348735]","[180519]","[0.991891]","[0]","[0]","[-0.944039]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[199909,115481]",20045,"[2636.71]","[]","[]","[]"
1449,284500,300543,301220,1,0.0088801,983000,1.26459,1,0.992132,1,1,1,0.906811,1,0,1,0,2,"[0,0]","[1,1]","[1.08238e+06,996116]","[1.06731,0.268241]","[-0.8656,2.27728]","[1.75966e+06,1.03217e+06]","[-0.00943375,-0.00863266]","[-1,1]","[13,13]","[1,1]","[0,0]","[-123.276,264.258]","[0.0153073,-0.0121366]","[2.91459,2.67629]",73934.5,2.23031,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[244254,161276]",0,"[]","[]","[]","[]"
1597,284500,302248,301220,1,0.0088801,983000,1.32095,1,0.993469,1,1,0.99931,0.97172,1,0,1,0,2,"[0,0]","[1,1]","[649291,589689]","[2.08082,0.136917]","[2.67697,-0.220549]","[2.64128e+06,595225]","[0.0325775,-0.0141296]","[1,-1]","[13,13]","[1,1]","[0,0]","[-78.0519,-454.294]","[-0.0192716,0.0152994]","[4.07218,3.38296]",91792.3,-0.222261,1,"[152257]","[1.17645]","[-2.14749]","[270699]","[0.99]","[0]","[0]","[-0.930268]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[98270,12112.5]",1702.84,"[5202.66]","[]","[]","[]"
1692,284500,304361,301220,1,0.0088801,983000,1.74563,1,0.988918,1,1,1,0.933939,1,0,1,0,2,"[0,0]","[1,1]","[922967,880574]","[-0.15773,0.152445]","[1.84606,-1.28278]","[934472,890826]","[-0.0152068,0.0264053]","[-1,1]","[13,13]","[1,1]","[0,0]","[250.498,1215.37]","[0.00841097,-0.00934986]","[1.76656,2.53945]",36862.2,-1.40381,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[66865.8,250534]",0,"[]","[]","[]","[]"
1758,284500,306650,301220,1,0.0088801,983000,0.553627,1,0.995811,1,1,1,1.00034,1,0,1,0,2,"[0,0]","[1,1]","[1.11252e+06,619063]","[1.25392,-1.12397]","[2.37317,-0.78483]","[2.1079e+06,1.05304e+06]","[0.041328,-0.00121927]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1110.27,-242.936]","[-0.0150671,0.0170001]","[2.95708,4.40967]",470995,-0.70827,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[215048,153103]",1790.25,"[]","[]","[]","[]"
2414,284500,6391,301220,1,0.0088801,983000,1.25133,1,0.984432,1,1,1,1.01423,1,0,1,0,2,"[0,0]","[1,1]","[361959,311307]","[-1.50577,1.74579]","[1.39708,-1.75843]","[855940,919122]","[0.0264139,0.167466]","[1,-1]","[13,13]","[1,1]","[0,0]","[-82.7195,1714.76]","[-0.014618,0.00230241]","[2.88519,0.502001]",6675.25,-1.33874,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[21200.1,22718.4]",0,"[]","[]","[]","[]"
2426,284500,7181,301220,1,0.0088801,983000,1.1961,1,0.994664,1,1,0.999044,0.951198,1,0,1,0,2,"[0,0]","[1,1]","[1.11963e+06,817706]","[-0.098862,-0.737848]","[2.86461,-0.177642]","[1.12511e+06,1.05058e+06]","[-0.0302505,0.0192642]","[-1,1]","[13,13]","[1,1]","[4373.33,1101.16]","[1847.73,-443.751]","[0.00590296,-0.00247836]","[1.11222,0.580816]",27411.6,0.133858,2,"[333502,58998.5]","[-0.41763,1.23604]","[-0.718042,0.681508]","[365206,110615]","[0.983611,0.983747]","[0,0]","[0,0]","[-0.915085,-0.929446]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[257290,58452.2]",6318.78,"[5999.57,3488.52]","[]","[]","[]"
