event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,1277,301332,1,0.0086884,199800,0.506784,1,0.993047,1,1,0.985287,0.716018,1,0,1,0,2,"[1,1]","[1,0]","[121362,19307.5]","[-0.129749,-0.681675]","[0.328139,-1.93857]","[122385,23970.1]","[0.00738382,-0.00322294]","[1,-1]","[13,13]","[1,1]","[2618.16,0]","[186.653,-344.279]","[-0.00103338,-0.0149619]","[0.220451,1.33631]",472717,0.503042,3,"[627062,38551.4,37328.1]","[-1.44485,2.40628,0.100976]","[-2.69331,1.48808,-0.335116]","[1.40431e+06,215684,38282.3]","[0.990147,0.993455,0.993063]","[5,0,5]","[1,0,1]","[0.656117,-0.689613,0.818165]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[781.476,87.196]",48096.2,"[47238.5,3079.82,1399.2]","[]","[]","[]"
2,284500,48506,301332,1,0.0086884,199800,1.08735,0.979489,1,1,1,0.998586,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[598763,311084]","[-0.331816,0.625144]","[-1.39937,1.69741]","[632029,373877]","[-0.00407791,-0.00676346]","[1,-1]","[11,11]","[1,1]","[222188,3071.3]","[16073.4,-445.155]","[-0.00894462,0.000551103]","[1.05272,0.0835087]",421104,1.83784,2,"[64709.6,29943.8]","[1.45648,-1.33663]","[0.55937,-2.45659]","[146859,61025.2]","[0.969399,0.997454]","[0,0]","[0,0]","[-0.423491,-0.61618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4287.32,2671.44]",14210.3,"[5611.24,1984.47]","[]","[]","[]"
3,284500,49001,301332,1,0.0086884,199800,1.08735,0.96203,0.995207,1,1,1.05419,1.01508,1,1,1,0,2,"[1,0]","[1,1]","[210452,47642.3]","[-1.74141,-0.476042]","[-1.8435,1.01034]","[618801,53143.3]","[-0.0714722,-0.019474]","[1,-1]","[11,13]","[1,1]","[0,0]","[-1626.41,-344.081]","[0.0178633,-0.101506]","[2.00403,14.5984]",268379,0.894162,6,"[161764,78499.7,40437.6,26409.9,21328.6,20054.7]","[-0.444531,-2.44388,2.32559,-1.1122,-1.72257,-0.548929]","[1.70493,2.95844,2.45157,2.01546,1.89567,2.48101]","[178507,455818,208985,44644.8,61733.6,23699.6]","[0.994009,0.975055,0.99009,0.998882,0.943553,0.927192]","[5,0,0,0,0,4]","[1,0,0,0,0,0]","[0.41242,-0.611728,-0.766158,-0.817466,-0.916615,0.409157]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3590.59,245.564]",8605.5,"[7719.9,3590.71,5463.1,5098.1,1566.87,859.286]","[]","[]","[]"
4,284500,49208,301332,1,0.0086884,199800,0.934886,1.00336,1.00113,1,1,0.909077,1.02224,1,0,1,0,2,"[0,1]","[1,0]","[128407,13194.6]","[1.43205,-1.80452]","[-3.08362,-0.939034]","[284171,41177.8]","[-0.00746536,0.0536079]","[-1,1]","[13,11]","[1,1]","[0,0]","[176.413,397.02]","[-0.0128485,-0.0132643]","[2.42222,0.512565]",36165.9,1.19573,3,"[162085,57029.2,27453.8]","[-2.19473,1.09189,0.806279]","[0.282851,-1.86544,-2.80576]","[736742,94738.3,37361.3]","[0.996544,0.972271,0.99]","[5,5,0]","[1,1,0]","[0.95923,0.589604,-0.750258]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4694.18,92.838]",5668.64,"[6856.14,3306.73,5848.49]","[]","[]","[]"
5,284500,50222,301332,1,0.0086884,199800,1.08735,0.962145,1,1,1,0.954504,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[496312,252086]","[-1.07484,-0.987785]","[0.00420425,2.64567]","[811690,385400]","[0.0135231,0.0526314]","[1,-1]","[11,11]","[1,1]","[87019.9,3907.2]","[20822.8,5924.86]","[0.0155554,-0.0176654]","[2.41133,2.78695]",254287,1.1513,3,"[261280,51386,25827.3]","[-1.07408,0.309448,-0.509557]","[3.11203,-1.44382,-0.291633]","[427383,54431,29584.7]","[0.995191,0.99061,0.988357]","[5,0,0]","[1,0,0]","[0.988919,-0.775978,-0.736132]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6959.15,2804.65]",4617.33,"[2774.71,3425.99,2071.05]","[]","[]","[]"
6,284500,48576,301332,1,0.0086884,199800,1.08735,0.969545,1,1,1,1,0.99765,1,1,0,0,2,"[1,0]","[1,0]","[868670,293117]","[0.607433,-0.102282]","[1.41928,-1.74066]","[1.03392e+06,294651]","[-0.0602646,0.0889091]","[-1,1]","[11,11]","[1,1]","[164455,347561]","[25854.3,6005.9]","[0.0212228,-0.0334657]","[3.5034,3.57933]",234581,-1.72049,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8223.84,7101.89]",7405.48,"[]","[]","[]","[]"
7,284500,49310,301332,1,0.0086884,199800,0.934886,0.96709,0.993911,1,1,1.14811,1.00936,1,1,1,0,2,"[1,1]","[1,1]","[119507,92617.8]","[0.158902,0.0731359]","[1.83044,-1.40823]","[121019,92865.6]","[0.0946178,-0.00473404]","[-1,1]","[13,11]","[1,1]","[0,0]","[-424.443,-751.807]","[-0.0300338,0.0190371]","[5.54668,2.22689]",243132,1.62578,3,"[966587,714796,20341.4]","[-0.293896,-0.253549,0.643008]","[-1.22352,2.01206,0.203486]","[1.01134e+06,738518,24899.8]","[0.985125,0.960162,0.955551]","[5,5,0]","[1,1,0]","[-0.217299,-0.7213,-0.914968]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3045.03,559.942]",14591.8,"[15262.5,13682.9,7398.98]","[]","[]","[]"
8,284500,50936,301332,1,0.0086884,199800,0.934886,0.936508,1,1,1,0.999243,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[88828.5,49115.5]","[1.32153,-1.63026]","[0.105369,2.66029]","[178362,130182]","[-0.0974522,-0.0404205]","[-1,1]","[11,11]","[1,1]","[0,0]","[-969.267,-568.757]","[0.0293232,-0.0303919]","[2.9938,2.48711]",57151.9,0.0657415,2,"[33558.4,20146.7]","[-0.548429,0.362836]","[-2.77944,-3.00587]","[39339.3,21716]","[0.976775,0.973166]","[0,0]","[0,0]","[-0.887924,-0.91086]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[556.99,253.305]",4632.86,"[4416.08,1626.24]","[]","[]","[]"
9,284500,51925,301332,1,0.0086884,199800,1.74563,1,0.99097,1,1,1.0094,1.0265,1,0,1,0,2,"[1,1]","[1,0]","[50723,19700.4]","[1.12362,2.59385]","[1.50093,-1.81176]","[86256.1,132544]","[-0.00995636,-87.5531]","[-1,1]","[13,13]","[1,0]","[0,0]","[-652.374,-152.59]","[0.026571,1.47655]","[4.05558,0.28408]",126679,2.84617,3,"[151095,114977,64745.2]","[0.365406,0.94626,-0.454646]","[0.29316,-1.80604,-3.0043]","[161871,171097,72400.2]","[0.999349,0.99,1]","[5,5,0]","[1,1,0]","[0.997381,0.990099,-0.573638]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[323.501,49.5466]",11753.5,"[8239.3,8386.58,6511.82]","[]","[]","[]"
10,284500,51486,301332,1,0.0086884,199800,1.74563,0.90281,0.998731,1,1,0.969446,0.997022,1,0,1,0,2,"[1,0]","[1,0]","[92413.8,18325]","[1.56542,2.09124]","[1.25255,-1.65805]","[230742,75302]","[0.0142288,-0.169627]","[-1,1]","[13,11]","[1,1]","[0,0]","[215.953,-115.218]","[-0.00430479,-0.189224]","[0.610526,2.87386]",289128,-1.30946,3,"[288207,90377.7,37210.2]","[2.05587,1.78173,1.31642]","[1.6568,-1.97652,2.83503]","[1.14486e+06,276127,74689.5]","[0.990427,1,0.929712]","[5,5,0]","[1,1,0]","[0.98458,0.999714,-0.610069]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2618.29,114.591]",1948.5,"[3167.84,3646.61,2135.29]","[]","[]","[]"
