event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
13,284500,1489,305550,1,2.4052,49000,1.24168,1,0.993595,1,1,1,1.02233,1,0,1,0,2,"[0,0]","[1,1]","[340225,318451]","[-0.576085,-1.40592]","[-2.94275,0.21531]","[398260,688554]","[0.024086,0.0144348]","[-1,1]","[13,13]","[1,1]","[0,0]","[853.524,34.6892]","[0.0125155,0.000548147]","[2.27408,0.0986297]",22887.6,0.0746414,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6661.2,7496.23]",0,"[]","[]","[]","[]"
52,284500,1794,305550,1,2.4052,49000,1.24168,1,1.00812,1,1,0.996538,1.0102,1,0,1,0,2,"[0,0]","[1,1]","[453384,427580]","[1.24747,1.15487]","[0.584415,2.54209]","[854347,745849]","[0.0241013,0.0100822]","[-1,1]","[13,13]","[1,1]","[0,0]","[-304.071,-491.183]","[-0.00553037,-0.0092648]","[1.23281,2.0271]",78274.5,0.00502917,5,"[468024,174383,79463.4,43327.6,28398.5]","[1.19322,0.566034,-2.32926,-1.72984,-0.0818636]","[-1.69052,-2.04481,1.87124,0.664034,0.809646]","[842993,203483,412019,126189,29374.7]","[0.982551,0.991403,0.990765,1,0.989829]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.633096,-0.968779,-0.93826,-0.234372,-0.906265]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19489.6,45199.2]",2662.31,"[12583.7,2387.59,5069.55,2195.97,2406.45]","[]","[]","[]"
58,284500,593,305550,1,2.4052,49000,0.619412,1,1.00424,1,1,0.999659,1.00267,1,0,1,0,2,"[0,0]","[0,1]","[503010,344548]","[1.52487,1.27244]","[-0.188621,2.93971]","[1.21029e+06,663205]","[-0.0496902,-0.0235367]","[-1,1]","[13,13]","[1,1]","[0,0]","[-484.392,-536.798]","[0.00695951,-0.0116387]","[1.4526,2.30498]",184080,3.08125,1,"[29578]","[0.815273]","[0.544776]","[40152.2]","[1]","[0]","[0]","[-0.865161]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[97904.1,32511.8]",4221.45,"[5923.27]","[]","[]","[]"
62,284500,767,305550,1,2.4052,49000,0.619412,1,0.970584,1,1,0.999134,0.966758,1,0,1,0,2,"[0,0]","[0,1]","[460403,294759]","[-0.637377,-0.837542]","[-1.05047,2.25327]","[557132,404328]","[0.00298309,0.0109329]","[1,-1]","[13,13]","[1,1]","[0,0]","[930.172,238.742]","[0.00532064,-0.0017628]","[1.24845,0.387161]",78615,1.88958,2,"[116683,54326.9]","[-1.10894,-1.40796]","[1.33833,-2.25066]","[197089,118271]","[0.998303,0.992711]","[0,0]","[0,0]","[-0.912979,-0.899322]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[47782.5,15056.8]",6713.05,"[7749,2308.6]","[]","[]","[]"
75,284500,1145,305550,1,2.4052,49000,1.24168,1,0.992914,1,1,0.997359,0.916298,1,0,1,0,2,"[0,0]","[1,1]","[383684,228752]","[-1.3754,-0.325154]","[-1.2105,2.01553]","[807541,240951]","[-0.0156784,0.0444717]","[1,-1]","[13,13]","[1,1]","[0,6030.55]","[-466.565,4606.54]","[0.021415,-0.0252734]","[4.33518,5.33578]",106976,1.79445,3,"[93959.6,39080.7,20649.1]","[-2.13215,1.94312,2.11897]","[2.95858,0.125192,1.57859]","[401914,139432,87273]","[0.0025763,0.99012,0.990252]","[0,0,0]","[0,0,0]","[-0.690826,-0.918799,-0.868165]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23491.4,151.622]",3411.98,"[5732.45,3337.44,1374.32]","[]","[]","[]"
77,284500,758,305550,1,2.4052,49000,0.351687,1,0.990607,1,1,1,0.988683,1,0,1,0,2,"[0,0]","[1,1]","[371238,361113]","[-0.636437,-0.64437]","[2.90713,-0.2546]","[448996,438713]","[-0.000473022,-0.00292206]","[1,-1]","[13,13]","[1,1]","[0,0]","[-497.86,-1268.78]","[-0.0104144,0.0105381]","[2.4988,2.42016]",43071.3,-1.21968,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[44323.5,12052.3]",19637.1,"[]","[]","[]","[]"
91,284500,1104,305550,1,2.4052,49000,1.24168,1,0.979518,1,1,0.999853,1.02219,1,0,1,0,2,"[0,0]","[1,1]","[287327,284458]","[0.404248,1.89447]","[-0.89224,2.44851]","[311125,967074]","[-0.0171089,-0.0819092]","[1,-1]","[13,13]","[1,1]","[1397.69,0]","[-799.098,-474.55]","[-0.00348687,0.00143036]","[0.698412,0.286702]",22460.8,-1.09343,1,"[38744]","[0.392147]","[-1.60404]","[42549.2]","[0.988621]","[0]","[0]","[-0.889231]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[40499.4,12133.6]",1150.38,"[5082.58]","[]","[]","[]"
109,284500,1918,305550,1,2.4052,49000,1.55465,1,0.98533,1,1,0.999225,1.02582,1,0,1,0,2,"[0,0]","[1,0]","[360216,210435]","[1.9147,1.55803]","[-2.76157,1.11364]","[1.24856e+06,521877]","[-0.000883102,0.061069]","[1,-1]","[13,13]","[1,1]","[0,0]","[-304.375,-304.375]","[-0.0011529,0.0026769]","[0.196957,0.380845]",25171,-1.40979,1,"[189188]","[0.454476]","[-0.629845]","[209750]","[0.996897]","[0]","[0]","[-0.957819]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[71665.8,18121.9]",13996.2,"[2438.99]","[]","[]","[]"
120,284500,711,305550,1,2.4052,49000,0.738662,1,0.990188,1,1,0.99981,0.909407,1,0,1,0,2,"[0,0]","[1,1]","[516919,336408]","[0.484908,-0.0773379]","[-1.40173,1.97042]","[578892,337415]","[0.0704765,0.0936127]","[1,-1]","[13,13]","[1,1]","[0,0]","[-478.049,-9.0708]","[0.00457664,0.000739296]","[1.03105,0.137054]",141012,1.73544,1,"[91053.6]","[-0.0998611]","[0.470402]","[93318.6]","[0.895993]","[0]","[0]","[-0.938791]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[167881,12094.9]",760.625,"[3219.58]","[]","[]","[]"
131,284500,1113,305550,1,2.4052,49000,1.24168,1,0.982847,1,1,1.00185,1.01134,1,0,1,0,2,"[0,0]","[1,1]","[316949,230772]","[1.74392,0.069112]","[0.45465,-2.59469]","[934141,231323]","[0.00314093,0.0515265]","[-1,1]","[13,13]","[1,1]","[0,1480.34]","[79.1123,-305.981]","[-0.010642,0.00389522]","[2.31661,0.952611]",54466.9,-2.98767,1,"[32466.5]","[2.17515]","[-2.61729]","[144787]","[0.999319]","[4]","[0]","[0.571798]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9636.73,5556.25]",781.406,"[1459.27]","[]","[]","[]"
140,284500,781,305550,1,2.4052,49000,0.619412,1,0.990508,1,1,1,0.968027,1,0,1,0,2,"[0,0]","[1,1]","[272492,214859]","[0.291562,2.19426]","[-1.69259,1.44754]","[284156,975981]","[0.0140114,0.138195]","[-1,1]","[13,13]","[1,1]","[0,2066.65]","[-468.077,25.0481]","[-0.00752508,1.31704e-06]","[1.40802,0.00032527]",90849.4,2.1205,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[38061.8,16833.7]",764.227,"[]","[]","[]","[]"
141,284500,699,305550,1,2.4052,49000,0.738662,1,0.999052,1,1,0.997995,0.890319,1,0,1,0,2,"[0,0]","[0,1]","[380727,257260]","[1.59649,0.707541]","[2.78392,-0.718642]","[978139,324386]","[-0.0706639,-0.0749943]","[1,-1]","[13,13]","[1,1]","[1415.86,0]","[-558.495,-640.102]","[0.0083179,-0.0157]","[1.31309,3.47732]",7852.24,-0.163346,3,"[122610,42666.7,20777.9]","[2.46993,-0.125277,2.06569]","[1.30222,0.852042,1.08984]","[730268,43751.3,83405.3]","[0.998976,0.987259,0.925166]","[0,0,0]","[0,0,0]","[-0.522714,-0.873804,-0.672318]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[120922,4806.82]",12312,"[3070.3,4045.64,1117.47]","[]","[]","[]"
176,284500,3661,305550,1,2.4052,49000,1.21412,1,1.00049,1,1,0.996923,0.992957,1,0,1,0,2,"[0,0]","[0,1]","[439429,342951]","[0.024531,0.521549]","[2.48442,-0.754404]","[439562,390661]","[-0.0450134,0.0305481]","[1,-1]","[13,13]","[0,1]","[0,1069.52]","[427.571,-362.521]","[0.0219009,-0.0100115]","[2.65489,1.7472]",182079,-0.84893,3,"[64447.8,26538.8,25379.4]","[-0.929787,-1.44566,-1.34639]","[1.84795,1.64506,2.1034]","[94789.5,59552.1,52159.4]","[0.991607,1,0.994712]","[0,0,0]","[0,0,0]","[-0.962431,-0.821902,-0.81557]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[16284.2,43373.4]",1117.78,"[3647.43,2058.01,1714.52]","[]","[]","[]"
