event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,386,305574,1,0.011387,50001.2,0.351687,1,0.991061,1,1,0.998406,0.967734,1,0,1,0,2,"[0,0]","[1,1]","[871725,869183]","[-0.666663,0.630797]","[0.724177,-2.43725]","[1.07272e+06,1.04792e+06]","[0.0283928,-0.0140953]","[-1,1]","[13,13]","[1,1]","[0,2094.55]","[2138.15,-475.213]","[0.0353334,-0.038226]","[7.47692,8.40974]",30400.3,0.201058,1,"[26056.1]","[-2.38463]","[-1.97828]","[142780]","[0.965266]","[0]","[0]","[-0.802359]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[174897,137979]",28728.7,"[2835.51]","[]","[]","[]"
3,284500,671,305574,1,0.011387,50001.2,0.351687,1,0.98957,1,1,0.999624,0.91127,1,0,1,0,2,"[0,0]","[1,1]","[1.20356e+06,888914]","[-0.422556,-0.273257]","[-1.45306,1.71881]","[1.31262e+06,922308]","[0.000967979,0.0778614]","[1,-1]","[13,13]","[1,1]","[0,0]","[-50.7941,-210.978]","[-0.0187519,0.0161234]","[3.50508,3.67732]",352094,1.72666,1,"[52398.3]","[1.67349]","[-0.529935]","[144899]","[0.996616]","[0]","[0]","[-0.832778]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[258310,107861]",2599.56,"[4666.9]","[]","[]","[]"
7,284500,138,305574,1,0.011387,50001.2,0.553627,1,0.988329,1,1,1.00448,0.878788,1,0,1,0,2,"[0,0]","[1,1]","[926097,861802]","[-0.600679,-0.287805]","[-1.84722,0.760123]","[1.09826e+06,897741]","[0.0145979,0.00788498]","[1,-1]","[13,13]","[1,1]","[0,0]","[-190.752,-1247.22]","[-0.0022755,0.0245561]","[0.516735,5.56673]",194534,0.597019,4,"[475812,114401,31100.7,30438.2]","[-1.51042,0.909788,1.42523,0.857997]","[2.59526,-0.73301,-2.12173,2.88834]","[1.13042e+06,165987,68678.4,42703.6]","[0.999379,1,1,0.985983]","[0,0,4,4]","[0,0,0,0]","[-0.937632,-0.925553,0.670763,-0.177207]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19202.8,94788.8]",3197.42,"[10783.5,2555.48,3282.4,7661.99]","[]","[]","[]"
23,284500,1736,305574,1,0.011387,50001.2,1.26205,1,0.99782,1,1,0.999683,0.92836,1,0,1,0,2,"[0,0]","[1,1]","[1.3955e+06,1.03477e+06]","[1.20492,1.11051]","[2.23548,-0.940888]","[2.53717e+06,1.74116e+06]","[0.00753784,-0.0129013]","[1,-1]","[13,13]","[1,1]","[1140.53,0]","[-535.849,-535.849]","[0.0192858,-0.0192222]","[4.50948,4.30901]",327944,-0.939916,1,"[52307.7]","[-1.29392]","[0.154451]","[102601]","[0.640481]","[0]","[0]","[-0.913125]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[687668,242202]",1486.22,"[3959.09]","[]","[]","[]"
42,284500,837,305574,1,0.011387,50001.2,0.696077,1,0.990991,1,1,0.99952,0.917491,1,0,1,0,2,"[0,0]","[1,1]","[1.48106e+06,1.36074e+06]","[-0.147789,-0.322173]","[-0.834704,2.29525]","[1.49726e+06,1.43197e+06]","[0.066803,0.0227318]","[1,-1]","[13,13]","[1,1]","[0,0]","[490.235,-770.725]","[0.017653,-0.0155473]","[3.97813,3.17593]",105669,2.23002,1,"[21382.4]","[0.466857]","[3.13844]","[24299.9]","[0.657547]","[0]","[0]","[-0.886132]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[555176,94059.4]",14368.4,"[1154.67]","[]","[]","[]"
57,284500,280,305574,1,0.011387,50001.2,0.619412,1,0.995528,1,1,1,0.943895,1,0,1,0,2,"[0,0]","[1,1]","[1.12382e+06,938988]","[1.08916,0.43169]","[-3.08957,0.0461859]","[1.85896e+06,1.02785e+06]","[-0.00632858,0.00448608]","[1,-1]","[13,13]","[1,1]","[1380.82,0]","[188.755,-273.117]","[-0.00288636,0.00504391]","[0.757798,1.29263]",159057,0.110538,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.43611e+06,135671]",6158.97,"[]","[]","[]","[]"
62,284500,207,305574,1,0.011387,50001.2,0.738662,1,0.989415,1,1,1.10583,0.961152,1,0,1,0,2,"[0,0]","[1,1]","[1.30446e+06,1.29582e+06]","[0.323923,0.244831]","[2.6273,-1.00283]","[1.3735e+06,1.33485e+06]","[-0.0268345,-0.00930023]","[1,-1]","[13,13]","[1,1]","[0,0]","[-330.46,-990.245]","[0.000716298,-0.0138168]","[0.169806,3.21872]",271975,1.45039,3,"[591791,55586.2,52569.7]","[0.229212,-1.56385,-2.22745]","[0.353362,3.138,3.12412]","[608333,139037,246745]","[0.99692,0.986534,0.991752]","[4,0,0]","[0,0,0]","[0.939843,-0.784938,-0.546302]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[115316,1.29431e+06]",2755.12,"[10378.7,2318.01,2406.2]","[]","[]","[]"
94,284500,1783,305574,1,0.011387,50001.2,1.24168,1,0.990841,1,1,1,0.984831,1,0,1,0,2,"[0,0]","[1,1]","[409981,366981]","[-1.32892,1.78951]","[-0.260594,2.88406]","[828516,1.12912e+06]","[-0.0436783,-0.0284691]","[-1,1]","[13,13]","[1,1]","[0,0]","[666.96,-440.557]","[-0.0128739,0.0159755]","[3.12585,3.32283]",34368.5,2.89917,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15003,35110.8]",0,"[]","[]","[]","[]"
98,284500,169,305574,1,0.011387,50001.2,0.187531,1,0.968097,1,1,0.999239,1.05163,1,0,1,0,2,"[0,0]","[1,0]","[1.22099e+06,1.06602e+06]","[-0.679393,-0.506112]","[-1.10831,2.02226]","[1.51378e+06,1.20549e+06]","[-0.103607,-0.19738]","[1,-1]","[13,13]","[1,1]","[0,1133.43]","[9.6825,612.436]","[-0.00870699,0.00457932]","[1.96424,1.08346]",40030.7,1.66101,2,"[134603,24353.2]","[2.16409,-0.297332]","[2.40617,-0.0670152]","[593782,25736.9]","[0.995954,0.654047]","[0,0]","[0,0]","[-0.567208,-0.771353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[498399,90875.6]",3277.83,"[5145.1,1742.62]","[]","[]","[]"
114,284500,1271,305574,1,0.011387,50001.2,1.55465,1,0.981612,1,1,0.999038,0.859979,1,0,1,0,2,"[0,0]","[1,1]","[3.91119e+06,1.06102e+06]","[0.259411,0.240791]","[-2.32105,0.796793]","[4.04353e+06,1.09192e+06]","[-0.000896454,-0.175587]","[1,-1]","[13,13]","[1,1]","[0,0]","[-508.262,998.987]","[0.00689131,-0.0065548]","[1.37908,1.05739]",2.89021e+06,0.820623,2,"[23488,22060.7]","[-0.780138,-1.11518]","[-2.57089,3.07786]","[31165.7,37727.9]","[0.986559,0.834415]","[0,0]","[0,0]","[-0.880486,-0.768539]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8.67211e+07,286435]",6235.25,"[2025.55,1659.13]","[]","[]","[]"
