event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,72,306085,1,0.1424,10000,0,1,0.99121,1,1,1,0.928946,1,0,1,0,2,"[1,1]","[1,0]","[64082.5,22506.6]","[0.268283,-1.54667]","[-0.310491,-1.77641]","[66402.6,55240]","[-0.0092392,-0.00118256]","[-1,1]","[13,13]","[1,1]","[1156.35,0]","[766.727,-238]","[0.0123344,-0.00198131]","[1.95509,0.185285]",56209.2,2.42761,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[507.655,101.319]",7841.33,"[]","[]","[]","[]"
2,284500,211,306085,1,0.1424,10000,0.351687,0.931081,1,1,1,0.999435,0.98743,1,1,0,0,2,"[1,1]","[1,0]","[85590.1,12724.8]","[-0.0726056,-1.31645]","[-1.19672,1.02142]","[85815.8,25438.3]","[104.32,104.251]","[1,-1]","[11,11]","[1,0]","[0,0]","[2786.42,543.07]","[-0.0170726,0.0175512]","[2.37721,0.428735]",220299,1.17722,2,"[33572.8,29737.1]","[0.46263,-0.3591]","[-2.17937,-2.48738]","[37847.5,32295.5]","[0.968703,0.9654]","[0,0]","[0,0]","[-0.843514,-0.876837]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[691.662,233.71]",5767.8,"[2304.44,1919.24]","[]","[]","[]"
5,284500,425,306085,1,0.1424,10000,0.553627,0.932182,1,1,1,1,1.00121,1,1,0,0,2,"[1,1]","[1,1]","[192769,29147.2]","[-1.81485,-0.787572]","[-0.0126381,0.305038]","[607516,38663.8]","[-0.0414658,0.00811005]","[-1,1]","[11,11]","[1,1]","[0,0]","[1741.83,1141.31]","[0.013863,0.0240093]","[1.35892,1.54534]",218510,-3.11323,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2466.25,294.508]",0,"[]","[]","[]","[]"
7,284500,586,306085,1,0.1424,10000,0.619412,1,0.996087,1,1,0.99998,0.989061,1,0,1,0,2,"[1,1]","[1,1]","[78826.6,48429.7]","[2.08039,2.10494]","[-0.35324,1.31884]","[320528,201673]","[-0.0653992,-0.0869827]","[1,-1]","[13,13]","[1,1]","[0,0]","[1082.32,-1181.38]","[0.0202948,-0.0281204]","[2.94939,2.82635]",74124.5,-3.00247,1,"[47367.4]","[-0.382294]","[2.96811]","[51907.5]","[0.935088]","[0]","[0]","[-0.920617]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3373.57,631.718]",3848.7,"[5458.4]","[]","[]","[]"
8,284500,636,306085,1,0.1424,10000,0.619412,1,0.983444,1,1,0.99998,0.939087,1,0,1,0,2,"[1,1]","[1,0]","[50228.9,14230.1]","[1.89033,-0.392202]","[1.59718,-2.17528]","[170090,15339.1]","[-0.0202408,-0.0354881]","[1,-1]","[13,13]","[1,1]","[0,0]","[-141.542,1439.59]","[0.0197155,0.00864106]","[1.82276,0.721531]",137240,-1.5481,1,"[47328.8]","[-0.662942]","[2.7866]","[58486.5]","[1]","[0]","[0]","[-0.784525]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[728.135,60.0856]",22230.4,"[2658.27]","[]","[]","[]"
9,284500,680,306085,1,0.1424,10000,0.619412,0.949432,1,1,1,1,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[108595,32554.6]","[0.100896,-0.389029]","[0.449385,-1.15597]","[109148,35049.3]","[0.00853825,-0.00142193]","[-1,1]","[11,11]","[1,1]","[0,0]","[2506.69,991.224]","[-0.0190308,0.00884798]","[1.95257,0.779729]",106053,-2.94077,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[358.468,64.4594]",0,"[]","[]","[]","[]"
12,284500,1016,306085,1,0.1424,10000,0.00279311,1,0.987639,1,1,1,0.945975,1,0,1,0,2,"[1,1]","[1,1]","[70646.4,46881.4]","[-2.42448,-1.67442]","[-0.541881,-2.07195]","[402150,129466]","[0.0353622,-0.0611725]","[-1,1]","[13,13]","[1,1]","[0,0]","[0,0]","[0.00773541,0.000742355]","[1.06666,0.0904262]",101377,2.23234,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1003.21,849.311]",2216.02,"[]","[]","[]","[]"
13,284500,1100,306085,1,0.1424,10000,0.402058,0.93845,1,1,1,0.999684,1.01265,1,1,0,0,2,"[1,1]","[1,0]","[142865,13905.6]","[1.73782,0.982866]","[2.16462,-0.272487]","[418652,21180.5]","[-0.00453568,-0.0327911]","[1,-1]","[11,11]","[1,1]","[0,0]","[-875.671,1057.62]","[-0.0138595,0.0585718]","[1.54972,2.98964]",122732,-1.34322,1,"[31725.4]","[-1.12061]","[0.186946]","[53986.1]","[0.9937]","[0]","[0]","[-0.904876]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1464.79,108.264]",2557.25,"[2033.34]","[]","[]","[]"
15,284500,1221,306085,1,0.1424,10000,0.934886,1,0.983421,1,1,0.998795,0.989879,1,0,1,0,2,"[1,1]","[1,1]","[70633.6,38287.3]","[1.75327,2.29743]","[0.351997,-1.64505]","[210016,192377]","[-0.0269585,-0.0688534]","[1,-1]","[13,13]","[1,1]","[0,0]","[91.1993,-144.644]","[0.013435,0.0180382]","[1.56501,1.93688]",53394.4,2.77105,1,"[32876]","[1.63676]","[-2.37512]","[87736.7]","[0.607857]","[0]","[0]","[-0.900162]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[923.866,644.61]",20164.2,"[1426.26]","[]","[]","[]"
16,284500,1260,306085,1,0.1424,10000,0.934886,0.916061,1,1,1,1.13779,1.0005,1,1,0,0,2,"[1,1]","[1,1]","[163578,26259.8]","[2.27564,2.22149]","[-2.69505,-1.17104]","[804551,122495]","[-0.0681763,-0.0661926]","[1,-1]","[11,11]","[1,1]","[0,0]","[-7.24667,2973.51]","[-0.00909104,-0.012676]","[0.698542,1.00601]",130737,-1.49968,1,"[260482]","[0.792536]","[0.932818]","[347115]","[0.981076]","[0]","[0]","[0.922265]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2139.19,251.33]",3579.82,"[5026.52]","[]","[]","[]"
