event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,58,341155,1,0.0290677,2.0788e+06,0,0.95205,0.99237,1,1,1.02439,0.957951,1,0,1,0,2,"[0,0]","[1,0]","[46500,9306.89]","[1.89496,2.36418]","[1.50932,-2.81468]","[158161,49928.2]","[0.357981,0.0521984]","[-1,1]","[13,11]","[1,1]","[0,1295.83]","[1013.21,1803.11]","[0.139485,0.0120572]","[16.006,0.177624]",45296.9,2.61193,2,"[78167.8,47706.6]","[-1.24075,1.53342]","[-0.425021,-2.42949]","[147168,115940]","[0.995436,0.996389]","[5,0]","[0,0]","[0.999627,-0.282201]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[146.163,114.738]",15444.2,"[4202.14,6228.82]","[]","[]","[]"
585,284500,345753,341155,1,0.0290677,2.0788e+06,1.22586,1.01425,0.994288,1,1,0.998463,0,1,0,1,0,2,"[0,0]","[1,0]","[25176.3,8619.27]","[1.59152,0.252862]","[-1.23884,-2.99383]","[64386.3,8896.29]","[0.324943,-0.090775]","[1,-1]","[13,11]","[1,1]","[0,0]","[-280.914,80.6522]","[-0.0488659,0.118336]","[5.45242,7.57595]",109349,-1.71636,2,"[43242.8,23843.1]","[0.165375,1.27044]","[1.24228,1.09549]","[44391,45964]","[0.99144,0.781616]","[0,0]","[0,0]","[-0.921931,-0.873812]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[140.679,128.304]",3061.02,"[3854.3,2607.94]","[]","[]","[]"
715,284500,354256,341155,1,0.0290677,2.0788e+06,1.25133,0.96322,1.00042,1,1,1,0.993086,1,0,1,0,2,"[0,0]","[1,0]","[46286,12816.8]","[1.5625,-0.654912]","[-0.553162,2.57051]","[115261,15665.1]","[0.0655193,-0.0613785]","[1,-1]","[13,11]","[1,1]","[0,0]","[143.662,43.0281]","[-0.00295136,0.0495986]","[0.342785,2.37308]",27246,-0.707454,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[291.247,118.308]",469.6,"[]","[]","[]","[]"
808,284500,356262,341155,1,0.0290677,2.0788e+06,1.26459,0.95884,0.996487,1,1,0.998139,0.95437,1,1,1,0,2,"[0,0]","[1,1]","[38385.4,33323.5]","[-0.6193,-0.134858]","[2.92718,0.598408]","[45984.8,33627.2]","[-0.0343065,0.0321589]","[1,-1]","[11,13]","[1,1]","[0,0]","[438.567,-515.617]","[-0.0234382,0.0194994]","[2.264,2.87667]",40858,-2.76796,2,"[59599.9,20961.4]","[1.8843,-2.25197]","[-0.36944,1.9616]","[200710,100824]","[0.991848,0.902502]","[0,0]","[0,0]","[-0.893916,-0.638461]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[52.4937,165.87]",2236.74,"[3207.19,1153.58]","[]","[]","[]"
840,284500,357587,341155,1,0.0290677,2.0788e+06,1.25133,0.94943,0.996435,1,1,0.996199,0.984797,1,0,1,0,2,"[0,0]","[1,1]","[41393.5,30457.5]","[1.25631,2.37002]","[-1.48109,-2.54362]","[78588.8,164335]","[0.201132,0.116714]","[1,-1]","[11,13]","[1,1]","[0,0]","[272.175,-190.191]","[-0.058646,-0.0754244]","[3.49088,5.71999]",81900.2,-1.82546,1,"[39226.3]","[-0.060607]","[-1.40492]","[40166.1]","[0.999021]","[4]","[0]","[-0.588151]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[39.4038,178.522]",3905.95,"[1316.5]","[]","[]","[]"
947,284500,365498,341155,1,0.0290677,2.0788e+06,1.22586,1,0.976817,1,1,1,0.975961,1,0,1,0,2,"[0,0]","[1,0]","[68917.1,18717.7]","[1.61164,1.71037]","[-2.30244,0.309376]","[179548,53456.1]","[-0.0427704,0.031044]","[1,-1]","[13,13]","[1,1]","[0,0]","[-164.97,437.432]","[-0.0174058,0.00200524]","[2.45432,0.149033]",31891.2,0.256929,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[467.811,73.4423]",2967.7,"[]","[]","[]","[]"
1109,284500,137154,341155,1,0.0290677,2.0788e+06,0.553627,0.90266,1.00098,1,1,1.00994,0.98387,1,0,1,0,2,"[0,0]","[1,0]","[28487.7,17803]","[-1.34218,-1.09398]","[-2.30968,1.74321]","[58238.3,29562.2]","[0.722565,-0.0212936]","[1,-1]","[13,11]","[1,1]","[0,0]","[-901.709,3212.54]","[0.118667,-0.0103231]","[11.274,0.811457]",63227.2,-2.42425,2,"[97489.5,20549.4]","[-0.747845,2.12312]","[0.565439,-2.32452]","[126482,87130.3]","[0.985294,0.809972]","[0,4]","[0,0]","[-0.948605,-0.54087]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[110.959,339.876]",18722.8,"[2657.45,992.676]","[]","[]","[]"
1346,284500,612,341155,1,0.0290677,2.0788e+06,1.26205,0.97095,0.996423,1,1,1,0.99593,1,1,0,0,2,"[0,0]","[1,0]","[37141.4,30834.8]","[-0.262497,-0.748321]","[-0.749212,2.02946]","[38428.4,39879]","[-0.0378036,-0.0290756]","[-1,1]","[11,13]","[1,1]","[0,0]","[505.354,-319.268]","[0.0569521,0.0105617]","[5.15836,1.13297]",18771.9,-0.330717,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[106.508,38.7441]",1427.72,"[]","[]","[]","[]"
1722,284500,344722,341155,1,0.0290677,2.0788e+06,1.32095,1.01425,0.995413,1,1,0.989171,0.96932,1,0,1,0,2,"[0,0]","[1,0]","[45240.9,8524.1]","[2.47122,0.184907]","[2.0203,-2.40694]","[269667,8670.24]","[-0.110687,0.179512]","[-1,1]","[13,11]","[1,1]","[0,0]","[-288.963,-60.7874]","[0.00372962,0.0436479]","[0.301749,1.3945]",7991.02,2.86631,1,"[135719]","[1.30544]","[0.22923]","[268942]","[0.995881]","[4]","[0]","[-0.572298]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[569,56.8878]",3005.71,"[9047.89]","[]","[]","[]"
2467,284500,44865,341155,1,0.0290677,2.0788e+06,1.32095,0.909301,1,1,1,0.998805,0.96201,1,1,0,0,2,"[0,0]","[1,1]","[45531.4,29057.2]","[0.929032,2.28425]","[2.52368,-2.75079]","[66635,144125]","[0.0207787,0.100742]","[-1,1]","[11,11]","[1,1]","[0,0]","[1775.94,140.494]","[-0.010159,0.0417227]","[0.869362,3.24721]",66401.5,3.11898,1,"[34792.7]","[-2.4065]","[-0.17294]","[194660]","[0.943181]","[0]","[0]","[-0.87019]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.1904,613.467]",3073.66,"[2523.65]","[]","[]","[]"
