event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
68,284500,307,345323,3.74992,1.90588,4.38999e+06,0.553627,0.90349,0.998063,1,1,0.999198,0.9335,1,0,1,0,2,"[1,1]","[1,0]","[54960.8,16075.4]","[-0.9779,-1.88393]","[1.4045,2.41938]","[83402.1,54104.5]","[0.00599289,-0.0421677]","[-1,1]","[13,11]","[1,0]","[0,0]","[-1110.26,75.9038]","[-0.0172779,-0.0178722]","[2.70635,0.707395]",7078.51,1.19208,2,"[52717.2,45088]","[1.34895,-1.28901]","[-1.19877,-2.16636]","[109012,88326.5]","[0.997227,0.982782]","[0,0]","[0,0]","[-0.88612,-0.919383]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[93.0099,188.703]",4561.65,"[4756.91,2501.78]","[]","[]","[]"
76,284500,3976,345323,3.74992,1.90588,4.38999e+06,0.696077,0.96558,0.997954,1,1,0.998561,0.99746,1,1,0,0,2,"[1,1]","[1,0]","[73555.6,11889.4]","[-1.6129,-0.703743]","[-2.7351,2.71433]","[191857,14957.4]","[-0.0441555,-0.0890161]","[-1,1]","[11,13]","[1,1]","[0,0]","[-427.444,-348.473]","[0.0100124,0.00717868]","[0.863473,0.451053]",53368.5,0.641121,2,"[51505,36599.6]","[-2.35213,1.51904]","[1.6179,-0.0240293]","[273096,87837.5]","[0.999448,0.997877]","[0,0]","[0,0]","[-0.892023,-0.796889]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1301.75,80.9878]",3738.46,"[2662.52,6367.45]","[]","[]","[]"
153,284500,4591,345323,3.74992,1.90588,4.38999e+06,1.21412,0.99093,1.00036,1,1,0.999873,1.00306,1,1,0,0,2,"[1,1]","[1,0]","[103974,10006.9]","[1.02447,2.20237]","[2.12257,1.27475]","[163478,45816.6]","[-0.0397949,0.0138092]","[-1,1]","[11,13]","[1,1]","[1210.47,0]","[-1191.25,43.9315]","[0.00252271,-0.0253125]","[0.241728,1.15381]",17237.9,0.910398,1,"[115287]","[2.2806]","[-1.15907]","[569906]","[0.998344]","[0]","[0]","[-0.945176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1165.84,68.4359]",59.1875,"[3328.16]","[]","[]","[]"
274,284500,7038,345323,3.74992,1.90588,4.38999e+06,1.25133,1,0.997727,1,1,0.982176,0.867828,1,0,1,0,2,"[1,1]","[1,1]","[59278.7,40104.9]","[-1.09842,-1.5406]","[2.18327,1.63874]","[98782.4,97889.1]","[-0.0258026,0.0990906]","[1,-1]","[13,13]","[0,1]","[0,0]","[-417.916,-264.149]","[-0.0012801,-0.0176775]","[0.14437,1.56482]",31144.6,0.720896,1,"[59679.7]","[1.21824]","[-1.88088]","[110003]","[0.900544]","[4]","[0]","[0.784987]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1455.38,515.31]",2998.18,"[4028.44]","[]","[]","[]"
475,284500,580820,345323,3.74992,1.90588,4.38999e+06,0.696077,0.929989,1,1,1,0.97759,1.00324,1,1,0,0,2,"[1,1]","[1,0]","[33121.2,14237.3]","[0.387894,0.529239]","[-1.90294,2.8236]","[35644.3,16278.2]","[0.0413113,-0.155097]","[1,-1]","[11,11]","[1,1]","[0,0]","[1032.08,2093.22]","[0.0289455,0.00217259]","[2.22086,0.128966]",69431.2,0.572109,2,"[77403.2,23079.6]","[-2.06425,1.05003]","[-2.65379,0.902621]","[309994,37220.5]","[0.9877,0.999853]","[4,0]","[0,0]","[-0.392778,-0.893252]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[380.444,128.592]",10749,"[4624.82,2718.17]","[]","[]","[]"
640,284500,1140832,345323,3.74992,1.90588,4.38999e+06,1.26459,0.94196,0.991986,1,1,0.999589,0.9876,1,1,0,0,2,"[1,1]","[1,0]","[32991.6,11365.6]","[-1.92738,-1.11674]","[2.61524,-1.60422]","[115751,19220.8]","[-0.00770533,0.0464445]","[-1,1]","[11,13]","[1,1]","[0,0]","[526.74,-867.757]","[0.0202507,-0.0203798]","[1.16543,1.6403]",107899,1.12959,2,"[81157.1,27251.9]","[-1.99795,0.860667]","[-1.84089,-1.52663]","[304871,38179]","[0.99791,0.963345]","[0,0]","[0,0]","[-0.928735,-0.650857]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[233.216,36.5157]",7946.95,"[8264.73,1787.13]","[]","[]","[]"
689,284500,1140927,345323,3.74992,1.90588,4.38999e+06,1.32095,0.90266,1.0012,1,1,1,1.0226,1,0,1,0,2,"[0,1]","[1,0]","[25508.7,15334]","[-1.46377,-1.35384]","[0.243404,-2.32148]","[58078.3,31668.5]","[0.190791,0.116262]","[1,-1]","[13,11]","[1,1]","[0,0]","[347.035,-349.799]","[-0.0365035,-0.00894487]","[3.44413,0.648124]",75457.5,0.61659,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[193.043,141.024]",10128.9,"[]","[]","[]","[]"
779,284500,1145975,345323,3.74992,1.90588,4.38999e+06,1.25133,0.96228,0.999456,1,1,1.21374,0.96307,1,1,1,0,2,"[1,0]","[1,1]","[39878.6,33744.6]","[-1.02151,-1.49348]","[-0.141431,-0.978079]","[62558.1,78914.6]","[-0.0194321,-0.0505943]","[-1,1]","[11,13]","[1,1]","[0,0]","[-975.55,-119.89]","[0.0224518,0.00380094]","[1.51109,0.363745]",17505,0.882517,1,"[62682.1]","[1.8838]","[-2.22723]","[211004]","[0.997613]","[4]","[0]","[0.874879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[496.782,180.876]",5963.01,"[3687.28]","[]","[]","[]"
892,284500,1158658,345323,3.74992,1.90588,4.38999e+06,0.553627,1,1.00062,1,1,0.999309,0.961178,1,0,1,0,2,"[1,1]","[1,1]","[45107.4,33508.7]","[1.41091,1.58557]","[-2.68324,-2.23143]","[97964.2,85228.1]","[-0.0305862,-0.0147781]","[-1,1]","[13,13]","[1,1]","[0,0]","[-345.188,-127.218]","[-0.00208995,-0.0109645]","[0.26062,1.1905]",28693.7,2.67118,1,"[42862.2]","[-1.89862]","[0.363735]","[146388]","[0.993]","[0]","[0]","[-0.75483]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[281.96,103.683]",1986.44,"[2210.74]","[]","[]","[]"
1024,284500,69910,345323,3.74992,1.90588,4.38999e+06,1.1961,0.96156,1,1,1,1,1,1,1,0,0,2,"[1,1]","[1,0]","[29193.9,21574.1]","[0.859411,-0.0955835]","[2.70541,-0.747879]","[40655.1,21672.7]","[0.0148373,0.0110841]","[1,-1]","[11,11]","[0,1]","[0,0]","[80.3057,373.572]","[-0.0604597,0.00945177]","[0.826911,0.8025]",49310.5,-0.587031,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[178.509,188.735]",4745.26,"[]","[]","[]","[]"
