event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
19,284500,5947,345325,0.876891,0.86202,212083,0.402058,1,0.991547,1,1,1.0054,0.993383,1,0,1,0,2,"[1,1]","[1,0]","[25878.4,11729.1]","[-2.14869,-1.06722]","[2.27436,-3.08186]","[112445,19067.5]","[0.210316,-0.0889606]","[1,-1]","[13,13]","[1,1]","[6858.83,0]","[-152.273,-447.727]","[0.0111403,0.000322897]","[0.9291,0.0218067]",52268.5,1.16591,2,"[83785.3,22102.7]","[-1.37693,-0.148685]","[0.0520359,2.29785]","[176871,22476.4]","[0.832557,0.991769]","[0,15]","[0,1]","[-0.893344,0.188971]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[235.791,46.6456]",26655.9,"[6748.43,1653.87]","[]","[]","[]"
35,284500,5069,345325,0.876891,0.86202,212083,1.08735,0.886884,1,1,1,0.997393,0.92551,1,1,0,0,2,"[1,1]","[1,0]","[99080.6,15908]","[-2.41545,-2.00951]","[2.07406,-2.90502]","[559020,60400.4]","[-0.11031,-0.0509243]","[-1,1]","[11,11]","[1,1]","[0,0]","[-612.367,-442.97]","[-0.0151266,0.0410329]","[1.03524,1.16779]",24856.2,2.28927,3,"[69987.3,54568.4,33582.4]","[-1.9957,-1.65563,-1.93019]","[-1.49696,-0.962113,0.00390041]","[262310,148218,118275]","[0.984663,0.990039,0.999689]","[0,0,4]","[0,0,1]","[-0.919842,-0.858689,-0.600024]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2509.22,233.911]",13354.3,"[3045.22,2360.08,2322.71]","[]","[]","[]"
47,284500,5040,345325,0.876891,0.86202,212083,0.596562,0.96311,0.998077,1,1,0.99968,1.00058,1,1,1,0,2,"[1,1]","[1,1]","[85431.5,51169.1]","[-0.871845,-1.75256]","[-2.5315,1.75164]","[120010,152041]","[0.00608063,-0.106968]","[1,1]","[13,11]","[1,1]","[0,32533.2]","[-438.904,-223.388]","[0.0208809,-0.0387775]","[4.04188,1.69808]",42007.7,0.174065,1,"[60008.9]","[-2.1886]","[-0.615155]","[271194]","[0.994802]","[0]","[0]","[-0.808748]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1685.36,193.539]",1950.22,"[3646.71]","[]","[]","[]"
76,284500,5763,345325,0.876891,0.86202,212083,1.24168,0.954884,1,1,1,0.981084,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[88846.8,73747.1]","[0.535823,0.0477041]","[3.1026,2.94865]","[101909,73831]","[0.0337563,-0.0524521]","[-1,1]","[11,11]","[1,0]","[1133.74,0]","[429.184,3188.89]","[-0.0126556,-0.0154572]","[1.38503,2.13272]",75581.1,-2.49807,2,"[117956,113462]","[0.367521,0.77623]","[0.349688,-0.11536]","[126629,149731]","[0.996055,0.988475]","[4,0]","[1,0]","[-0.901942,-0.770059]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[538.669,846.755]",12.8984,"[1971.36,3101.75]","[]","[]","[]"
111,284500,2379,345325,0.876891,0.86202,212083,1.32095,0.97245,1.00109,1,1,0.997546,0.99544,1,1,1,0,2,"[1,1]","[1,1]","[138727,106543]","[1.32163,1.34775]","[-3.05222,2.99764]","[278579,218869]","[0.0108051,0.05966]","[-1,1]","[13,11]","[1,1]","[86467,140350]","[-241.042,1502.27]","[0.00599185,0.00135609]","[1.19699,0.147282]",29671.9,2.15114,3,"[210359,31532,27782.2]","[1.14095,1.48498,0.772992]","[0.0333073,-0.526168,-0.487603]","[363280,73345.4,36829.9]","[0.995038,0.910629,0.946364]","[0,0,0]","[0,0,0]","[-0.926312,-0.270791,-0.887219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2025.62,932.417]",9027.64,"[5811.28,7293.27,6398.41]","[]","[]","[]"
113,284500,1974,345325,0.876891,0.86202,212083,0.696077,0.974958,1,1,1,0.99849,0.96978,1,1,0,0,2,"[1,0]","[1,0]","[28255.4,8575.18]","[0.210017,0.165504]","[-2.76849,2.26605]","[28880.8,8692.89]","[0.0371294,0.185331]","[1,-1]","[11,11]","[1,1]","[2219.14,0]","[6337.18,-87.2934]","[0.00422671,-0.00156625]","[0.333108,0.110632]",44477.9,0.322244,1,"[20271.5]","[2.24661]","[-1.7203]","[96950.8]","[0.992572]","[0]","[0]","[-0.120361]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[34.8727,68.1374]",10199.2,"[2744.12]","[]","[]","[]"
128,284500,2833,345325,0.876891,0.86202,212083,1.21412,0.97577,1.01696,1,1,0.999579,1.00531,1,1,0,0,2,"[1,1]","[1,0]","[79183.5,14569.8]","[-0.0325539,0.0858585]","[-0.268114,-1.54165]","[79225.5,14623.9]","[0.0136757,0.113873]","[1,-1]","[11,13]","[1,1]","[0,0]","[426.423,-423.365]","[-0.0259283,-0.0261287]","[3.29353,2.31364]",48674.1,1.86702,2,"[57728.4,21072.9]","[-0.859379,-0.562226]","[-3.024,-2.65002]","[81205.5,24723.2]","[0.999965,0.991839]","[0,0]","[0,0]","[-0.0482953,-0.916073]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[423.805,82.1415]",7484.96,"[3993.37,1411.17]","[]","[]","[]"
166,284500,4228,345325,0.876891,0.86202,212083,1.26459,0.96322,0.993018,1,1,0.996289,0.906811,1,0,1,0,2,"[1,0]","[1,0]","[123627,13710.1]","[0.141378,-0.606561]","[1.98554,-1.55829]","[124865,16310.5]","[0.0773849,0.0610809]","[1,1]","[13,11]","[1,1]","[1895.3,1052.54]","[132.17,-15.8244]","[-0.0186231,0.00285452]","[3.87067,0.202549]",114175,-1.12204,3,"[25765.9,21843.3,20946.3]","[-2.0515,-0.867789,-1.88835]","[-1.93537,0.695017,2.13558]","[101973,31119.7,70957.3]","[0.595311,0.967584,0.617142]","[0,0,0]","[0,0,0]","[-0.832968,-0.893779,-0.914697]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1418.88,47.2747]",18530.6,"[4485.91,2220.21,1127.89]","[]","[]","[]"
177,284500,517,345325,0.876891,0.86202,212083,1.22586,0.93894,0.999835,1,1,0.999503,0.99124,1,1,1,0,2,"[1,1]","[1,1]","[33178.5,29750.2]","[2.28436,1.23921]","[0.491093,0.152083]","[164586,55669.9]","[-0.100657,0.0434418]","[-1,1]","[11,13]","[1,1]","[0,0]","[-251.144,-551.004]","[0.0409478,0.0310467]","[2.39744,3.13537]",39985.7,-1.51879,1,"[21213.2]","[0.347057]","[1.89631]","[22768.4]","[0.990948]","[0]","[0]","[-0.793143]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[268.852,235.862]",4848.19,"[3128.95]","[]","[]","[]"
184,284500,4120,345325,0.876891,0.86202,212083,1.32095,0.96988,0.999196,1,1,0.837456,1.00441,1,1,0,0,2,"[1,1]","[1,1]","[62364.7,26514.9]","[1.65952,1.19886]","[-2.63433,0.496673]","[169850,47963.9]","[-0.00582886,-0.0489273]","[-1,1]","[11,13]","[1,1]","[0,0]","[785.948,-92.4512]","[-0.0175521,0.00708848]","[1.22208,0.725605]",98205.9,0.197937,2,"[26949.3,21567.1]","[0.287934,1.91906]","[2.64997,-1.99484]","[28387,75103.3]","[0.847147,0.997268]","[0,15]","[0,1]","[-0.634862,0.947783]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[516.697,175.544]",31685.8,"[2598.82,1862.6]","[]","[]","[]"
