event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
34,284500,57030,345336,0.776005,0.76093,186418,0.75088,0.96284,0.996691,1,1,0.988098,0.97938,1,1,0,0,2,"[1,1]","[1,0]","[39774.6,9325.29]","[-0.0360102,-0.695648]","[0.289162,-1.42895]","[39800.4,11674.6]","[-0.0403366,0.0336113]","[-1,1]","[11,13]","[1,1]","[1279.3,0]","[392.105,-847.959]","[-0.00776873,-0.00178839]","[0.498626,0.0868758]",23176.5,1.16615,3,"[28860.8,25252.8,20696.6]","[1.4372,1.91071,-0.226651]","[3.07497,-2.06949,-2.81898]","[64421.7,87305.9,21825.4]","[0.998501,0.989159,0.990857]","[0,5,0]","[0,0,0]","[-0.801291,-0.463394,-0.926659]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[53.6906,11.8035]",1531.35,"[1786.81,1115.8,3026.84]","[]","[]","[]"
37,284500,58171,345336,0.776005,0.76093,186418,1.21412,0.94769,0.993222,1,1,0.999828,0.95625,1,1,1,0,2,"[1,1]","[1,1]","[75317.1,70262.7]","[-2.37263,-2.02011]","[-0.0811553,-0.234749]","[407420,269520]","[-0.30703,-0.143906]","[1,-1]","[11,13]","[1,1]","[0,0]","[-279.719,-235.672]","[-0.0210995,-0.00635972]","[1.41055,0.985252]",28992.7,-2.94146,2,"[74360.2,65779]","[-1.72662,-1.54071]","[-2.82614,2.26793]","[215923,160802]","[1,0.986769]","[0,0]","[0,0]","[-0.939967,-0.912739]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[413.121,1611.55]",5658.01,"[4565.56,4524.82]","[]","[]","[]"
57,284500,59185,345336,0.776005,0.76093,186418,1.26459,0.94602,0.997938,1,1,0.975018,0.99806,1,1,1,0,2,"[1,1]","[1,1]","[66758,39333.4]","[-1.44359,-1.74199]","[-2.90184,-2.96192]","[149269,115716]","[-0.00291443,0.014328]","[1,-1]","[13,11]","[1,1]","[0,0]","[108.378,-994.153]","[0.00347815,0.0361843]","[0.500617,1.89793]",36678.8,-0.384739,4,"[48504.1,48218.8,42824.9,27592.2]","[-0.283133,-1.42586,0.232293,-1.3833]","[0.0172513,1.53353,-1.75978,1.09491]","[50910.4,106625,44589.6,58808.7]","[0.999601,1,0.993381,0.959432]","[4,0,4,0]","[0,0,0,0]","[0.819088,-0.759716,-0.475057,-0.859811]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[287.131,82.9973]",2862.43,"[1887.8,3985.57,2145.93,2009.18]","[]","[]","[]"
59,284500,60080,345336,0.776005,0.76093,186418,1.22586,1,0.994624,1,1,0.942127,0.911937,1,0,1,0,2,"[1,1]","[1,1]","[26617.5,26360]","[1.31248,0.146901]","[-1.98104,2.09043]","[53029.3,26645.1]","[0.0876617,-0.0195122]","[-1,1]","[13,13]","[1,1]","[0,0]","[725.745,2431.7]","[0.00279243,-0.0201738]","[0.249846,2.02948]",28701.7,-0.237559,2,"[27557.5,27215.1]","[0.114228,-1.66699]","[-2.4559,0.354265]","[28218.1,74803.9]","[0.781251,0.992619]","[5,5]","[0,0]","[0.760396,0.268613]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[128.304,31.3877]",378.871,"[3909.29,1169.82]","[]","[]","[]"
70,284500,59057,345336,0.776005,0.76093,186418,1.22586,0.9548,0.8575,1,1,0.998555,1.02819,1,1,0,0,2,"[1,1]","[1,0]","[49401.1,43862.9]","[2.29729,2.68619]","[1.60876,1.60988]","[248183,323353]","[-0.0557251,0.426476]","[-1,1]","[11,13]","[1,0]","[0,0]","[-162.972,-668.854]","[-0.0136404,0.0127831]","[0.720475,0.811821]",41842.1,0.572048,1,"[27195]","[-1.33661]","[-0.183815]","[55569.7]","[0.952835]","[0]","[0]","[-0.486898]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[803.433,93.4176]",12476.6,"[1754.06]","[]","[]","[]"
89,284500,60575,345336,0.776005,0.76093,186418,1.21412,0.96853,0.987935,1,1,1,0.98869,1,1,0,0,2,"[1,0]","[1,0]","[66074.3,9733.77]","[-1.89248,-1.55626]","[2.1528,2.30123]","[224206,24100.9]","[0.137627,-0.0944748]","[-1,1]","[11,13]","[1,1]","[0,0]","[251.388,-330.627]","[0.0162893,0.0708086]","[0.78963,4.20139]",77946.1,1.55884,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[957.075,50.2186]",30773.2,"[]","[]","[]","[]"
108,284500,62013,345336,0.776005,0.76093,186418,0.696077,0.925723,1,1,1,1.06911,0.96784,1,1,0,0,2,"[0,1]","[1,0]","[28155.5,12024.4]","[-0.378435,-1.27057]","[-2.18464,-2.9817]","[30195.8,23108.2]","[-0.101927,-0.0156784]","[1,-1]","[11,11]","[1,1]","[0,0]","[884.061,264.873]","[-0.0546426,0.00614207]","[4.47011,0.313673]",82923.7,-1.62397,3,"[81595.5,50325.9,34698]","[0.486497,1.10155,1.177]","[1.54403,-0.0682403,2.14326]","[92390.3,84558.5,61933.9]","[0.988436,0.995549,0.997237]","[5,5,0]","[0,0,0]","[0.999823,0.917001,-0.349611]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[35.4471,595.212]",4167.01,"[2135.04,4056.81,3716.11]","[]","[]","[]"
125,284500,60694,345336,0.776005,0.76093,186418,1.32095,1,0.994835,1,1,0.992189,0.964219,1,0,1,0,2,"[1,1]","[1,0]","[58186.8,8443.42]","[2.06057,0.987336]","[2.45726,-2.26748]","[232102,12904.7]","[-0.415849,-0.183681]","[1,-1]","[13,13]","[1,1]","[1360.13,1121.15]","[303.176,-24.943]","[-0.0125836,-0.01113]","[1.54507,0.691562]",52447.6,0.982254,4,"[63410.5,42408.8,27054.2,20926.5]","[2.1853,1.84458,1.86786,1.94812]","[-1.24044,-2.23513,-0.267247,1.62501]","[285624,137540,89786.9,75080.2]","[0.994892,0.989977,0.971879,0.958669]","[0,4,4,0]","[0,0,0,0]","[-0.648648,-0.694982,-0.0134387,-0.870766]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[250.813,34.6834]",30474.3,"[2497.15,6845.8,1533.48,1386.22]","[]","[]","[]"
127,284500,60958,345336,0.776005,0.76093,186418,1.21412,0.9523,1,1,1,1.00002,1.00099,1,1,0,0,2,"[1,1]","[1,0]","[35831,10736.3]","[1.78495,0.813564]","[-2.58381,-2.6581]","[109770,14489.7]","[-0.135033,0.0109749]","[1,-1]","[11,11]","[1,0]","[0,0]","[30.2148,171.53]","[-0.0144425,-0.00844286]","[0.804933,0.628031]",57379.3,2.17892,1,"[67671.3]","[-0.221737]","[-0.399593]","[69781.7]","[1]","[0]","[0]","[-0.898756]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[562.41,124.85]",1716.84,"[2768.62]","[]","[]","[]"
133,284500,82840,345336,0.776005,0.76093,186418,1.25133,0.94707,0.991876,1,1,0.976279,0.94238,1,1,1,0,2,"[1,1]","[1,1]","[63369.2,28205.8]","[-0.755692,-1.14414]","[-1.98055,-1.78322]","[82341.1,48771.3]","[0.0508499,-0.0133643]","[1,-1]","[13,11]","[1,1]","[0,0]","[-492.963,-207.379]","[0.00327325,0.003158]","[0.430868,0.290778]",61612,-2.76326,2,"[79747.5,33628.3]","[-0.36158,-1.84416]","[0.880181,1.29869]","[85582.8,109065]","[0.998414,0.977503]","[4,4]","[0,0]","[-0.891717,-0.195014]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1661.33,70.4419]",5405.6,"[7054.01,4410.37]","[]","[]","[]"
